dates,nzd0284-0000,nzd0284-0001,nzd0284-0002,nzd0284-0003,nzd0284-0004,nzd0284-0005,nzd0284-0006,nzd0284-0007,nzd0284-0008,nzd0284-0009,nzd0284-0010,nzd0284-0011,nzd0284-0012,nzd0284-0013,nzd0284-0014,nzd0284-0015,nzd0284-0016,nzd0284-0017,nzd0284-0018,nzd0284-0019,nzd0284-0020,nzd0284-0021,nzd0284-0022,nzd0284-0023,nzd0284-0024,nzd0284-0025,nzd0284-0026,nzd0284-0027,nzd0284-0028,nzd0284-0029,nzd0284-0030,nzd0284-0031,nzd0284-0032,nzd0284-0033,nzd0284-0034,nzd0284-0035,nzd0284-0036,nzd0284-0037,nzd0284-0038,nzd0284-0039,nzd0284-0040,nzd0284-0041,nzd0284-0042,nzd0284-0043,nzd0284-0044,nzd0284-0045,nzd0284-0046,nzd0284-0047,nzd0284-0048,nzd0284-0049,nzd0284-0050,nzd0284-0051,nzd0284-0052,nzd0284-0053,nzd0284-0054,nzd0284-0055,nzd0284-0056,nzd0284-0057,nzd0284-0058,nzd0284-0059,nzd0284-0060,nzd0284-0061,nzd0284-0062,nzd0284-0063,nzd0284-0064,nzd0284-0065,nzd0284-0066,nzd0284-0067,nzd0284-0068,nzd0284-0069,nzd0284-0070,nzd0284-0071,nzd0284-0072,nzd0284-0073,nzd0284-0074,nzd0284-0075,nzd0284-0076,nzd0284-0077,nzd0284-0078,nzd0284-0079,nzd0284-0080,nzd0284-0081,nzd0284-0082,nzd0284-0083,nzd0284-0084,nzd0284-0085,nzd0284-0086,nzd0284-0087,nzd0284-0088,nzd0284-0089,nzd0284-0090,nzd0284-0091,nzd0284-0092,nzd0284-0093,nzd0284-0094,nzd0284-0095,nzd0284-0096,nzd0284-0097,nzd0284-0098,nzd0284-0099,nzd0284-0100,nzd0284-0101,nzd0284-0102,nzd0284-0103,nzd0284-0104,nzd0284-0105,nzd0284-0106,nzd0284-0107,nzd0284-0108,nzd0284-0109,nzd0284-0110,nzd0284-0111,nzd0284-0112,nzd0284-0113,nzd0284-0114,nzd0284-0115,nzd0284-0116,nzd0284-0117,nzd0284-0118,nzd0284-0119,nzd0284-0120,nzd0284-0121,nzd0284-0122,nzd0284-0123,nzd0284-0124,nzd0284-0125,nzd0284-0126,nzd0284-0127,nzd0284-0128,nzd0284-0129,nzd0284-0130,nzd0284-0131,nzd0284-0132,nzd0284-0133,nzd0284-0134,nzd0284-0135,nzd0284-0136,nzd0284-0137,nzd0284-0138,nzd0284-0139,nzd0284-0140,nzd0284-0141,nzd0284-0142,nzd0284-0143,nzd0284-0144,nzd0284-0145,nzd0284-0146,nzd0284-0153,nzd0284-0154,nzd0284-0155,nzd0284-0156,nzd0284-0157,nzd0284-0158,nzd0284-0159,nzd0284-0160,nzd0284-0161,nzd0284-0162,nzd0284-0163,nzd0284-0164,nzd0284-0165,nzd0284-0147,nzd0284-0148,nzd0284-0149,nzd0284-0150,nzd0284-0151,nzd0284-0152,nzd0284-0166,nzd0284-0167,nzd0284-0168,nzd0284-0169,satname
1999-08-21 21:46:56.985,,,,,,,,,,,,,,,314.83,339.75,319.05,292.45,250.68,280.78,290.64,,,,,,296.42,298.41,322.01,315.34,333.09,324.02,,,,,,,361.65,338.93,324.76,300.03,302.42,264.04,248.43,246.03,232.2,252.74,235.11,266.39,,,274.75,273.28,233.29,238.6,,287.63,313.01,277.76,165.08,294.77,311.41,288.28,277.96,261.58,247.8,248.52,230.7,169.75,,360.33,331.21,301.74,316.24,282.5,269.63,298.99,323.67,303.36,285.2,260.4,236.88,213.49,,290.37,294.58,347.63,310.7,311.53,,,,,,,256.27,236.96,,,,,,,,317.61,292.21,346.4,332.69,339.57,,278.46,279.46,323.26,,306.92,,,,,,328.17,309.6,291.49,252.88,333.86,335.34,269.75,,,,340.95,335.31,,318.24,341.97,338.95,338.78,340.69,,,,,,,,,339.18,335.31,334.3,338.56,337.5,,335.11,322.29,,,304.75,281.06,,,,,,,,,,,,L7
1999-08-28 21:53:11.984,329.63,328.42,341.51,346.2,342.59,340.89,347.04,332.28,316.53,319.44,329.38,323.48,317.73,313.54,319.53499999999997,339.78999999999996,321.83500000000004,299.245,253.9,286.645,302.37,300.45,286.0,285.28,308.93,310.48,297.525,303.21500000000003,326.66499999999996,325.98,334.41499999999996,326.30499999999995,316.41,332.86,326.12,280.14,286.41,,359.565,339.91499999999996,322.83500000000004,305.2,304.63,268.19,258.93,247.255,234.45,255.78,238.235,271.455,326.88,317.51,278.09000000000003,274.865,243.97,250.85500000000002,,296.01,314.59000000000003,277.44,170.28500000000003,294.16499999999996,310.61,287.67999999999995,279.225,262.365,249.35000000000002,248.95499999999998,231.41,174.32,346.12,354.42999999999995,335.75,303.26,321.845,294.525,273.895,314.275,330.24,318.27,291.985,263.06,245.37,226.765,321.3,297.51,303.5,348.68,313.15,314.635,348.03,319.9,332.02,317.38,280.25,324.9,271.78,238.885,339.78,265.43,232.4,305.16,332.84,331.72,318.49,321.555,302.455,343.01,338.21000000000004,338.57,313.96,294.04499999999996,297.725,327.645,324.7,323.69,308.55,313.28,310.82,321.04,330.36,331.33000000000004,319.57500000000005,297.815,263.51,334.08500000000004,333.445,288.905,335.19,332.43,335.9,337.26,336.395,,319.07500000000005,341.125,333.21500000000003,330.955,333.115,333.61,304.44,,,,331.95,,,335.28999999999996,335.28499999999997,333.95500000000004,338.78,334.47,,334.87,322.365,306.48,299.29,308.815,291.7,314.18,315.36,326.49,,,332.46,332.8,299.46,290.69,274.0,291.24,L7
1999-09-22 21:47:00.785,331.08500000000004,330.305,345.555,347.735,346.44,342.21500000000003,350.18,336.17999999999995,320.47,332.52,334.56,329.385,321.83500000000004,313.20500000000004,321.0733333333333,341.8066666666667,323.6166666666667,298.7633333333333,256.06666666666666,288.70666666666665,300.60999999999996,301.83,290.775,285.885,305.91499999999996,312.19,297.99,306.04,327.95,327.18,337.79,328.4533333333333,320.64,326.75,326.545,286.435,301.54,321.47,359.95666666666665,341.23333333333335,326.3066666666667,307.1133333333333,304.45666666666665,266.8633333333333,256.93666666666667,248.05999999999997,234.1933333333333,257.1333333333333,245.35333333333332,294.5133333333333,333.73,325.34000000000003,279.94666666666666,273.81,243.77666666666664,275.84666666666664,329.06,303.24,316.4866666666667,281.34,170.28500000000003,296.6666666666667,311.6166666666667,288.1933333333333,279.2,262.49666666666667,251.92,249.78333333333333,234.34,179.86666666666667,346.22,357.28666666666663,341.19666666666666,307.34999999999997,327.00333333333333,295.43666666666667,276.21333333333337,326.50333333333333,337.40000000000003,318.27,291.985,263.06,297.52666666666664,289.11333333333334,329.15,307.91333333333336,317.2966666666667,348.75,322.6333333333334,323.52,351.515,322.78,339.875,324.475,295.065,331.765,296.24666666666667,238.885,338.2,269.525,250.51,309.67,330.30499999999995,330.375,323.845,322.78333333333336,309.6433333333333,348.1566666666667,342.84,337.9766666666667,312.83,301.31333333333333,307.65333333333336,331.5566666666667,331.025,330.41333333333336,325.185,327.265,315.27,330.505,337.64,334.02333333333337,327.08666666666664,304.34666666666664,273.86999999999995,336.18333333333334,336.49,297.60999999999996,334.765,342.9,341.435,339.59999999999997,341.87000000000006,341.99,324.56333333333333,343.3833333333334,338.4433333333333,335.1666666666667,338.64000000000004,340.685,322.25,342.56,339.61,334.21,332.96000000000004,307.88,315.36,338.8433333333333,339.68333333333334,337.75,340.7733333333333,336.7966666666667,321.49,335.8933333333334,323.7733333333333,310.75,302.865,311.87,299.1166666666666,313.8,317.165,326.96000000000004,329.07,318.79,334.6,340.62,302.05499999999995,293.27,281.8,290.885,L7
1999-09-29 21:53:16.190,331.22333333333336,330.25666666666666,343.20666666666665,346.25333333333333,342.94666666666666,342.75,349.34,336.9066666666667,321.17,337.2866666666667,336.8333333333333,330.7066666666667,323.43,317.11333333333334,323.365,341.28499999999997,324.2875,297.8225,256.96500000000003,288.53749999999997,300.5225,301.09666666666664,295.1933333333333,290.23,307.59666666666664,314.0366666666667,300.34000000000003,310.27250000000004,329.8675,328.3275,336.275,329.4675,322.92333333333335,327.93333333333334,325.57,290.47333333333336,307.86,334.305,357.97249999999997,341.4675,325.6125,313.10249999999996,305.7,266.945,256.7675,263.08,236.2525,259.14,250.05,304.9525,335.0333333333333,325.25,281.2425,273.59,244.6325,287.145,329.445,308.5275,319.185,283.02,176.9366666666667,296.845,312.08000000000004,287.51,279.1775,262.23,253.3775,273.85249999999996,262.5325,219.015,346.22,355.8825,343.075,315.66999999999996,329.90250000000003,296.9625,276.21333333333337,331.075,339.8075,323.1066666666666,295.7833333333333,266.62333333333333,324.9975,320.1075,329.15,307.91333333333336,318.7375,342.3425,325.01750000000004,325.65,348.59666666666664,327.23,336.32666666666665,323.21,300.37,332.08,305.495,238.885,337.06666666666666,271.19666666666666,269.34666666666664,313.75333333333333,331.4533333333333,330.75333333333333,325.24,326.95500000000004,311.8375,346.6375,342.2625,339.15,313.6433333333333,305.415,311.9425,331.72749999999996,329.76,329.77250000000004,328.82666666666665,327.91,316.09,328.21333333333337,337.6466666666667,334.225,327.01750000000004,307.785,284.5875,335.45,335.4175,302.8925,334.76,341.1066666666666,340.71,339.60749999999996,339.9175,338.395,327.12,340.9375,336.8825,334.48249999999996,336.305,338.28333333333336,324.40000000000003,333.995,329.79,326.88,328.8666666666667,307.44,315.51,337.985,339.255,337.2,339.3375,334.5525,317.62,333.9975,324.2075,312.1666666666667,303.8866666666667,311.42,300.97749999999996,311.6566666666667,317.78333333333336,326.19666666666666,326.36,322.61,333.73333333333335,338.84,300.86999999999995,293.9533333333333,284.5933333333333,289.39,L7
1999-10-24 21:46:56.203,331.22333333333336,330.25666666666666,343.20666666666665,346.25333333333333,342.94666666666666,342.75,349.34,336.9066666666667,321.17,337.2866666666667,336.8333333333333,356.615,323.43,354.5075,346.244,367.8,324.2875,297.8225,256.96500000000003,288.53749999999997,300.5225,301.09666666666664,295.1933333333333,290.23,307.59666666666664,314.0366666666667,300.34000000000003,310.27250000000004,351.69,328.3275,336.275,355.972,322.92333333333335,327.93333333333334,325.57,290.47333333333336,334.6325,366.7366666666667,357.97249999999997,341.4675,352.416,338.764,329.93,266.945,256.7675,292.64,271.838,288.206,282.07,327.002,335.0333333333333,325.25,307.04,299.254,273.912,309.394,354.43333333333334,327.76599999999996,336.912,283.02,176.9366666666667,296.845,312.08000000000004,317.698,310.2,296.252,291.214,305.924,294.65999999999997,262.192,374.57,355.8825,343.075,315.66999999999996,349.774,296.9625,276.21333333333337,331.075,339.8075,323.1066666666666,295.7833333333333,266.62333333333333,345.03200000000004,343.122,329.15,307.91333333333336,318.7375,342.3425,325.01750000000004,325.65,348.59666666666664,327.23,336.32666666666665,323.21,300.37,332.08,305.495,238.885,337.06666666666666,310.595,312.12,343.59000000000003,357.5875,357.0,325.24,349.27,311.8375,363.284,359.248,356.52200000000005,339.4175,326.838,332.886,331.72749999999996,329.76,348.83000000000004,351.945,349.3925,337.355,350.6575,357.635,351.21999999999997,344.046,328.886,284.5875,351.066,335.4175,326.4,353.66999999999996,359.4475,359.9075,339.60749999999996,339.9175,338.395,347.354,357.562,336.8825,354.044,355.504,338.28333333333336,346.315,361.3566666666666,329.79,353.02,328.8666666666667,339.4766666666667,346.14000000000004,337.985,339.255,337.2,339.3375,334.5525,348.3733333333333,333.9975,324.2075,312.1666666666667,303.8866666666667,324.654,314.476,327.485,317.78333333333336,326.19666666666666,355.27,352.93,352.07,357.7525,316.03249999999997,312.43,284.5933333333333,289.39,L7
1999-10-31 21:53:08.082,331.22333333333336,330.25666666666666,343.20666666666665,346.25333333333333,342.94666666666666,342.75,349.34,336.9066666666667,321.17,337.2866666666667,336.8333333333333,383.74,323.43,369.556,358.3066666666667,378.8233333333333,324.2875,297.8225,256.96500000000003,288.53749999999997,300.5225,301.09666666666664,295.1933333333333,290.23,307.59666666666664,314.0366666666667,300.34000000000003,310.27250000000004,361.655,328.3275,336.275,368.1783333333333,322.92333333333335,327.93333333333334,325.57,290.47333333333336,347.756,376.365,357.97249999999997,341.4675,368.31166666666667,352.84999999999997,345.52833333333336,266.945,256.7675,317.405,298.8383333333333,315.5566666666667,303.50166666666667,344.9766666666667,335.0333333333333,325.25,326.445,320.6666666666667,297.8833333333333,327.1433333333334,368.28499999999997,345.8416666666667,351.58,283.02,176.9366666666667,296.845,312.08000000000004,335.97666666666663,330.37,318.5733333333333,314.09666666666664,326.84999999999997,316.205,288.04333333333335,380.3575,355.8825,343.075,315.66999999999996,361.705,296.9625,276.21333333333337,337.93600000000004,342.932,323.1066666666666,295.7833333333333,266.62333333333333,345.03200000000004,362.28,329.15,307.91333333333336,318.7375,342.3425,325.01750000000004,325.65,348.59666666666664,327.23,336.32666666666665,323.21,328.8425,332.08,305.495,238.885,337.06666666666666,328.97200000000004,331.464,357.68,373.012,366.912,325.24,358.44166666666666,311.8375,368.74499999999995,365.115,361.95,350.9,338.71666666666664,344.55333333333334,344.88199999999995,346.3875,356.19166666666666,360.962,359.236,350.216,362.374,368.688,361.12166666666667,355.0366666666667,342.05333333333334,284.5875,359.90000000000003,335.4175,341.6166666666666,367.946,370.966,372.056,344.698,339.9175,338.395,359.2033333333334,367.5233333333333,336.8825,365.7633333333333,363.9316666666667,338.28333333333336,356.4,373.995,329.79,357.0825,328.8666666666667,356.4875,358.3125,342.77799999999996,339.255,337.2,339.3375,341.092,357.4275,339.948,324.2075,312.1666666666667,303.8866666666667,332.49333333333334,324.3533333333333,329.934,317.78333333333336,326.19666666666666,370.1875,371.27250000000004,364.316,362.788,320.174,316.87399999999997,284.5933333333333,289.39,L7
2000-01-19 21:53:01.775,331.22333333333336,330.25666666666666,343.20666666666665,346.25333333333333,342.94666666666666,342.75,349.34,336.9066666666667,321.17,337.2866666666667,336.8333333333333,398.97166666666664,323.43,381.4483333333333,370.2128571428571,386.1657142857143,324.2875,297.8225,256.96500000000003,288.53749999999997,300.5225,301.09666666666664,295.1933333333333,290.23,307.59666666666664,314.0366666666667,300.34000000000003,310.27250000000004,365.4157142857143,328.3275,336.275,377.27714285714285,322.92333333333335,327.93333333333334,325.57,290.47333333333336,357.07166666666666,385.666,370.52,360.142,379.15000000000003,364.63571428571424,354.8614285714286,298.214,256.7675,332.15142857142854,316.79857142857145,331.0357142857143,319.82142857142856,356.3328571428571,356.1225,349.05,341.0914285714286,333.7657142857143,311.56,337.3142857142857,375.25,355.37142857142857,361.23,283.02,176.9366666666667,296.845,321.72400000000005,345.85571428571427,343.06857142857143,335.5442857142857,332.9171428571429,344.6842857142857,334.6457142857143,309.49285714285713,390.276,364.678,343.075,315.66999999999996,367.33714285714285,296.9625,276.21333333333337,346.85999999999996,350.7683333333334,323.1066666666666,295.7833333333333,266.62333333333333,360.66,362.28,329.15,307.91333333333336,318.7375,342.3425,325.01750000000004,325.65,348.59666666666664,360.495,336.32666666666665,323.21,328.8425,332.08,305.495,238.885,337.06666666666666,328.97200000000004,351.45666666666665,372.98,383.965,378.49,325.24,369.66285714285715,311.8375,368.74499999999995,365.115,373.2342857142857,363.555,350.81142857142856,358.2857142857143,356.365,355.52200000000005,363.2742857142857,370.785,369.68666666666667,361.82666666666665,365.16333333333336,370.68833333333333,364.5657142857143,363.24142857142857,353.44571428571425,284.5875,367.26142857142855,335.4175,351.7142857142857,374.4533333333333,373.77666666666664,375.5133333333333,352.96,339.9175,338.395,369.5814285714286,375.95142857142855,336.8825,373.7442857142857,371.13714285714286,338.28333333333336,365.6016666666667,381.256,329.79,357.914,328.8666666666667,366.23,368.932,342.77799999999996,339.255,337.2,339.3375,350.31333333333333,369.12,339.948,324.2075,312.1666666666667,303.8866666666667,332.49333333333334,329.3085714285714,329.934,317.78333333333336,326.19666666666666,377.216,377.26800000000003,369.2633333333333,371.23,320.174,323.865,284.5933333333333,289.39,L7
2000-02-04 21:53:01.324,331.22333333333336,330.25666666666666,343.20666666666665,346.25333333333333,342.94666666666666,342.75,349.34,336.9066666666667,321.17,337.2866666666667,336.8333333333333,409.6328571428572,323.43,391.8442857142857,374.73,388.09375,324.2875,297.8225,256.96500000000003,288.53749999999997,300.5225,301.09666666666664,295.1933333333333,290.23,307.59666666666664,314.0366666666667,300.34000000000003,310.27250000000004,365.4157142857143,328.3275,336.275,383.3225,322.92333333333335,327.93333333333334,325.57,290.47333333333336,357.07166666666666,385.666,381.635,374.81166666666667,387.0,372.74,362.7175,315.27,256.7675,342.43625,328.855,342.0475,331.3975,363.11,366.73999999999995,361.856,349.39750000000004,342.62125000000003,322.46875,345.16625,380.0916666666667,362.40125,367.60875,283.02,176.9366666666667,296.845,339.4816666666667,356.87874999999997,353.56,345.175,343.52375,354.33125,345.41625,323.75124999999997,393.42333333333335,374.6433333333334,343.075,315.66999999999996,367.33714285714285,296.9625,276.21333333333337,346.85999999999996,350.7683333333334,323.1066666666666,295.7833333333333,266.62333333333333,370.2642857142857,371.4271428571428,329.15,307.91333333333336,318.7375,342.3425,325.01750000000004,325.65,348.59666666666664,373.70799999999997,356.6375,323.21,352.506,332.08,305.495,238.885,337.06666666666666,346.365,363.18285714285713,381.93857142857144,391.3957142857143,385.98,325.24,378.70375,311.8375,376.28285714285715,372.9157142857143,376.83,368.50714285714287,357.72,362.89,362.75142857142856,364.23333333333335,367.0875,375.3014285714286,374.6642857142857,368.96571428571434,372.0842857142857,377.5785714285715,370.28375,368.76125,359.49125000000004,284.5875,373.2625,335.4175,358.13,379.06857142857143,378.12142857142857,380.12142857142857,362.4985714285714,339.9175,338.395,374.92875000000004,381.08125,336.8825,381.19375,380.08125,338.28333333333336,374.13714285714286,386.4916666666666,329.79,357.914,328.8666666666667,370.11999999999995,373.15333333333336,342.77799999999996,339.255,337.2,339.3375,357.1228571428572,375.27833333333336,339.948,324.2075,312.1666666666667,303.8866666666667,337.92857142857144,331.26875,332.00166666666667,317.78333333333336,326.19666666666666,383.7733333333333,381.21166666666664,374.28285714285715,376.5728571428572,320.174,331.7214285714286,284.5933333333333,289.39,L7
2000-02-13 21:46:48.016,325.9825,330.25666666666666,338.0025,341.8225,338.2725,339.2,346.6625,335.9025,323.795,336.815,335.89,409.6328571428572,315.33,391.8442857142857,374.73,388.09375,318.134,294.048,251.76399999999998,292.966,305.046,306.815,304.025,300.1,313.33,317.425,306.2,314.236,365.4157142857143,330.582,337.97200000000004,383.3225,325.3175,329.375,328.125,290.47333333333336,357.07166666666666,384.81,388.30428571428575,380.06,388.7255555555555,382.39444444444445,373.1088888888889,325.2514285714286,273.09000000000003,342.43625,328.855,342.0475,331.3975,363.11,367.155,364.81333333333333,349.39750000000004,342.62125000000003,322.46875,345.16625,380.0916666666667,362.40125,367.60875,283.02,176.9366666666667,296.845,347.09142857142854,356.87874999999997,362.28333333333336,345.175,343.52375,354.33125,345.41625,323.75124999999997,393.42333333333335,378.75,347.48,322.7,367.33714285714285,296.9625,276.21333333333337,347.56714285714287,351.4942857142857,330.2975,295.7833333333333,266.62333333333333,370.2642857142857,371.4271428571428,333.7,313.45,322.818,344.122,330.622,331.418,351.1675,381.185,368.352,323.21,363.54833333333335,332.08,314.464,238.885,340.525,357.90000000000003,369.14,390.46125,391.3957142857143,385.98,331.7825,378.70375,319.994,376.28285714285715,373.4425,376.83,368.50714285714287,357.72,362.89,362.75142857142856,364.23333333333335,367.0875,376.675,378.28749999999997,378.5475,372.0842857142857,377.5785714285715,370.28375,368.76125,359.49125000000004,295.282,373.2625,336.21999999999997,358.13,379.06857142857143,378.12142857142857,380.12142857142857,362.4985714285714,339.01,339.8566666666666,374.92875000000004,381.08125,336.71799999999996,381.19375,380.08125,338.2375,374.13714285714286,386.4916666666666,329.47,352.1266666666667,326.0525,370.11999999999995,373.15333333333336,340.425,336.738,336.044,338.1,357.1228571428572,375.27833333333336,339.948,323.96,311.7125,303.8825,337.92857142857144,328.5,328.2557142857143,319.4775,326.44,383.7733333333333,381.21166666666664,374.28285714285715,376.5728571428572,317.52666666666664,331.7214285714286,285.405,288.5725,L7
2000-02-20 21:52:53.613,342.616,347.7,338.0025,356.81,353.332,353.216,357.48400000000004,351.634,323.795,336.815,335.89,409.6328571428572,338.42600000000004,391.8442857142857,386.615,396.61625,336.286,294.4475,252.03499999999997,296.0125,308.64750000000004,306.815,304.025,300.1,313.33,317.425,308.645,318.1925,377.59,334.3925,339.19250000000005,403.72749999999996,325.3175,329.375,328.125,290.47333333333336,365.3957142857143,389.54,396.0428571428571,390.1,398.16555555555556,394.9288888888889,381.945,344.46000000000004,300.948,362.48749999999995,352.89875,361.84000000000003,352.89125,380.38125,371.34285714285716,371.2242857142857,364.25,356.03375000000005,341.19625,365.4925,382.4428571428571,376.67375,379.16125,284.7733333333333,182.865,326.7,360.97857142857146,371.9875,377.9266666666667,363.10125,364.75624999999997,375.8125,369.05,354.46,395.57428571428574,386.49285714285713,351.5475,327.94,380.5728571428571,301.7833333333333,279.50500000000005,355.6633333333334,356.13166666666666,339.2766666666667,301.07499999999993,269.735,393.77,397.68,333.7,321.1433333333333,343.798,354.346,352.142,352.25,362.93199999999996,385.92285714285714,375.94666666666666,323.21,370.6328571428571,332.08,329.0125,240.81,340.525,364.81125000000003,372.8755555555556,392.61333333333334,393.32375,389.3975,331.7825,389.29125,326.94,382.98285714285714,381.27875,383.85999999999996,373.245,372.82375,378.2275,373.64285714285717,370.14428571428573,377.85125,380.43666666666667,380.27444444444444,378.5475,376.92875000000004,381.00625,379.995,377.21285714285716,374.89250000000004,305.88249999999994,378.89142857142855,336.44,375.25125,379.06857142857143,378.12142857142857,383.1575,372.0971428571429,339.935,339.8566666666666,385.92125000000004,392.755,336.15999999999997,390.82750000000004,389.42,338.2375,375.9075,387.82000000000005,329.47,358.15285714285716,326.0525,374.7528571428571,374.2514285714286,340.674,349.958,348.76000000000005,349.474,362.64428571428573,376.52714285714285,350.934,324.3775,311.7125,303.8825,348.13714285714286,334.43,328.2557142857143,331.73,335.826,383.22428571428566,380.62,373.47249999999997,377.82375,317.52666666666664,337.20625,302.784,304.096,L7
