dates,satname,nzd0284-0000,nzd0284-0001,nzd0284-0002,nzd0284-0003,nzd0284-0004,nzd0284-0005,nzd0284-0006,nzd0284-0007,nzd0284-0008,nzd0284-0009,nzd0284-0010,nzd0284-0011,nzd0284-0012,nzd0284-0013,nzd0284-0014,nzd0284-0015,nzd0284-0016,nzd0284-0017,nzd0284-0019,nzd0284-0020,nzd0284-0021,nzd0284-0022,nzd0284-0023,nzd0284-0024,nzd0284-0025,nzd0284-0026,nzd0284-0027,nzd0284-0028,nzd0284-0029,nzd0284-0030,nzd0284-0031,nzd0284-0032,nzd0284-0033,nzd0284-0034,nzd0284-0038,nzd0284-0039,nzd0284-0040,nzd0284-0041,nzd0284-0042,nzd0284-0068,nzd0284-0069,nzd0284-0070,nzd0284-0071,nzd0284-0072,nzd0284-0073,nzd0284-0074,nzd0284-0075,nzd0284-0084,nzd0284-0085,nzd0284-0086,nzd0284-0087,nzd0284-0088,nzd0284-0089,nzd0284-0090,nzd0284-0091,nzd0284-0092,nzd0284-0093,nzd0284-0094,nzd0284-0102,nzd0284-0103,nzd0284-0104,nzd0284-0105,nzd0284-0106,nzd0284-0107,nzd0284-0108,nzd0284-0109,nzd0284-0110,nzd0284-0111,nzd0284-0112,nzd0284-0113,nzd0284-0114,nzd0284-0115,nzd0284-0124,nzd0284-0125,nzd0284-0126,nzd0284-0127,nzd0284-0128,nzd0284-0129,nzd0284-0130,nzd0284-0131,nzd0284-0132,nzd0284-0133,nzd0284-0134,nzd0284-0135,nzd0284-0136,nzd0284-0137,nzd0284-0138,nzd0284-0139,nzd0284-0151,nzd0284-0152,nzd0284-0153,nzd0284-0154,nzd0284-0155,nzd0284-0156,nzd0284-0157,nzd0284-0159,nzd0284-0160,nzd0284-0161,nzd0284-0162,nzd0284-0163,nzd0284-0164,nzd0284-0165,nzd0284-0166,nzd0284-0167,nzd0284-0168,nzd0284-0169,nzd0284-0018,nzd0284-0035,nzd0284-0036,nzd0284-0037,nzd0284-0048,nzd0284-0049,nzd0284-0050,nzd0284-0051,nzd0284-0052,nzd0284-0053,nzd0284-0055,nzd0284-0056,nzd0284-0057,nzd0284-0058,nzd0284-0059,nzd0284-0067,nzd0284-0076,nzd0284-0077,nzd0284-0078,nzd0284-0079,nzd0284-0080,nzd0284-0083,nzd0284-0095,nzd0284-0096,nzd0284-0097,nzd0284-0098,nzd0284-0099,nzd0284-0116,nzd0284-0117,nzd0284-0118,nzd0284-0119,nzd0284-0120,nzd0284-0121,nzd0284-0122,nzd0284-0123,nzd0284-0140,nzd0284-0141,nzd0284-0142,nzd0284-0143,nzd0284-0144,nzd0284-0146,nzd0284-0147,nzd0284-0148,nzd0284-0149,nzd0284-0150,nzd0284-0158,nzd0284-0043,nzd0284-0047,nzd0284-0054,nzd0284-0081,nzd0284-0082,nzd0284-0100,nzd0284-0101,nzd0284-0145,nzd0284-0044,nzd0284-0045,nzd0284-0046,nzd0284-0060,nzd0284-0061,nzd0284-0062,nzd0284-0063,nzd0284-0064,nzd0284-0065,nzd0284-0066
2000-05-03 21:46:19.161000,L7,,,,,,,,,,358.14,362.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.66,392.11,384.72,347.84,,,,321.90,315.80,370.39,382.13,323.10,330.67,382.31,330.39,386.54,396.08,387.25,341.88,348.34,336.89,349.27,397.47,402.22,,393.95,388.96,386.33,,,,,,,,,,,392.45,398.04,414.53,354.45,337.92,353.39,345.19,335.54,,,381.45,310.84,295.36,298.01,309.18,295.24,385.62,365.22,352.67,296.39,325.14,391.20,,,,,,,,,,,347.09,357.26,,,,,,,,,,,,,,,,,386.93,387.90,401.57,,,,386.68,395.15,359.74,354.74,396.98,386.92,380.41,,,,,,,,,,,,,340.06,,,,,325.71,,,344.28,293.73,,,,,,,
2000-05-19 21:46:07.873000,L7,,,,,,,,,,,,,,345.04,361.92,367.38,337.77,309.76,,,,,305.64,314.48,304.27,308.43,328.12,327.07,335.95,332.93,339.36,,,,,339.74,330.28,302.24,323.83,368.29,368.32,408.49,397.41,361.22,328.01,330.93,318.30,,,359.74,378.05,333.92,341.80,376.80,414.23,315.16,,,336.78,355.47,334.10,342.32,353.08,370.94,384.13,359.47,325.05,350.22,344.49,363.01,381.00,365.99,328.11,338.35,300.70,334.24,375.86,355.88,360.04,394.78,406.32,,,289.70,361.62,353.37,360.05,369.55,,,,,,,,392.96,396.85,389.22,332.08,342.55,335.65,,,,,,273.89,,,,,,,303.79,306.60,299.12,287.29,300.19,300.05,337.85,304.34,397.96,298.38,326.63,348.60,310.12,310.28,,,,,,,376.96,,,,402.44,355.56,333.27,307.50,357.97,,,,,,,,,,,,,268.25,344.46,320.06,,,,,,,273.16,336.50,338.31,317.13,301.68,288.31,273.22
2000-05-26 21:52:12.607000,L7,329.74,337.47,348.89,357.41,350.49,360.75,407.87,344.91,321.04,333.91,335.72,338.44,332.82,331.53,326.67,344.31,330.98,303.32,,300.43,304.58,286.25,281.73,301.75,318.17,306.67,310.61,334.78,326.82,335.73,331.49,296.86,,,,,,,,350.20,339.26,343.41,375.30,337.29,301.74,321.28,293.31,299.83,301.78,324.10,360.92,317.33,322.47,376.30,334.36,294.12,,,,,,327.55,307.01,369.95,371.09,325.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.32,365.08,394.83,322.97,372.34,384.59,,,,,,,,,,,,,,,,,,,,,304.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.77,318.57,326.67,300.20,293.93,270.89,263.11
2000-07-13 21:51:43.794000,L7,,,,,,,,,,,,381.51,400.63,345.23,357.02,415.75,,393.95,350.52,336.76,336.30,331.39,325.80,357.84,354.99,,,,,,,363.46,403.29,383.26,,,,348.40,339.71,,,,,,418.97,,,,,,,,,,,370.48,323.30,341.19,,,,,,,,,,,,,,,,,,,,,,,,340.96,364.09,370.49,334.67,279.92,,,,,380.63,359.63,344.01,357.42,316.16,,,,,,,,,,,,380.88,378.58,389.86,406.97,284.30,321.60,303.68,319.36,355.49,303.81,292.70,331.92,341.72,,,,,350.99,365.78,365.13,358.18,,,,,,,,360.47,365.79,370.54,,,,,,,,319.24,338.53,,,,,,340.75,297.13,292.97,271.97,,,,,404.68,298.91,300.98,288.85,,,,,,,
2000-07-29 21:51:26.388000,L7,354.44,360.69,369.26,365.86,364.60,369.49,364.04,353.56,344.20,351.58,355.59,344.08,336.39,328.57,343.32,358.63,342.49,315.90,303.25,323.37,316.40,300.58,299.19,319.44,329.98,324.91,333.22,352.86,354.07,356.95,345.68,344.27,346.53,346.11,380.77,357.74,347.07,330.75,327.66,406.38,400.19,399.67,,,,,,311.84,319.09,342.30,381.53,335.76,333.42,383.11,345.01,315.51,,,,364.06,339.54,344.94,356.26,397.88,395.01,402.07,345.45,402.44,387.83,360.11,,,327.62,339.50,300.40,335.04,362.84,355.59,361.34,364.49,,,,356.48,360.48,375.78,362.33,363.17,,,,,371.13,352.51,355.24,,,,,,,,,,319.68,256.62,280.08,293.93,,,,,,,,,,,,,,380.58,,,,,,,,,,,,,,,,346.94,385.41,358.49,301.26,358.12,317.06,,,,,,,,,,291.15,,,,,,,,286.70,279.02,,,321.76,338.81,311.69,312.36,279.13,345.29
2000-08-07 21:45:08.975000,L7,334.91,345.38,352.52,356.73,349.17,354.86,357.78,341.13,327.55,326.25,338.96,331.90,323.55,315.28,333.66,353.08,329.62,308.16,,307.40,307.03,282.75,295.97,304.00,315.85,305.45,311.75,334.54,329.24,356.65,338.55,317.91,318.70,344.00,373.92,357.19,331.94,318.29,315.73,362.34,335.14,340.80,372.68,334.97,307.39,320.26,294.33,285.87,290.45,314.89,358.06,311.36,317.89,364.21,323.10,290.38,,,324.76,331.55,308.84,328.53,311.09,364.83,374.86,326.71,296.05,306.86,318.58,349.87,327.46,358.08,,333.84,296.63,320.25,360.62,358.86,338.12,356.73,324.25,,,343.44,365.78,353.10,349.18,359.59,,,350.28,369.77,355.46,352.25,345.68,,,,,,,,,,,,,288.71,,,,,,,,,,,,,,362.38,,,,,,,,,,,,,,,,,,,,347.80,344.56,,,,,,,,,,279.42,,,,,,,,,,,,,,,,,
2000-08-14 21:51:20.176000,L7,,333.25,349.44,355.46,347.85,356.49,358.44,348.51,325.30,324.04,332.53,331.08,316.44,,,,,,,297.46,302.75,282.00,298.06,305.81,321.58,306.15,318.44,338.01,331.50,342.26,336.38,331.66,331.15,335.57,362.07,352.61,334.45,316.92,316.43,332.50,325.33,327.95,364.37,332.83,311.18,318.19,290.41,,,316.43,355.77,312.80,315.89,358.91,327.12,,,,326.23,323.42,310.88,332.33,310.90,352.79,362.98,321.08,,,,,,,,,,,346.30,330.35,335.22,332.38,327.14,319.96,322.69,359.81,329.35,331.22,347.90,348.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-15 21:50:49.667000,L7,330.62,335.70,349.88,353.85,340.49,345.15,348.97,338.54,318.26,338.59,334.01,327.48,327.04,310.55,316.80,340.57,316.34,303.14,307.06,297.38,299.85,286.04,285.58,301.28,311.68,303.29,312.30,331.38,328.68,338.22,333.75,315.47,321.44,322.37,353.89,348.38,331.34,310.36,309.33,329.63,332.61,339.98,363.12,335.52,304.10,324.31,301.29,316.83,308.95,349.48,340.31,322.38,318.50,366.08,324.30,344.05,302.38,,329.62,334.18,323.34,333.45,350.01,355.18,360.64,340.13,300.24,329.33,311.00,354.37,342.98,345.40,,334.62,310.42,316.71,346.66,335.06,357.73,358.08,330.39,336.82,354.25,352.36,350.38,350.05,344.38,338.37,331.96,347.86,358.62,347.51,346.09,343.20,337.92,359.48,354.69,331.29,322.17,335.15,,,,,,,,,305.36,317.07,,,336.69,310.99,290.49,275.29,,,,,,,,,,,,,,,,,,348.99,,,,,,,,344.60,325.44,,,,,,,,,,,,261.55,,,,,,,,,,,,,,,
2000-10-26 21:44:22.850000,L7,,,343.94,350.17,341.33,340.66,351.34,326.91,318.90,306.06,,,,,,,,,,,,,290.04,296.70,302.72,285.10,308.91,328.98,305.06,341.90,333.07,323.47,307.40,322.18,,337.34,323.85,306.07,303.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.28,328.35,339.18,346.38,331.56,328.92,339.03,338.73,338.61,344.22,354.46,346.54,324.25,331.60,335.41,343.35,336.04,342.89,331.48,,,,313.38,312.93,312.58,302.90,297.62,293.22,286.06,282.43,,275.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.03,334.77,326.89,340.90,327.13,323.66,,309.22,291.00,301.15,,,,,,,,,300.48,,,,,,,,,,
2000-11-02 21:50:37.016000,L7,,,,,,,,,,,,,,,304.48,292.80,284.93,308.76,333.80,,,,,,,,,,,,,,,,,,,,,,294.94,352.83,368.61,360.92,360.83,353.52,365.89,388.46,395.00,388.26,391.52,416.94,404.59,402.25,400.91,400.84,393.50,391.28,405.24,406.70,400.64,399.04,389.23,383.14,380.70,392.22,399.90,386.09,387.37,386.71,384.40,413.44,391.82,388.51,383.45,387.13,390.02,387.17,387.22,389.17,392.12,388.80,388.88,390.27,386.56,387.90,385.27,380.82,341.65,346.36,346.75,352.33,349.84,355.32,348.04,339.16,326.14,341.72,334.54,333.35,327.23,325.44,333.80,335.13,321.00,332.63,365.91,,,,386.55,354.28,333.35,,,,,,,,,,371.54,352.98,364.81,363.81,356.31,397.28,385.11,390.20,388.30,353.45,405.49,411.98,405.94,383.76,382.94,341.28,388.91,386.46,386.75,,,,,,370.25,371.96,340.30,345.89,343.58,,,365.72,,369.43,397.91,369.29,406.08,371.76,285.55,321.02,349.71,,,,,,,
