dates,satname,nzd0467-0000,nzd0467-0001,nzd0467-0002,nzd0467-0003,nzd0467-0004,nzd0467-0005,nzd0467-0006,nzd0467-0007,nzd0467-0008,nzd0467-0009,nzd0467-0010,nzd0467-0011,nzd0467-0012,nzd0467-0013,nzd0467-0014,nzd0467-0016,nzd0467-0017,nzd0467-0018,nzd0467-0019,nzd0467-0020,nzd0467-0021,nzd0467-0022,nzd0467-0023,nzd0467-0024,nzd0467-0025,nzd0467-0057,nzd0467-0058,nzd0467-0059,nzd0467-0060,nzd0467-0061,nzd0467-0062,nzd0467-0063,nzd0467-0064,nzd0467-0065,nzd0467-0066,nzd0467-0067,nzd0467-0068,nzd0467-0069,nzd0467-0070,nzd0467-0073,nzd0467-0074,nzd0467-0075,nzd0467-0076,nzd0467-0077,nzd0467-0078,nzd0467-0079,nzd0467-0080,nzd0467-0081,nzd0467-0082,nzd0467-0083,nzd0467-0084,nzd0467-0085,nzd0467-0086,nzd0467-0087,nzd0467-0088,nzd0467-0089,nzd0467-0090,nzd0467-0091,nzd0467-0092,nzd0467-0093,nzd0467-0094,nzd0467-0095,nzd0467-0096,nzd0467-0097,nzd0467-0098,nzd0467-0099,nzd0467-0100,nzd0467-0101,nzd0467-0102,nzd0467-0103,nzd0467-0104,nzd0467-0105,nzd0467-0106,nzd0467-0107,nzd0467-0108,nzd0467-0109,nzd0467-0110,nzd0467-0111,nzd0467-0112,nzd0467-0113,nzd0467-0114,nzd0467-0115,nzd0467-0116,nzd0467-0117,nzd0467-0118,nzd0467-0119,nzd0467-0120,nzd0467-0121,nzd0467-0122,nzd0467-0128,nzd0467-0129,nzd0467-0130,nzd0467-0131,nzd0467-0132,nzd0467-0026,nzd0467-0027,nzd0467-0028,nzd0467-0051,nzd0467-0052,nzd0467-0053,nzd0467-0054,nzd0467-0055,nzd0467-0056,nzd0467-0123,nzd0467-0124,nzd0467-0125,nzd0467-0126,nzd0467-0049,nzd0467-0050,nzd0467-0127,nzd0467-0015,nzd0467-0029,nzd0467-0030,nzd0467-0031,nzd0467-0032,nzd0467-0033,nzd0467-0036,nzd0467-0037,nzd0467-0038,nzd0467-0039,nzd0467-0042,nzd0467-0043,nzd0467-0044,nzd0467-0045,nzd0467-0046,nzd0467-0047,nzd0467-0048,nzd0467-0071,nzd0467-0072,nzd0467-0133,nzd0467-0035,nzd0467-0134,nzd0467-0034,nzd0467-0040,nzd0467-0041
2002-02-23 22:03:07.400000,L7,302.57,301.92,291.96,296.83,295.53,305.29,306.86,309.68,306.42,315.70,317.14,321.07,311.56,315.79,324.67,,,,,,,,,,,,309.32,313.28,309.12,304.67,300.12,307.68,308.39,304.17,297.09,286.55,,,,,304.55,306.68,319.13,321.09,321.06,322.77,326.47,334.07,333.73,339.98,330.43,323.49,314.79,307.16,309.83,309.09,302.71,302.96,308.63,314.16,307.83,315.97,320.65,331.31,328.33,329.91,315.25,312.09,318.10,321.14,315.07,297.46,,,291.63,294.02,289.42,279.61,283.56,281.15,278.73,280.18,279.60,277.92,282.83,283.01,278.70,276.15,277.82,,,,,,,,,,,,,,,278.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-05 22:01:55.235000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,272.79,297.42,294.85,300.95,300.79,298.13,293.47,294.52,288.08,284.52,285.65,276.57,,,,,,,,,,317.72,316.26,315.21,302.46,318.11,309.47,299.64,274.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-22 22:02:21.568000,L7,332.45,324.75,312.73,312.91,324.88,315.17,328.55,321.26,314.78,320.63,326.11,330.23,322.20,317.26,329.96,,328.70,324.18,326.68,323.53,328.68,325.92,,,,320.68,323.83,321.91,335.20,332.52,321.20,317.73,318.01,308.59,309.27,306.53,308.24,307.93,303.59,293.79,310.32,301.65,320.34,329.72,332.45,336.64,334.55,349.04,341.15,333.33,337.62,329.59,320.29,310.89,322.17,314.36,316.27,311.21,319.39,310.17,306.45,314.37,319.63,332.12,332.41,323.57,306.22,318.52,320.23,322.69,319.22,293.78,302.00,305.96,302.36,294.53,292.67,288.16,290.39,288.09,282.34,286.45,287.76,282.31,285.73,284.18,279.99,279.82,282.02,,,,,,,,,,,290.06,324.93,306.94,322.66,283.35,,,,,,,,,,,,,,,,,,,,,,,,295.38,307.58,,,,,,
2002-12-08 22:02:27.564000,L7,304.14,309.27,297.15,305.99,304.83,305.19,272.97,279.91,280.21,278.28,292.01,292.21,304.52,295.22,268.28,,,,,,,,,,,321.94,320.93,332.84,318.48,319.25,311.08,313.38,311.09,304.27,302.26,299.57,311.37,309.20,304.64,254.88,306.52,301.28,319.29,332.75,327.79,327.49,331.13,347.00,335.88,321.39,326.86,314.73,303.03,283.10,313.94,312.52,309.17,307.90,324.86,307.05,301.44,303.24,316.52,337.04,335.55,329.90,310.95,313.26,315.42,324.07,315.00,284.91,288.41,299.06,298.95,288.80,272.70,280.11,281.64,284.29,275.74,282.52,280.62,279.85,277.88,283.78,278.12,272.49,281.87,,,,,,,,,,,,335.11,307.96,318.13,281.01,,,,,,,,,,,,,414.75,413.20,417.61,,,,,,,,,,,,416.95,,,,
2002-12-24 22:02:33.044000,L7,323.21,327.30,319.28,313.75,329.64,318.49,325.53,336.56,343.80,332.63,341.21,346.92,333.21,332.04,342.58,,328.00,326.27,364.39,340.62,330.91,340.47,324.60,342.01,323.89,336.59,323.51,341.98,327.42,325.60,323.48,326.01,317.93,311.08,306.98,323.08,330.01,319.95,314.11,288.00,312.68,327.07,330.59,335.79,333.10,337.05,340.00,348.53,343.53,342.35,333.29,327.65,305.79,337.00,326.63,319.92,310.67,318.33,322.39,321.95,320.10,319.99,348.63,335.83,340.77,352.43,343.60,346.46,338.95,336.77,340.99,317.99,302.34,306.69,305.35,295.17,281.64,276.43,276.57,275.17,267.85,273.77,279.72,283.64,281.94,281.53,276.17,273.80,277.42,335.86,333.91,332.26,341.60,339.00,,,,,326.86,351.76,343.39,351.32,340.51,,,,,,,,,,,,,,,,,,,,,,,,,,,324.98,,,,,
2003-09-14 21:51:42.461000,L5,337.94,340.85,339.39,336.11,334.02,329.95,342.82,348.67,348.49,350.20,350.97,355.05,347.52,330.51,343.16,,,,,332.94,340.11,344.32,336.17,338.45,,342.97,338.78,341.14,343.11,339.76,348.06,357.93,334.08,347.47,325.30,335.69,324.27,320.03,311.13,292.27,317.99,317.07,338.67,352.82,347.98,355.01,358.94,359.33,362.42,363.44,354.05,349.72,340.52,341.20,342.18,334.29,331.08,344.72,336.72,336.63,344.55,343.88,336.21,347.23,346.19,340.40,327.20,318.37,336.86,334.79,335.23,337.55,364.33,331.75,336.18,328.47,317.42,299.80,304.25,292.50,289.83,295.80,305.10,303.04,292.61,291.18,292.97,282.68,287.58,346.77,349.44,361.38,345.07,347.14,,,,,,,,,328.66,285.29,,,,,,,,,,,,,,,,,,,,,,,,,315.42,339.56,,,,,
2003-11-17 21:52:33.290000,L5,334.62,329.93,324.33,300.70,301.13,305.62,313.84,311.13,312.05,314.24,335.74,341.03,332.41,336.80,342.37,,310.27,316.20,320.79,316.72,318.74,321.20,318.65,,,326.77,332.24,329.81,309.85,312.43,310.03,306.94,307.23,303.10,300.66,318.95,319.83,315.06,303.04,,296.49,289.79,308.07,316.72,317.77,324.90,325.66,349.23,350.68,355.69,346.62,341.54,339.02,335.50,314.32,310.10,306.41,308.13,315.60,312.86,311.45,331.81,333.11,343.89,343.99,343.52,338.92,334.85,317.45,317.67,316.61,309.87,303.74,305.84,301.37,311.49,308.34,297.68,298.22,297.95,286.45,294.49,282.29,283.60,277.17,282.39,271.74,266.03,265.01,342.16,342.86,326.96,321.09,324.11,,,,,323.26,332.02,333.35,302.67,322.07,,,,,,,,,,,,,,,,,,,,,,,,,,,315.39,,,,,
2003-12-03 21:52:43.369000,L5,308.41,321.82,317.99,312.55,314.74,314.26,322.54,321.51,307.64,308.83,313.36,316.90,306.63,309.88,321.29,,,,,,,,,,,311.31,326.30,327.32,324.84,324.24,322.91,321.02,319.54,302.61,297.74,298.16,298.15,,,,308.60,304.07,322.33,332.13,332.41,325.52,324.62,328.71,331.10,336.68,327.09,325.98,335.80,328.22,325.68,325.37,323.64,321.33,329.00,309.65,313.40,313.04,315.68,328.67,328.84,325.79,333.11,329.59,328.90,330.63,330.98,327.88,318.04,309.87,304.18,297.86,289.41,277.39,279.25,286.77,295.43,294.90,298.25,293.84,299.11,296.04,292.39,281.00,269.98,335.22,335.04,336.64,339.47,340.49,,,,,,311.51,316.52,288.07,298.92,280.68,,,,,,,,,,,,,,,,,,,,,,,,,,330.73,,,,,
2004-02-05 21:53:05.047000,L5,346.13,354.75,339.11,342.86,338.75,333.22,331.08,333.77,326.75,332.18,330.57,329.92,332.72,336.12,340.75,,332.08,340.70,341.23,342.45,331.87,339.88,339.77,337.96,306.86,346.12,348.73,345.61,340.79,336.37,338.64,325.66,323.98,321.87,319.48,320.61,319.88,319.83,315.77,306.54,325.85,321.97,336.08,337.27,335.38,335.36,343.43,348.44,347.42,353.36,348.14,346.22,350.59,348.74,347.36,336.97,337.78,331.37,331.76,327.44,332.27,338.07,335.75,344.68,349.87,358.73,359.99,354.24,351.45,347.75,356.94,347.18,320.19,322.66,318.70,316.20,311.56,295.71,307.59,310.77,310.15,313.93,324.40,320.40,317.60,312.89,307.96,309.08,314.51,361.82,364.55,361.36,365.47,357.98,,,,331.48,338.11,341.69,338.14,332.31,344.25,311.10,321.33,328.37,323.19,324.11,342.17,341.47,,,,,,,,,,,,,334.70,337.99,339.55,334.85,332.31,313.06,327.78,356.69,,333.67,,,
2004-07-30 21:56:51.838000,L5,313.49,312.06,303.88,298.74,301.33,300.90,314.90,,,,,,,,,,,,,,,,,,,308.87,305.24,295.12,286.32,300.45,295.93,300.51,294.53,,,,,,,,266.09,290.32,308.74,315.46,311.54,312.24,334.26,335.15,,,,,,,259.54,299.63,298.41,307.41,309.96,300.63,307.36,305.81,277.75,311.19,296.86,305.12,305.90,276.69,274.86,287.01,301.66,306.10,314.12,316.89,314.91,306.99,305.13,292.95,286.97,292.92,273.17,281.11,288.01,285.55,,,,,,,,,,,,,,301.93,328.44,307.55,300.91,281.96,298.12,,,,,285.91,320.42,,,,,,,,,,,,,,,,,,,,,,,,,,
