dates,nzd0467-0000,nzd0467-0001,nzd0467-0002,nzd0467-0003,nzd0467-0004,nzd0467-0005,nzd0467-0006,nzd0467-0007,nzd0467-0008,nzd0467-0009,nzd0467-0010,nzd0467-0011,nzd0467-0012,nzd0467-0013,nzd0467-0014,nzd0467-0016,nzd0467-0017,nzd0467-0018,nzd0467-0019,nzd0467-0020,nzd0467-0021,nzd0467-0022,nzd0467-0023,nzd0467-0024,nzd0467-0025,nzd0467-0026,nzd0467-0027,nzd0467-0028,nzd0467-0043,nzd0467-0044,nzd0467-0045,nzd0467-0053,nzd0467-0054,nzd0467-0055,nzd0467-0056,nzd0467-0057,nzd0467-0058,nzd0467-0059,nzd0467-0060,nzd0467-0061,nzd0467-0062,nzd0467-0063,nzd0467-0064,nzd0467-0065,nzd0467-0066,nzd0467-0067,nzd0467-0068,nzd0467-0069,nzd0467-0070,nzd0467-0072,nzd0467-0073,nzd0467-0074,nzd0467-0075,nzd0467-0076,nzd0467-0077,nzd0467-0078,nzd0467-0079,nzd0467-0080,nzd0467-0081,nzd0467-0082,nzd0467-0083,nzd0467-0084,nzd0467-0085,nzd0467-0086,nzd0467-0087,nzd0467-0088,nzd0467-0089,nzd0467-0090,nzd0467-0091,nzd0467-0092,nzd0467-0093,nzd0467-0094,nzd0467-0095,nzd0467-0096,nzd0467-0097,nzd0467-0098,nzd0467-0099,nzd0467-0100,nzd0467-0101,nzd0467-0102,nzd0467-0103,nzd0467-0104,nzd0467-0105,nzd0467-0106,nzd0467-0107,nzd0467-0108,nzd0467-0109,nzd0467-0110,nzd0467-0111,nzd0467-0112,nzd0467-0113,nzd0467-0114,nzd0467-0115,nzd0467-0116,nzd0467-0117,nzd0467-0118,nzd0467-0119,nzd0467-0120,nzd0467-0121,nzd0467-0122,nzd0467-0128,nzd0467-0129,nzd0467-0130,nzd0467-0131,nzd0467-0132,nzd0467-0133,nzd0467-0134,nzd0467-0046,nzd0467-0047,nzd0467-0048,nzd0467-0049,nzd0467-0050,nzd0467-0051,nzd0467-0052,nzd0467-0123,nzd0467-0124,nzd0467-0125,nzd0467-0126,nzd0467-0127,nzd0467-0015,nzd0467-0042,nzd0467-0071,nzd0467-0029,nzd0467-0039,nzd0467-0040,nzd0467-0041,nzd0467-0038,nzd0467-0030,nzd0467-0031,nzd0467-0032,nzd0467-0033,nzd0467-0034,nzd0467-0035,nzd0467-0036,nzd0467-0037
2004-10-18 21:58:47+00:00,313.31,311.06,300.66,294.975,306.21500000000003,311.07000000000005,307.64666666666665,313.49666666666667,301.055,324.16499999999996,326.95,285.45,316.89,322.14,323.31,315.59,320.88,325.83,331.35,331.4,330.7,339.74,288.28,331.3,,,,,,,314.29,316.51,304.63,293.98,230.765,317.005,308.29333333333335,306.40333333333336,303.03,307.66333333333336,306.07666666666665,306.57666666666665,308.34000000000003,300.78,301.155,291.03,299.63,,,172.13,220.04,286.755,290.83000000000004,310.56,318.245,319.33,314.4433333333333,334.54,333.82666666666665,327.52,323.8333333333333,325.13,325.93,312.4066666666667,306.5,309.63666666666666,307.28666666666663,307.61333333333334,311.1366666666667,320.45,307.82500000000005,310.91499999999996,302.59000000000003,293.385,319.78,310.40999999999997,306.64,297.58000000000004,293.64,314.39,306.44,308.6666666666667,311.47,311.91,314.32,310.41,303.35,284.91,269.4,270.7,271.94,260.77,271.53,281.3,289.23,289.93,285.57,277.24,273.94,272.16,326.49,325.25,324.8,327.83500000000004,326.28,316.35,228.35333333333332,224.09,220.14,,,320.98,319.89,333.83000000000004,275.19,268.36,268.68,253.77,,,,,,,,,,,,,,,,,
2005-02-23 22:00:55+00:00,318.23,318.97,311.395,299.73,315.145,320.29,325.83,318.75,324.32,322.33,327.06,,316.89,322.14,323.31,315.59,320.88,325.83,331.35,331.4,330.7,339.74,288.28,331.3,,,,,319.89,329.35,318.435,323.96,319.87,325.47,291.96999999999997,324.1,324.13,322.525,318.475,326.745,322.74,322.20500000000004,318.45,310.39,314.83500000000004,303.56,299.63,316.23,312.04,182.805,235.83999999999997,301.59000000000003,302.20000000000005,321.415,321.71,329.52,330.54,333.71,337.32,333.25,332.62,335.46000000000004,331.58500000000004,312.54,306.5,312.89,317.4,315.18,317.41,320.45,315.35,319.51,310.82,311.5,320.83,324.13,311.03,307.86,293.64,314.39,324.43,323.9,311.47,318.91,314.32,315.49,307.19,297.05,279.53,283.565,282.265,274.105,280.355,287.82500000000005,293.375,294.37,293.495,282.70500000000004,280.88,278.09000000000003,326.49,325.25,324.8,333.41,332.89,326.23,236.60000000000002,224.09,220.14,,,,339.72,337.475,281.315,279.05,278.65999999999997,267.76,245.9,,,,,,,,,,,,,,,,
2005-03-11 22:01:07+00:00,320.57666666666665,321.90000000000003,315.2766666666667,311.65999999999997,317.15333333333336,321.8066666666667,325.83,324.885,324.32,327.595,327.06,,324.885,327.655,330.78,325.625,327.04499999999996,328.525,331.35,335.77,335.66499999999996,342.375,314.9,338.66499999999996,340.95,336.23,325.36,337.18,326.78999999999996,331.38,323.49,323.96,325.8333333333333,325.175,305.64,327.38,327.25333333333333,326.2366666666667,321.5333333333333,327.23,325.5233333333333,324.0733333333333,318.45,315.48,316.31666666666666,312.04499999999996,299.63,317.235,310.26,186.34666666666666,239.58,306.56,304.7866666666667,321.415,321.71,331.72666666666663,330.54,333.71,337.32,333.25,332.62,338.11,333.01,323.85,306.5,312.89,317.4,315.18,317.41,320.45,324.535,319.51,310.82,311.5,320.83,324.13,311.03,307.86,315.25,314.39,324.43,323.9,311.47,318.5733333333333,316.935,315.59999999999997,307.65333333333336,298.62,278.8066666666667,284.87333333333333,283.1033333333333,276.18666666666667,281.7633333333333,288.56666666666666,291.9166666666667,292.1366666666667,291.06,282.72333333333336,282.0933333333333,279.68666666666667,326.49,325.25,324.8,333.41,332.89,328.7066666666667,236.60000000000002,224.09,220.14,,,,340.93,337.475,279.9766666666667,280.59999999999997,280.64000000000004,270.49333333333334,245.79000000000002,324.0,,,,,,,,,,,,,,,
2005-04-12 22:01:18+00:00,324.14,323.6775,318.82500000000005,316.21666666666664,317.15333333333336,321.8066666666667,328.995,329.1666666666667,329.67499999999995,332.4766666666667,333.83500000000004,,324.885,327.655,334.48,327.6433333333334,327.04499999999996,331.78333333333336,331.35,337.81666666666666,337.21999999999997,344.57666666666665,324.5733333333333,323.18666666666667,343.29499999999996,337.26,332.83000000000004,341.08000000000004,330.68,332.9066666666667,326.0075,323.96,330.3525,311.1933333333333,305.64,330.33,329.1675,328.08000000000004,321.5333333333333,328.2175,325.5233333333333,323.9075,318.45,315.48,318.9075,312.04499999999996,310.77,318.7966666666667,311.43666666666667,186.34666666666666,239.58,308.6075,306.8725,324.18333333333334,321.71,333.98249999999996,330.54,333.71,337.32,333.25,332.62,340.08500000000004,334.5075,323.85,306.5,312.89,317.4,315.18,317.41,320.45,324.535,329.405,310.82,311.5,320.83,324.13,311.03,307.86,322.1366666666667,314.39,329.805,323.9,311.47,319.8025,319.59,318.03,310.005,301.415,283.315,288.77750000000003,285.85249999999996,277.4425,284.1925,291.1275,291.6025,293.02250000000004,289.745,282.975,281.975,279.8625,326.49,325.25,324.8,333.41,332.89,328.7066666666667,233.78666666666666,224.09,200.765,,,347.46,341.5133333333333,337.475,279.9075,282.555,282.5625,273.4,243.45666666666668,323.9,,,,,,,,,,,,,,,
2005-11-06 22:02:22+00:00,310.19,308.19,320.61,319.35,319.66,321.72,328.39,327.54,329.0,311.63,313.47,317.21,310.56,315.71,316.47,,328.28,325.08,331.73,333.23,334.38,338.69,312.28,305.6,,,,,,323.91,326.15,322.25,316.14,292.25,311.7,315.11,318.57,331.77,331.65,330.12,326.44,322.42,326.21,320.27,300.13,297.89,299.2,292.12,279.94,192.24,249.44,317.12,303.46,319.99,329.96,332.63,338.66,323.34,330.3,332.39,336.04,323.92,319.62,313.62,325.9,330.97,329.46,328.11,327.07,331.63,327.37,311.0,318.62,319.97,326.94,328.79,323.15,314.89,324.78,332.73,336.07,334.8,328.98,315.26,319.7,297.16,286.37,278.45,269.68,,,,,,,,,,282.43,269.72,321.41,324.21,,339.53,338.68,,240.06,239.4,,,,335.81,320.79,325.59,269.21,272.94,274.49,264.9,,,,,,,,,,,,,,,,,
2006-02-10 22:04:39+00:00,310.19,308.19,320.61,319.35,319.66,321.72,328.39,327.54,329.0,311.63,313.47,317.21,310.56,315.71,316.47,298.19,328.28,325.08,331.73,333.23,309.83,338.69,312.28,305.6,,,,,329.01,323.91,326.15,322.25,316.14,292.25,311.7,315.11,318.57,331.77,331.65,330.12,326.44,322.42,326.21,320.27,300.13,297.89,299.2,292.12,279.94,192.21,246.995,317.12,304.14,319.99,329.96,332.63,338.66,323.34,330.3,332.39,336.04,323.92,319.62,313.62,325.9,330.97,329.46,328.11,327.07,331.63,327.37,311.0,318.62,319.97,326.94,328.79,323.15,314.89,324.78,332.73,336.07,334.8,328.98,315.26,319.7,297.16,286.37,278.45,279.845,299.1,286.21,281.71,290.39,295.15,291.3,290.52,290.09,284.88,282.23,275.725,321.41,324.21,,339.53,338.68,,241.4,239.4,,,,335.81,320.79,325.59,276.90999999999997,278.885,284.74,270.5,244.87,,,,,,,,,,,,,,,,
2006-02-26 22:04:59+00:00,319.935,308.19,320.61,319.35,320.26,321.72,328.39,327.54,329.0,311.63,313.47,317.21,310.56,315.71,316.47,293.07,328.28,325.08,331.73,333.23,302.2133333333333,338.69,312.28,305.6,,340.35,331.94,330.81,331.57,327.785,328.32,322.25,316.14,311.925,321.24,320.97,323.705,331.77,331.65,330.12,326.44,322.42,326.21,320.27,300.13,297.89,299.2,292.12,294.70500000000004,194.2266666666667,248.00333333333333,314.045,304.82666666666665,319.99,329.96,332.63,338.66,323.34,330.3,332.39,336.04,323.92,319.62,313.62,325.9,330.97,329.46,328.11,327.07,331.63,327.37,311.0,318.62,319.97,326.94,328.79,323.15,314.89,324.78,332.73,336.07,334.8,328.98,315.26,319.7,297.16,286.37,278.45,286.43666666666667,296.005,289.725,282.03999999999996,291.625,294.97,292.435,293.09000000000003,296.57,284.88,290.0733333333333,285.80333333333334,321.41,324.21,,339.53,338.68,,241.4,239.4,,334.4,337.13,335.81,320.79,325.59,284.21999999999997,289.5466666666667,284.74,281.9766666666667,244.87,322.23,,213.41,,,,,,,,,,,,,
2006-08-21 22:07:43+00:00,329.68,,,,320.86,,329.43,327.48,332.35,331.72,336.97,333.9,336.33,345.87,350.43,316.405,345.46,341.7,334.89,328.99,277.45000000000005,339.97,332.8,335.27,329.68,340.35,331.94,330.81,327.08,335.16,333.21000000000004,331.48,326.91,331.6,335.13,331.71500000000003,334.61,338.42,333.93,325.0,319.23,319.33,315.49,305.61,307.68,308.63,312.03,320.19,311.505,195.01999999999998,246.9,313.885,305.345,313.69,321.74,328.61,328.63,339.18,341.68,345.73,355.4,348.66,343.75,345.46,342.92,,327.59,316.67,321.09,327.84,320.75,312.61,327.92,320.48,,,332.41,332.82,304.71,338.54,334.45,318.79,301.04,312.13,320.84,312.73,307.96,304.22,297.98,298.92,298.055,287.67,296.095,301.17,300.075,290.58500000000004,295.71500000000003,278.66,291.995,291.02,,,,,330.57,,,272.13,282.71,334.4,337.13,331.8,330.64,335.49,287.015,296.13,290.02,294.98,261.0,327.4,,213.41,,,,,,,,,,,,,
2007-02-13 22:09:11+00:00,,,,,,,329.43,327.48,332.35,330.81500000000005,336.97,333.9,336.33,340.115,350.43,341.14,340.635,337.255,338.0,328.99,304.20500000000004,339.285,331.76,335.57,329.68,309.02,295.46,333.16,328.13,339.56,338.445,335.875,332.625,328.51,335.87,335.795,338.8,337.71000000000004,333.93,325.0,319.23,319.33,315.49,305.61,307.68,308.63,312.03,320.19,313.54,191.78,243.78,318.99,311.615,313.69,321.74,328.61,331.345,339.18,341.68,345.73,355.4,348.66,343.75,345.46,342.92,,327.59,316.67,321.09,327.84,320.75,312.61,327.92,320.48,,,332.41,332.82,304.71,338.54,334.45,318.79,301.04,312.13,320.84,313.74,306.83,302.44500000000005,294.28499999999997,298.525,298.995,294.86,302.33,306.13,306.03999999999996,293.26,293.54499999999996,285.26,279.605,278.375,,,,,330.57,340.0,242.53,300.565,308.67999999999995,331.71,327.4,331.8,330.64,336.85,276.8,282.105,291.725,288.58,272.935,330.03499999999997,,220.51,,,,,,,,,,,,,
2007-09-09 22:07:21+00:00,,,,,,298.33,312.82,,,,322.6,329.33,318.17,323.34,316.85,,,,,,,,,,,,,,,,,316.66,,,,297.93,306.03,,303.92,,,291.23,278.66,289.74,294.31,299.46,283.37,,,172.35,,288.85,287.93,309.15,318.41,328.79,325.26,336.84,331.74,329.15,327.98,331.26,322.55,310.71,289.84,308.07,302.21,298.86,308.67,299.95,298.83,300.53,283.7,,315.23,309.3,297.03,,267.23,,,296.86,298.86,303.38,307.1,308.49,296.85,312.97,282.58,301.69,273.2,268.44,268.94,287.21,279.46,288.7,289.58,287.42,268.17,257.79,,,,,,,222.85,,,,,,,,249.21,262.29,266.92,256.36,,,,,,,,,,,,,,,,,
2008-02-16 22:04:45+00:00,,,,,,298.33,319.765,,333.13,338.91,330.98,329.33,327.47,323.34,316.85,,,,,,,,,,,,,,335.75,335.15,336.87,331.87,,334.69,339.55,318.07,319.66999999999996,330.53,303.92,,,307.44500000000005,278.66,289.74,294.31,299.46,283.37,,314.27,181.99,246.69,299.09000000000003,296.57,309.15,318.41,328.79,325.26,336.84,331.74,329.15,327.98,331.26,322.55,310.71,289.84,308.07,302.21,311.65999999999997,308.67,299.95,298.83,300.53,283.7,,315.23,309.3,297.03,,267.23,,,296.86,298.86,309.43,307.1,317.65,306.75,310.94500000000005,292.47,302.505,289.7,281.53999999999996,282.235,294.445,286.45,293.04999999999995,289.09000000000003,285.275,276.11,274.795,,,,,,330.32,229.665,323.47,339.46,334.15,334.06,,346.3,346.63,269.19,278.235,283.185,273.61,270.03,,,,,,,,,,,,,,,,
2008-10-29 21:57:48+00:00,312.0,319.29,313.11,310.44,309.21,313.58,,315.16,304.49,306.4,313.08,312.5,310.24,310.56,313.66,314.77,296.09,316.75,326.51,324.59,322.05,317.03,311.86,307.47,,,,,,,309.84,320.16,311.22,295.51,,309.79,317.25,320.19,319.41,320.68,318.84,315.58,310.32,298.42,296.07,293.34,,294.48,,205.83,249.12,307.34,301.14,322.08,324.35,327.76,321.12,325.45,325.17,328.32,335.15,329.57,325.73,336.22,323.96,323.15,320.45,316.76,317.74,322.74,310.97,310.79,318.74,319.05,323.97,325.51,322.37,330.16,322.68,320.96,323.3,319.64,317.47,308.94,300.26,298.84,290.02,282.64,274.35,277.11,280.39,280.76,287.82,293.49,291.75,292.44,287.65,281.41,268.32,266.2,320.14,319.66,323.88,331.53,,311.14,230.1,296.22,315.08,317.34,314.86,318.27,314.42,324.38,270.92,269.09,276.49,267.43,239.36,,,,,,,,,,,,,,,,
