dates,satname,nzd0236-0000,nzd0236-0001,nzd0236-0002,nzd0236-0003,nzd0236-0004,nzd0236-0005,nzd0236-0006,nzd0236-0007,nzd0236-0008,nzd0236-0009,nzd0236-0010,nzd0236-0011,nzd0236-0012,nzd0236-0013,nzd0236-0014,nzd0236-0015,nzd0236-0016,nzd0236-0017,nzd0236-0018,nzd0236-0019,nzd0236-0020,nzd0236-0021,nzd0236-0022,nzd0236-0023,nzd0236-0024,nzd0236-0025,nzd0236-0026,nzd0236-0027,nzd0236-0028,nzd0236-0029,nzd0236-0030,nzd0236-0031,nzd0236-0032,nzd0236-0033,nzd0236-0034,nzd0236-0035,nzd0236-0036,nzd0236-0037,nzd0236-0038,nzd0236-0039,nzd0236-0040,nzd0236-0041,nzd0236-0042,nzd0236-0043,nzd0236-0044,nzd0236-0045,nzd0236-0046,nzd0236-0047,nzd0236-0048
2001-08-10 21:42:36.562000,L7,337.66,316.14,333.37,289.67,285.18,282.14,279.99,283.30,283.79,285.29,280.81,280.58,286.90,284.73,290.60,294.88,280.53,271.28,283.37,283.75,294.18,286.44,291.86,308.52,301.39,298.81,291.91,282.27,295.50,286.89,276.44,282.28,293.88,289.55,294.44,305.85,295.02,316.65,322.86,308.65,333.87,330.97,321.10,276.75,270.29,307.06,,,
2001-08-26 21:42:25.671000,L7,340.11,327.04,329.72,301.44,301.25,296.78,299.67,303.93,302.51,302.30,300.58,298.66,305.83,300.07,308.21,315.00,311.58,311.00,317.10,316.20,316.05,321.81,319.18,326.50,320.07,316.49,312.17,305.87,310.02,308.79,305.88,313.06,311.21,310.58,310.60,311.51,307.61,320.12,330.49,321.26,326.60,309.12,303.59,292.21,280.71,287.63,,,
2001-09-02 21:48:29.341000,L7,352.53,326.11,333.65,331.75,340.31,345.46,316.48,324.63,336.25,362.94,,,,,,,,,,,,,,,,,,,,,,,,,,359.24,379.01,364.67,359.84,349.06,344.61,335.22,339.25,323.99,324.35,312.26,300.56,231.36,222.51
2001-09-18 21:48:17.356000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.52,366.84,364.09,367.07,359.86,368.50,381.02,358.57,351.44,357.00,343.38,325.52,327.06,313.74,263.21,243.55
2001-09-27 21:42:05.338000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,323.74,326.90,358.03,317.67,310.69,311.49,345.32,317.07,339.08,332.49,347.86,334.13,328.50,318.98,327.23,322.84,306.22,328.73,299.51,285.36,279.10,,
2001-10-13 21:41:51.963000,L7,333.52,314.83,327.30,319.03,321.17,320.03,333.71,325.11,314.46,320.60,317.15,320.92,328.70,318.96,326.02,331.28,337.38,334.74,338.47,339.08,334.28,331.81,335.82,341.43,338.08,330.04,328.27,324.83,326.90,322.18,318.86,319.98,318.49,319.22,321.62,325.75,327.02,326.89,328.67,325.69,327.08,314.90,306.99,301.87,301.47,291.81,280.56,236.51,236.05
2001-10-20 21:48:09.707000,L7,,,261.51,247.41,253.53,264.35,265.69,273.97,269.45,268.34,266.70,273.42,276.69,273.93,274.33,265.80,272.88,274.88,277.95,275.39,284.24,292.77,298.07,295.30,280.90,275.98,271.98,267.03,282.97,267.79,,,,271.73,274.30,278.09,272.89,284.29,292.19,293.38,286.63,270.17,,,,,,,
2001-10-29 21:41:57.341000,L7,,,,,,,,,,,,,275.17,272.85,271.19,246.81,273.08,273.91,274.67,269.20,277.43,285.05,289.25,285.40,262.65,252.83,241.54,,,,,,,,,,,,,,,,,,,,,,
2002-01-24 21:48:42.967000,L7,345.84,343.70,354.23,351.02,323.98,326.79,331.63,361.65,,367.91,335.96,318.31,319.72,311.91,328.58,336.91,344.51,354.49,325.55,325.27,326.30,342.40,355.35,,,341.30,342.92,316.58,314.18,327.26,,,,,,,,,,,,,,,,,,232.08,243.35
2002-02-02 21:42:30.783000,L7,365.05,372.16,356.02,354.29,356.92,,,363.13,365.55,364.04,369.14,378.50,368.18,360.56,,,,,,,,,,,,,,361.77,354.57,346.15,347.94,340.42,343.39,340.21,341.28,340.74,345.60,356.65,354.75,351.55,341.02,336.76,337.78,332.27,325.49,319.42,319.29,272.31,308.85
