dates,nzd0236-0000,nzd0236-0001,nzd0236-0002,nzd0236-0003,nzd0236-0004,nzd0236-0005,nzd0236-0006,nzd0236-0007,nzd0236-0008,nzd0236-0009,nzd0236-0010,nzd0236-0011,nzd0236-0012,nzd0236-0013,nzd0236-0014,nzd0236-0015,nzd0236-0016,nzd0236-0017,nzd0236-0018,nzd0236-0019,nzd0236-0020,nzd0236-0021,nzd0236-0022,nzd0236-0023,nzd0236-0024,nzd0236-0025,nzd0236-0026,nzd0236-0027,nzd0236-0028,nzd0236-0029,nzd0236-0030,nzd0236-0031,nzd0236-0032,nzd0236-0033,nzd0236-0034,nzd0236-0035,nzd0236-0036,nzd0236-0037,nzd0236-0038,nzd0236-0039,nzd0236-0040,nzd0236-0041,nzd0236-0042,nzd0236-0043,nzd0236-0044,nzd0236-0045,nzd0236-0046,nzd0236-0047,nzd0236-0048,satname
2001-08-26 21:42:25+00:00,,253.14,262.63,257.92,247.43,234.42,240.11,245.16,239.13,,,258.41,252.07,261.65,196.82,201.50666666666666,226.185,225.77499999999998,210.98666666666668,229.14,223.79999999999998,,,246.37,224.67,214.05,217.18,,,,375.14,,,,377.45,,,388.11,,,,,,,,,,,,L7
2001-09-18 21:48:17+00:00,,253.14,262.63,257.92,247.43,234.42,240.11,247.385,242.08499999999998,259.28,240.47,254.07,244.3,253.98,187.11,205.29333333333332,217.67,213.89,203.48000000000002,219.63,220.7266666666667,233.85,224.89,238.62,223.89,210.66500000000002,217.18,,,,375.14,,,,377.45,,,388.11,,,,,,,,,,,,L7
2001-10-20 21:48:09+00:00,,,,,252.32,243.925,251.60500000000002,254.66666666666666,250.96666666666667,263.565,253.69,264.28,259.765,264.21,187.11,215.3775,217.67,213.89,203.48000000000002,219.63,220.7266666666667,233.85,224.89,238.62,223.89,210.66500000000002,240.08,241.21,,,375.14,,,,309.465,,,388.11,,,,,,,,,,,,L7
2002-02-02 21:42:30+00:00,,,,,252.32,243.925,251.60500000000002,253.3275,242.975,260.5933333333333,248.57666666666668,264.28,259.765,264.21,187.11,213.348,212.805,212.52499999999998,205.63333333333333,219.52499999999998,218.485,216.115,224.89,238.62,223.89,210.66500000000002,240.08,237.22500000000002,,,225.53,231.03,231.56,228.28,231.25,,,,,,,,,,,,,,,L7
2002-02-09 21:48:45+00:00,,,,,252.32,243.925,249.59333333333333,251.53400000000002,243.584,257.11,247.0,254.51333333333332,252.23000000000002,244.26,201.92999999999998,222.76000000000002,212.805,212.52499999999998,214.755,219.52499999999998,223.56333333333336,216.115,224.89,230.87,223.11,207.28,262.98,237.22500000000002,,,216.775,224.89499999999998,227.81,226.76,226.39666666666668,,,,,,,,,,,,,,,L7
2002-02-18 21:42:30+00:00,,244.0,262.42,243.47,253.52499999999998,240.3033333333333,252.03,251.53400000000002,244.67499999999998,257.62,247.644,252.5875,252.79250000000002,243.875,216.405,222.76000000000002,212.805,212.52499999999998,214.755,219.52499999999998,223.56333333333336,216.115,224.89,230.87,228.35000000000002,213.7,255.025,240.19333333333336,,,222.71666666666667,227.65333333333334,230.3033333333333,227.84666666666666,225.48250000000002,,,,,,,,,,,,,,,L7
2002-07-19 21:48:09+00:00,,244.0,262.42,243.47,254.73,233.06,268.49333333333334,246.83500000000004,238.38333333333333,253.65666666666664,243.61333333333334,240.895,245.82000000000002,223.54000000000002,245.7,205.23,207.94,211.16,209.94,219.42,211.76,198.38,,,233.59,220.12,247.07,239.685,,,222.71666666666667,227.65333333333334,230.3033333333333,227.84666666666666,220.15,,,,,,,,,,,,,,,L7
2002-09-14 21:41:31+00:00,,244.49,260.9,255.2,259.22,265.95,282.83500000000004,269.86,274.68,272.37,251.91,270.22,271.95,269.24,260.0,225.67,233.42,234.67,222.95,239.46,242.19,232.97,244.61,241.89,242.32,233.94,222.57,,,,,,,,,,,,,,,,,,,,,,,L7
2002-11-08 21:47:44+00:00,,244.49,260.9,255.2,250.97500000000002,254.47000000000003,272.3533333333333,262.49,267.52500000000003,264.53999999999996,247.24,263.245,271.95,269.24,256.65999999999997,213.24,252.5,239.865,204.78,239.46,242.19,248.945,238.34,253.78,246.565,239.91,233.965,207.14,,,,,,,,,,,,,,,,,,,,,,L7
2003-01-11 21:48:14+00:00,,244.49,260.9,255.2,250.97500000000002,254.47000000000003,272.3533333333333,256.63,252.5,259.23,244.12,263.245,271.95,269.24,256.65999999999997,213.24,252.5,239.865,204.78,239.46,242.19,248.945,238.34,253.78,236.92999999999998,235.34,232.10666666666665,215.99,,,229.1,238.73,227.75,223.36,222.84,,,,,,,,,,,,,,,L7
2003-03-16 21:48:34+00:00,,239.59,265.55,237.66,246.225,242.99,251.39,250.015,241.41,252.66000000000003,240.22500000000002,249.89,238.8,,253.32,200.81,271.58,245.06,186.61,,221.38,251.745,232.07,265.67,234.23499999999999,236.04,236.87499999999997,215.99,,,229.1,238.73,227.75,223.36,222.84,,,,,,,,,,,,,,,L7
2003-05-03 21:48:37+00:00,,239.59,265.55,237.66,246.225,242.99,251.39,250.015,241.41,252.66000000000003,240.22500000000002,249.89,238.8,,253.32,205.19,271.58,227.09,204.37,,221.38,251.745,232.07,265.67,234.23499999999999,236.04,236.87499999999997,215.99,,,229.1,238.73,227.75,223.36,222.84,,,,,,,,,,,,,,,L7
2003-07-23 21:30:14+00:00,370.35,301.22,310.605,295.075,249.72,,,,,,,243.51,238.8,,,209.57,,209.12,222.13,,221.38,303.135,,,,,,,371.1,354.27,,359.43,367.18,364.81,369.18,367.35,376.93,369.22,381.78,374.51,370.83,360.21,361.69,354.04,354.29,344.57,352.12,321.11,336.07,L5
2003-08-15 21:36:48+00:00,356.725,309.27333333333337,315.53333333333336,301.24333333333334,276.71,301.73,301.2,307.87,311.08,308.97,312.37,281.005,279.83000000000004,322.74,322.29,264.45,325.64,268.85,275.57,327.69,277.9,314.04,332.26,335.22,329.54,329.88,323.65,320.27,347.74,339.27,319.11,340.14,347.39,348.495,350.315,348.96000000000004,356.96000000000004,353.82500000000005,361.195,357.48,353.855,348.19,345.45500000000004,331.70500000000004,354.29,324.435,352.12,321.11,336.07,L5
