dates,satname,nzd0492-0000,nzd0492-0001,nzd0492-0002,nzd0492-0003,nzd0492-0004,nzd0492-0005,nzd0492-0006,nzd0492-0007,nzd0492-0008,nzd0492-0009,nzd0492-0010,nzd0492-0011,nzd0492-0013,nzd0492-0014,nzd0492-0015,nzd0492-0016,nzd0492-0017,nzd0492-0018,nzd0492-0019,nzd0492-0020,nzd0492-0012
1999-08-26 22:07:32.686000,L7,327.64,318.40,327.77,343.58,341.22,320.96,322.35,324.32,322.11,320.94,315.51,332.40,280.68,292.91,294.41,321.84,355.98,335.09,329.71,396.01,
1999-12-16 22:07:33.708000,L7,,276.94,284.14,303.81,303.43,299.02,314.27,297.90,296.21,302.65,299.95,261.26,,,,,,,,,
2000-05-08 22:06:44.900000,L7,323.53,289.80,353.44,355.08,338.86,313.00,360.67,326.52,323.47,321.78,319.69,309.82,,,,,,,,279.40,
2000-06-25 22:06:19.852000,L7,325.73,324.08,356.69,383.40,383.50,373.63,367.87,365.83,385.12,367.89,320.30,326.58,,366.15,366.35,371.75,377.48,325.83,369.77,368.23,
2000-07-11 22:06:05.496000,L7,314.01,294.15,297.29,336.36,324.77,,308.03,314.53,311.09,310.07,313.69,313.81,,,,,,,,,
2000-07-27 22:05:48.258000,L7,330.55,360.52,349.72,356.90,370.08,268.99,321.97,362.29,319.24,319.24,327.59,320.29,,292.71,295.73,349.58,368.35,316.98,346.93,358.57,
2000-08-03 22:11:31.842000,L7,329.70,292.93,319.03,336.32,326.89,,317.68,329.10,327.91,309.18,321.88,311.45,,273.99,282.22,316.05,342.64,302.82,343.89,343.82,
2000-08-12 22:05:41.803000,L7,329.29,380.51,374.52,377.67,375.06,368.76,355.94,327.00,296.22,268.99,,,,,,326.32,307.43,311.10,344.90,264.70,
2000-09-20 22:11:14.930000,L7,331.77,311.84,314.98,360.52,381.99,379.72,341.94,336.30,341.55,326.74,323.65,294.22,273.86,283.54,287.98,326.12,353.53,327.85,342.35,338.43,
2000-12-18 22:05:01.704000,L7,330.72,270.82,278.76,358.63,360.51,337.74,316.86,317.67,331.10,304.09,347.42,,,,,,,,,,
2001-01-03 22:05:00.181000,L7,357.30,373.24,370.61,,,,,,,,,,325.50,300.56,333.81,353.36,351.13,375.30,328.73,339.36,337.23
2001-02-20 22:05:00.525000,L7,400.91,276.93,280.80,298.16,305.09,306.22,315.99,291.31,306.68,328.00,305.24,311.90,282.79,284.07,294.39,299.29,298.84,308.08,296.24,294.19,
2001-04-09 22:04:41.882000,L7,328.19,366.65,372.90,366.06,351.28,351.83,326.18,348.63,333.41,349.45,347.68,350.26,368.84,362.42,359.83,,,357.10,352.49,360.04,
2001-07-14 22:03:57.537000,L7,320.74,293.35,332.94,335.73,329.64,375.10,360.79,356.67,362.47,364.87,374.69,379.14,372.41,383.48,372.08,368.60,381.02,371.63,319.84,356.21,
2001-08-15 22:03:26.328000,L7,318.72,302.18,285.02,339.47,319.18,301.15,313.03,320.17,313.34,321.21,315.24,327.58,,,,,,,,,
2002-02-23 22:03:31.354000,L7,333.93,340.32,330.40,347.97,356.78,364.70,357.45,342.63,335.62,357.00,385.68,345.34,290.93,293.84,306.68,335.77,347.14,356.07,390.63,367.37,
2002-03-11 22:03:31.366000,L7,329.09,287.21,295.86,322.53,327.94,313.04,317.67,330.30,321.01,337.21,307.95,283.61,,,,,,,,,
2002-04-12 22:03:25.302000,L7,323.44,282.81,330.92,339.68,331.59,313.42,331.39,339.52,320.14,341.36,325.46,359.06,289.47,291.70,297.00,323.03,350.82,317.85,330.40,356.31,
2002-05-14 22:03:19.418000,L7,331.34,337.63,370.33,359.78,356.56,321.66,327.57,366.79,325.48,352.83,337.28,330.21,,390.41,355.85,364.38,357.26,320.40,346.86,361.14,
2002-05-30 22:03:13.672000,L7,,,,,,,314.03,342.94,308.11,296.65,314.50,284.95,,,,,,,319.35,345.36,
2002-06-15 22:03:07.576000,L7,326.23,309.95,346.94,343.69,374.17,,377.76,368.11,316.73,333.43,320.28,327.82,,278.65,336.49,334.93,340.82,327.57,382.41,372.24,
2002-11-22 22:02:45.529000,L7,339.73,345.51,347.23,344.73,389.53,,,,,,,,347.37,333.51,305.33,353.76,358.43,351.04,352.29,343.76,
2002-12-24 22:02:57.022000,L7,338.90,339.37,277.92,299.09,297.35,350.28,318.32,346.01,337.76,334.10,339.16,303.12,274.82,284.55,290.45,290.13,303.60,310.07,294.24,292.45,
2003-08-13 21:51:32.649000,L5,314.74,295.23,296.73,324.53,324.15,,308.74,323.19,322.85,314.32,320.89,341.21,,,,273.07,331.88,317.79,320.42,314.79,
2003-08-29 21:51:49.928000,L5,335.74,311.20,313.38,335.25,335.84,325.41,316.71,321.49,323.14,316.25,318.61,337.05,,272.18,281.61,301.58,337.59,332.71,327.20,308.04,
2003-09-30 21:52:18.101000,L5,344.24,323.21,329.80,340.32,347.47,347.76,341.48,342.75,339.68,344.78,339.62,348.07,320.90,324.85,340.05,344.66,353.86,366.28,377.00,353.23,349.94
2003-11-17 21:52:57.120000,L5,330.82,306.39,300.55,316.96,319.81,317.46,312.23,307.84,331.03,332.07,331.84,337.16,294.90,304.19,308.49,302.54,325.81,326.90,320.47,314.73,
2004-06-28 21:56:28.308000,L5,326.28,308.24,311.88,338.13,336.58,307.69,317.11,332.38,322.05,316.71,325.45,335.03,,,,,,,333.82,332.92,
2004-07-30 21:57:15.668000,L5,345.88,343.01,352.13,365.04,371.23,373.51,347.57,362.44,355.56,369.82,350.57,368.80,289.25,376.40,355.08,376.83,363.00,377.81,371.96,353.78,
2004-08-15 21:57:37.379000,L5,354.78,335.68,341.44,356.71,353.02,358.33,343.97,347.66,351.96,363.15,343.67,368.44,323.26,335.04,348.95,347.83,371.79,374.05,369.73,363.38,
2004-10-18 21:59:11.702000,L5,349.28,319.40,317.84,338.75,343.06,339.81,335.81,331.82,333.31,324.38,326.24,338.63,281.63,292.90,298.58,311.63,345.49,344.65,339.54,331.79,
2005-03-11 22:01:31.683000,L5,360.30,354.71,354.64,367.01,373.06,363.84,359.68,357.42,359.34,375.41,358.84,368.69,353.41,358.85,353.23,364.58,385.69,374.39,376.16,359.66,349.53
2005-04-12 22:01:42.862000,L5,358.47,339.37,352.63,352.85,352.53,356.48,344.94,346.23,350.52,366.91,347.69,365.54,348.42,343.30,347.36,344.99,365.15,371.68,360.51,351.66,327.74
2005-04-19 22:07:31.266000,L5,362.58,346.07,349.49,359.77,359.47,358.70,,,,,,,,,,,,,,,
2005-06-22 22:07:59.036000,L5,,,363.47,374.80,375.58,355.02,346.39,360.33,,,,,,,,,,,,,
2005-09-19 22:02:44.739000,L5,322.73,301.53,289.13,290.74,307.22,310.20,306.43,298.04,304.14,299.75,297.27,256.46,,,,,,,,,
2005-10-05 22:02:41.026000,L5,354.92,346.46,352.39,356.21,353.93,353.49,340.62,345.94,346.01,368.81,347.25,367.59,352.82,360.66,362.41,366.33,368.42,368.07,367.29,360.21,349.60
2005-11-06 22:02:46.848000,L5,363.19,368.13,366.12,366.91,367.70,366.74,361.25,364.11,354.09,359.86,348.22,361.92,359.53,354.24,362.22,390.79,,,,,366.81
2006-02-26 22:05:22.928000,L5,336.54,314.04,316.19,327.57,324.63,330.29,339.42,325.67,338.38,343.99,335.09,350.68,301.13,304.31,308.48,317.16,326.77,330.17,320.31,313.93,
2006-03-14 22:05:42.635000,L5,338.19,304.35,312.32,331.18,325.87,316.74,338.23,334.48,340.82,341.69,337.42,348.44,305.73,301.68,310.08,312.32,333.16,336.11,315.75,306.63,
2006-04-15 22:06:18.610000,L5,,,,,,289.10,322.24,317.34,333.15,328.03,324.13,339.97,303.63,314.56,315.32,329.54,342.37,339.15,316.39,288.23,
2006-08-05 22:07:55.109000,L5,,,,,,,308.15,322.66,311.42,300.97,311.16,322.87,,,,275.00,338.54,327.39,318.60,318.57,
2007-09-09 22:07:45.163000,L5,361.09,355.75,356.63,370.73,368.22,360.99,357.05,355.97,356.93,354.91,352.21,365.06,339.69,344.34,342.93,340.98,350.19,348.49,347.85,348.13,359.03
2007-09-16 22:13:28.554000,L5,346.07,322.17,323.53,345.77,345.48,342.18,337.28,333.80,328.95,327.45,323.70,338.93,289.95,293.09,302.15,323.32,321.10,336.31,341.87,335.77,
2008-11-14 21:57:52.281000,L5,336.55,310.35,310.64,327.87,334.16,332.91,325.65,318.80,325.59,320.46,321.52,329.01,275.30,286.36,294.80,308.41,337.86,341.75,329.97,325.28,
2009-01-17 21:59:44.398000,L5,324.24,301.21,300.85,315.46,316.73,316.08,314.28,309.81,321.83,320.40,319.43,320.95,,,,,,312.20,315.43,316.99,
2010-02-05 22:05:29.575000,L5,324.34,290.30,294.18,321.63,328.88,323.84,316.96,315.82,324.15,321.70,322.05,317.32,,,,,,,,,
2010-10-26 22:10:38.745000,L5,342.64,321.79,322.29,329.03,317.87,313.24,314.64,293.91,,,,,,292.06,303.02,321.71,348.94,346.01,333.97,318.02,
2010-11-27 22:10:11.883000,L5,,,,,,326.41,321.18,317.16,329.05,335.71,334.94,340.82,,,,,,,,,
2010-12-13 22:10:13.376000,L5,334.21,315.70,310.23,321.41,329.90,326.27,315.22,304.39,322.24,322.69,313.93,325.62,296.15,307.08,318.24,328.89,349.81,343.63,328.78,317.51,
2010-12-22 22:04:29.137000,L5,333.65,306.82,303.93,314.37,,,,,,,,,300.71,304.27,302.46,302.16,312.42,320.64,319.06,315.03,
2011-03-12 22:04:31.079000,L5,334.81,311.68,313.72,331.06,,,325.19,320.54,328.62,328.99,326.31,332.50,303.14,307.90,312.13,317.35,342.16,339.30,332.41,331.42,
2013-05-11 22:22:18.973000,L8,329.49,283.29,293.72,315.60,323.48,314.73,312.24,308.89,311.99,308.24,309.54,314.71,,284.43,292.84,302.61,318.84,301.64,310.78,308.37,
2013-05-11 22:22:42.945000,L8,328.17,281.79,292.20,314.44,322.27,312.68,311.41,307.64,311.22,306.96,308.18,312.93,,278.68,276.49,301.04,316.87,298.55,309.53,306.77,
2013-06-28 22:22:44.910000,L8,335.58,306.58,325.16,327.56,331.50,321.19,321.79,319.00,318.01,320.79,318.95,326.34,316.25,311.38,324.25,334.02,340.43,326.51,326.46,329.08,
2013-07-07 22:16:35.929000,L8,323.93,285.20,289.68,317.32,318.83,,,,,,,,,,,,,,,,
2013-07-23 22:16:34.633000,L8,332.22,289.74,300.24,323.00,325.10,318.16,316.77,329.38,316.61,339.78,313.05,329.45,300.04,299.60,305.57,317.24,335.39,318.02,321.21,328.74,
2013-08-08 22:16:37.441000,L8,314.77,278.19,286.49,313.32,315.77,297.25,287.98,298.37,287.06,281.84,,,,,,,,,,,
2013-08-31 22:22:26.282000,L8,331.71,316.56,322.14,329.49,330.87,322.83,318.07,329.76,322.37,336.07,321.18,334.55,309.82,320.53,325.48,350.91,360.80,355.62,350.88,340.92,341.68
2013-08-31 22:22:50.245000,L8,330.21,300.46,318.90,327.71,329.15,321.11,316.11,327.71,319.97,333.80,318.94,331.82,308.13,315.29,322.14,347.55,358.71,350.58,348.71,339.54,341.10
