dates,nzd0567-0000,nzd0567-0001,satname
2017-03-21 22:06:52+00:00,185.70666666666668,180.02666666666667,L8
2017-03-28 22:13:00+00:00,185.70666666666668,180.2575,L8
2017-04-06 22:06:45+00:00,186.3,180.2575,L8
2017-04-22 22:06:36+00:00,177.8225,178.15333333333334,L8
2017-06-09 22:06:54+00:00,177.20999999999998,178.15333333333334,L8
2017-06-25 22:06:59+00:00,176.114,178.15333333333334,L8
2017-08-28 22:07:19+00:00,175.73600000000002,177.4466666666667,L8
2017-11-16 22:07:28+00:00,179.3325,181.53,L8
2018-03-15 22:12:34+00:00,182.79,180.82,L8
2018-03-31 22:12:27+00:00,184.70499999999998,180.82,L8
2018-04-25 22:06:26+00:00,184.09666666666666,180.82,L8
2018-05-02 22:12:33+00:00,185.4875,182.00333333333333,L8
2018-05-27 22:06:04+00:00,177.905,181.01999999999998,L8
2018-06-28 22:06:16+00:00,172.796,181.01999999999998,L8
2018-08-31 22:06:47+00:00,174.80499999999998,181.6833333333333,L8
2018-11-10 22:13:20+00:00,163.2233333333333,179.94,L8
2018-12-21 22:07:06+00:00,168.60499999999996,180.46,L8
2019-03-02 22:13:05+00:00,182.63,179.63,L8
2019-03-18 22:12:59+00:00,185.57,180.5825,L8
2019-04-03 22:12:56+00:00,186.18666666666664,180.864,L8
2019-05-21 22:12:39+00:00,176.635,181.8625,L8
2019-06-06 22:12:47+00:00,170.432,181.8625,L8
2019-07-17 22:07:10+00:00,174.09666666666666,183.965,L8
2019-08-02 22:07:17+00:00,175.80571428571426,184.32,L8
2019-08-18 22:07:23+00:00,176.21875,183.87666666666667,L8
2019-09-19 22:07:32+00:00,175.31285714285715,184.56,L8
2019-09-26 22:13:21+00:00,175.31285714285715,183.72333333333333,L8
2019-10-28 22:13:48+00:00,173.295,183.02833333333334,L8
2019-11-29 22:13:43+00:00,178.78666666666666,183.02833333333334,L8
2020-01-25 22:07:21+00:00,183.412,181.45833333333334,L8
2020-02-10 22:07:16+00:00,183.356,180.66333333333333,L8
2020-02-26 22:07:12+00:00,179.132,180.895,L8
2020-03-13 22:07:06+00:00,180.96666666666667,180.895,L8
2020-05-07 22:12:24+00:00,177.37333333333333,182.8075,L8
2020-06-01 22:06:44+00:00,178.85500000000002,183.078,L8
2020-07-19 22:07:07+00:00,180.68428571428572,183.078,L8
2020-08-11 22:12:59+00:00,179.326,183.7775,L8
2020-10-14 22:13:44+00:00,183.43,182.54500000000002,L8
2021-01-11 22:07:26+00:00,188.44,179.22000000000003,L8
2021-04-17 22:06:54+00:00,154.87,178.36,L8
2021-07-06 22:07:08+00:00,156.01,178.36,L8
2021-09-24 22:07:32+00:00,165.12,,L8
2021-11-02 22:13:50+00:00,174.85333333333332,171.89,L8
2021-11-06 22:14:00+00:00,177.64249999999998,171.89,L9
2021-12-20 22:13:20+00:00,179.19400000000002,171.89,L8
2021-12-21 22:07:31+00:00,181.08666666666667,179.42,L9
2022-01-06 22:07:29+00:00,185.91,179.42,L9
2022-01-14 22:07:27+00:00,185.91,179.83333333333334,L8
2022-01-21 22:13:35+00:00,185.36142857142858,179.93,L8
2022-01-29 22:13:41+00:00,185.36142857142858,179.438,L9
2022-01-30 22:07:22+00:00,184.9775,179.438,L8
2022-02-14 22:13:36+00:00,184.9775,178.87666666666667,L9
2022-02-15 22:07:18+00:00,184.9775,179.07285714285715,L8
2022-04-03 22:12:57+00:00,182.705,179.59625,L9
2022-07-01 22:07:06+00:00,180.068,179.655,L9
2022-08-26 22:07:46+00:00,174.945,183.515,L8
2022-11-06 22:07:39+00:00,184.73,182.55,L9
2022-11-22 22:07:41+00:00,184.49,183.3066666666667,L9
2022-12-23 22:13:47+00:00,184.49,182.0975,L8
2022-12-24 22:07:37+00:00,184.49,182.1,L9
2023-01-08 22:13:48+00:00,175.225,181.27166666666668,L8
2023-01-16 22:13:22+00:00,175.225,180.28142857142856,L9
2023-01-17 22:07:30+00:00,178.20666666666668,180.28142857142856,L8
2023-02-17 22:13:25+00:00,178.20666666666668,179.70250000000001,L9
2023-03-05 22:13:37+00:00,178.20666666666668,178.9975,L9
2023-03-06 22:07:14+00:00,178.20666666666668,179.24,L8
2023-03-13 22:12:59+00:00,181.865,179.836,L8
2023-04-06 22:12:57+00:00,181.865,180.17363636363638,L9
2023-04-22 22:12:51+00:00,183.698,180.5716666666667,L9
2023-06-01 22:12:43+00:00,184.762,180.67363636363635,L8
2023-06-02 22:06:41+00:00,184.762,181.19416666666666,L9
2023-07-27 22:12:38+00:00,182.51749999999998,182.785,L9
2023-07-28 22:07:02+00:00,183.938,182.785,L8
2023-08-13 22:07:07+00:00,183.938,182.91444444444446,L8
2023-08-21 22:07:04+00:00,183.938,183.80888888888887,L9
2023-08-28 22:12:56+00:00,183.938,183.50799999999998,L9
2023-08-29 22:07:14+00:00,183.9333333333333,183.50799999999998,L8
2023-09-30 22:07:21+00:00,179.14666666666668,184.36714285714285,L8
2023-10-31 22:13:33+00:00,178.36333333333334,183.6916666666667,L9
2023-11-17 22:07:27+00:00,179.51999999999998,183.53428571428572,L8
