dates,satname,nzd0097-0000,nzd0097-0001,nzd0097-0002,nzd0097-0003,nzd0097-0004,nzd0097-0005,nzd0097-0006,nzd0097-0008,nzd0097-0009,nzd0097-0010,nzd0097-0011,nzd0097-0012,nzd0097-0013,nzd0097-0014,nzd0097-0015,nzd0097-0016,nzd0097-0017,nzd0097-0018,nzd0097-0019,nzd0097-0020,nzd0097-0021,nzd0097-0022,nzd0097-0024,nzd0097-0025,nzd0097-0026,nzd0097-0027,nzd0097-0028,nzd0097-0007,nzd0097-0023
1999-08-26 22:04:44.971000,L7,,,360.94,345.72,327.59,296.83,300.82,309.59,323.98,400.16,399.96,406.76,406.69,397.70,397.22,393.18,382.95,384.17,389.53,385.81,380.40,389.77,362.83,370.56,369.44,362.43,383.28,303.74,378.70
1999-09-27 22:04:48.949000,L7,392.14,407.57,409.35,394.80,377.07,380.93,382.03,404.67,404.41,407.95,409.54,403.76,405.27,405.39,401.20,392.20,390.33,387.12,381.00,383.66,390.45,395.81,384.71,375.80,382.21,379.23,385.23,,
1999-11-14 22:04:42.286000,L7,417.46,406.58,412.10,394.09,378.57,378.81,387.14,396.39,411.50,413.71,411.73,414.21,416.18,,408.52,395.81,385.93,384.90,381.92,382.82,390.90,391.59,393.98,383.13,388.25,384.89,396.37,388.81,388.42
2000-01-01 22:04:37.439000,L7,,,,,,,,,,,307.49,371.81,333.16,,,,,,,,378.42,347.09,324.69,363.13,318.68,320.58,331.43,,369.01
2000-01-17 22:04:35.821000,L7,,362.70,347.89,325.86,319.97,321.45,320.29,338.88,342.36,345.87,310.89,303.57,298.10,311.31,305.22,401.33,368.66,370.15,371.40,375.86,379.65,365.83,362.85,368.47,372.29,374.86,381.52,330.55,368.01
2000-05-24 22:03:46.662000,L7,387.14,389.42,418.19,396.53,392.00,367.85,377.79,391.33,394.08,406.88,406.98,405.67,402.93,415.22,404.04,391.02,350.20,347.23,310.71,346.95,386.37,388.62,382.77,382.69,376.05,364.03,379.31,391.47,387.41
2000-07-11 22:03:17.779000,L7,,,,,,,,382.54,394.13,376.78,396.09,383.76,365.89,348.70,306.44,306.23,306.76,298.69,298.08,296.45,303.75,386.51,332.67,329.02,338.20,336.46,,411.18,352.82
2000-08-12 22:02:54.094000,L7,,,,,395.39,390.29,397.37,398.23,403.09,403.39,414.14,413.17,412.03,,,,,395.17,389.32,398.30,396.03,392.71,392.24,380.00,382.47,380.70,391.70,397.97,385.05
2000-09-13 22:02:26.190000,L7,388.34,397.35,403.54,398.58,,,,,,,,,,,,,,,377.22,358.65,350.89,341.40,334.02,350.54,409.07,,,,363.65
2000-10-15 22:01:56.204000,L7,,,,,,,,,,,,,,,,,,,,,,,,,83.89,158.61,391.44,,
2001-01-03 22:02:12.432000,L7,,,,,,,,,,,,,,,,,389.71,376.91,394.04,378.26,,,,,,,,,
2001-06-12 22:01:24.980000,L7,,,,369.07,333.30,330.27,342.83,356.31,354.91,315.96,324.76,374.28,388.35,398.63,385.83,391.73,312.47,353.94,329.56,399.79,388.20,384.12,362.89,,69.38,173.60,232.80,340.20,373.69
2001-08-15 22:00:38.680000,L7,,367.86,355.05,339.96,323.94,324.92,327.76,411.69,375.68,385.69,310.86,299.46,300.67,308.11,305.28,307.07,306.93,296.90,299.82,303.71,304.04,306.03,367.63,360.77,362.89,174.17,369.87,331.77,302.77
2001-10-02 22:00:04.650000,L7,,,397.64,347.28,383.29,,,364.52,332.59,372.41,340.88,351.36,,,,,,,,,362.67,328.67,327.81,371.15,394.55,325.12,341.57,336.48,304.14
2001-12-05 22:00:18.987000,L7,,319.44,319.26,293.97,391.36,,,,,,,,389.82,386.08,399.68,392.54,409.33,397.16,384.42,382.59,407.00,378.33,383.51,,,,,,398.80
2002-01-06 22:00:31.992000,L7,,394.41,420.27,349.70,370.43,,369.08,385.84,,,307.39,302.87,353.36,383.60,373.95,355.71,316.40,311.74,305.81,309.40,340.12,415.06,328.15,318.58,356.13,,,377.82,371.82
2002-02-23 22:00:43.620000,L7,284.28,364.20,374.13,353.94,333.45,338.06,337.55,344.02,364.82,356.81,362.37,372.62,371.22,352.48,369.86,373.64,362.28,348.16,352.14,347.60,337.03,347.02,340.12,336.45,340.77,343.41,359.20,382.80,348.68
2002-03-27 22:00:37.575000,L7,323.47,,,,,,,,,,,,,297.65,295.07,295.41,301.45,293.83,289.84,366.92,349.32,,,307.61,313.34,304.45,314.87,,
2002-06-15 22:00:19.658000,L7,,,,,,293.03,320.23,324.90,350.07,342.57,343.42,362.80,353.88,335.00,352.74,320.39,316.61,339.48,372.99,378.48,375.43,362.86,331.12,364.93,360.65,367.72,371.51,326.17,361.01
2002-07-17 22:00:08.747000,L7,,,,,,,,,,,,,,,,,,,,,,,,,245.71,287.45,,,
2002-08-02 22:00:01.321000,L7,,,,,,,,,,,297.73,299.41,294.36,310.25,311.01,303.77,376.68,368.43,333.64,325.89,357.15,407.91,318.78,310.58,333.86,315.30,323.60,,391.80
2002-08-18 21:59:57.690000,L7,,,,388.90,313.64,323.29,325.14,338.83,341.28,358.87,361.28,364.49,313.92,359.45,364.29,347.42,355.61,353.98,347.73,338.13,375.66,378.03,359.11,365.84,356.78,366.18,388.31,329.10,358.82
2002-12-24 22:00:09.147000,L7,,,,,,334.06,335.50,362.84,353.75,,,,,,,,,,,,,,372.17,345.02,314.50,308.09,374.22,350.47,402.24
2003-03-30 22:00:31.029000,L7,340.33,,375.47,343.64,380.15,321.27,329.74,,,390.45,405.74,406.99,350.82,404.73,368.66,352.23,377.76,299.54,377.21,376.77,,,346.88,310.82,309.24,300.53,350.73,346.06,
2003-09-14 21:49:18.766000,L5,368.07,383.41,388.48,362.60,349.91,364.75,365.03,371.42,368.63,371.34,366.68,362.09,360.07,364.24,360.75,358.18,352.49,346.08,352.69,354.12,352.50,349.35,348.88,341.83,339.66,342.04,358.73,364.15,351.11
2003-09-30 21:49:30.432000,L5,372.01,384.12,384.83,360.70,348.66,341.07,342.10,356.22,354.27,355.78,361.07,364.28,359.10,354.99,358.45,358.92,347.77,345.88,338.09,337.48,339.56,338.64,330.59,329.49,323.37,334.79,347.86,348.97,331.71
2003-12-03 21:50:19.675000,L5,,,,,,,279.44,318.51,324.76,322.53,326.53,,,,,,,,,312.02,331.55,321.75,324.81,325.13,319.86,323.45,337.95,286.52,328.05
2004-07-30 21:54:28.143000,L5,,,,,,,,,,,,,,,,,,,,,,,,109.12,207.13,250.75,275.55,,
2004-11-03 21:56:42.977000,L5,,,,,,,,,,,299.52,301.84,308.14,317.20,317.47,318.56,320.08,314.88,313.76,298.79,305.23,307.68,299.10,299.71,291.98,300.90,312.26,,297.66
2005-02-07 21:58:15.209000,L5,,,,,,,,,,,,,,,,,,,,,,,,,103.31,276.09,,,
2005-02-23 21:58:31.621000,L5,,,,,,,,,,,,,,297.89,299.08,302.30,301.85,301.22,301.52,305.60,318.78,314.32,302.62,308.81,295.44,297.48,304.77,,301.16
2005-03-11 21:58:44.158000,L5,,,,,,,,,,,305.27,301.30,295.86,310.94,309.40,308.17,308.26,304.11,300.17,303.60,312.30,312.09,305.45,309.21,303.38,306.80,313.61,,307.68
2005-07-17 21:59:35.576000,L5,,,,,,,,,,,,,296.79,304.17,305.13,305.79,304.42,300.09,307.87,311.10,322.36,320.62,308.64,318.57,306.70,303.79,310.38,,308.83
2005-09-19 21:59:56.928000,L5,,,,,,,,,,,,,292.00,308.83,304.26,297.38,297.28,293.02,295.07,297.36,302.39,307.16,,,288.60,304.20,306.03,,
2005-11-22 22:00:23.113000,L5,,,,,,,,,,,317.54,314.44,295.48,301.95,303.11,303.13,303.43,302.05,299.04,298.79,324.02,319.71,315.38,316.24,305.42,160.56,321.05,,313.78
2006-05-17 22:03:57.969000,L5,,,,,,,,,,,307.32,301.46,295.84,304.33,311.12,308.49,308.71,304.90,301.70,305.29,315.49,315.54,302.29,310.20,300.71,303.93,311.30,,297.81
2006-08-21 22:05:19.629000,L5,,,,,,,,,,,,,,,,,,,,,,,,,224.82,265.73,,,
2007-02-13 22:06:47.368000,L5,,,,,,,,,,,,,,,307.52,305.80,294.90,292.40,294.97,298.34,306.48,307.16,299.96,310.15,301.88,288.93,,,294.87
2009-01-01 21:56:31.615000,L5,,,,,,,,,,,,,,,298.55,300.55,300.98,296.21,298.09,297.43,286.20,310.09,,,281.85,292.39,294.92,,
2009-02-02 21:57:22.411000,L5,,,,,,,,,,,310.41,300.28,297.27,304.00,312.38,303.94,302.15,302.65,304.75,303.16,317.10,312.71,307.14,305.73,298.77,304.42,307.17,,304.25
2011-01-07 22:01:44.406000,L5,378.42,390.92,392.93,371.17,355.82,356.48,365.91,364.18,367.02,375.49,379.48,374.48,378.07,378.72,372.00,363.56,364.60,361.02,365.31,352.52,355.44,351.50,348.05,343.53,345.07,360.77,355.59,359.78,351.96
2011-03-12 22:01:43.554000,L5,,,,,,,,,,,311.29,308.18,305.37,311.99,313.71,311.13,308.93,305.84,305.18,305.05,316.02,314.89,305.86,309.21,301.80,306.29,313.16,,308.63
2011-04-13 22:01:34.017000,L5,400.49,321.27,360.77,314.36,303.37,297.40,307.84,310.59,293.47,,310.60,302.82,308.70,318.60,329.24,329.23,325.53,315.66,317.60,324.72,319.55,323.72,309.96,312.80,307.85,307.33,315.43,302.45,307.34
2013-05-20 22:13:50.559000,L8,,,,,,,,,,291.13,320.65,308.32,313.38,325.04,310.54,313.21,313.28,310.08,307.58,317.62,321.23,325.12,316.53,314.37,309.80,315.61,322.45,,315.02
