dates,nzd0097-0000,nzd0097-0001,nzd0097-0002,nzd0097-0003,nzd0097-0004,nzd0097-0005,nzd0097-0006,nzd0097-0008,nzd0097-0009,nzd0097-0010,nzd0097-0011,nzd0097-0012,nzd0097-0013,nzd0097-0014,nzd0097-0015,nzd0097-0016,nzd0097-0017,nzd0097-0018,nzd0097-0019,nzd0097-0020,nzd0097-0021,nzd0097-0022,nzd0097-0024,nzd0097-0025,nzd0097-0026,nzd0097-0027,nzd0097-0028,nzd0097-0007,nzd0097-0023,satname
1999-08-26 22:04:44+00:00,,,360.94,345.72,327.59,296.83,300.82,309.59,323.98,,,,,,,,382.95,384.17,389.53,,,,,,,,,303.74,,L7
1999-09-27 22:04:48+00:00,,,360.94,345.72,327.59,296.83,300.82,309.59,323.98,,,,,,,,382.95,385.645,385.265,383.66,,,,375.8,382.21,379.23,,303.74,,L7
1999-11-14 22:04:42+00:00,,,360.94,345.72,327.59,296.83,300.82,309.59,323.98,,,,,,,,382.95,385.645,385.265,383.66,,,,375.8,382.21,379.23,396.37,303.74,,L7
2000-01-17 22:04:35+00:00,,362.7,354.41499999999996,335.79,323.78,309.14,310.555,324.235,333.17,345.87,310.89,303.57,298.1,311.31,305.22,,375.805,380.48,380.64333333333326,379.76,,,362.85,372.135,382.21,377.045,388.945,317.145,,L7
2000-05-24 22:03:46+00:00,,376.06,347.89,325.86,319.97,321.45,320.29,338.88,342.36,345.87,310.89,303.57,298.1,311.31,305.22,,359.43,358.69,341.05499999999995,361.405,,,362.85,375.58000000000004,376.05,369.445,380.41499999999996,330.55,,L7
2000-08-12 22:02:54+00:00,,389.42,,,,,,,,,,,,,,,350.2,347.23,310.71,346.95,,,,382.69,376.05,372.365,385.505,,,L7
2001-08-15 22:00:38+00:00,,,355.05,339.96,323.94,324.92,327.76,,375.68,,310.86,299.46,300.67,308.11,305.28,307.07,,,299.82,,,,,360.77,362.89,,369.87,331.77,,L7
2002-03-27 22:00:37+00:00,323.47,,,,,,,,,,,,,297.65,295.07,295.41,,,289.84,,349.32,,,307.61,,,,,,L7
2002-08-18 21:59:57+00:00,323.47,,,,313.64,323.29,325.14,338.83,341.28,358.87,361.28,,313.92,328.54999999999995,329.68,321.415,355.61,353.98,318.78499999999997,,349.32,,,307.61,356.78,366.18,,329.1,,L7
2003-03-30 22:00:31+00:00,340.33,,375.47,343.64,,321.27,329.74,,,,,,350.82,,368.66,352.23,,,377.21,,,,346.88,310.82,,,,346.06,,L7
2003-09-14 21:49:18+00:00,354.2,383.41,381.975,353.12,349.91,343.01,347.385,371.42,368.63,371.34,366.68,,355.445,364.24,364.70500000000004,355.20500000000004,352.49,346.08,364.95,354.12,352.5,349.35,347.88,326.325,339.66,342.04,358.73,355.105,351.11,L5
2003-09-30 21:49:30+00:00,370.03999999999996,383.765,386.655,361.65,349.285,352.90999999999997,353.565,363.82000000000005,361.45,363.55999999999995,363.875,,359.58500000000004,359.615,359.6,358.55,350.13,345.98,345.39,345.8,346.03,343.995,339.735,335.65999999999997,331.515,338.415,353.295,356.56,341.40999999999997,L5
2004-07-30 21:54:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,275.55,,,L5
2004-11-03 21:56:42+00:00,,,,,,,,,,,299.52,301.84,308.14,317.2,317.47,318.56,320.08,314.88,313.76,298.79,305.23,307.68,299.1,,,,275.55,,297.66,L5
2005-02-23 21:58:31+00:00,,,,,,,,,,,299.52,301.84,308.14,307.54499999999996,308.275,310.43,310.96500000000003,308.05,307.64,302.19500000000005,312.005,311.0,300.86,308.81,295.44,297.48,304.77,,299.41,L5
