dates,satname,nzd0278-0000,nzd0278-0001,nzd0278-0002,nzd0278-0003,nzd0278-0004,nzd0278-0005,nzd0278-0006,nzd0278-0007,nzd0278-0008,nzd0278-0009,nzd0278-0010,nzd0278-0011,nzd0278-0012,nzd0278-0013,nzd0278-0014,nzd0278-0015,nzd0278-0016,nzd0278-0017,nzd0278-0018,nzd0278-0019,nzd0278-0020,nzd0278-0021,nzd0278-0022,nzd0278-0023,nzd0278-0024,nzd0278-0025,nzd0278-0026,nzd0278-0027,nzd0278-0028,nzd0278-0029,nzd0278-0030,nzd0278-0031,nzd0278-0039,nzd0278-0040,nzd0278-0041,nzd0278-0042,nzd0278-0043,nzd0278-0044,nzd0278-0045,nzd0278-0046,nzd0278-0047,nzd0278-0037,nzd0278-0038,nzd0278-0050,nzd0278-0051,nzd0278-0052,nzd0278-0053,nzd0278-0058,nzd0278-0059,nzd0278-0060,nzd0278-0061,nzd0278-0032,nzd0278-0033,nzd0278-0034,nzd0278-0035,nzd0278-0048
2002-07-17 22:00:56.550000,L7,299.94,288.43,274.46,252.24,243.51,231.38,227.43,218.79,225.65,218.21,219.59,219.32,237.16,280.65,254.59,245.05,237.51,219.48,227.79,210.58,213.76,234.94,,,,,,,,,,,,,,,293.45,325.34,297.90,357.85,,,,,,,,,,,,,,,,
2002-08-18 22:00:45.601000,L7,,,,,,,,,,,,,,,,,,318.06,317.84,310.96,310.11,294.53,330.80,229.69,260.61,190.65,72.24,121.45,137.07,136.93,175.93,204.16,,,,,,,,,,,,,,,,,,,,213.90,220.14,218.53,203.04,
2002-10-05 22:00:19.390000,L7,,,,,,,,,,,,,,,,214.47,205.11,227.80,256.29,271.81,252.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-22 22:00:45.709000,L7,338.96,309.98,297.68,278.41,263.39,260.64,256.97,249.91,248.24,248.40,254.18,271.58,,285.98,276.30,293.46,287.51,265.83,266.90,276.37,269.10,290.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-01 21:54:40.891000,L7,,,,,183.27,219.08,213.55,196.25,197.40,160.72,205.28,208.26,217.37,226.61,231.56,207.68,233.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-25 22:01:06.704000,L7,282.42,266.05,241.67,233.10,225.37,214.19,206.55,180.22,197.62,166.24,184.75,203.02,208.06,204.72,205.87,212.05,202.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-19 21:55:06.528000,L7,,,,,,,,,201.91,160.47,251.90,247.45,,,,,224.82,219.93,222.02,231.80,254.82,259.58,258.53,201.26,220.25,197.28,215.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-15 22:01:22.014000,L7,,,,,,,,,,,278.69,261.47,290.30,290.55,274.86,278.51,290.26,286.96,274.21,282.50,279.09,283.60,,,,,128.54,129.95,108.85,102.64,91.77,80.84,,,,,,,,,,,,,,,,,,,,76.09,,,,
2003-04-24 21:55:10.390000,L7,,,,,192.69,192.78,207.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-13 21:49:32.784000,L5,258.32,249.08,228.06,221.97,200.88,193.00,199.64,199.53,207.75,199.54,202.34,203.46,207.49,202.45,202.28,208.22,202.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
