dates,nzd0085-0000,nzd0085-0001,satname
1999-09-27 22:04:48+00:00,300.71,292.69,L7
1999-11-14 22:04:42+00:00,303.525,294.69,L7
2000-01-01 22:04:37+00:00,303.525,303.43666666666667,L7
2000-01-17 22:04:35+00:00,303.525,309.8,L7
2000-02-18 22:04:29+00:00,305.24666666666667,300.69,L7
2000-07-11 22:03:17+00:00,308.69,282.87333333333333,L7
2000-10-15 22:01:56+00:00,300.93,274.37,L7
2001-01-03 22:02:12+00:00,309.855,283.38666666666666,L7
2001-03-24 22:01:59+00:00,310.57,297.56666666666666,L7
2001-08-15 22:00:38+00:00,324.95,305.27,L7
2001-10-02 22:00:04+00:00,337.9,293.73499999999996,L7
2001-11-03 22:00:10+00:00,336.2,299.3066666666666,L7
2001-12-05 22:00:18+00:00,324.7,290.34,L7
2001-12-21 22:00:29+00:00,320.8775,290.656,L7
2002-01-06 22:00:31+00:00,320.8775,287.84666666666664,L7
2002-01-22 22:00:40+00:00,326.288,290.5671428571428,L7
2002-03-27 22:00:37+00:00,322.9,287.3042857142857,L7
2002-04-28 22:00:38+00:00,322.9,288.06,L7
2002-06-15 22:00:19+00:00,320.8125,289.34999999999997,L7
2002-07-01 22:00:15+00:00,321.47,289.80833333333334,L7
2002-07-17 22:00:08+00:00,319.418,295.1016666666667,L7
2002-08-02 22:00:01+00:00,319.87199999999996,297.815,L7
2002-08-18 21:59:57+00:00,323.16499999999996,300.55285714285714,L7
2002-10-21 21:59:36+00:00,319.6383333333333,302.365,L7
2003-01-25 22:00:18+00:00,329.8766666666667,320.6033333333333,L7
2003-07-28 21:48:28+00:00,271.6,252.6,L5
2004-09-16 21:55:41+00:00,263.88,243.65,L5
2004-11-19 21:56:55+00:00,265.655,242.03,L5
2005-02-23 21:58:31+00:00,271.43666666666667,246.07000000000002,L5
2005-03-11 21:58:44+00:00,272.7725,246.6575,L5
2005-03-27 21:58:51+00:00,272.4,251.41000000000003,L5
2005-05-30 21:59:15+00:00,275.91249999999997,255.055,L5
2005-07-17 21:59:35+00:00,279.222,257.74,L5
2006-04-15 22:03:30+00:00,264.76,243.08,L5
2006-07-04 22:04:41+00:00,278.755,256.395,L5
2007-02-13 22:06:47+00:00,282.57,259.59,L5
2009-02-02 21:57:22+00:00,278.59,248.16,L5
2011-03-12 22:01:43+00:00,269.3,247.69,L5
2011-09-04 22:00:27+00:00,275.14,253.595,L5
2013-05-20 22:13:50+00:00,291.22,265.02,L8
2013-06-05 22:13:51+00:00,292.57000000000005,267.67999999999995,L8
2013-06-21 22:13:43+00:00,295.55333333333334,270.55,L8
2013-07-07 22:13:48+00:00,293.9375,270.2725,L8
2013-11-12 22:13:32+00:00,294.384,269.95,L8
2013-11-28 22:13:25+00:00,295.836,269.158,L8
2013-12-14 22:13:21+00:00,294.782,265.91600000000005,L8
2014-01-31 22:12:52+00:00,292.59749999999997,259.38,L8
2014-03-20 22:12:13+00:00,294.866,262.166,L8
2014-04-05 22:11:58+00:00,294.15500000000003,260.87833333333333,L8
2014-04-21 22:11:42+00:00,296.64,264.9042857142857,L8
2014-05-23 22:11:18+00:00,298.6842857142857,267.5514285714286,L8
2014-10-14 22:12:02+00:00,298.50333333333333,274.6566666666667,L8
2014-12-01 22:12:00+00:00,285.67,264.58000000000004,L8
2015-01-02 22:11:50+00:00,290.70666666666665,268.84666666666664,L8
