dates,satname,nzd0085-0000,nzd0085-0001
1999-09-27 22:04:48.949000,L7,300.71,292.69
1999-11-14 22:04:42.286000,L7,306.34,296.69
2000-01-01 22:04:37.439000,L7,339.15,320.93
2000-01-17 22:04:35.821000,L7,399.57,328.89
2000-02-18 22:04:29.218000,L7,308.69,264.25
2000-07-11 22:03:17.779000,L7,,255.48
2000-10-15 22:01:56.204000,L7,300.93,293.26
2001-01-03 22:02:12.432000,L7,318.78,301.42
2001-03-24 22:01:59.719000,L7,312.00,298.02
2001-08-15 22:00:38.680000,L7,337.90,312.52
2001-10-02 22:00:04.650000,L7,292.87,274.95
2001-11-03 22:00:10.954000,L7,334.50,310.45
2001-12-05 22:00:18.987000,L7,301.70,263.44
2001-12-21 22:00:29.925000,L7,309.41,291.92
2002-01-06 22:00:31.992000,L7,268.66,273.80
2002-01-22 22:00:40.906000,L7,347.93,306.89
2002-03-27 22:00:37.575000,L7,320.96,289.68
2002-04-28 22:00:38.357000,L7,410.22,280.24
2002-06-15 22:00:19.658000,L7,304.95,293.57
2002-07-01 22:00:15.186000,L7,312.04,294.67
2002-07-17 22:00:08.747000,L7,311.21,305.56
2002-08-02 22:00:01.321000,L7,350.20,323.17
2002-08-18 21:59:57.690000,L7,339.63,316.98
2002-10-21 21:59:36.443000,L7,299.80,265.60
2002-11-06 21:59:41.879000,L7,,259.22
2002-12-24 22:00:09.147000,L7,335.56,314.37
2003-01-25 22:00:18.779000,L7,345.89,321.66
2003-07-28 21:48:28.960000,L5,271.60,252.60
2003-09-14 21:49:18.766000,L5,288.49,271.61
2004-09-16 21:55:41.721000,L5,263.88,243.65
2004-11-19 21:56:55.269000,L5,267.43,240.41
2005-02-23 21:58:31.621000,L5,283.00,254.15
2005-03-11 21:58:44.158000,L5,276.78,248.42
2005-03-27 21:58:51.619000,L5,262.39,262.66
2005-04-12 21:58:55.193000,L5,286.37,238.12
2005-05-30 21:59:15.499000,L5,281.48,254.99
2005-07-17 21:59:35.576000,L5,292.46,268.48
2006-04-15 22:03:30.798000,L5,264.76,243.08
2006-07-04 22:04:41.660000,L5,292.75,269.71
2007-02-13 22:06:47.368000,L5,282.57,259.59
2009-02-02 21:57:22.411000,L5,278.59,248.16
2011-03-12 22:01:43.554000,L5,269.30,247.69
2011-04-13 22:01:34.017000,L5,296.23,277.89
2011-09-04 22:00:27.603000,L5,280.98,259.50
2013-05-20 22:13:50.559000,L8,291.22,265.02
2013-06-05 22:13:51.261000,L8,293.92,270.34
2013-06-21 22:13:43.313000,L8,301.52,276.29
2013-07-07 22:13:48.209000,L8,289.09,269.44
2013-09-09 22:13:49.699000,L8,296.33,271.35
2013-09-25 22:13:41.239000,L8,291.66,265.69
2013-11-12 22:13:32.202000,L8,296.17,268.66
2013-11-28 22:13:25.971000,L8,298.48,261.06
2013-12-14 22:13:21.591000,L8,288.65,254.13
2014-01-31 22:12:52.806000,L8,287.09,253.67
2014-02-16 22:12:38.819000,L8,284.96,250.03
2014-03-20 22:12:13.789000,L8,303.94,273.31
2014-04-05 22:11:58.702000,L8,290.60,254.44
2014-04-21 22:11:42.175000,L8,311.55,289.06
2014-05-23 22:11:18.694000,L8,310.48,287.19
2014-10-14 22:12:02.705000,L8,273.48,247.72
2014-10-30 22:11:58.859000,L8,301.49,278.24
2014-12-01 22:12:00.318000,L8,297.86,281.44
2015-01-02 22:11:50.958000,L8,300.78,277.38
2015-03-07 22:11:30.209000,L8,303.91,281.49
2015-04-24 22:11:08.401000,L8,302.08,274.23
2015-05-10 22:10:52.487000,L8,300.73,271.69
2015-06-27 22:11:10.298000,L8,306.80,287.67
2015-07-29 22:11:25.856000,L8,308.58,285.45
2015-12-20 22:11:57.501000,L8,297.54,264.22
2016-02-22 22:11:42.580000,L8,293.14,260.95
2016-03-09 22:11:40.902000,L8,295.74,266.45
2016-03-25 22:11:32.353000,L8,298.96,265.62
2016-04-26 22:11:21.230000,L8,297.27,272.02
2016-05-12 22:11:20.683000,L8,312.50,295.25
2016-06-13 22:11:30.674000,L8,316.50,307.49
