dates,satname,nzd0106-0001,nzd0106-0002,nzd0106-0003,nzd0106-0004,nzd0106-0005,nzd0106-0006,nzd0106-0007,nzd0106-0008,nzd0106-0009,nzd0106-0010,nzd0106-0011,nzd0106-0013,nzd0106-0014,nzd0106-0015,nzd0106-0016,nzd0106-0017,nzd0106-0018,nzd0106-0019,nzd0106-0020,nzd0106-0021,nzd0106-0022,nzd0106-0023,nzd0106-0024,nzd0106-0025,nzd0106-0026,nzd0106-0027,nzd0106-0028,nzd0106-0029,nzd0106-0030,nzd0106-0031,nzd0106-0032,nzd0106-0033,nzd0106-0034,nzd0106-0035,nzd0106-0036,nzd0106-0037,nzd0106-0038,nzd0106-0039,nzd0106-0040,nzd0106-0041,nzd0106-0042,nzd0106-0043,nzd0106-0044,nzd0106-0045,nzd0106-0046,nzd0106-0047,nzd0106-0048,nzd0106-0049,nzd0106-0050,nzd0106-0051,nzd0106-0052,nzd0106-0053,nzd0106-0054,nzd0106-0055,nzd0106-0056,nzd0106-0057,nzd0106-0058,nzd0106-0059,nzd0106-0060,nzd0106-0061,nzd0106-0062,nzd0106-0063,nzd0106-0064,nzd0106-0065,nzd0106-0066,nzd0106-0067,nzd0106-0068,nzd0106-0069,nzd0106-0070,nzd0106-0071,nzd0106-0072,nzd0106-0073,nzd0106-0074,nzd0106-0075,nzd0106-0076,nzd0106-0077,nzd0106-0078,nzd0106-0079,nzd0106-0080,nzd0106-0081,nzd0106-0082,nzd0106-0083,nzd0106-0084,nzd0106-0085,nzd0106-0086,nzd0106-0087,nzd0106-0088,nzd0106-0089,nzd0106-0090,nzd0106-0091,nzd0106-0092,nzd0106-0093,nzd0106-0094,nzd0106-0095,nzd0106-0096,nzd0106-0097,nzd0106-0098,nzd0106-0099,nzd0106-0100,nzd0106-0101,nzd0106-0102,nzd0106-0103,nzd0106-0104,nzd0106-0105,nzd0106-0106,nzd0106-0107,nzd0106-0108,nzd0106-0109,nzd0106-0110,nzd0106-0111,nzd0106-0112,nzd0106-0113,nzd0106-0114,nzd0106-0115,nzd0106-0116,nzd0106-0117,nzd0106-0118,nzd0106-0119,nzd0106-0120,nzd0106-0121,nzd0106-0122,nzd0106-0123,nzd0106-0124,nzd0106-0125,nzd0106-0012
1999-08-26 22:04:44.971000,L7,300.01,292.73,329.64,327.64,103.09,336.77,311.95,334.50,330.63,326.87,325.55,342.65,340.15,345.08,345.54,344.43,343.37,338.55,338.81,336.65,336.06,334.65,334.53,333.61,340.22,341.39,340.62,318.14,338.91,346.22,343.62,340.50,344.29,342.77,342.52,343.77,340.30,343.30,317.97,342.01,337.66,338.56,344.29,338.84,314.85,302.09,313.56,317.91,315.14,315.30,314.78,313.27,312.83,312.39,310.10,309.12,308.17,307.93,303.46,304.68,307.39,298.04,302.23,305.99,310.84,313.61,310.39,306.78,312.68,309.22,312.93,312.06,312.91,308.56,304.04,307.78,299.81,294.12,300.74,304.16,297.23,296.17,299.90,301.44,305.65,310.35,304.46,296.84,302.15,295.97,284.62,302.76,304.63,302.84,299.12,300.13,291.88,411.59,409.59,403.98,399.59,407.35,403.51,401.30,397.61,398.42,393.70,399.75,397.22,389.86,389.68,395.55,400.25,401.75,401.19,402.89,397.74,395.05,392.66,392.96,394.92,395.23,395.08,379.55,
1999-09-27 22:04:48.949000,L7,,,,15.15,,,,,,,,,,,,,,,,,,,,,395.05,394.40,393.15,394.49,394.62,398.04,328.35,337.19,332.67,328.62,,,,,400.90,398.27,395.29,393.65,399.33,406.40,,,,,,,,,,,,,,,,,370.26,384.82,378.35,389.08,388.45,396.52,385.64,389.61,385.01,387.03,397.13,413.28,381.52,387.91,389.65,388.09,375.77,378.56,363.81,368.47,371.47,370.96,378.11,375.98,383.02,388.74,368.45,369.08,381.58,386.59,372.59,372.30,382.99,379.38,380.06,387.00,397.19,381.36,378.37,376.35,369.42,374.28,373.41,368.80,367.32,366.34,371.70,375.41,374.30,373.34,397.01,319.16,327.26,406.27,406.52,388.14,406.04,391.54,380.33,374.88,370.76,373.05,369.97,361.31,
1999-11-14 22:04:42.286000,L7,,344.31,364.91,368.36,375.53,391.66,321.79,324.04,327.72,327.23,330.63,341.91,336.06,332.31,333.50,334.31,335.43,334.50,335.22,336.62,335.57,334.96,333.50,332.89,332.09,337.20,338.50,337.01,336.75,334.40,342.54,339.02,337.26,341.75,337.45,343.32,336.73,334.45,335.47,338.30,334.57,338.05,332.23,332.89,316.74,301.87,317.19,317.84,316.04,315.79,314.44,314.03,312.12,311.55,309.65,309.22,308.32,312.53,303.46,306.81,309.13,303.81,303.73,307.02,310.46,313.97,309.89,305.52,311.76,308.71,311.28,311.88,313.19,308.44,314.85,309.25,300.04,293.97,318.56,314.32,316.99,319.08,319.56,325.25,329.01,333.85,326.48,325.55,322.81,318.05,323.04,322.03,325.99,327.10,329.40,328.84,320.22,315.86,316.65,322.86,321.56,322.31,326.55,326.86,323.12,327.42,325.87,323.50,328.66,326.19,321.55,328.58,336.64,336.80,330.04,330.43,330.67,329.10,328.11,300.18,332.84,331.70,333.70,323.70,330.07
2000-01-01 22:04:37.439000,L7,,320.10,317.64,341.36,323.67,340.70,335.26,332.99,337.63,343.41,341.77,347.36,347.85,347.89,343.44,343.31,349.92,344.70,316.28,347.39,343.06,343.07,344.87,344.53,306.66,346.77,348.09,350.59,,,,,,,,,,,,,,383.73,350.89,350.08,352.34,,353.55,348.86,350.48,344.75,346.00,307.80,338.10,304.18,331.30,379.06,359.63,354.41,296.16,293.74,295.78,297.17,,,,,295.40,347.74,368.85,358.55,366.66,407.49,,,,332.18,341.11,285.97,326.11,331.12,331.44,336.78,335.36,339.57,344.39,348.92,344.01,337.95,336.50,337.20,330.24,335.50,342.48,344.13,395.20,391.29,390.35,395.49,387.32,383.24,383.06,383.92,374.39,424.83,432.02,446.02,413.14,358.21,350.51,365.90,387.87,,,,,,,,,,,,,,344.57
2000-02-18 22:04:29.218000,L7,,,,359.44,368.74,45.75,340.32,342.34,337.11,334.48,341.40,349.51,350.37,349.27,344.89,349.34,345.71,343.03,346.95,347.62,343.59,342.24,343.43,346.61,386.79,399.64,396.36,391.09,391.15,389.06,391.97,393.57,395.33,388.94,388.86,351.70,388.17,390.10,391.76,383.19,375.92,387.30,387.23,391.02,388.12,380.44,391.05,376.41,387.16,378.06,379.81,375.33,381.54,372.97,375.97,367.90,361.92,367.06,367.82,361.83,367.54,374.30,371.44,366.48,345.35,375.51,380.34,365.98,371.30,379.03,369.63,372.55,373.95,377.38,373.42,370.63,367.95,356.45,355.68,357.26,282.25,284.61,287.83,284.45,289.58,289.43,284.75,282.88,278.03,278.02,365.41,362.34,373.14,377.87,377.36,340.43,359.61,362.14,358.69,355.06,358.56,337.42,355.34,360.17,359.39,360.14,365.05,370.25,364.74,363.87,359.65,368.44,368.02,368.56,370.43,369.23,368.73,367.60,362.88,365.19,,,,,341.95
2000-05-24 22:03:46.662000,L7,,28.75,42.65,,,,,,,,,,,,,,,,,,,,,,332.86,344.04,344.07,346.34,351.21,350.40,348.67,353.09,348.63,349.07,351.62,346.76,346.81,347.19,350.70,345.32,341.86,342.64,348.57,347.29,349.29,342.14,351.44,345.66,350.29,347.95,342.30,339.93,335.15,334.35,333.66,332.68,330.38,334.31,335.15,328.50,331.00,333.03,336.22,340.36,344.16,347.59,346.17,339.93,338.90,342.48,341.91,346.47,340.97,342.44,337.99,336.52,335.02,326.39,323.70,328.51,330.47,333.40,332.94,331.33,335.16,336.99,334.72,331.94,338.14,333.09,331.93,335.48,337.29,339.91,337.36,337.33,333.98,332.73,330.79,328.84,329.10,331.49,335.30,334.00,338.18,335.95,339.13,336.61,339.74,334.40,332.32,336.35,340.42,339.81,339.98,341.68,343.45,340.06,338.70,339.67,343.83,346.58,339.25,331.52,
2000-07-11 22:03:17.779000,L7,261.34,293.87,213.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.71,385.53,369.08,374.71,370.13,369.26,386.15,317.68,,,338.58,318.18,307.89,309.52,399.23,,,,,,,,,,,,,,,317.52,326.32,327.14,329.84,334.90,331.02,330.43,335.25,405.58,401.33,402.87,392.59,394.78,408.40,328.92,326.69,315.72,325.02,320.42,326.58,321.77,323.16,326.52,330.57,331.08,327.91,315.09,,323.35,327.86,330.04,318.89,,,,381.80,352.44,318.06,313.55,324.86,329.23,324.76,332.14,330.11,335.71,334.25,333.08,332.05,346.56,334.62,335.80,342.10,339.01,336.70,326.06,,,,,,,,,
2000-09-13 22:02:26.190000,L7,,,,,,,,,,,376.79,,359.97,303.05,302.90,309.09,,,,,,,,,,386.74,339.54,321.42,366.83,354.03,394.79,349.95,368.13,360.66,375.17,374.29,372.12,305.01,308.26,308.59,341.57,366.62,346.29,310.59,311.50,296.70,296.77,297.77,291.94,306.81,305.42,308.02,318.64,303.70,295.20,298.43,302.43,311.65,306.91,335.45,,,299.71,301.84,296.63,306.27,301.52,298.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.18
2000-10-15 22:01:56.204000,L7,,102.49,361.57,330.57,323.99,332.01,329.11,323.16,323.11,326.74,327.85,381.63,382.94,383.24,384.81,386.59,389.45,383.58,382.34,378.64,376.62,380.91,323.00,322.84,328.02,329.55,326.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.29,360.96,369.05,375.13,364.14,361.68,312.32,290.79,296.05,311.41,322.90,347.26,355.23,350.78,346.77,350.18,354.71,365.38,359.86,359.95,361.92,,,,,,,,329.18,305.70,322.49,320.32,320.31,319.38,323.30,320.27,325.10,328.00,325.79,325.67,320.24,321.78,321.42,321.75,328.22,303.21,306.06,308.50,302.24,297.97,303.32,301.12,301.28,305.67,304.91,306.15,305.63,294.37,389.41
2001-01-03 22:02:12.432000,L7,347.62,295.84,347.76,334.21,341.35,345.56,337.38,335.10,330.64,332.58,330.94,341.43,336.86,331.29,333.20,335.13,341.14,341.76,329.77,330.44,337.31,335.62,333.47,333.13,336.42,337.40,337.69,338.32,338.58,340.96,342.89,339.62,346.20,343.02,337.04,344.11,337.61,334.77,336.16,329.21,335.52,339.43,334.01,336.12,314.69,299.88,313.47,316.87,314.29,313.41,311.28,309.17,308.61,306.04,304.09,303.85,306.92,304.02,301.78,303.56,299.36,297.60,300.33,305.11,308.73,313.01,308.81,304.35,303.56,308.76,308.17,309.44,301.56,300.52,302.45,304.22,296.63,290.86,321.90,326.38,318.52,323.05,322.18,323.77,329.01,335.09,329.16,330.54,331.78,320.81,324.76,331.99,337.92,340.86,333.74,335.24,331.25,329.24,328.18,325.95,326.35,330.48,336.31,327.51,328.12,332.61,328.08,336.41,334.24,329.99,331.54,334.62,341.41,338.51,337.32,335.88,336.36,336.80,335.24,332.74,333.39,336.21,354.39,355.22,330.80
