dates,nzd0106-0001,nzd0106-0002,nzd0106-0003,nzd0106-0004,nzd0106-0005,nzd0106-0006,nzd0106-0007,nzd0106-0008,nzd0106-0009,nzd0106-0010,nzd0106-0011,nzd0106-0013,nzd0106-0014,nzd0106-0015,nzd0106-0016,nzd0106-0017,nzd0106-0018,nzd0106-0019,nzd0106-0020,nzd0106-0021,nzd0106-0022,nzd0106-0023,nzd0106-0024,nzd0106-0025,nzd0106-0026,nzd0106-0027,nzd0106-0028,nzd0106-0029,nzd0106-0030,nzd0106-0031,nzd0106-0032,nzd0106-0033,nzd0106-0034,nzd0106-0035,nzd0106-0036,nzd0106-0037,nzd0106-0038,nzd0106-0039,nzd0106-0040,nzd0106-0041,nzd0106-0042,nzd0106-0043,nzd0106-0044,nzd0106-0045,nzd0106-0046,nzd0106-0047,nzd0106-0048,nzd0106-0049,nzd0106-0050,nzd0106-0051,nzd0106-0052,nzd0106-0053,nzd0106-0054,nzd0106-0055,nzd0106-0056,nzd0106-0057,nzd0106-0058,nzd0106-0059,nzd0106-0060,nzd0106-0061,nzd0106-0062,nzd0106-0063,nzd0106-0064,nzd0106-0065,nzd0106-0066,nzd0106-0067,nzd0106-0068,nzd0106-0069,nzd0106-0070,nzd0106-0071,nzd0106-0072,nzd0106-0073,nzd0106-0074,nzd0106-0075,nzd0106-0076,nzd0106-0077,nzd0106-0078,nzd0106-0079,nzd0106-0080,nzd0106-0081,nzd0106-0082,nzd0106-0083,nzd0106-0084,nzd0106-0085,nzd0106-0086,nzd0106-0087,nzd0106-0088,nzd0106-0089,nzd0106-0090,nzd0106-0091,nzd0106-0092,nzd0106-0093,nzd0106-0094,nzd0106-0095,nzd0106-0096,nzd0106-0097,nzd0106-0098,nzd0106-0099,nzd0106-0100,nzd0106-0101,nzd0106-0102,nzd0106-0103,nzd0106-0104,nzd0106-0105,nzd0106-0106,nzd0106-0107,nzd0106-0108,nzd0106-0109,nzd0106-0110,nzd0106-0111,nzd0106-0112,nzd0106-0113,nzd0106-0114,nzd0106-0115,nzd0106-0116,nzd0106-0117,nzd0106-0118,nzd0106-0119,nzd0106-0120,nzd0106-0121,nzd0106-0122,nzd0106-0123,nzd0106-0124,nzd0106-0125,nzd0106-0012,satname
1999-08-26 22:04:44+00:00,,292.73,329.64,,,,311.95,334.5,330.63,326.87,325.55,342.65,340.15,345.08,345.54,344.43,343.37,338.55,338.81,336.65,336.06,334.65,334.53,333.61,340.22,341.39,340.62,318.14,338.91,346.22,343.62,340.5,344.29,342.77,342.52,343.77,340.3,343.3,317.97,342.01,337.66,338.56,344.29,338.84,314.85,302.09,313.56,317.91,315.14,315.3,314.78,313.27,312.83,312.39,310.1,309.12,308.17,307.93,303.46,304.68,307.39,298.04,302.23,305.99,310.84,313.61,310.39,306.78,,309.22,312.93,312.06,,,304.04,307.78,299.81,294.12,,,,,299.9,,,310.35,,,302.15,295.97,284.62,,,302.84,299.12,300.13,291.88,,,,,,,,397.61,,393.7,,,,,,,,,,,,,,,,,,,L7
1999-09-27 22:04:48+00:00,,292.73,329.64,,,,311.95,334.5,330.63,326.87,325.55,342.65,340.15,345.08,345.54,344.43,343.37,338.55,338.81,336.65,336.06,334.65,334.53,333.61,340.22,341.39,340.62,318.14,338.91,346.22,335.985,338.845,338.48,335.695,342.52,343.77,340.3,343.3,317.97,342.01,337.66,338.56,344.29,338.84,314.85,302.09,313.56,317.91,315.14,315.3,314.78,313.27,312.83,312.39,310.1,309.12,308.17,307.93,303.46,304.68,307.39,298.04,302.23,305.99,310.84,313.61,310.39,306.78,,309.22,312.93,312.06,,,304.04,307.78,299.81,294.12,,,,,299.9,,,310.35,,,302.15,295.97,284.62,,,302.84,299.12,300.13,291.88,,,,,,,,382.46500000000003,366.34,382.7,,,,,319.16,327.26,,,,,,,,370.76,,369.97,361.31,,L7
1999-11-14 22:04:42+00:00,,292.73,329.64,,,,316.87,329.27,329.175,327.05,328.09000000000003,342.28,338.105,338.695,339.52,339.37,339.4,336.525,337.015,336.635,335.815,334.80499999999995,334.015,333.25,336.155,339.29499999999996,339.56,327.575,337.83000000000004,340.31,338.17,338.90333333333336,338.0733333333333,337.7133333333333,339.985,343.54499999999996,338.515,338.875,326.72,340.155,336.115,338.305,338.26,335.865,315.795,301.98,315.375,317.875,315.59000000000003,315.545,314.61,313.65,312.475,311.97,309.875,309.17,308.245,310.23,303.46,305.745,308.26,300.925,302.98,306.505,310.65,313.79,310.14,306.15,,308.96500000000003,312.105,311.97,,,309.44500000000005,308.515,299.925,294.045,318.56,,316.99,319.08,309.73,,329.01,322.1,,,312.48,307.01,303.83000000000004,,,314.97,314.26,314.485,306.05,,,322.86,321.56,322.31,326.55,326.86,362.68333333333334,346.88,363.75666666666666,,328.66,326.19,321.55,323.87,331.95,336.8,,330.43,330.67,329.1,328.11,,351.79999999999995,331.7,351.83500000000004,342.505,330.07,L7
2000-02-18 22:04:29+00:00,,292.73,329.64,,,,324.68666666666667,329.27,329.175,329.5266666666667,332.52666666666664,344.69,342.1933333333333,342.21999999999997,341.31,342.6933333333333,341.50333333333333,338.6933333333333,340.32666666666665,340.2966666666667,338.4066666666667,337.2833333333333,337.15333333333336,337.7033333333333,336.155,339.29499999999996,339.56,327.575,337.83000000000004,340.31,338.17,338.90333333333336,338.0733333333333,337.7133333333333,339.985,346.2633333333333,338.515,338.875,326.72,340.155,349.3833333333334,338.305,338.26,335.865,315.795,301.98,315.375,337.3866666666667,315.59000000000003,336.3833333333334,314.61,313.65,312.475,332.30333333333334,309.875,309.17,326.1366666666667,310.23,303.46,305.745,308.26,300.925,302.98,326.49666666666667,322.21666666666664,334.36333333333334,333.53999999999996,326.0933333333333,371.3,332.32,331.28,332.16333333333336,373.95,377.38,330.77000000000004,329.21999999999997,322.59999999999997,314.84666666666664,337.12,357.26,299.62,301.845,302.43,,309.29499999999996,322.1,,,312.48,307.01,324.3566666666667,362.34,373.14,335.93666666666667,335.29333333333335,323.1333333333333,323.90333333333336,362.14,358.69,338.96000000000004,340.06,329.865,340.945,343.515,361.86,351.3,364.08,370.25,346.70000000000005,345.03,340.6,338.7266666666667,343.97333333333336,352.68,370.43,349.83000000000004,349.70000000000005,348.35,345.495,365.19,351.79999999999995,331.7,351.83500000000004,342.505,336.01,L7
2000-05-24 22:03:46+00:00,,,,,,,340.32,,,334.48,341.4,349.51,350.37,349.27,344.89,349.34,345.71,343.03,346.95,347.62,343.59,342.24,343.43,346.61,332.86,344.04,344.07,346.34,351.21,350.4,348.67,353.09,348.63,349.07,351.62,349.23,346.81,347.19,350.7,345.32,358.89,342.64,348.57,347.29,349.29,,351.44,361.035,350.29,363.005,342.3,,,353.66,333.66,332.68,346.15,334.31,335.15,328.5,331.0,333.03,336.22,353.42,344.755,361.54999999999995,363.255,352.95500000000004,355.1,360.755,355.77,359.51,357.46000000000004,359.90999999999997,355.70500000000004,353.575,351.485,341.41999999999996,339.69,342.885,306.36,309.005,310.385,331.33,312.37,336.99,334.72,331.94,338.14,333.09,348.67,348.90999999999997,355.21500000000003,358.89,357.36,338.88,346.795,347.435,344.74,341.95,343.83000000000004,334.45500000000004,345.32,347.08500000000004,348.78499999999997,348.04499999999996,352.09000000000003,353.43,352.24,349.135,345.985,352.395,354.22,354.185,355.20500000000004,355.45500000000004,356.09000000000003,353.83000000000004,350.78999999999996,352.43,343.83,346.58,339.25,331.52,341.95,L7
2001-01-03 22:02:12+00:00,,295.84,347.76,334.21,,,337.38,335.1,330.64,332.58,330.94,341.43,336.86,331.29,333.2,335.13,341.14,341.76,329.77,330.44,337.31,335.62,333.47,333.13,336.42,337.4,337.69,338.32,338.58,340.96,342.89,339.62,346.2,343.02,337.04,344.11,337.61,334.77,336.16,329.21,335.52,339.43,334.01,336.12,314.69,299.88,313.47,316.87,314.29,313.41,311.28,309.17,308.61,306.04,304.09,303.85,306.92,304.02,301.78,303.56,299.36,297.6,300.33,305.11,308.73,313.01,308.81,304.35,303.56,308.76,308.17,309.44,301.56,,302.45,304.22,296.63,290.86,321.9,326.38,318.52,323.05,322.18,323.77,329.01,335.09,329.16,330.54,331.78,320.81,324.76,331.99,337.92,340.86,333.74,335.24,331.25,329.24,328.18,325.95,326.35,330.48,336.31,327.51,328.12,332.61,328.08,336.41,334.24,329.99,331.54,334.62,341.41,338.51,337.32,335.88,336.36,336.8,335.24,332.74,333.39,336.21,354.39,355.22,330.8,L7
2001-03-24 22:01:59+00:00,,295.84,358.0,344.35,,276.11,319.09000000000003,317.245,303.49,315.405,311.95500000000004,328.405,324.4,318.255,321.62,326.21000000000004,328.935,328.0,321.80499999999995,321.775,324.0,321.75,320.025,319.885,322.475,325.97,325.47,325.515,326.01,329.29999999999995,330.435,327.765,328.76,328.78,327.78,329.12,325.08500000000004,322.41999999999996,323.75,321.255,325.205,324.82,326.645,323.63,327.33000000000004,316.28999999999996,325.73,326.57,324.4,311.5,320.15,321.265,319.445,315.885,315.03499999999997,316.42,314.135,304.02,301.78,303.56,299.36,311.54,300.33,317.45000000000005,308.73,313.01,308.81,304.35,303.56,308.76,308.17,309.44,301.56,354.1,302.45,304.22,296.63,290.86,337.64,336.325,335.83,338.355,336.08000000000004,333.6,316.4,319.58,314.38,314.3,313.2,304.275,302.03,315.32,318.75,320.45500000000004,314.32500000000005,317.45500000000004,309.015,309.505,348.07500000000005,336.4,341.26,349.97,348.765,340.96000000000004,342.85,331.475,344.385,341.02,341.33500000000004,328.97,331.54,341.9,351.035,346.56,337.32,335.88,336.36,336.8,315.22,317.565,316.79499999999996,319.83,354.39,355.22,304.125,L7
2001-08-15 22:00:38+00:00,,,368.24,354.49,,276.11,300.8,300.475,282.825,298.85,297.125,318.055,311.14,308.07500000000005,310.94500000000005,315.805,315.58000000000004,313.34000000000003,314.62,311.905,312.48,311.12,309.115,308.905,308.84,316.71000000000004,313.25,312.71,313.44,317.64,317.98,315.91,311.32,314.54,318.52,314.13,312.56,310.46500000000003,313.19,311.33000000000004,314.66499999999996,308.725,318.29999999999995,311.84000000000003,326.39,316.79499999999996,326.33000000000004,325.995,323.755,311.725,320.09000000000003,322.56,320.34,315.245,316.19500000000005,318.08500000000004,313.23,305.64,301.99,304.12,298.26,311.355,300.21,317.43,,,,,,,,,,354.1,,300.31,297.89,292.63,325.23,319.53499999999997,323.565,324.805,324.095,320.94,303.03,302.64,300.09000000000003,296.63,296.355,289.15999999999997,277.76,298.735,301.46500000000003,302.995,296.285,299.385,287.745,290.475,348.35,338.62,347.23,353.44,347.63,342.31,345.22,333.09,351.225,342.37,340.755,327.53499999999997,331.58,343.82,354.02,351.65,336.76,338.18,342.37,335.56,311.96000000000004,302.39,300.2,303.45,,,283.95,L7
2002-01-22 22:00:40+00:00,266.43,,361.94,344.32,284.67,295.77,298.44,302.16499999999996,292.095,298.58500000000004,300.49,314.775,308.645,309.865,311.6,314.685,314.78,312.445,312.575,308.81,313.22,313.90999999999997,311.03999999999996,311.03499999999997,308.63,314.58500000000004,307.22,315.45,315.72,314.58,319.13,317.56,313.36,313.23,309.89,309.48,314.65,310.445,314.87,309.105,314.125,306.645,314.68,312.65999999999997,313.76,301.345,310.315,316.255,313.325,311.52,310.24,310.32,307.41499999999996,302.61,302.95000000000005,304.33000000000004,302.765,303.14,302.13,304.58500000000004,297.94,297.745,300.89,305.745,309.55,312.69,305.93,303.44,300.16,307.85,301.68,308.02,301.86,294.75,303.17,301.625,297.15999999999997,292.255,294.19,292.03499999999997,292.92,294.055,296.48,298.09000000000003,301.97,301.115,302.085,295.04499999999996,295.605,289.855,277.375,298.28499999999997,302.97,304.755,295.845,297.95000000000005,291.38,291.18,328.73,330.39,338.29,337.42,334.04,330.21,332.86,335.84,341.76,339.11,333.08,327.12,330.51,335.84000000000003,342.41999999999996,342.755,332.325,338.18,342.37,335.56,328.72,,375.31,332.01,342.86,344.83,295.96500000000003,L7
2002-03-27 22:00:37+00:00,266.43,,361.94,344.32,284.67,295.77,298.44,302.77,294.88,297.7,299.7,303.15,299.895,297.73,300.815,304.33000000000004,309.225,306.025,303.8,301.145,302.485,304.04499999999996,304.98,305.73,303.07500000000005,304.25,301.615,303.71000000000004,303.905,306.565,308.5,307.09000000000003,301.1,305.115,309.89,309.48,314.65,310.03,314.7,308.85,313.81,306.05,312.04,312.78,314.71,301.8,305.96,316.79,313.65,309.18,309.32,308.88,304.43,300.46,299.49,301.48,292.925,294.15999999999997,296.265,293.745,290.31,298.26,301.57,306.42,309.55,312.69,305.93,303.44,300.16,307.85,301.68,308.02,301.86,294.75,303.17,302.94,296.43,291.88,291.3,291.27,291.85,292.16,294.75,297.73,301.67,301.02,303.59,294.89,293.12,289.13,278.53,297.75,302.59,303.57,294.03,296.8,294.05,,,,,,,,,,,,,,329.44,333.22,337.46,336.82,327.89,,,,,,375.31,332.01,342.86,344.83,301.48,L7
