dates,satname,nzd0021-0000,nzd0021-0001,nzd0021-0002
2001-03-15 22:07:52.114000,L7,356.61,350.78,356.74
2001-12-12 22:06:14.960000,L7,396.81,395.10,401.28
2002-02-14 22:06:29.522000,L7,391.88,391.41,391.40
2005-04-19 22:04:43.597000,L5,345.90,299.39,345.09
2005-09-26 22:05:42.687000,L5,331.08,298.56,327.93
2010-02-12 22:08:30.110000,L5,335.99,293.98,340.82
2011-01-14 22:07:31.728000,L5,349.10,310.37,343.97
2014-02-23 22:18:20.398000,L8,313.29,,
2019-08-16 22:17:44.396000,L8,389.17,384.14,401.30
2023-02-08 22:18:06.517000,L9,323.06,298.70,336.49
2023-05-31 22:17:04.101000,L9,367.95,370.72,392.25
2023-07-10 22:17:17.518000,L8,321.48,284.61,337.99
2023-08-03 22:17:19.817000,L9,320.50,288.13,330.88
2024-04-23 22:17:03.194000,L8,318.65,283.80,334.00
2024-08-21 22:17:19.711000,L9,315.50,,
2025-01-28 22:17:42.532000,L9,322.22,296.78,335.26
2025-03-01 22:17:39.455000,L9,323.49,301.27,336.08
2025-03-09 22:17:26.663000,L8,321.55,297.05,369.53
2025-07-23 22:17:27.519000,L9,319.27,288.12,335.44
2025-11-04 22:17:53.875000,L8,314.60,285.16,340.70
