dates,satname,nzd0141-0000,nzd0141-0001,nzd0141-0003,nzd0141-0004,nzd0141-0005,nzd0141-0006,nzd0141-0007,nzd0141-0008,nzd0141-0009,nzd0141-0002
1999-08-26 22:04:44.971000,L7,,,,,,314.13,317.19,304.56,303.82,
1999-09-20 21:58:32.521000,L7,293.56,224.51,259.81,312.49,241.09,312.47,314.19,301.21,297.96,
1999-09-27 22:04:48.949000,L7,293.38,294.92,262.86,309.02,260.41,306.90,317.57,310.46,302.53,284.02
1999-11-14 22:04:42.286000,L7,289.83,,267.12,307.82,257.89,309.10,313.51,306.30,297.73,
1999-12-09 21:58:33.708000,L7,285.13,,,,,,,351.84,292.63,
1999-12-09 21:58:57.676000,L7,303.26,,274.21,282.23,267.11,,,373.63,303.93,282.97
1999-12-25 21:58:52.197000,L7,286.77,284.93,241.26,,295.43,296.94,314.19,309.41,297.08,288.45
2000-02-11 21:58:22.025000,L7,254.59,,253.40,313.03,256.84,315.53,321.37,314.54,303.46,267.10
2000-02-18 22:04:29.218000,L7,248.68,,,,,267.52,329.13,327.40,314.00,
2000-03-30 21:58:09.573000,L7,,,239.14,276.74,264.12,314.52,325.68,319.27,300.98,
2000-03-30 21:58:33.541000,L7,,,247.27,320.29,314.59,319.00,329.89,321.83,304.98,269.10
2000-05-17 21:58:07.485000,L7,,,,,,294.05,313.18,296.72,,
2000-08-12 22:02:54.094000,L7,,,,,,300.37,305.96,298.25,294.23,
2000-10-15 22:01:56.204000,L7,,,,,,297.77,308.11,300.13,294.73,
2000-12-11 21:56:00.959000,L7,,,,,,297.73,307.48,297.84,297.34,
2001-01-03 22:02:12.432000,L7,,294.10,262.04,308.02,253.32,297.27,306.10,305.58,303.40,264.79
2001-01-12 21:56:06.772000,L7,,,,,,,323.14,315.27,300.77,
2001-01-12 21:56:30.696000,L7,,,,,,,320.11,315.05,295.98,
2001-02-13 21:56:03.778000,L7,248.94,,244.92,301.58,250.88,300.85,310.52,300.59,296.51,268.99
2001-03-01 21:55:57.624000,L7,,,,,,307.79,304.73,302.42,298.86,
2001-03-01 21:56:21.596000,L7,272.29,,,,,311.96,312.35,305.81,303.03,
2001-03-17 21:56:16.575000,L7,,,,,,307.65,313.92,303.50,288.78,
2001-03-24 22:01:59.719000,L7,295.31,,,,,309.65,322.98,307.37,295.52,
2001-06-21 21:55:05.323000,L7,310.61,311.01,,,314.88,320.35,331.97,325.33,310.28,
2001-08-08 21:55:01.113000,L7,,,,,,300.70,321.16,302.85,298.35,
2001-08-15 22:00:38.680000,L7,317.41,323.45,339.24,348.87,343.37,342.12,357.25,344.36,338.20,336.16
2001-08-24 21:54:24.664000,L7,,,,,,302.00,315.98,305.04,301.45,
2001-09-09 21:54:12.928000,L7,298.19,,,,,313.14,309.35,303.43,294.95,
2001-09-25 21:54:04.740000,L7,,,,,,310.02,318.71,307.20,305.76,
2001-09-25 21:54:28.694000,L7,305.08,305.09,315.81,318.18,316.53,319.26,327.46,320.78,311.32,292.01
2001-10-02 22:00:04.650000,L7,296.05,,252.26,310.67,256.33,307.49,320.17,307.40,304.98,259.89
2001-10-11 21:53:46.024000,L7,,,,,,322.81,304.66,302.36,298.61,
2001-10-11 21:54:09.862000,L7,295.88,298.81,312.37,311.01,268.83,326.01,316.44,312.82,308.79,303.22
