dates,nzd0141-0000,nzd0141-0001,nzd0141-0003,nzd0141-0004,nzd0141-0005,nzd0141-0006,nzd0141-0007,nzd0141-0008,nzd0141-0009,nzd0141-0002,satname
1999-08-26 22:04:44+00:00,,,,,,314.13,317.19,304.56,303.82,,L7
1999-09-27 22:04:48+00:00,293.38,294.92,262.86,309.02,260.41,310.515,317.38,307.51,303.17499999999995,284.02,L7
1999-11-14 22:04:42+00:00,291.605,294.92,264.99,308.41999999999996,259.15,310.04333333333335,316.09,307.1066666666666,301.35999999999996,284.02,L7
2000-02-11 21:58:22+00:00,279.26666666666665,294.92,261.12666666666667,309.95666666666665,258.38,311.41499999999996,317.40999999999997,308.96500000000003,301.885,275.56,L7
2000-08-12 22:02:54+00:00,,,,,,300.37,305.96,298.25,294.23,,L7
2000-12-11 21:56:00+00:00,,,,,,299.05,306.72,298.04499999999996,295.78499999999997,,L7
2001-01-03 22:02:12+00:00,,294.1,262.04,308.02,253.32,298.45666666666665,306.5133333333333,300.5566666666667,298.3233333333333,264.79,L7
2001-02-13 21:56:03+00:00,248.94,294.1,253.48000000000002,304.79999999999995,252.1,298.6166666666667,308.0333333333333,301.33666666666664,299.0833333333333,266.89,L7
2001-03-01 21:55:57+00:00,248.94,294.1,253.48000000000002,304.79999999999995,252.1,300.91,307.2075,301.60749999999996,299.0275,266.89,L7
2001-03-17 21:56:16+00:00,248.94,294.1,253.48000000000002,304.79999999999995,252.1,302.258,308.55,301.986,296.97799999999995,266.89,L7
2001-03-24 22:01:59+00:00,272.125,294.1,253.48000000000002,304.79999999999995,252.1,303.49,310.955,302.8833333333333,296.73499999999996,266.89,L7
2001-08-15 22:00:38+00:00,306.36,,,348.87,,316.8025,313.8766666666667,304.43,294.3866666666666,,L7
2001-09-09 21:54:12+00:00,303.6366666666667,,,348.87,,318.14,315.4166666666667,304.76666666666665,293.0833333333333,,L7
2001-09-25 21:54:04+00:00,307.80000000000007,,,348.87,,321.76,314.03,305.315,300.355,,L7
2001-10-02 22:00:04+00:00,303.8833333333334,,252.26,329.77,256.33,318.1925,316.07666666666665,306.01,301.8966666666667,259.89,L7
2001-10-11 21:53:46+00:00,303.8833333333334,,252.26,329.77,256.33,319.116,313.2225,305.09749999999997,301.075,259.89,L7
2002-01-22 22:00:40+00:00,288.415,,252.26,329.77,256.33,317.06,314.028,305.496,301.086,259.89,L7
