dates,nzd0159-0000,nzd0159-0001,nzd0159-0002,nzd0159-0003,nzd0159-0007,nzd0159-0008,nzd0159-0009,nzd0159-0010,nzd0159-0011,nzd0159-0012,nzd0159-0013,nzd0159-0014,nzd0159-0015,nzd0159-0016,nzd0159-0017,nzd0159-0018,nzd0159-0019,nzd0159-0020,nzd0159-0021,nzd0159-0022,nzd0159-0023,nzd0159-0024,nzd0159-0025,nzd0159-0026,nzd0159-0027,nzd0159-0028,nzd0159-0029,nzd0159-0030,nzd0159-0031,nzd0159-0032,nzd0159-0033,nzd0159-0034,nzd0159-0035,nzd0159-0036,nzd0159-0037,nzd0159-0038,nzd0159-0039,nzd0159-0040,nzd0159-0041,nzd0159-0042,nzd0159-0043,nzd0159-0044,nzd0159-0045,nzd0159-0046,nzd0159-0047,nzd0159-0048,nzd0159-0004,nzd0159-0005,nzd0159-0006,satname
1999-12-09 21:58:57+00:00,,309.09,,241.59,,,276.73,,,,,,,,,323.59,317.88,311.43,317.51,,,,,,,,,,,,,324.54,330.95,,,,342.13,,344.24,353.47,352.45,332.1,334.7,337.11,335.59,327.11,,289.81,,L7
2001-10-11 21:53:46+00:00,,,,,,,,,,,,,,,,,319.51,320.26,310.13,,,,,,,,,,,,,,,,,,,,,,,,,,303.79,312.38,,316.68,,L7
2003-01-18 21:54:06+00:00,,,,,252.51,249.04,253.2,,,,,,276.43,274.77,283.92,284.46,277.98,278.3,274.32,276.16,273.39,276.05,274.7,276.3,274.72,275.45,279.04,275.24,273.56,274.04,274.19,301.06,332.37,,312.72,,380.16,,377.86,328.36,331.08,338.7,331.37,331.67,328.51,331.27,228.9,237.16,255.02,L7
2003-03-23 21:54:16+00:00,,,,,252.825,253.575,252.45,,,,,,287.745,288.66999999999996,283.92,284.46,277.98,278.3,274.32,276.16,273.39,276.05,274.7,276.3,274.72,275.45,279.04,275.24,273.56,274.04,274.19,301.06,332.37,,312.72,,367.145,,344.83500000000004,326.51,331.495,335.775,344.08000000000004,335.78,314.135,317.47,228.9,237.16,255.02,L7
2003-10-25 21:44:04+00:00,,,,,,,,,,,,,262.86,270.87,271.64,280.89,277.24,270.83,273.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-02-14 21:44:33+00:00,,,,,,,,,,,,,262.86,270.87,271.64,280.89,277.24,270.83,273.78,,,,,,,,266.94,266.67,264.79,266.88,259.56,259.67,,,,,,,,,,,,,,,,,,L5
2005-04-21 21:52:46+00:00,,,,,,,,,,,,,261.55,264.36,268.09,278.04,272.74,267.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2006-02-19 21:56:39+00:00,,,,,,,,,,,,,263.55,263.72,267.52,279.05,272.82,270.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2010-01-13 21:56:49+00:00,,,,,,,,,,250.78,257.74,264.18,266.81,270.49,269.81,274.42,273.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2013-06-30 22:08:00+00:00,,,,,247.47,237.42,239.68,242.03,253.92,261.31,267.83,269.94,272.93,271.14,274.62,279.43,280.18,276.46,273.59,275.44,275.03,277.34,272.69,273.39,270.98,270.91,270.95,267.79,271.96,266.81,263.26,268.38,265.84,267.34,273.76,278.25,280.78,283.31,286.28,,,,,,,,,,,L8
