dates,satname,nzd0159-0000,nzd0159-0001,nzd0159-0002,nzd0159-0003,nzd0159-0007,nzd0159-0008,nzd0159-0009,nzd0159-0010,nzd0159-0011,nzd0159-0012,nzd0159-0013,nzd0159-0014,nzd0159-0015,nzd0159-0016,nzd0159-0017,nzd0159-0018,nzd0159-0019,nzd0159-0020,nzd0159-0021,nzd0159-0022,nzd0159-0023,nzd0159-0024,nzd0159-0025,nzd0159-0026,nzd0159-0027,nzd0159-0028,nzd0159-0029,nzd0159-0030,nzd0159-0031,nzd0159-0032,nzd0159-0033,nzd0159-0034,nzd0159-0035,nzd0159-0036,nzd0159-0037,nzd0159-0038,nzd0159-0039,nzd0159-0040,nzd0159-0041,nzd0159-0042,nzd0159-0043,nzd0159-0044,nzd0159-0045,nzd0159-0046,nzd0159-0047,nzd0159-0048,nzd0159-0004,nzd0159-0005,nzd0159-0006
1999-12-09 21:58:57.676000,L7,,309.09,280.97,241.59,326.23,293.39,276.73,297.61,299.77,325.01,332.62,315.23,329.70,324.43,325.73,323.59,317.88,311.43,317.51,320.40,332.26,330.24,377.06,348.72,363.18,381.08,,,391.86,390.59,331.23,324.54,330.95,351.98,363.08,370.99,342.13,346.99,344.24,353.47,352.45,332.10,334.70,337.11,335.59,327.11,261.52,289.81,328.91
2000-02-27 21:58:16.566000,L7,,,,,316.81,303.76,260.05,230.25,244.65,259.56,325.11,283.44,294.17,299.85,299.08,306.91,,297.45,381.33,331.12,327.26,347.65,335.27,327.82,331.06,336.95,334.37,338.30,341.66,347.32,351.37,,304.57,302.22,309.18,,,,391.43,357.70,346.12,346.42,364.94,350.19,341.35,333.73,219.42,250.37,263.93
2000-02-27 21:58:40.521000,L7,,,,,312.01,300.53,257.95,,242.08,255.64,320.22,291.39,299.07,303.52,304.32,312.87,391.74,345.11,374.66,326.19,324.10,335.88,308.93,276.90,278.81,330.40,311.90,334.74,310.66,342.22,342.84,298.11,307.43,308.78,314.90,307.37,317.74,320.43,401.34,323.71,339.79,340.32,355.57,346.61,316.76,329.39,213.32,246.08,260.50
2000-03-14 21:58:11.336000,L7,,,,,,,,,298.08,308.20,323.33,,,321.61,333.84,330.43,,,,,,,,271.88,276.48,270.40,275.68,267.26,268.77,269.56,336.68,333.28,341.56,347.79,341.87,347.15,327.08,354.87,357.69,357.35,351.54,344.42,348.73,347.82,339.58,318.67,,,
2001-10-11 21:53:46.024000,L7,,,360.27,321.68,,,,,,,,,,,,,319.51,320.26,310.13,,,,,,,,,,,,,,,,,,,,,,,,,,303.79,312.38,341.05,316.68,
2002-01-31 21:54:50.570000,L7,,,,,243.85,243.57,242.72,241.65,251.62,260.90,266.10,265.89,276.21,271.96,277.58,283.44,278.18,278.80,327.75,339.59,314.36,276.28,308.22,322.19,320.54,318.97,322.53,326.91,326.86,341.08,322.51,334.83,325.08,370.06,344.16,348.51,349.55,337.24,315.87,338.56,322.63,326.37,331.87,323.60,333.46,334.80,,320.66,333.52
2002-03-20 21:54:24.081000,L7,,,,,243.80,247.96,250.37,247.03,253.24,262.12,311.37,310.19,291.59,319.22,307.25,312.58,311.68,271.65,273.34,320.40,306.78,297.26,295.25,289.63,301.91,276.88,321.59,318.11,312.68,324.18,274.26,319.13,320.15,329.17,305.39,326.23,333.40,333.44,329.98,318.39,309.88,304.51,324.77,312.16,307.35,294.96,,,275.63
2002-08-27 21:53:36.267000,L7,,,,,242.20,247.38,245.72,242.72,252.85,258.37,265.34,264.86,269.62,269.91,273.67,278.16,272.65,270.98,,,,,,,269.38,271.53,272.42,304.70,297.35,272.13,266.81,273.53,298.97,302.44,311.28,279.90,285.40,309.14,313.92,302.82,,,283.13,303.86,301.47,300.05,,,
2002-10-30 21:53:25.867000,L7,,,,,334.68,334.88,330.89,313.42,317.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.33,309.67,319.15,321.16,,,,,,335.15,332.30
2003-01-18 21:54:06.301000,L7,,,,,252.51,249.04,253.20,254.01,256.47,269.19,269.20,272.11,276.43,274.77,283.92,284.46,277.98,278.30,274.32,276.16,273.39,276.05,274.70,276.30,274.72,275.45,279.04,275.24,273.56,274.04,274.19,301.06,332.37,308.67,312.72,329.45,380.16,392.38,377.86,328.36,331.08,338.70,331.37,331.67,328.51,331.27,228.90,237.16,255.02
