dates,satname,nzd0552-0000,nzd0552-0001,nzd0552-0002,nzd0552-0003,nzd0552-0004
1999-12-07 22:13:41.663000,L7,,,385.85,409.97,
2001-02-27 22:11:06.137000,L7,421.49,409.30,409.38,408.23,
2002-01-29 22:09:33.112000,L7,,381.30,420.89,365.49,315.28
2002-03-11 22:03:31.366000,L7,362.02,369.16,379.55,388.00,361.08
2018-11-10 22:14:32.733000,L8,,,,307.35,337.70
2019-11-29 22:14:55.870000,L8,393.13,373.03,373.86,366.06,443.62
2022-07-15 22:20:36.379000,L9,357.31,299.67,308.03,303.80,422.61
2023-07-11 22:14:12.102000,L9,307.62,307.05,310.66,318.40,
2024-11-25 22:21:03.583000,L9,310.06,324.11,315.07,304.20,325.43
2025-11-21 22:15:19.150000,L9,375.41,388.03,389.69,369.51,374.62
