dates,nzd0495-0000,nzd0495-0001,nzd0495-0002,nzd0495-0003,nzd0495-0004,nzd0495-0005,nzd0495-0006,nzd0495-0007,nzd0495-0008,nzd0495-0009,nzd0495-0010,nzd0495-0011,nzd0495-0012,nzd0495-0013,nzd0495-0014,nzd0495-0015,nzd0495-0016,nzd0495-0017,nzd0495-0018,nzd0495-0019,nzd0495-0020,nzd0495-0021,nzd0495-0022,nzd0495-0023,nzd0495-0024,nzd0495-0025,nzd0495-0026,nzd0495-0027,nzd0495-0028,nzd0495-0029,nzd0495-0030,nzd0495-0031,nzd0495-0032,nzd0495-0033,nzd0495-0034,nzd0495-0035,nzd0495-0036,nzd0495-0037,nzd0495-0038,nzd0495-0039,nzd0495-0040,nzd0495-0041,nzd0495-0042,nzd0495-0043,nzd0495-0044,nzd0495-0045,nzd0495-0046,nzd0495-0047,nzd0495-0048,nzd0495-0049,nzd0495-0050,nzd0495-0051,nzd0495-0052,nzd0495-0053,nzd0495-0054,nzd0495-0055,nzd0495-0056,nzd0495-0057,nzd0495-0058,nzd0495-0059,nzd0495-0060,nzd0495-0061,satname
1999-08-26 22:07:32+00:00,360.23,367.42,,,338.24,,,,281.61,365.8,365.01,364.51,366.17,367.28,,,361.94,,,,,,,,,,,,,,,349.15,,,,,,,,,,,,,,,,,,,,,,,,349.45,343.19,337.49,352.65,,,312.56,L7
1999-11-05 22:13:40+00:00,365.62,367.42,,338.81,333.51,328.75,320.17,,289.46500000000003,349.6,347.475,347.44,348.735,353.67999999999995,344.25,341.32,349.775,331.5,328.29,322.15,329.67,330.18,335.76,332.54,329.31,327.32,330.24,329.25,336.45,335.71,325.89,337.345,321.48,320.05,318.96,317.59,319.5,321.39,327.86,323.27,324.37,322.66,316.24,318.97,327.48,329.71,,336.21,324.38,318.96,314.22,313.83,307.95,308.32,307.67,349.45,343.19,337.49,352.65,,,312.56,L7
1999-12-07 22:13:41+00:00,360.8233333333333,364.09000000000003,,338.81,330.59999999999997,344.19,320.17,,289.46500000000003,349.6,347.475,347.44,354.5933333333333,353.67999999999995,344.25,341.32,349.775,331.5,328.29,322.15,329.67,330.18,335.76,332.54,329.31,327.32,329.57500000000005,331.055,336.45,335.71,325.89,337.345,321.48,335.46000000000004,336.125,317.59,319.5,322.725,335.615,333.61,334.1,334.145,332.95000000000005,318.97,338.96500000000003,342.485,,345.87,336.245,332.845,320.27,313.83,324.79999999999995,324.68,323.355,344.29499999999996,343.39,331.635,336.04999999999995,318.17,333.63,327.21500000000003,L7
1999-12-16 22:07:33+00:00,351.1025,349.3,323.03,328.65999999999997,326.0225,333.3833333333333,311.27,,289.46500000000003,334.31,337.31,335.65000000000003,344.34000000000003,342.1766666666667,336.155,333.29999999999995,340.0933333333333,322.81,318.895,322.15,320.19,324.33500000000004,330.41499999999996,325.85,324.2,323.73,326.48333333333335,328.5366666666667,330.73,331.935,323.315,329.90000000000003,317.07000000000005,327.23333333333335,327.3433333333333,312.99,314.48,319.01666666666665,327.3566666666666,325.84999999999997,326.06666666666666,325.21333333333337,322.9433333333333,310.51,330.47,333.81333333333333,,338.95,328.31666666666666,325.65333333333336,316.5233333333333,311.725,317.21666666666664,316.2766666666667,315.09,329.6033333333333,330.19,331.635,330.16333333333336,314.985,322.495,323.40000000000003,L7
2000-05-08 22:06:44+00:00,336.58500000000004,340.24,323.03,318.51,318.53499999999997,335.7,302.37,,,303.73,316.98,312.07,339.94500000000005,319.17,328.06,325.28,320.73,314.12,309.5,,310.71,318.49,325.07,319.16,319.09,320.14,324.605,328.18,325.01,328.16,320.74,311.28499999999997,310.02,323.00333333333333,324.09999999999997,301.405,311.375,316.2633333333333,321.45666666666665,322.36999999999995,326.915,326.49,326.295,302.05,323.7366666666667,327.7366666666667,,332.7233333333333,323.3533333333333,329.0,317.67499999999995,309.62,321.85,320.255,318.79999999999995,319.67999999999995,323.68999999999994,325.78,318.92,314.985,322.495,328.82000000000005,L7
2000-05-31 22:12:42+00:00,336.58500000000004,340.24,323.03,318.51,318.53499999999997,335.7,302.37,,285.66,326.52,315.21000000000004,303.91999999999996,326.02666666666664,313.365,332.83500000000004,333.345,327.595,326.27,320.02,335.52,322.085,311.175,309.105,329.14,312.54499999999996,325.1,326.49333333333334,331.96,332.68,333.21500000000003,327.05,316.32666666666665,315.16333333333336,324.65,326.6975,306.93333333333334,315.10999999999996,317.4275,322.385,322.005,322.10999999999996,324.90000000000003,322.6466666666667,302.05,323.7366666666667,327.7366666666667,,332.7233333333333,323.3533333333333,324.16,315.42333333333335,309.62,314.6066666666667,315.4533333333333,320.16,316.6033333333333,316.72666666666663,322.30999999999995,319.66333333333336,323.08666666666664,320.4266666666667,328.82000000000005,L7
2000-06-25 22:06:19+00:00,,,,,,,,,285.66,349.31,313.44,295.77,298.19,307.56,337.61,341.41,334.46,338.42,330.54,335.52,333.46,303.86,293.14,339.12,306.0,330.06,330.27,339.52,331.875,330.66999999999996,332.78,318.6066666666667,315.96999999999997,321.23999999999995,323.65000000000003,310.25333333333333,317.09999999999997,316.50333333333333,319.6433333333334,316.87,311.70500000000004,318.59000000000003,315.67,313.22,313.87,316.52,,322.61,314.19,313.005,313.185,295.7,305.78999999999996,306.46500000000003,312.86,306.38,301.275,332.095,321.15,322.345,307.915,309.79,L7
2000-09-20 22:11:14+00:00,325.52,303.0,312.62,310.59,305.49,,,,285.66,332.28999999999996,304.18,296.97,294.15,310.04499999999996,337.61,330.485,323.74,328.875,319.95000000000005,335.52,327.53,296.4,293.14,339.12,306.0,330.06,330.27,339.52,328.3833333333333,328.02,327.96666666666664,316.095,314.48499999999996,318.44,320.2325,309.15250000000003,315.525,312.955,316.995,303.6366666666667,311.70500000000004,318.59000000000003,315.67,313.22,313.87,316.52,,322.61,314.19,313.005,313.185,295.7,305.78999999999996,306.46500000000003,312.86,306.38,301.275,332.095,321.15,322.345,307.915,309.79,L7
2000-12-18 22:05:01+00:00,343.79499999999996,303.0,312.62,310.59,305.49,,338.15,,,331.33,309.86,310.3,305.45500000000004,330.005,351.07,319.56,313.02,323.79999999999995,309.36,,321.6,317.01,,,325.06,,,347.23,330.66,333.75666666666666,331.8333333333333,322.95,322.34999999999997,325.3,318.92,312.1,313.115,308.885,316.32500000000005,277.17,310.91,315.46,315.99,313.22,320.46,321.56,145.54,327.69,318.89,311.53,315.45,295.7,311.46,307.08,302.84,321.83500000000004,299.75,345.35,334.36,319.40999999999997,317.51,309.79,L7
2001-01-03 22:05:00+00:00,339.91,306.505,313.365,310.63,305.53999999999996,311.44,321.695,,,331.33,308.6933333333333,310.29,307.82,326.84999999999997,338.935,321.275,314.52,320.3333333333333,308.445,,321.6,317.01,,,314.74,315.41,317.91,333.01,329.8066666666667,333.3733333333334,325.47666666666663,318.71666666666664,319.38000000000005,317.76,311.20666666666665,305.005,307.85,303.39,305.47,290.98,305.69,,,,,,153.28,,307.42,306.94,304.96,298.54,297.75,298.12,295.27,341.36,298.15,,318.11,318.515,319.45000000000005,309.93,L7
2001-02-20 22:05:00+00:00,339.91,306.505,313.365,310.63,305.53999999999996,311.44,321.695,,,331.33,308.6933333333333,310.29,307.82,326.84999999999997,338.935,321.275,314.52,320.3333333333333,308.445,,321.6,323.01666666666665,,,314.74,315.41,317.91,333.01,329.8066666666667,333.57750000000004,325.47666666666663,328.4525,319.38000000000005,317.76,311.20666666666665,309.7033333333334,307.85,303.39,319.34,290.98,305.69,,,,,,153.28,359.37,307.42,306.94,304.96,298.54,321.35,320.865,317.095,338.71000000000004,298.15,,318.11,318.515,319.45000000000005,309.93,L7
