dates,satname,nzd0495-0000,nzd0495-0001,nzd0495-0002,nzd0495-0003,nzd0495-0004,nzd0495-0005,nzd0495-0006,nzd0495-0007,nzd0495-0008,nzd0495-0009,nzd0495-0010,nzd0495-0011,nzd0495-0012,nzd0495-0013,nzd0495-0014,nzd0495-0015,nzd0495-0016,nzd0495-0017,nzd0495-0018,nzd0495-0019,nzd0495-0020,nzd0495-0021,nzd0495-0022,nzd0495-0023,nzd0495-0024,nzd0495-0025,nzd0495-0026,nzd0495-0027,nzd0495-0028,nzd0495-0029,nzd0495-0030,nzd0495-0031,nzd0495-0032,nzd0495-0033,nzd0495-0034,nzd0495-0035,nzd0495-0036,nzd0495-0037,nzd0495-0038,nzd0495-0039,nzd0495-0040,nzd0495-0041,nzd0495-0042,nzd0495-0043,nzd0495-0044,nzd0495-0045,nzd0495-0046,nzd0495-0047,nzd0495-0048,nzd0495-0049,nzd0495-0050,nzd0495-0051,nzd0495-0052,nzd0495-0053,nzd0495-0054,nzd0495-0055,nzd0495-0056,nzd0495-0057,nzd0495-0058,nzd0495-0059,nzd0495-0060,nzd0495-0061
1999-08-26 22:07:32.686000,L7,360.23,367.42,372.67,378.80,338.24,377.90,384.05,347.59,281.61,365.80,365.01,364.51,366.17,367.28,399.68,400.78,361.94,393.64,396.27,365.11,391.65,391.07,399.27,394.18,358.21,387.50,360.12,358.69,390.75,398.10,384.65,349.15,377.53,378.93,382.18,378.80,381.26,380.54,375.81,370.43,372.45,365.34,362.91,345.69,370.12,385.96,106.48,83.27,26.81,24.02,53.03,363.93,361.75,360.84,354.91,349.45,343.19,337.49,352.65,362.30,233.59,312.56
1999-11-05 22:13:40.966000,L7,371.01,380.73,387.65,338.81,328.78,328.75,320.17,263.21,297.32,333.40,329.94,330.37,331.30,340.08,344.25,341.32,337.61,331.50,328.29,322.15,329.67,330.18,335.76,332.54,329.31,327.32,330.24,329.25,336.45,335.71,325.89,325.54,321.48,320.05,318.96,317.59,319.50,321.39,327.86,323.27,324.37,322.66,316.24,318.97,327.48,329.71,334.88,336.21,324.38,318.96,314.22,313.83,307.95,308.32,307.67,306.83,317.92,218.33,319.66,314.06,315.07,318.20
1999-11-21 22:13:35.965000,L7,371.84,384.49,384.81,395.34,386.94,381.49,305.80,363.46,369.16,374.58,368.31,389.70,385.17,386.04,389.46,369.69,386.30,377.25,376.52,389.19,372.97,327.91,366.76,358.98,379.03,371.22,367.95,394.77,386.93,377.78,386.26,332.86,362.45,369.75,378.83,373.92,343.70,,,333.73,344.48,351.42,361.90,358.77,363.37,364.75,396.91,391.72,379.56,371.53,362.59,362.12,314.51,129.12,344.22,173.86,321.48,357.87,359.15,360.23,239.71,331.48
1999-12-07 22:13:41.663000,L7,351.23,360.76,369.69,367.07,324.78,359.63,370.20,367.64,256.21,374.53,370.99,367.33,366.31,371.56,376.12,374.24,366.81,366.17,361.85,361.74,362.88,363.70,364.68,363.24,362.83,363.38,328.91,332.86,362.40,359.61,353.38,359.29,352.57,350.87,353.29,358.51,350.63,324.06,343.37,343.95,343.83,345.63,349.66,349.16,350.45,355.26,355.52,355.53,348.11,346.73,326.32,349.07,341.65,341.04,339.04,339.14,343.59,325.78,319.45,318.17,333.63,341.87
1999-12-16 22:07:33.708000,L7,321.94,319.72,323.03,318.51,312.29,311.77,302.37,,,303.73,316.98,312.07,313.58,319.17,328.06,325.28,320.73,314.12,309.50,,310.71,318.49,325.07,319.16,319.09,320.14,320.30,323.50,325.01,328.16,320.74,315.01,312.66,310.78,309.78,308.39,309.46,311.60,310.84,310.33,310.00,307.35,302.93,302.05,313.48,316.47,140.61,325.11,312.46,311.27,309.03,309.62,302.05,299.47,298.56,300.22,303.79,246.16,318.39,311.80,311.36,315.77
2000-05-08 22:06:44.900000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.56,307.38,307.36,309.23,294.42,313.29,313.13,310.16,312.83,,,,,307.28,311.48,288.40,317.53,309.49,,,,,,,,,,,,,
2000-05-31 22:12:42.435000,L7,,,,,,,,,285.66,349.31,313.44,295.77,298.19,307.56,337.61,341.41,334.46,338.42,330.54,335.52,333.46,303.86,293.14,339.12,306.00,330.06,330.27,339.52,340.35,338.27,333.36,326.41,325.45,329.59,334.49,317.99,322.58,320.92,325.17,320.91,312.50,321.72,315.35,211.84,88.83,113.63,140.85,117.14,100.17,314.48,310.92,163.95,300.12,305.85,322.88,310.45,302.80,318.84,321.15,339.29,316.29,262.38
2000-06-25 22:06:19.852000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.40,323.07,332.20,321.85,315.08,326.77,327.23,318.35,315.43,315.46,323.60,,310.91,315.46,315.99,313.22,320.46,321.56,331.31,327.69,318.89,311.53,315.45,295.70,311.46,307.08,302.84,302.31,299.75,345.35,275.15,305.40,299.54,309.79
2000-09-20 22:11:14.930000,L7,325.52,303.00,312.62,310.59,305.49,,,,,315.27,294.92,298.17,290.11,312.53,282.72,319.56,313.02,319.33,309.36,292.72,321.60,288.94,,,,,,,321.40,322.72,318.34,308.56,310.03,310.04,309.98,305.85,310.80,302.31,309.05,277.17,,,,,,,,,,,,,,,,,,,,,,
2000-12-18 22:05:01.704000,L7,362.07,367.93,347.58,355.43,339.10,331.70,338.15,330.72,326.20,347.39,324.80,322.43,320.80,347.48,351.07,347.40,346.01,328.27,339.04,340.66,346.83,345.08,352.90,352.26,325.06,349.60,352.38,347.23,347.18,355.48,344.96,338.44,341.94,339.09,319.55,355.65,352.44,351.36,353.65,365.49,361.45,362.62,351.07,355.74,366.21,81.63,145.54,392.53,391.64,111.54,376.43,369.89,367.21,357.88,348.62,341.36,345.21,342.86,334.36,333.42,335.48,247.69
