dates,nzd0032-0000,nzd0032-0001,nzd0032-0002,nzd0032-0003,satname
1999-09-27 22:04:25+00:00,261.94,,,,L7
2000-03-28 22:10:07+00:00,248.1,,,,L7
2000-08-03 22:08:44+00:00,248.1,,,276.91,L7
2000-09-13 22:02:02+00:00,252.115,,,276.91,L7
2002-03-27 22:00:13+00:00,253.84,,,,L7
2002-08-18 21:59:33+00:00,253.84,318.9,311.92,,L7
2002-12-31 22:05:56+00:00,,307.1,311.92,,L7
2003-01-09 21:59:45+00:00,,307.1,311.92,266.38,L7
2003-07-28 21:48:04+00:00,,,,285.07,L5
2003-09-30 21:49:06+00:00,,276.62,297.35,292.245,L5
2003-12-26 21:56:18+00:00,294.78,275.375,297.35,281.4533333333333,L5
2004-06-12 21:52:47+00:00,294.78,281.47,265.21,273.15999999999997,L5
2004-07-30 21:54:04+00:00,,288.81,265.21,282.825,L5
2004-09-16 21:55:17+00:00,,303.445,293.775,293.38,L5
2004-11-03 21:56:19+00:00,310.55,302.26,295.66,296.0025,L5
2004-11-19 21:56:31+00:00,309.81,298.6675,286.9,295.644,L5
2005-01-13 22:03:41+00:00,309.81,301.86,298.625,300.17999999999995,L5
2005-03-27 21:58:27+00:00,309.29,296.52,286.105,300.0575,L5
2005-04-03 22:04:40+00:00,305.885,294.052,277.34000000000003,293.176,L5
2005-07-08 22:05:15+00:00,301.96,285.795,267.20500000000004,283.6375,L5
2005-07-17 21:59:11+00:00,301.96,280.985,256.5225,279.00249999999994,L5
2005-08-25 22:05:41+00:00,301.96,280.985,258.284,276.388,L5
2005-09-03 21:59:32+00:00,292.48333333333335,278.656,257.44666666666666,278.08166666666665,L5
2005-09-19 21:59:32+00:00,295.06,279.42833333333334,261.63142857142856,280.93571428571425,L5
2005-09-26 22:05:42+00:00,289.2825,275.97,259.85999999999996,278.9216666666667,L5
2006-03-14 22:02:31+00:00,293.95666666666665,282.095,263.95,283.14,L5
2006-05-17 22:03:33+00:00,293.94,287.66999999999996,258.03,281.38,L5
2006-08-28 22:11:11+00:00,293.94,287.66999999999996,251.39333333333332,276.73,L5
2006-09-29 22:11:34+00:00,294.2,281.805,256.51,280.985,L5
2006-12-02 22:12:34+00:00,300.025,262.105,246.38,258.15,L5
2007-02-13 22:06:23+00:00,300.025,283.05333333333334,271.2866666666667,279.76666666666665,L5
2007-09-25 22:04:24+00:00,,309.75,312.85,312.75,L5
2007-10-02 22:10:31+00:00,308.55,294.4,295.22,295.83000000000004,L5
2008-11-21 22:01:05+00:00,286.73,248.59,,,L5
2009-01-01 21:56:07+00:00,286.73,264.585,273.69,286.93,L5
2009-01-24 22:02:55+00:00,292.795,266.11,261.53999999999996,273.815,L5
2010-02-12 22:08:30+00:00,298.78,280.51,,,L5
2010-11-27 22:07:24+00:00,,262.45,,,L5
2011-01-14 22:07:31+00:00,302.25,275.29499999999996,267.09,270.19,L5
2011-02-15 22:07:34+00:00,292.62,273.56666666666666,267.09,270.19,L5
2011-03-12 22:01:19+00:00,292.62,273.56666666666666,267.09,289.94,L5
2011-03-28 22:01:14+00:00,286.31,272.205,258.86,284.1166666666667,L5
2011-08-19 22:00:12+00:00,269.605,269.995,267.48,294.09333333333336,L5
2011-09-04 22:00:03+00:00,269.605,269.995,267.48,290.995,L5
2013-04-25 22:19:21+00:00,,306.69,312.1,307.52,L8
2013-05-11 22:19:31+00:00,,306.69,290.54,292.76,L8
2013-05-20 22:13:26+00:00,,298.90999999999997,288.43333333333334,295.4266666666667,L8
2013-06-28 22:19:33+00:00,280.1,302.92,294.44,299.2075,L8
2013-07-07 22:13:24+00:00,280.1,295.53,292.806,299.04200000000003,L8
2013-07-14 22:19:34+00:00,280.1,295.53,288.9766666666667,296.06333333333333,L8
2013-08-31 22:19:38+00:00,280.1,295.53,282.3957142857143,293.1557142857143,L8
2013-09-25 22:13:17+00:00,271.47,295.53,282.3957142857143,293.1557142857143,L8
2013-10-02 22:19:28+00:00,271.47,292.598,283.2625,291.83625,L8
2013-11-12 22:13:08+00:00,285.21,293.244,286.1042857142857,294.2528571428571,L8
2013-12-14 22:12:57+00:00,292.86,298.036,291.6028571428571,296.7057142857143,L8
2014-01-06 22:18:54+00:00,298.82,303.4825,291.6166666666667,294.695,L8
2014-01-15 22:12:33+00:00,301.12399999999997,304.838,299.7966666666666,300.52,L8
2014-01-31 22:12:28+00:00,302.78833333333336,306.14166666666665,302.25,303.0842857142857,L8
2014-02-07 22:18:33+00:00,298.80428571428575,302.2485714285714,302.25,299.8025,L8
2014-02-23 22:18:20+00:00,298.975,302.90125,302.77125,299.50777777777773,L8
2014-03-27 22:17:50+00:00,299.97875,300.51444444444445,311.3228571428572,299.99111111111114,L8
2014-04-05 22:11:34+00:00,301.46999999999997,304.12444444444446,315.9271428571429,302.165,L8
2014-04-12 22:17:37+00:00,300.69199999999995,303.79100000000005,313.98125000000005,301.40333333333336,L8
2014-04-21 22:11:18+00:00,300.9309090909091,304.34727272727275,315.14444444444445,303.05,L8
2014-04-28 22:17:22+00:00,300.82666666666665,304.82666666666665,315.218,303.1281818181818,L8
2014-05-07 22:11:02+00:00,300.82666666666665,304.82666666666665,309.7627272727273,302.8525,L8
2014-05-14 22:17:08+00:00,299.74818181818176,304.3636363636364,304.24,300.29833333333335,L8
2014-07-17 22:17:28+00:00,295.8925,298.28666666666663,297.3,295.26800000000003,L8
2014-07-26 22:11:19+00:00,295.8925,298.28666666666663,297.3,295.5209090909091,L8
2014-10-14 22:11:38+00:00,295.25666666666666,292.5725,286.93333333333334,296.79714285714283,L8
2014-10-30 22:11:34+00:00,299.735,287.46333333333337,270.3175,294.9916666666666,L8
2014-12-01 22:11:36+00:00,299.735,287.7925,287.1066666666666,296.658,L8
2015-01-25 22:17:32+00:00,299.735,302.21000000000004,301.60999999999996,303.89750000000004,L8
2015-02-26 22:17:23+00:00,303.7033333333333,303.108,302.2775,302.93,L8
2015-03-30 22:17:01+00:00,301.26,303.05,303.07599999999996,301.46333333333337,L8
2015-04-24 22:10:44+00:00,307.42333333333335,307.6,295.01599999999996,300.59999999999997,L8
2015-05-10 22:10:28+00:00,302.78499999999997,303.206,289.05333333333334,298.0933333333333,L8
2015-06-11 22:10:40+00:00,302.78499999999997,306.8125,290.19,300.375,L8
2015-07-20 22:17:10+00:00,302.78499999999997,306.8125,288.62285714285713,297.94714285714286,L8
2015-07-29 22:11:01+00:00,302.78499999999997,299.8666666666667,278.32714285714286,295.6914285714286,L8
2015-10-08 22:17:36+00:00,,290.14,271.15333333333336,293.9216666666667,L8
2015-10-24 22:17:40+00:00,,296.515,280.2816666666667,294.9633333333333,L8
2015-12-11 22:17:42+00:00,295.7,296.38,281.552,289.86199999999997,L8
2015-12-20 22:11:33+00:00,307.115,302.0466666666667,287.6416666666667,293.7716666666667,L8
2015-12-27 22:17:43+00:00,309.7,303.3,290.42571428571426,294.34285714285716,L8
2016-01-12 22:17:40+00:00,300.7075,295.298,290.42571428571426,291.25,L8
2016-01-28 22:17:39+00:00,294.568,291.40000000000003,300.88599999999997,291.4583333333333,L8
2016-02-22 22:11:18+00:00,291.5416666666667,291.0914285714286,300.88599999999997,290.8671428571429,L8
2016-03-09 22:11:16+00:00,294.3771428571428,294.94375,304.9266666666667,294.89125,L8
2016-06-04 22:17:16+00:00,294.3771428571428,293.8085714285715,303.074,294.5285714285714,L8
2016-08-16 22:11:29+00:00,293.9,309.3233333333333,308.43333333333334,298.5233333333333,L8
2016-09-08 22:17:48+00:00,,299.16999999999996,295.93666666666667,283.05,L8
2016-09-24 22:17:49+00:00,305.46,301.7966666666667,298.4075,286.47,L8
2016-10-10 22:17:54+00:00,305.47,303.115,299.438,288.3725,L8
2016-11-04 22:11:45+00:00,299.57666666666665,300.238,297.99833333333333,290.038,L8
2016-11-20 22:11:45+00:00,303.6125,302.215,301.06714285714287,293.63166666666666,L8
2016-12-22 22:11:39+00:00,303.6125,301.30571428571426,304.4666666666667,294.995,L8
2017-01-30 22:17:38+00:00,303.594,302.16,304.2471428571429,295.23,L8
2017-03-03 22:17:25+00:00,303.3016666666667,300.97125,301.6671428571429,295.135,L8
2017-03-28 22:11:00+00:00,303.97499999999997,305.9714285714286,307.43,301.87142857142857,L8
2017-04-20 22:16:59+00:00,302.5183333333333,306.34285714285716,308.4433333333333,302.3228571428572,L8
2017-05-06 22:16:55+00:00,305.464,309.27833333333336,307.07,300.31714285714287,L8
2017-06-07 22:17:15+00:00,302.9,306.13000000000005,302.97166666666664,297.29714285714283,L8
2017-07-09 22:17:23+00:00,302.9,308.18600000000004,300.63142857142856,296.01000000000005,L8
2017-07-25 22:17:30+00:00,302.9,308.18600000000004,298.65749999999997,294.36625,L8
2017-09-04 22:11:31+00:00,303.12,308.4933333333334,298.40285714285716,294.96571428571434,L8
2017-09-11 22:17:42+00:00,303.12,308.4933333333334,296.505,293.48,L8
2018-04-07 22:16:59+00:00,298.54,309.17,306.34,295.57,L8
2018-05-02 22:10:33+00:00,284.18,304.65,305.9,298.83,L8
2018-05-09 22:16:40+00:00,284.18,304.65,298.33,293.64,L8
2018-05-18 22:10:23+00:00,284.18,300.81666666666666,294.9675,295.6,L8
2018-05-25 22:16:28+00:00,284.18,297.34000000000003,294.448,294.356,L8
2018-06-26 22:16:36+00:00,284.18,298.448,296.37166666666667,295.305,L8
2018-08-06 22:10:46+00:00,284.18,297.25333333333333,297.29857142857145,296.2728571428571,L8
2018-09-07 22:11:00+00:00,290.34666666666664,300.04285714285714,300.19375,298.26875,L8
2018-10-09 22:11:13+00:00,282.57666666666665,298.5216666666667,298.99249999999995,298.53249999999997,L8
2018-11-01 22:17:30+00:00,293.47333333333336,299.78333333333336,299.44124999999997,297.48375,L8
2018-12-12 22:11:17+00:00,297.97,307.484,309.48,303.765,L8
2019-01-04 22:17:27+00:00,297.97,308.734,309.07666666666665,302.70666666666665,L8
2019-02-14 22:11:09+00:00,300.894,313.742,311.50500000000005,304.54999999999995,L8
2019-03-02 22:11:05+00:00,302.7916666666667,313.94666666666666,312.26142857142855,305.63571428571424,L8
2019-04-26 22:16:59+00:00,307.29599999999994,312.085,312.25333333333333,304.115,L8
2019-05-12 22:17:08+00:00,308.49249999999995,312.962,306.85333333333335,301.77,L8
2019-05-28 22:17:17+00:00,308.49249999999995,308.56166666666667,303.54285714285714,299.0571428571429,L8
2019-06-06 22:11:11+00:00,308.49249999999995,307.2,302.72875,299.28125,L8
2019-07-24 22:11:25+00:00,307.5033333333333,302.7866666666667,299.2142857142857,297.59999999999997,L8
2019-09-10 22:11:39+00:00,301.245,300.854,297.5016666666666,296.1433333333334,L8
2019-11-04 22:17:58+00:00,304.85,301.27,298.09999999999997,296.7033333333333,L8
2019-11-20 22:17:54+00:00,304.85,302.38,302.6716666666667,299.33166666666665,L8
2019-11-29 22:11:44+00:00,308.235,306.53833333333336,308.19,304.2266666666667,L8
2019-12-22 22:17:51+00:00,308.57,308.1166666666667,309.36333333333334,303.28499999999997,L8
2019-12-31 22:11:38+00:00,311.45500000000004,310.3071428571429,311.9342857142857,306.36285714285714,L8
2020-02-08 22:17:38+00:00,307.16999999999996,310.84999999999997,311.1614285714286,304.93285714285713,L8
2020-02-17 22:11:26+00:00,307.4783333333333,311.69875,312.305,306.45,L8
2020-02-24 22:17:35+00:00,306.6171428571429,311.21444444444444,311.71444444444444,305.4766666666667,L8
2020-04-21 22:10:57+00:00,306.9116666666667,310.26124999999996,308.24,303.42,L8
2020-07-01 22:17:22+00:00,300.1666666666667,307.6699999999999,299.908,298.00800000000004,L8
2020-07-10 22:11:15+00:00,300.1666666666667,307.6699999999999,300.84999999999997,298.6,L8
2020-08-27 22:11:32+00:00,307.61,318.43,303.4225,304.695,L8
2020-09-03 22:17:46+00:00,307.61,305.73,301.828,300.812,L8
2020-09-12 22:11:38+00:00,307.61,308.9533333333333,305.9066666666667,302.65833333333336,L8
2020-12-17 22:11:45+00:00,312.615,310.5075,310.72666666666663,304.64,L8
2021-01-02 22:11:41+00:00,314.5133333333333,312.398,317.2616666666667,311.005,L8
2021-01-25 22:17:44+00:00,310.5075,309.09666666666664,314.055,308.78499999999997,L8
2021-02-19 22:11:27+00:00,305.894,307.51714285714286,314.055,307.29714285714283,L8
2021-02-26 22:17:35+00:00,296.0,305.6983333333333,311.164,303.2766666666667,L8
2021-03-30 22:17:22+00:00,288.345,306.44,311.3566666666666,305.6225,L8
2021-04-24 22:11:01+00:00,285.4042857142857,304.97400000000005,295.3225,304.838,L8
2021-05-01 22:17:07+00:00,285.4042857142857,304.97400000000005,295.3225,300.83666666666664,L8
2021-05-26 22:11:07+00:00,285.4042857142857,304.97400000000005,295.3225,295.63714285714286,L8
2021-07-13 22:11:19+00:00,272.38,296.3325,257.2433333333333,288.805,L8
2021-10-01 22:11:46+00:00,282.145,298.93,264.36,286.55499999999995,L8
2021-11-25 22:17:57+00:00,299.49,301.3999999999999,281.53333333333336,293.90999999999997,L8
2021-12-19 22:17:52+00:00,301.0466666666667,302.4,285.925,293.8533333333333,L9
2022-01-21 22:11:35+00:00,306.8175,307.7725,306.9075,291.155,L8
2022-03-09 22:17:37+00:00,306.8175,300.97999999999996,306.9075,291.155,L9
2022-03-26 22:11:11+00:00,307.146,302.60166666666663,308.392,297.6666666666667,L8
2022-05-12 22:17:13+00:00,307.3,302.70666666666665,306.358,297.2025,L9
2022-06-05 22:17:39+00:00,308.5125,301.944,308.2625,298.065,L8
2022-06-21 22:17:48+00:00,309.9633333333333,301.08,311.31666666666666,297.0325,L8
2022-07-16 22:11:39+00:00,309.9633333333333,301.08,311.31666666666666,291.812,L8
2022-08-09 22:11:34+00:00,291.18666666666667,295.2275,305.91499999999996,293.045,L9
2022-09-09 22:18:11+00:00,293.4975,304.31500000000005,305.16,293.4114285714286,L8
2022-09-17 22:17:54+00:00,295.316,306.362,305.265,293.92375,L9
2022-10-19 22:18:03+00:00,293.572,306.91400000000004,302.2825,292.1475,L9
2022-11-04 22:18:00+00:00,295.25166666666667,307.49333333333334,302.312,292.5833333333333,L9
2022-11-13 22:11:53+00:00,298.86833333333334,310.5366666666667,306.682,292.18,L9
2022-12-22 22:17:59+00:00,297.93857142857144,306.99142857142857,302.84833333333336,290.8671428571428,L9
2023-01-24 22:11:46+00:00,299.87625,307.61,304.43857142857144,294.19,L8
2023-02-16 22:17:50+00:00,304.92499999999995,309.235,303.8625,293.885,L8
2023-03-13 22:11:23+00:00,305.5671428571428,309.1028571428572,303.89285714285717,294.12333333333333,L8
2023-05-16 22:10:40+00:00,303.9425,305.8025,303.8975,299.2575,L8
2023-05-23 22:16:53+00:00,303.9425,305.8025,299.06,295.61800000000005,L8
2023-05-24 22:10:53+00:00,303.9425,305.8025,298.515,296.545,L9
2023-06-09 22:10:48+00:00,303.9425,305.8025,298.515,297.28285714285715,L9
2023-06-17 22:10:53+00:00,303.9425,305.8025,299.43857142857144,298.25625,L8
2023-07-18 22:17:12+00:00,304.935,311.8325,302.09000000000003,300.60875,L9
2023-08-03 22:17:19+00:00,302.09999999999997,311.7966666666666,297.54714285714283,298.5777777777778,L9
2023-08-11 22:17:27+00:00,302.09999999999997,311.7966666666666,295.86875000000003,296.955,L8
2023-09-05 22:11:22+00:00,299.05499999999995,314.3599999999999,295.3028571428572,295.40500000000003,L8
2023-09-20 22:17:40+00:00,299.05499999999995,312.99999999999994,296.59875000000005,295.53100000000006,L9
2023-10-22 22:17:50+00:00,299.05499999999995,314.4625,299.46777777777777,296.6790909090909,L9
2023-11-07 22:17:46+00:00,302.4933333333333,314.242,299.77000000000004,297.3875,L9
2023-11-15 22:17:47+00:00,311.0466666666667,314.762,299.41099999999994,295.78666666666663,L8
2023-11-24 22:11:40+00:00,313.605,315.11833333333334,303.99555555555554,298.14090909090913,L8
2023-12-17 22:17:48+00:00,312.372,313.8314285714286,303.3488888888889,296.58,L8
2023-12-18 22:11:45+00:00,312.63666666666666,314.33125,304.835,298.5790909090909,L9
2024-01-11 22:11:32+00:00,313.2642857142857,314.7555555555556,305.6645454545455,299.7,L8
2024-02-04 22:11:43+00:00,315.7057142857143,315.57666666666665,309.58900000000006,302.4890909090909,L9
2024-02-11 22:17:53+00:00,313.925,314.56399999999996,311.244,303.50545454545454,L9
2024-02-27 22:17:43+00:00,312.25444444444446,313.7763636363636,310.19272727272727,302.68416666666667,L9
2024-02-28 22:11:24+00:00,312.395,314.2558333333333,310.8525,303.6546153846154,L8
2024-03-30 22:17:36+00:00,311.1718181818182,314.49833333333333,310.9658333333333,305.555,L9
2024-04-15 22:17:28+00:00,310.18833333333333,314.1230769230769,310.6569230769231,305.0007692307692,L9
2024-04-23 22:17:03+00:00,309.5723076923077,313.4476923076923,310.02230769230766,304.9661538461538,L8
2024-05-01 22:17:11+00:00,308.8742857142857,313.4357142857143,310.2935714285714,305.13142857142856,L9
2024-05-02 22:10:44+00:00,308.8742857142857,312.5566666666667,309.636,304.85333333333335,L8
2024-05-09 22:16:51+00:00,308.8361538461538,311.1886666666667,308.82733333333334,303.34799999999996,L8
2024-05-10 22:11:00+00:00,305.9778571428572,310.76812499999994,308.785,303.40687499999996,L9
2024-05-17 22:17:03+00:00,304.3269230769231,310.054,306.143125,301.745625,L9
2024-06-26 22:16:52+00:00,301.357,306.6738461538461,303.4242857142857,299.2921428571429,L8
2024-06-27 22:10:29+00:00,301.357,305.3614285714285,303.144,299.4166666666667,L9
2024-07-12 22:17:00+00:00,299.6155555555556,303.7578571428571,301.886,297.902,L8
2024-08-21 22:17:19+00:00,297.38000000000005,299.91692307692307,299.2264285714286,295.5228571428571,L9
2024-08-22 22:11:10+00:00,297.38000000000005,299.1228571428572,299.19800000000004,295.7133333333333,L8
2024-08-29 22:17:21+00:00,294.6666666666667,297.7492307692308,298.43642857142856,294.8507142857143,L8
2024-09-14 22:17:30+00:00,294.6666666666667,295.8364285714286,297.51800000000003,294.3633333333334,L8
2024-09-22 22:17:21+00:00,295.71571428571434,297.17133333333334,298.946875,295.548125,L9
2024-09-23 22:11:18+00:00,297.27,298.51187500000003,300.4370588235294,296.7405882352941,L8
2024-11-01 22:17:31+00:00,294.4675,294.99333333333334,297.8453846153846,294.6884615384616,L8
2024-11-02 22:11:29+00:00,294.4675,295.35846153846154,297.4764285714286,294.1092857142857,L9
2024-11-25 22:17:51+00:00,303.225,296.0183333333334,299.74916666666667,295.85583333333335,L9
