dates,satname,nzd0032-0000,nzd0032-0001,nzd0032-0002,nzd0032-0003
1999-09-27 22:04:25.056000,L7,261.94,,,
1999-10-04 22:10:38.131000,L7,381.09,302.59,377.02,
1999-10-13 22:04:24.936000,L7,387.99,351.48,353.12,347.74
1999-12-07 22:10:30.042000,L7,344.92,309.26,340.13,323.83
2000-02-09 22:10:19.398000,L7,,,352.54,347.13
2000-03-28 22:10:07.233000,L7,248.10,,,
2000-08-03 22:08:44.137000,L7,,,,276.91
2000-09-04 22:08:22.800000,L7,,,,330.54
2000-09-13 22:02:02.316000,L7,256.13,,,361.35
2001-06-28 22:00:45.094000,L7,,,,373.28
2001-08-15 22:00:14.727000,L7,,,,366.66
2001-09-07 22:06:11.116000,L7,356.14,347.82,335.83,333.78
2001-11-19 21:59:56.393000,L7,246.61,,,287.57
2001-12-28 22:06:14.106000,L7,353.70,350.49,344.24,330.48
2002-02-14 22:06:29.522000,L7,338.37,,341.34,333.89
2002-03-27 22:00:13.634000,L7,253.84,,,
2002-08-18 21:59:33.737000,L7,434.36,318.90,311.92,380.84
2002-10-28 22:05:22.323000,L7,380.51,,,
2002-12-31 22:05:56.221000,L7,364.54,295.30,363.53,355.81
2003-01-09 21:59:45.950000,L7,,,,266.38
2003-07-28 21:48:04.987000,L5,,,,285.07
2003-09-30 21:49:06.317000,L5,299.59,276.62,297.35,299.42
2003-10-23 21:55:36.755000,L5,342.49,307.80,301.12,296.38
2003-12-26 21:56:18.593000,L5,294.78,274.13,255.18,259.87
2004-06-12 21:52:47.645000,L5,,288.81,265.21,286.45
2004-07-30 21:54:04.170000,L5,,,,279.20
2004-09-16 21:55:17.605000,L5,336.82,318.08,322.34,314.49
2004-11-03 21:56:19.004000,L5,310.55,299.89,299.43,303.87
2004-11-19 21:56:31.297000,L5,309.07,287.89,260.62,294.21
2005-01-13 22:03:41.143000,L5,339.89,301.58,312.11,309.13
2005-02-23 21:58:07.648000,L5,297.47,284.17,243.06,
2005-03-27 21:58:27.646000,L5,308.25,296.72,272.26,293.02
2005-04-03 22:04:40.528000,L5,295.67,284.18,242.28,265.65
2005-07-08 22:05:15.796000,L5,,260.70,242.17,266.75
2005-07-17 21:59:11.604000,L5,,282.34,269.38,290.59
2005-08-25 22:05:41.221000,L5,,,265.33,265.93
2005-09-03 21:59:32.312000,L5,273.53,269.34,253.26,286.55
2005-09-19 21:59:32.955000,L5,302.79,283.29,286.74,298.06
2005-09-26 22:05:42.687000,L5,285.14,,,
2005-10-05 21:59:29.384000,L5,332.25,314.13,322.02,313.84
2005-11-13 22:05:57.059000,L5,312.95,289.24,279.32,277.83
2006-02-10 22:01:51.332000,L5,317.50,317.27,312.42,319.27
2006-03-14 22:02:31.280000,L5,293.94,280.90,241.16,268.22
2006-05-01 22:03:21.687000,L5,274.04,294.90,280.09,291.78
2006-05-17 22:03:33.996000,L5,,294.44,274.90,294.54
2006-08-28 22:11:11.674000,L5,,,238.12,267.43
2006-09-13 22:11:23.474000,L5,281.74,,,
2006-09-29 22:11:34.525000,L5,294.20,269.17,,
2006-12-02 22:12:34.352000,L5,305.85,255.04,254.64,248.87
2007-01-19 22:12:30.924000,L5,358.37,333.47,324.29,317.88
2007-02-13 22:06:23.395000,L5,357.07,324.95,321.10,323.00
2007-09-25 22:04:24.972000,L5,332.29,309.75,312.85,312.75
2007-10-02 22:10:31.289000,L5,308.55,279.05,277.59,278.91
2008-02-16 22:01:58.190000,L5,344.84,325.57,324.62,323.69
2008-11-21 22:01:05.982000,L5,286.73,248.59,,
2009-01-01 21:56:07.642000,L5,306.70,280.58,273.69,286.93
2009-01-24 22:02:55.057000,L5,298.86,269.16,249.39,260.70
2010-02-05 22:02:17.935000,L5,290.13,270.02,,
2010-02-12 22:08:30.110000,L5,298.78,280.51,,
2010-11-27 22:07:24.215000,L5,297.33,262.45,,
2011-01-14 22:07:31.728000,L5,302.25,288.14,267.09,270.19
2011-02-15 22:07:34.670000,L5,282.99,270.11,,
2011-03-12 22:01:19.581000,L5,324.91,311.47,307.44,309.69
2011-03-28 22:01:14.403000,L5,273.69,268.12,250.63,272.47
2011-08-19 22:00:12.535000,L5,265.52,271.87,284.33,300.12
2011-09-04 22:00:03.630000,L5,,,242.98,281.70
2013-04-25 22:19:21.025000,L8,296.91,306.69,312.10,307.52
2013-05-11 22:19:31.249000,L8,,,268.98,278.00
2013-05-20 22:13:26.604000,L8,,291.13,284.22,300.76
2013-06-28 22:19:33.252000,L8,280.10,310.94,312.46,310.55
2013-07-07 22:13:24.262000,L8,,273.36,286.27,298.38
2013-07-14 22:19:34.707000,L8,,,269.83,281.17
2013-08-31 22:19:38.558000,L8,,,242.91,275.71
2013-09-09 22:13:25.749000,L8,312.86,333.65,333.95,363.66
2013-09-25 22:13:17.289000,L8,262.84,,,
2013-10-02 22:19:28.820000,L8,,280.87,289.33,282.60
2013-11-03 22:19:20.378000,L8,277.11,262.79,,
2013-11-12 22:13:08.247000,L8,312.69,309.92,317.71,310.60
2013-11-28 22:13:02.012000,L8,295.36,278.71,,
2013-12-05 22:19:13.005000,L8,300.65,295.43,297.05,298.39
2013-12-14 22:12:57.636000,L8,315.81,315.09,322.71,317.93
2013-12-30 22:12:49.393000,L8,539.91,320.16,332.82,343.34
2014-01-06 22:18:54.881000,L8,303.94,308.05,307.21,300.16
2014-01-15 22:12:33.689000,L8,310.34,310.26,318.91,316.12
2014-01-31 22:12:28.855000,L8,311.11,312.66,316.97,318.47
2014-02-07 22:18:33.391000,L8,274.90,278.89,241.45,276.83
2014-02-23 22:18:20.398000,L8,300.17,307.47,306.42,297.15
2014-03-27 22:17:50.001000,L8,270.87,281.42,,280.06
2014-04-05 22:11:34.747000,L8,313.40,313.36,321.56,321.36
2014-04-12 22:17:37.464000,L8,293.69,300.79,300.36,295.31
2014-04-21 22:11:18.224000,L8,303.32,309.91,324.45,317.87
2014-04-28 22:17:22.576000,L8,299.68,310.10,315.88,303.91
2014-05-07 22:11:02.102000,L8,,,255.21,299.82
2014-05-14 22:17:08.923000,L8,,,256.96,279.95
2014-07-17 22:17:28.260000,L8,,269.98,277.89,283.31
2014-07-26 22:11:19.207000,L8,,,,298.05
2014-10-14 22:11:38.746000,L8,282.77,280.30,291.21,294.67
2014-10-30 22:11:34.905000,L8,316.70,312.11,324.02,314.15
2014-12-01 22:11:36.363000,L8,,288.78,292.22,293.11
2015-01-02 22:11:27.004000,L8,331.94,309.58,314.87,309.67
2015-01-25 22:17:32.812000,L8,330.62,327.65,321.40,313.66
2015-02-26 22:17:23.009000,L8,311.64,306.70,304.28,299.06
2015-03-30 22:17:01.871000,L8,293.93,302.76,306.27,294.13
2015-04-24 22:10:44.446000,L8,,,250.91,289.49
2015-05-10 22:10:28.533000,L8,,290.14,259.24,299.11
2015-06-11 22:10:40.593000,L8,,,299.04,306.80
2015-07-04 22:17:02.361000,L8,305.91,301.53,303.34,294.77
2015-07-20 22:17:10.706000,L8,,,279.22,283.38
2015-07-29 22:11:01.897000,L8,,,249.33,297.87
2015-10-08 22:17:36.852000,L8,288.14,287.60,289.18,286.88
2015-10-24 22:17:40.820000,L8,301.10,302.89,305.68,295.74
2015-11-02 22:11:31.889000,L8,367.14,346.67,328.00,349.39
2015-12-11 22:17:42.627000,L8,295.70,289.87,284.35,285.44
2015-12-20 22:11:33.546000,L8,318.53,313.38,318.09,313.32
2015-12-27 22:17:43.409000,L8,314.87,307.06,307.13,297.77
2016-01-12 22:17:40.472000,L8,273.73,263.29,,269.60
2016-01-21 22:11:30.113000,L8,284.80,295.44,261.50,298.83
2016-01-28 22:17:39.790000,L8,270.01,271.91,,
2016-02-06 22:11:25.966000,L8,541.43,324.03,310.14,315.04
2016-02-22 22:11:18.630000,L8,276.41,289.24,,287.32
2016-03-09 22:11:16.948000,L8,311.39,321.91,325.13,323.06
2016-03-25 22:11:08.402000,L8,,,,299.15
