dates,nzd0379-0000,nzd0379-0002,nzd0379-0003,nzd0379-0004,nzd0379-0005,nzd0379-0006,nzd0379-0007,nzd0379-0008,nzd0379-0009,nzd0379-0010,nzd0379-0011,nzd0379-0012,nzd0379-0013,nzd0379-0014,nzd0379-0015,nzd0379-0016,nzd0379-0017,nzd0379-0018,nzd0379-0019,nzd0379-0020,nzd0379-0021,nzd0379-0022,nzd0379-0023,nzd0379-0024,nzd0379-0025,nzd0379-0026,nzd0379-0027,nzd0379-0028,nzd0379-0029,nzd0379-0030,nzd0379-0031,nzd0379-0032,nzd0379-0033,nzd0379-0034,nzd0379-0035,nzd0379-0036,nzd0379-0037,nzd0379-0038,nzd0379-0039,nzd0379-0040,nzd0379-0001
1999-09-18 22:12:27+00:00,,,,,,,237.48,288.64,,,258.36,276.73,280.03,245.54,239.39,226.89,192.28,213.19,229.04,233.54,228.38,,241.24,,301.33,299.92,273.3,251.84,,250.51,,266.03,271.57,,281.75,,,301.07,,,
1999-10-13 22:06:24+00:00,,,,,,,235.52499999999998,288.185,,,257.745,276.495,278.19,245.54,239.39,226.89,196.785,223.04,230.225,233.14999999999998,231.26999999999998,,244.31,276.39,294.54999999999995,296.57000000000005,272.595,264.64,,250.51,,259.14,269.12,226.66,275.38,,,301.07,,,
1999-11-21 22:12:24+00:00,,177.26,200.39,233.16,224.44,249.55,239.1,279.8566666666666,,199.17,258.66333333333336,276.495,260.7,245.54,239.39,226.89,196.785,223.04,230.225,233.14999999999998,231.26999999999998,,244.31,276.39,294.54999999999995,296.57000000000005,272.595,264.64,,250.51,,259.14,269.12,226.66,275.38,,,301.07,,,
1999-12-07 22:12:29+00:00,,178.20999999999998,203.64999999999998,235.365,238.305,255.28,239.175,279.14,,199.17,262.28499999999997,274.72333333333336,255.0,245.54,239.39,235.56,215.9466666666667,236.32000000000002,242.72333333333336,249.76333333333332,244.26999999999998,275.62,255.16333333333333,279.42499999999995,291.89,291.08,275.43666666666667,272.69,,249.57999999999998,231.39,261.08,273.2266666666667,215.45,274.5733333333333,,205.79,289.345,,253.64,
2000-09-04 22:10:22+00:00,,,,,,,234.28,,,,,,,268.18,233.45,275.28,,,,,,,,,,282.83,277.29,258.67,217.59,243.0,228.07,255.5,269.94,266.45,268.74,,,,,,
2000-09-13 22:04:02+00:00,,,,,,253.51,228.735,271.29,,204.96,245.4,263.76,277.8,268.18,248.31,277.78,224.0,259.4,256.05,264.49,248.1,263.56,265.3,265.82,279.41,288.255,278.175,245.3,218.9,243.3,219.51,253.425,268.765,259.56,266.685,268.87,235.81,254.59,260.0,,
2000-11-07 22:09:53+00:00,,,213.39,250.86,259.58,262.33,235.20000000000002,264.025,,204.96,251.135,268.36,277.8,268.18,248.31,277.78,226.16500000000002,258.585,251.03,266.09000000000003,243.765,255.35,269.375,263.11,267.065,288.255,278.175,245.3,218.9,243.3,206.21666666666667,251.54666666666665,266.60999999999996,257.79,266.09666666666664,269.025,237.91,254.835,259.61,241.03,
2001-01-03 22:03:48+00:00,,,213.39,250.86,259.58,262.33,235.20000000000002,264.025,,204.96,266.3566666666666,276.67333333333335,287.22,279.84000000000003,262.86333333333334,284.9033333333333,226.16500000000002,258.585,264.37,272.85999999999996,256.31666666666666,265.81,275.40000000000003,274.47666666666663,267.065,296.66,291.3833333333334,262.05,218.9,243.3,229.6275,259.6275,266.60999999999996,264.2175,269.05,287.0,237.91,254.835,259.61,241.03,
2001-01-10 22:10:03+00:00,,,213.39,250.86,259.58,260.89,235.5875,264.025,242.4,211.335,262.6125,276.67333333333335,287.22,279.84000000000003,256.40250000000003,284.9033333333333,231.65666666666667,257.7966666666667,264.37,272.85999999999996,256.31666666666666,265.81,275.40000000000003,274.47666666666663,267.065,296.66,291.3833333333334,265.985,238.0566666666667,245.85666666666665,236.18199999999996,259.6275,266.60999999999996,264.2175,269.05,287.0,237.91,254.835,259.61,241.03,
2001-03-08 22:03:44+00:00,,,213.39,250.86,259.58,269.685,252.6275,272.6366666666667,248.615,238.58333333333334,267.698,272.125,283.3666666666667,286.15,262.0625,289.715,234.44,258.13,264.37,272.85999999999996,256.31666666666666,265.81,275.40000000000003,274.47666666666663,267.065,305.1666666666667,304.22333333333336,272.1775,260.12666666666667,263.7866666666667,247.67800000000003,261.9925,268.59666666666664,266.65,271.365,287.0,237.91,254.835,259.61,241.03,
2001-08-31 22:02:05+00:00,,,,,,298.365,303.46,289.71500000000003,277.03000000000003,292.79999999999995,270.255,267.07000000000005,276.8,275.605,267.56,282.88,238.43,259.055,269.47,272.08,260.33,272.21,267.58,274.82,,300.185,297.78999999999996,277.615,284.96000000000004,292.52,277.475,261.615,275.505,267.095,273.72,302.63,,296.28,265.0,,
