dates,nzd0323-0000,nzd0323-0001,nzd0323-0002,nzd0323-0003,nzd0323-0004,nzd0323-0005,nzd0323-0006,nzd0323-0007,nzd0323-0008,nzd0323-0009,nzd0323-0010,nzd0323-0011,nzd0323-0012,nzd0323-0013,nzd0323-0014,nzd0323-0015,nzd0323-0016,nzd0323-0017,nzd0323-0018,nzd0323-0019,nzd0323-0020,nzd0323-0021,nzd0323-0022,nzd0323-0023,nzd0323-0024,nzd0323-0025,nzd0323-0026,nzd0323-0027,nzd0323-0028,nzd0323-0029,nzd0323-0030,nzd0323-0031,nzd0323-0032,nzd0323-0033,nzd0323-0034,nzd0323-0035,nzd0323-0036
2001-01-10 22:09:39+00:00,226.67,240.54,234.96,226.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-03 22:01:22+00:00,,,,,217.88,219.47,229.4,229.26,231.38,237.15,223.38,219.37,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-29 21:50:14+00:00,245.86,233.32,220.27,208.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-05 21:56:31+00:00,265.43,233.32,240.09500000000003,208.66,241.66,245.58,248.86,253.97,250.23,243.66,234.02,210.85,194.51,208.26,218.53,218.55,214.33,185.48,245.06,220.69,205.81,,211.17,206.85,178.59,,,,,,,,178.99,178.81,200.02,200.48,
2004-01-27 21:58:02+00:00,265.43,228.965,240.09500000000003,198.985,241.66,245.58,248.86,253.97,250.23,243.66,234.02,210.85,194.51,208.26,218.53,218.55,214.33,185.48,245.06,220.69,205.81,,211.17,206.85,178.59,,,,,,,,178.99,178.81,200.02,200.48,
2004-05-18 21:59:50+00:00,285.54,251.88,265.12,222.085,236.15,242.57,248.78,250.25,245.33,239.8,236.57,213.74,200.62,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-12 21:54:23+00:00,278.97,255.83,259.115,225.61333333333334,220.635,227.95,239.23000000000002,233.70499999999998,231.54500000000002,223.8,217.48,213.74,200.62,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-14 21:55:18+00:00,276.25,257.1825,254.23666666666665,226.815,216.98000000000002,222.48000000000002,234.37333333333333,233.70499999999998,231.54500000000002,223.8,217.48,213.74,200.62,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-15 21:56:01+00:00,268.875,259.7625,245.83499999999998,230.0175,216.98000000000002,222.48000000000002,234.37333333333333,233.70499999999998,231.54500000000002,223.8,217.48,213.74,200.62,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-22 22:02:24+00:00,265.252,255.58200000000002,241.334,225.988,216.98000000000002,222.48000000000002,234.37333333333333,233.70499999999998,231.54500000000002,223.8,217.48,213.74,200.62,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-14 22:05:45+00:00,237.935,227.755,212.7,201.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-11 21:59:55+00:00,234.65,225.07,210.75499999999997,201.21,198.23,204.56,208.88,214.72,201.57,195.84,191.49,191.81,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-05 22:06:25+00:00,245.66666666666666,233.50333333333333,220.99666666666664,210.42333333333332,204.64,212.20499999999998,216.8,222.905,213.64,211.45499999999998,202.775,198.62,183.88,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-15 22:00:34+00:00,256.745,245.32,231.1075,218.99,217.1966666666667,218.76666666666665,222.27666666666664,229.83333333333334,218.16666666666666,219.92666666666665,207.20000000000002,192.4466666666667,183.88,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-19 22:01:08+00:00,276.9666666666667,265.7133333333333,249.82333333333335,237.90333333333334,228.1933333333333,231.51666666666665,234.03666666666666,239.42999999999998,230.63,236.75,221.77333333333334,204.16333333333333,202.495,223.56,221.74,220.96,228.32,190.8,242.61,220.14,215.47,203.51,220.74,208.51,194.92,191.49,219.89,214.57,206.28,214.93,206.3,213.74,201.69,185.04,207.44,199.29,
