dates,nzd0533-0000,nzd0533-0001,nzd0533-0002,nzd0533-0003,nzd0533-0004,nzd0533-0005,nzd0533-0006,nzd0533-0007,nzd0533-0008,nzd0533-0009,nzd0533-0010,nzd0533-0011,nzd0533-0012,nzd0533-0013,nzd0533-0014,nzd0533-0015,nzd0533-0016,nzd0533-0017,nzd0533-0018,nzd0533-0019,nzd0533-0020,nzd0533-0021,nzd0533-0022,nzd0533-0023,nzd0533-0024,nzd0533-0025,nzd0533-0026,nzd0533-0027,nzd0533-0028,nzd0533-0029,nzd0533-0030,nzd0533-0031,nzd0533-0032,nzd0533-0042,nzd0533-0043,nzd0533-0044,nzd0533-0045,nzd0533-0046,nzd0533-0047,nzd0533-0048,nzd0533-0049,nzd0533-0050,nzd0533-0051,nzd0533-0052,nzd0533-0053,nzd0533-0054,nzd0533-0055,nzd0533-0056,nzd0533-0057,nzd0533-0058,nzd0533-0059,nzd0533-0060,nzd0533-0061,nzd0533-0062,nzd0533-0063,nzd0533-0033,nzd0533-0034,nzd0533-0035,nzd0533-0036,nzd0533-0037,nzd0533-0038,nzd0533-0039,nzd0533-0040,nzd0533-0041,satname
2002-07-31 22:15:11.713,271.15,273.84,244.57,236.89,226.06,209.58,204.98,211.92,201.26,192.27,195.11,172.46,181.08,173.33,168.75,164.46,169.44,170.36,172.6,187.36,190.33,192.69,195.5,191.14,206.26,211.44,209.24,213.36,,,259.54,239.89,243.13,339.39,359.32,,380.62,360.89,374.99,380.29,381.32,366.72,347.45,312.4,312.6,364.67,338.67,366.84,347.11,329.61,355.53,383.46,379.07,367.58,366.7,243.54,270.44,255.0,268.65,239.26,188.23,215.75,246.94,282.24,L7
2002-12-06 22:15:13.685,265.15999999999997,263.08,238.25,229.385,220.885,206.21,200.1,206.65499999999997,195.67000000000002,186.405,187.29000000000002,172.66000000000003,174.10500000000002,171.45,165.7,152.9,168.5,165.325,171.415,179.325,191.15,195.425,198.1,194.825,203.745,208.625,206.925,212.92000000000002,,,247.645,236.435,240.45,339.39,359.32,,363.185,353.085,374.99,374.27,370.15,356.95000000000005,327.32,295.21,312.6,364.67,338.67,351.64,336.55,325.32500000000005,355.53,383.46,379.07,363.275,359.385,241.885,259.405,254.3,259.84,239.26,195.76999999999998,214.59,246.165,272.83000000000004,L7
2003-04-13 22:15:43.669,269.04,260.29999999999995,248.54,225.77499999999998,223.35500000000002,210.41500000000002,204.42000000000002,211.175,197.75,188.45,186.20499999999998,179.33,176.11,174.09,170.925,152.22500000000002,172.36,168.175,174.055,184.7,202.54000000000002,198.01999999999998,202.5,207.2,208.85,212.57999999999998,210.99,220.86,431.42,456.59,235.75,232.98,246.385,329.37,356.9,370.71,362.605,356.16999999999996,376.21,376.21500000000003,367.71000000000004,358.615,319.325,287.17499999999995,327.6,338.61,338.89,341.58000000000004,332.475,325.5,349.83,365.36,370.12,360.56,353.53,251.38,258.09000000000003,262.89,263.94,248.82,213.82999999999998,213.43,254.93,276.31,L7
2003-05-15 22:15:40.676,269.48,255.64999999999998,244.08666666666667,226.44666666666663,221.93666666666664,207.28333333333333,205.10333333333332,208.38333333333333,196.83,190.26666666666665,187.92333333333332,179.65666666666667,176.6966666666667,174.01,169.60999999999999,154.28666666666666,171.81000000000003,167.22333333333333,173.12,184.25666666666666,200.63333333333333,198.01999999999998,202.5,207.2,208.85,205.50333333333333,205.91,222.90333333333334,431.42,456.59,241.86,232.42000000000002,239.92666666666665,329.37,356.9,370.71,362.605,356.16999999999996,372.62,375.4633333333333,369.34,364.53999999999996,322.0833333333333,289.56333333333333,321.20500000000004,335.385,331.63,340.56,331.5233333333333,324.23333333333335,350.99,367.46000000000004,371.26,360.9166666666667,354.6933333333333,247.13,258.09000000000003,257.1566666666667,267.76,236.09,213.82999999999998,213.43,254.93,276.31,L7
2003-08-11 22:03:51.447,274.7833333333333,262.00999999999993,251.38333333333333,237.98333333333335,232.5233333333333,215.42333333333332,222.87333333333333,211.88,207.43666666666664,199.32000000000002,196.9433333333333,194.64333333333335,194.10333333333332,183.98000000000002,173.08999999999997,172.69666666666663,182.38333333333333,177.02666666666667,174.565,190.74,204.96499999999997,197.88,225.82,238.29999999999998,239.47500000000002,205.35,206.56,247.72333333333333,363.435,375.475,274.335,265.065,261.37,329.37,373.21,377.58,385.45,379.635,379.3833333333334,387.2366666666667,382.54333333333335,380.8766666666666,342.51,306.31333333333333,328.9433333333333,345.0133333333333,340.26,353.9666666666667,346.24666666666667,335.61333333333334,360.6333333333334,377.06666666666666,379.32666666666665,371.49,366.3633333333334,271.8433333333333,296.59000000000003,258.935,289.95,236.09,257.96500000000003,324.12,303.665,322.71500000000003,L5
2003-10-07 21:58:35.519,274.7833333333333,262.00999999999993,251.38333333333333,237.98333333333335,232.5233333333333,215.42333333333332,222.87333333333333,211.88,207.43666666666664,199.32000000000002,196.9433333333333,194.64333333333335,194.10333333333332,183.98000000000002,167.34333333333333,168.1125,177.4025,175.60750000000002,177.60333333333332,191.54333333333338,205.68666666666664,210.01,224.45000000000002,233.16333333333333,236.47000000000003,214.67,218.2733333333333,249.77999999999997,330.2633333333333,341.84,276.91333333333336,270.25333333333333,268.7275,329.37,384.0533333333333,392.74666666666667,399.45666666666665,379.635,379.3833333333334,387.2366666666667,382.54333333333335,380.8766666666666,342.51,306.31333333333333,328.9433333333333,345.0133333333333,340.26,353.9666666666667,346.24666666666667,335.61333333333334,360.6333333333334,377.06666666666666,379.32666666666665,371.49,366.3633333333334,279.9325,303.28333333333336,258.935,296.05,236.09,264.47333333333336,317.72,311.82666666666665,334.0466666666667,L5
2003-10-14 22:04:51.425,271.48333333333335,258.0566666666667,243.03333333333333,242.11666666666667,231.1933333333333,214.68999999999997,223.19666666666663,204.145,205.78666666666666,198.29333333333332,200.24,194.74333333333334,196.36333333333332,188.17,172.57000000000002,174.45999999999998,181.645,181.71749999999997,185.93999999999997,198.0,209.83333333333334,229.94,233.07333333333335,239.39666666666665,243.9366666666667,219.35999999999999,228.45333333333335,256.2125,272.59666666666664,276.86,274.055,268.545,272.38,344.41,397.62999999999994,391.7233333333333,398.8833333333334,383.78999999999996,378.3633333333333,386.57,383.43333333333334,383.60999999999996,348.49,310.7433333333333,329.0466666666667,348.1666666666667,343.28999999999996,357.9533333333333,353.5466666666666,343.72333333333336,370.3633333333334,387.06666666666666,388.8666666666666,381.4533333333334,377.2,282.255,306.2733333333333,263.51,295.595,223.22500000000002,277.25,302.77,321.2966666666667,343.97333333333336,L5
2003-12-01 22:05:28.760,270.96999999999997,264.0933333333333,245.5,245.76999999999998,234.56333333333336,220.67,228.90666666666667,208.11,207.79,198.04333333333332,201.35333333333335,195.75333333333333,200.58,193.34666666666666,181.26666666666665,182.0875,187.9525,183.91500000000002,187.09666666666666,205.315,216.34000000000003,229.94,233.07333333333335,237.6075,242.16000000000003,233.5,243.32000000000002,259.3025,266.485,273.25,277.49,276.595,283.2525,364.85,397.62999999999994,395.5175,399.4525,387.2,384.3666666666666,392.98333333333335,387.1000000000001,384.9166666666667,355.93333333333334,313.84666666666664,332.55333333333334,349.25666666666666,351.0466666666666,364.24333333333334,361.9066666666667,355.49333333333334,382.17333333333335,397.0166666666667,396.4533333333334,391.7733333333333,387.4766666666667,292.59000000000003,301.2525,288.28,299.345,238.945,273.995,295.23,315.65999999999997,343.045,L5
2004-03-31 21:59:59.745,268.91499999999996,260.44,241.34,240.40999999999997,228.11,217.375,219.09500000000003,208.11,200.735,193.215,198.76500000000001,184.72,191.19500000000002,190.28,181.26666666666665,177.26,184.17666666666665,181.98666666666668,187.09666666666666,205.315,216.34000000000003,229.94,225.94,229.90666666666667,235.38666666666668,233.5,243.32000000000002,250.09000000000003,256.83000000000004,266.2133333333333,269.7533333333334,258.07,266.3025,364.85,405.74,399.20666666666665,402.1233333333333,384.69499999999994,380.09499999999997,387.69000000000005,381.3550000000001,379.28,349.66499999999996,306.635,326.62,341.75,347.80999999999995,358.035,357.78,355.65000000000003,383.3,397.3850000000001,396.95000000000005,392.31499999999994,387.675,285.33000000000004,282.845,280.21666666666664,283.615,249.25333333333333,268.1333333333334,285.6,306.5933333333333,338.65000000000003,L5
2004-04-23 22:06:53.682,276.235,268.41999999999996,247.41500000000002,243.92000000000002,234.11,222.425,227.69,216.57999999999998,207.975,198.5,199.32999999999998,187.97,192.985,191.77499999999998,197.56,192.345,197.62,186.15,191.54000000000002,225.63,242.65,230.78,232.34,241.265,245.98000000000002,240.72500000000002,248.54000000000002,254.45499999999998,264.09,274.59000000000003,274.21500000000003,244.11499999999998,252.4,374.19500000000005,382.05,398.67999999999995,399.37,393.275,386.48,395.155,389.94500000000005,385.71500000000003,356.53499999999997,305.14,330.41999999999996,344.42,352.37,361.385,355.9,358.16499999999996,381.825,398.6,397.425,393.445,390.39,291.65,286.03000000000003,290.43,285.25,266.8633333333333,278.535,281.655,305.33000000000004,341.94,L5
2004-05-02 22:00:57.398,276.235,268.41999999999996,247.41500000000002,243.92000000000002,234.11,222.425,227.69,216.57999999999998,207.975,198.5,199.32999999999998,187.97,192.985,191.77499999999998,197.56,192.345,197.62,186.15,191.54000000000002,225.63,242.65,230.78,232.34,241.265,245.98000000000002,240.72500000000002,248.54000000000002,254.45499999999998,264.09,274.59000000000003,274.21500000000003,234.24,243.78666666666666,374.19500000000005,382.05,398.67999999999995,399.37,393.275,386.48,395.155,389.94500000000005,385.71500000000003,356.53499999999997,305.14,330.41999999999996,344.42,352.37,361.385,355.9,358.16499999999996,381.825,398.6,397.425,393.445,390.39,291.65,286.03000000000003,290.43,285.25,266.8633333333333,278.535,281.655,305.33000000000004,341.94,L5
2004-05-09 22:07:21.512,276.8066666666667,266.90000000000003,247.37333333333333,244.95333333333335,234.08333333333334,223.57666666666668,230.83333333333334,216.89666666666668,210.47666666666666,200.25,200.98666666666668,188.08333333333334,195.29666666666665,191.87666666666667,197.46333333333334,191.92333333333332,194.17666666666665,184.53,196.16,216.93,240.66,230.775,233.37,241.15,252.39,247.84333333333333,253.46,260.42,270.6433333333333,280.90333333333336,280.33,246.51,256.305,369.2066666666667,378.56,393.93,396.3533333333333,390.68333333333334,386.33,395.5833333333333,389.67,387.8633333333334,355.64000000000004,308.31666666666666,335.1466666666667,347.83,354.32666666666665,362.44666666666666,359.41333333333336,356.6266666666667,380.3633333333333,395.8966666666667,395.16,391.3566666666666,388.74666666666667,294.43333333333334,294.1925,297.6125,291.12,268.19,282.43333333333334,283.1566666666667,308.64000000000004,343.87999999999994,L5
2004-05-18 22:01:26.569,276.8066666666667,266.90000000000003,247.37333333333333,244.95333333333335,234.08333333333334,223.57666666666668,230.83333333333334,216.89666666666668,210.47666666666666,200.25,200.98666666666668,188.08333333333334,195.29666666666665,191.87666666666667,197.46333333333334,191.92333333333332,194.17666666666665,184.53,196.16,216.93,240.66,230.775,233.37,241.15,252.39,247.84333333333333,253.46,253.4875,270.6433333333333,277.4075,278.8,252.61399999999998,260.63800000000003,369.2066666666667,378.56,393.93,396.3533333333333,390.68333333333334,386.33,395.5833333333333,389.67,387.8633333333334,355.64000000000004,308.31666666666666,344.7675,347.83,354.32666666666665,362.44666666666666,359.41333333333336,356.6266666666667,388.9625,395.8966666666667,395.16,391.3566666666666,388.74666666666667,293.29,294.1925,297.6125,291.12,268.19,282.43333333333334,283.1566666666667,308.64000000000004,343.87999999999994,L5
