dates,satname,nzd0533-0000,nzd0533-0001,nzd0533-0002,nzd0533-0003,nzd0533-0004,nzd0533-0005,nzd0533-0006,nzd0533-0007,nzd0533-0008,nzd0533-0009,nzd0533-0010,nzd0533-0011,nzd0533-0012,nzd0533-0013,nzd0533-0014,nzd0533-0015,nzd0533-0016,nzd0533-0017,nzd0533-0018,nzd0533-0019,nzd0533-0020,nzd0533-0021,nzd0533-0022,nzd0533-0023,nzd0533-0024,nzd0533-0025,nzd0533-0026,nzd0533-0027,nzd0533-0028,nzd0533-0029,nzd0533-0030,nzd0533-0031,nzd0533-0032,nzd0533-0042,nzd0533-0043,nzd0533-0044,nzd0533-0045,nzd0533-0046,nzd0533-0047,nzd0533-0048,nzd0533-0049,nzd0533-0050,nzd0533-0051,nzd0533-0052,nzd0533-0053,nzd0533-0054,nzd0533-0055,nzd0533-0056,nzd0533-0057,nzd0533-0058,nzd0533-0059,nzd0533-0060,nzd0533-0061,nzd0533-0062,nzd0533-0063,nzd0533-0033,nzd0533-0034,nzd0533-0035,nzd0533-0036,nzd0533-0037,nzd0533-0038,nzd0533-0039,nzd0533-0040,nzd0533-0041
2006-08-19 22:20:27.469000,L5,231.10,214.95,201.61,197.53,170.08,154.23,,,,,,,,,,,,,,,,,,,,,160.59,147.44,151.61,198.76,211.38,221.37,215.09,237.86,,,177.93,311.36,340.78,355.82,331.30,335.12,305.05,262.81,291.18,313.82,305.25,319.86,317.96,301.50,330.59,350.26,365.40,367.65,369.82,223.11,234.82,243.12,239.49,,,,246.93,276.39
2006-09-20 22:20:51.034000,L5,276.22,274.27,265.28,263.37,256.39,266.25,266.90,254.95,247.79,243.92,238.56,243.60,237.48,238.82,240.31,243.43,249.75,253.61,262.26,271.60,272.27,277.97,279.47,279.11,276.56,277.75,284.68,295.35,302.80,308.02,305.50,308.74,309.81,366.92,381.80,397.56,394.16,397.31,404.91,403.99,401.51,400.03,369.65,355.20,359.46,372.76,372.58,380.36,369.87,371.32,384.97,401.08,399.03,385.45,385.31,319.06,333.06,334.46,334.07,308.08,312.87,333.96,351.27,359.57
2006-12-09 22:21:36.590000,L5,274.02,258.26,239.05,237.82,225.22,215.01,227.20,218.53,216.89,208.84,210.09,204.38,203.87,203.03,207.54,206.97,210.68,218.25,222.36,227.76,238.54,253.44,242.08,242.99,249.20,249.73,249.67,253.93,261.30,269.27,274.06,272.27,277.55,345.00,362.92,378.93,391.67,385.05,396.91,403.26,395.04,392.72,353.98,321.66,343.60,359.54,364.92,367.01,350.27,341.15,366.25,380.76,384.18,378.99,376.35,289.27,298.94,303.05,296.68,279.97,267.16,276.51,293.71,316.44
2007-01-26 22:21:54.849000,L5,275.36,275.17,253.32,250.58,239.43,228.86,235.33,225.15,214.32,206.39,206.47,200.49,202.14,203.30,209.55,209.63,214.24,221.09,226.53,231.75,244.83,249.06,242.40,243.78,249.86,251.96,256.25,260.65,269.81,277.81,279.67,282.09,289.13,359.95,373.98,386.77,390.21,387.45,387.02,394.46,388.63,388.28,361.21,306.75,330.41,345.73,352.40,359.42,360.15,359.10,381.62,398.28,397.40,393.42,391.12,296.51,311.42,306.29,299.72,268.31,286.77,288.67,310.36,342.00
2007-02-04 22:15:45.266000,L5,,,,,,,,,,,,,,,,,,153.05,164.01,176.03,189.30,200.21,202.93,202.18,209.27,222.58,228.91,239.10,243.00,253.79,263.56,275.48,287.45,379.19,403.55,422.44,427.36,432.50,437.08,441.09,453.43,442.06,441.37,415.87,371.32,396.81,421.21,428.86,421.85,421.04,425.90,453.18,463.02,461.75,463.46,296.69,308.42,320.89,305.89,307.08,278.14,307.60,313.59,347.50
2007-02-11 22:21:56.518000,L5,266.24,263.08,249.66,249.55,234.24,223.56,237.48,229.96,217.93,211.48,211.39,201.13,204.27,204.08,207.49,206.53,212.95,217.59,222.57,228.18,244.88,250.07,241.21,241.74,249.42,252.11,253.25,257.95,264.41,272.81,278.00,279.96,289.71,354.36,370.86,381.11,386.34,383.17,386.41,397.26,388.52,390.36,358.82,311.61,334.99,356.69,360.57,370.95,363.75,358.99,380.85,401.34,402.28,386.52,381.13,295.18,306.49,308.79,300.55,278.23,286.86,286.27,308.74,331.05
2008-10-27 22:10:37.958000,L5,286.76,296.73,276.32,282.31,280.45,285.36,285.07,274.77,267.35,276.44,274.28,277.07,273.10,271.19,273.86,280.46,285.27,285.14,290.58,297.04,299.71,305.37,298.50,296.31,298.48,306.90,309.27,317.21,318.75,320.68,311.76,315.48,321.73,388.11,400.17,408.05,411.14,412.00,406.82,420.72,406.32,408.52,397.27,372.00,342.47,365.23,365.52,371.66,374.57,371.92,387.53,403.50,401.17,403.35,401.31,331.16,337.77,340.74,331.74,327.64,321.86,355.79,360.88,376.37
2009-01-31 22:12:28.607000,L5,252.84,243.94,228.36,228.11,211.04,197.81,200.13,191.31,186.74,176.12,171.35,157.05,,,,,,,,,153.67,185.72,179.31,194.78,210.04,200.08,212.61,217.59,233.14,246.74,249.26,253.04,255.61,324.89,353.77,369.10,369.09,366.04,371.88,382.06,370.16,375.30,334.23,294.35,315.17,339.88,342.14,350.98,340.44,330.17,346.82,366.49,363.01,360.06,362.00,262.41,271.63,279.83,281.85,259.70,,,,
2010-11-02 22:16:48.420000,L5,279.46,282.83,279.07,276.73,261.46,255.94,266.65,266.47,252.76,254.40,258.91,264.67,265.26,259.48,260.83,258.99,264.08,264.45,268.90,276.92,283.08,293.32,281.87,276.30,281.12,287.49,297.66,299.34,308.14,309.05,309.30,309.73,312.96,376.68,391.68,396.32,399.97,401.33,400.10,409.06,408.41,410.05,386.34,353.10,349.04,359.28,365.01,368.51,365.80,361.92,375.94,385.92,388.09,384.83,384.57,316.40,326.87,331.37,322.79,314.56,308.89,310.74,340.00,363.70
2010-12-20 22:16:50.270000,L5,277.52,279.73,253.89,269.52,256.18,241.60,255.41,255.57,250.96,237.99,258.45,222.88,226.34,236.90,254.19,248.19,247.16,256.54,264.21,274.55,279.11,294.07,278.04,274.20,278.13,283.22,292.66,294.98,301.18,302.87,300.95,303.61,309.24,367.78,381.51,389.99,393.73,397.86,408.01,411.43,406.39,405.76,385.70,354.31,353.56,366.01,368.05,376.50,364.18,354.24,370.31,385.32,384.47,380.82,380.45,312.68,320.47,331.14,319.80,309.53,298.54,308.02,329.10,349.41
