dates,nzd0524-0000,nzd0524-0001,nzd0524-0002,nzd0524-0003,nzd0524-0004,nzd0524-0005,nzd0524-0006,nzd0524-0007,nzd0524-0008,nzd0524-0009,nzd0524-0010,nzd0524-0011,nzd0524-0012,nzd0524-0013,nzd0524-0014,nzd0524-0015,nzd0524-0016,nzd0524-0017,nzd0524-0019,nzd0524-0020,nzd0524-0021,nzd0524-0022,nzd0524-0023,nzd0524-0024,nzd0524-0025,nzd0524-0026,nzd0524-0027,nzd0524-0028,nzd0524-0029,nzd0524-0030,nzd0524-0031,nzd0524-0032,nzd0524-0033,nzd0524-0034,nzd0524-0035,nzd0524-0036,nzd0524-0037,nzd0524-0038,nzd0524-0039,nzd0524-0040,nzd0524-0041,nzd0524-0042,nzd0524-0043,nzd0524-0044,nzd0524-0045,nzd0524-0046,nzd0524-0047,nzd0524-0048,nzd0524-0049,nzd0524-0050,nzd0524-0051,nzd0524-0052,nzd0524-0053,nzd0524-0054,nzd0524-0055,nzd0524-0056,nzd0524-0057,nzd0524-0058,nzd0524-0059,nzd0524-0060,nzd0524-0018,satname
2002-09-10 22:08:43+00:00,,328.31,332.72,311.10999999999996,298.84666666666664,282.4,324.04,,295.03,286.35,276.97,298.55,315.42,300.04,304.71500000000003,,,,334.3,,339.825,,327.93,,309.33,,,296.81,300.22,,,,,,,321.51,329.17,336.3933333333334,349.52666666666664,354.36,338.17,334.46000000000004,343.82,341.43,336.72,326.27,320.2,325.3633333333333,323.1975,324.95,327.82,338.24333333333334,333.71500000000003,315.885,305.57666666666665,299.02,,289.18,290.45,305.56,,L7
2003-02-01 22:09:21+00:00,,,,316.42,297.94,282.4,324.04,,,,,,,,314.33,,,,,,341.71,,,,309.33,,,296.81,300.22,,,,,,,,,338.15500000000003,352.47,356.49,343.09,340.45,343.82,341.43,336.72,337.58,326.44,323.89,323.12,324.95,,333.69,341.91,316.09,303.395,299.02,302.42,289.18,290.45,305.56,,L7
2003-08-13 21:51:32+00:00,,,,,326.14,,,345.96,,,,,,,,323.58,,333.14,,364.33,353.77,,,,,,,,,,,,,,,,,352.68,,,,361.24,,,,,,,,,,,,,,,,319.16,320.96,,,L5
2003-08-29 21:51:49+00:00,,,,,328.515,,,345.96,,,,,,,,323.58,,333.29499999999996,,364.33,353.695,,,,,,,,,,,,,,,,,353.055,,,359.82,361.875,360.72,,352.68,346.01,,336.78,,,346.19,,,,,,,319.16,318.235,339.1,,L5
2003-10-07 21:58:35+00:00,,,,,328.515,,,345.96,,,,,,,,323.58,,333.29499999999996,,364.33,353.695,,,,,,,,,,,,,,,,,353.055,,,359.82,361.875,360.72,,352.68,352.19,352.25,339.995,340.1,345.73,346.44,,,,,,,319.16,318.235,339.1,,L5
2004-05-18 22:01:26+00:00,,,,,334.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.61,,,,,,,,,329.75,,,L5
2004-06-12 21:55:59+00:00,,328.45,333.55,343.25,325.305,352.74,,,,,,,,,319.86,328.04,,,,,,,,,,,,,,,,,,,,,,,,370.87,,,,,,,,347.76,330.75,346.925,,,,,,,,,329.75,,330.93,L5
2005-06-15 22:02:10+00:00,,329.75,,348.17,348.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-06-22 22:08:22+00:00,,329.75,337.83,338.61,333.385,344.55,,,,,,,,,321.35,324.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2006-06-25 22:13:31+00:00,,,346.89,326.63,320.94,,,,,,,,342.32,343.96,326.48,324.73,,346.56,,,,,,,,,,,,,,,,,,342.33,352.18,355.83,356.74,365.81,369.44,,,,,333.37,,343.36,347.61,345.72,350.74,358.41,,,,,,327.9,,,,L5
2006-07-27 22:13:58+00:00,,338.78,346.89,326.63,320.94,,,,,,,,342.32,343.96,326.48,324.73,,346.56,,,,,,,,,,,,,,,,,,342.33,352.18,355.83,356.74,365.81,369.44,,,,,337.295,,343.36,347.61,345.72,350.74,358.41,,,,,,327.9,,,,L5
2006-08-05 22:07:55+00:00,,336.0,348.755,338.205,332.895,,,,,,,,342.32,343.96,326.48,330.675,,346.56,,,,,,,,,,,,,,,,,,342.33,352.18,355.83,356.74,365.81,369.44,,,,,338.18666666666667,,343.36,347.61,345.72,350.74,358.41,,,,,,327.9,,,,L5
2006-10-08 22:08:40+00:00,,340.47,351.0833333333333,338.205,339.01666666666665,351.43,,,,,,,342.32,343.96,326.48,330.675,,346.56,,,,,,,,,,,,,,,,,,342.33,352.18,355.83,356.74,365.81,369.44,,,,,338.18666666666667,,343.36,347.61,345.72,350.74,358.41,,,,,,327.9,,,,L5
2006-11-25 22:09:07+00:00,,344.9925,354.49,346.3333333333333,343.0925,355.35,,,,,,,342.32,343.96,326.48,330.675,,346.56,,,,,,,,,,,,,,,,,,342.33,352.18,355.83,356.74,365.81,369.44,,,,,338.18666666666667,,343.36,347.61,345.72,350.74,358.41,,,,,,327.9,,,,L5
2008-12-23 22:05:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.06,,,335.9,337.45,,,,,,,,,,,,302.1,L5
2009-01-17 21:59:44+00:00,,,,,,,,,,,,,,,339.27,339.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.06,,,335.9,337.45,,,,,,,,,,,,302.1,L5
2013-05-11 22:22:42+00:00,,337.39,324.88,326.65,325.77,330.37,341.72,339.81,,,,,,,,320.42,,,,,,,,,,,,,,,,,,,,,,,342.24,349.51,342.61,,,,,,,,,,323.51,,,,,,,,,,,L8
2013-06-05 22:16:38+00:00,273.25,337.39,303.625,306.55499999999995,310.42999999999995,330.37,341.72,339.81,,,,,,,,320.42,,,,,,,,,,,,,,,,304.5,311.07,309.38,318.1,319.07,319.16,318.76,337.58000000000004,341.04499999999996,337.055,336.44,332.08,328.57,301.62,299.84,294.85,292.97,292.42,306.05,314.29499999999996,308.47,312.6,301.51,281.6,281.26,288.12,291.32,291.65,,,L8
2013-07-07 22:16:35+00:00,273.25,336.61,309.62666666666667,312.26,314.69666666666666,328.28499999999997,340.755,338.805,,,330.65,326.24,326.66,325.04,319.87,318.595,328.68,,348.85,,,348.47,341.91,335.37,329.94,323.12,320.22,314.17,317.08,317.41,319.8,304.5,311.07,309.38,318.1,319.07,326.6,327.73,338.93333333333334,343.31333333333333,339.3933333333334,336.44,332.08,328.57,301.62,315.275,310.595,306.42,307.37,314.39,317.27,321.88,318.46000000000004,306.71000000000004,292.26,291.395,296.075,294.66499999999996,297.2,,,L8
2013-07-23 22:16:34+00:00,273.25,336.61,309.62666666666667,312.26,314.69666666666666,328.28499999999997,340.755,338.805,,,330.65,326.24,326.66,325.04,319.87,318.595,328.68,,348.85,,,348.47,341.91,335.37,329.94,323.12,320.22,314.17,317.08,317.41,319.8,305.235,310.635,309.365,317.165,315.445,322.97333333333336,325.7233333333333,335.995,339.4775,336.52,333.29499999999996,329.78499999999997,328.57,301.62,315.275,302.9166666666667,299.5733333333333,300.30333333333334,304.47,312.81,318.2633333333333,313.4766666666667,297.76666666666665,284.49666666666667,282.43,290.84,285.9866666666667,289.96,,,L8
2013-10-02 22:22:40+00:00,273.25,336.61,309.62666666666667,312.26,318.425,326.74,340.755,338.805,,,330.65,326.24,327.06500000000005,325.04,319.87,319.83,328.68,,348.85,,,348.47,341.91,335.37,329.94,324.52,320.22,314.17,317.08,316.985,320.025,312.48,317.8066666666667,315.8666666666667,322.40000000000003,321.59666666666664,325.7475,329.0,337.454,341.034,338.32399999999996,338.68333333333334,334.05333333333334,333.015,319.28,320.1333333333333,309.1925,304.0775,305.9575,309.94,315.51599999999996,322.8375,316.43,303.115,290.7075,287.2425,293.695,291.925,294.5875,,307.58,L8
2013-11-19 22:22:25+00:00,273.25,335.83,302.0,313.2966666666667,315.9766666666667,324.925,339.79,337.8,,,330.65,326.24,327.07,326.51,323.65,320.25,329.53,,348.85,,,348.47,341.91,335.37,329.94,324.52,320.22,314.17,317.08,316.985,320.40000000000003,312.48,317.8066666666667,315.8666666666667,324.88,325.085,327.644,330.722,337.572,341.04200000000003,338.464,340.3725,335.61,334.9166666666667,325.16333333333336,323.0125,313.07,307.558,309.562,313.12,316.128,325.45799999999997,318.462,306.236,295.192,291.54200000000003,295.164,294.216,296.48,325.66,307.205,L8
2014-02-23 22:21:32+00:00,,325.41,328.92,328.90999999999997,330.05,327.4,,338.42,,,,,327.275,327.98,327.43,322.02,330.38,,342.93,347.08,340.72,337.61,,,334.09,326.58000000000004,,,,316.56,320.9533333333333,326.97,332.15,328.87,332.59499999999997,334.72499999999997,334.65,337.5133333333333,344.6366666666667,349.18333333333334,344.86000000000007,346.76666666666665,341.43500000000006,338.09000000000003,336.935,330.75,328.29999999999995,319.53499999999997,323.44999999999993,326.0949999999999,326.4549999999999,336.25,325.93999999999994,318.94000000000005,311.235,305.21000000000004,301.65,306.55999999999995,306.26000000000005,325.66,307.9433333333333,L8
2014-04-21 22:14:29+00:00,,325.41,326.165,327.32666666666665,328.305,331.15,,338.42,,,,,327.08,327.98,327.43,320.9266666666667,330.38,,342.93,347.08,340.72,337.61,,,334.09,327.24,,,,316.2,319.59,,,327.09,332.32,333.17,333.36,336.04,343.8433333333334,348.49666666666667,344.40000000000003,345.48,341.815,340.105,336.53499999999997,332.28499999999997,328.265,321.34000000000003,323.44,324.525,325.71000000000004,333.22,328.505,319.45000000000005,314.355,308.28,301.63,303.41499999999996,303.95000000000005,322.61,306.8966666666667,L8
2014-05-30 22:20:22+00:00,,325.41,324.5566666666667,323.4766666666667,325.83,327.51,,338.42,,,,,,,,320.54999999999995,,,342.93,347.08,340.72,337.61,,,334.09,327.24,,,313.09,315.66999999999996,317.88000000000005,323.67,328.57,326.44,326.94,330.185,330.425,335.1133333333333,343.00666666666666,347.3233333333333,343.91,346.0,344.57000000000005,341.05,337.275,331.34000000000003,327.53999999999996,321.2,322.9,323.21,324.85,330.5,330.42,315.51,306.35,303.32,301.66,299.04999999999995,299.725,318.03,306.93,L8
2014-07-17 22:20:39+00:00,,325.41,324.5566666666667,323.6125,325.515,327.51,,338.42,,,,,,,323.12,319.8333333333333,330.16,,342.93,347.08,340.72,337.61,,,332.53499999999997,327.24,,,313.09,315.66999999999996,318.1075,323.67,329.435,327.3233333333333,327.78499999999997,331.12,331.32,335.595,342.515,347.6,344.245,346.7,345.1366666666667,341.37000000000006,338.04333333333335,332.1366666666667,327.8666666666666,321.66999999999996,320.57,321.985,324.56,333.125,327.39,316.3433333333333,305.63666666666666,303.55333333333334,302.49,300.08,300.8233333333333,318.97333333333336,306.93,L8
2014-08-02 22:20:46+00:00,,325.41,324.5566666666667,323.6125,325.515,327.51,304.31,329.165,317.09,251.35,,,,,323.12,319.8333333333333,330.16,,342.93,347.08,340.72,337.61,,,332.53499999999997,327.24,,,313.09,315.66999999999996,318.1075,317.175,324.76666666666665,323.6775,323.7366666666667,326.35,327.89250000000004,333.246,339.76000000000005,344.424,341.03200000000004,343.57,340.21000000000004,341.37000000000006,338.04333333333335,332.1366666666667,320.4675,314.02666666666664,311.0566666666667,315.9266666666667,318.83,326.29,321.99666666666667,313.1725,301.21,299.60749999999996,298.7275,296.6325,297.775,312.4,306.93,L8
2014-08-11 22:14:39+00:00,,325.41,324.78,323.98199999999997,325.856,327.51,304.31,329.165,317.09,251.35,,,,,323.12,319.8333333333333,330.16,,342.93,347.08,340.72,337.445,,,332.53499999999997,327.24,,,313.09,315.66999999999996,318.252,319.65333333333336,325.7425,324.43,324.97249999999997,327.496,328.53000000000003,333.795,339.925,344.63166666666666,341.62000000000006,344.37999999999994,340.932,341.5525,338.6075,331.58000000000004,321.52799999999996,315.64,312.8775,317.705,320.7125,328.225,323.8375,314.622,302.656,301.488,300.314,298.256,298.898,313.666,306.93,L8
2014-08-18 22:20:51+00:00,,325.41,324.68600000000004,324.18666666666667,326.20166666666665,327.51,304.31,329.165,317.09,251.35,,,,,323.12,319.8333333333333,330.16,,342.93,347.08,340.72,337.67333333333335,,,332.53499999999997,327.24,,,313.09,315.66999999999996,318.252,319.65333333333336,326.502,325.27833333333336,326.024,328.74833333333333,328.9166666666667,334.69571428571425,340.12857142857143,344.85571428571427,342.0371428571429,344.82,341.37833333333333,341.832,338.76599999999996,331.342,322.34999999999997,316.81,314.168,318.61199999999997,322.088,329.296,324.706,315.805,303.7916666666667,302.585,301.35833333333335,298.81333333333333,299.1466666666667,313.666,305.74,L8
