dates,satname,nzd0524-0000,nzd0524-0001,nzd0524-0002,nzd0524-0003,nzd0524-0004,nzd0524-0005,nzd0524-0006,nzd0524-0007,nzd0524-0008,nzd0524-0009,nzd0524-0010,nzd0524-0011,nzd0524-0012,nzd0524-0013,nzd0524-0014,nzd0524-0015,nzd0524-0016,nzd0524-0017,nzd0524-0019,nzd0524-0020,nzd0524-0021,nzd0524-0022,nzd0524-0023,nzd0524-0024,nzd0524-0025,nzd0524-0026,nzd0524-0027,nzd0524-0028,nzd0524-0029,nzd0524-0030,nzd0524-0031,nzd0524-0032,nzd0524-0033,nzd0524-0034,nzd0524-0035,nzd0524-0036,nzd0524-0037,nzd0524-0038,nzd0524-0039,nzd0524-0040,nzd0524-0041,nzd0524-0042,nzd0524-0043,nzd0524-0044,nzd0524-0045,nzd0524-0046,nzd0524-0047,nzd0524-0048,nzd0524-0049,nzd0524-0050,nzd0524-0051,nzd0524-0052,nzd0524-0053,nzd0524-0054,nzd0524-0055,nzd0524-0056,nzd0524-0057,nzd0524-0058,nzd0524-0059,nzd0524-0060,nzd0524-0018
2001-04-16 22:10:54.636000,L7,369.02,307.63,325.34,323.75,316.75,319.50,329.17,326.15,331.53,331.34,325.61,324.69,321.36,324.66,316.39,305.93,327.32,335.66,335.41,355.03,340.63,337.60,326.84,326.46,330.90,329.13,310.11,305.92,,305.71,305.56,328.51,332.59,331.05,335.84,339.11,336.75,331.60,342.16,351.14,353.32,344.53,347.98,339.95,331.11,332.12,323.91,312.41,323.81,321.64,310.23,327.83,322.92,325.88,314.38,298.37,307.83,310.98,311.12,366.41,
2001-08-15 22:03:26.328000,L7,383.59,308.74,325.08,296.74,294.31,276.03,337.83,332.36,329.84,302.45,322.89,325.08,319.47,317.07,301.85,,,,,356.00,351.56,348.07,339.63,335.14,,347.85,340.61,336.99,309.01,314.29,350.10,336.43,343.92,325.30,338.73,342.35,344.81,337.17,336.41,341.98,330.52,330.58,339.90,340.00,318.37,300.42,298.87,299.92,326.64,324.33,310.99,328.55,311.52,287.13,,283.77,292.94,271.26,273.55,300.71,
2002-01-29 22:09:33.112000,L7,,,,,,342.92,376.14,362.25,,,356.53,315.03,313.06,383.36,,,,,403.41,399.17,390.79,348.35,395.64,427.79,413.59,390.20,382.22,389.26,399.08,402.47,412.55,400.09,404.92,319.31,326.00,336.89,336.75,331.62,344.91,348.37,340.26,338.28,335.75,337.45,327.09,324.97,322.43,315.56,315.16,318.88,307.23,328.92,318.24,305.20,301.95,294.89,292.03,294.50,292.26,297.45,305.19
2002-03-11 22:03:31.366000,L7,339.02,293.77,287.37,294.01,281.58,,,310.32,293.86,290.72,286.35,293.39,298.40,291.68,288.08,,,,,,,,,,,,,,,,,302.98,317.15,309.32,314.76,317.72,323.02,318.05,330.59,336.43,331.21,335.17,329.27,329.51,318.81,292.93,267.06,275.16,286.61,292.78,304.31,316.20,309.89,299.79,294.95,254.41,286.27,293.80,291.35,291.22,
2002-04-12 22:03:25.302000,L7,371.80,344.17,336.53,336.58,330.50,324.98,340.84,349.40,358.57,357.01,347.49,349.63,333.32,341.29,330.49,324.54,369.76,362.85,341.53,369.17,387.08,369.29,353.46,362.82,349.41,344.52,350.87,346.17,340.29,381.75,332.26,337.94,364.75,352.27,370.22,345.08,348.51,340.39,353.54,355.95,344.07,350.59,342.68,345.86,344.72,336.69,331.52,322.38,322.12,324.07,318.51,338.20,316.20,309.48,300.31,298.38,297.72,296.43,349.12,365.95,
2002-05-14 22:03:19.418000,L7,366.16,328.31,332.72,335.59,329.33,379.92,394.05,,367.99,373.92,342.70,337.54,366.33,326.12,368.80,324.33,363.73,393.25,342.48,362.47,367.75,367.86,357.29,349.88,341.60,347.42,348.31,318.67,318.02,313.15,311.49,342.93,355.19,344.09,339.00,344.04,346.19,339.04,346.43,358.90,344.38,388.99,349.77,350.26,344.48,341.34,330.75,328.75,330.30,329.87,327.82,338.80,335.47,320.87,347.55,357.11,353.85,351.38,357.52,352.34,
2002-06-15 22:03:07.576000,L7,361.92,313.80,284.67,281.32,269.27,,354.18,332.59,295.03,286.35,276.97,298.55,315.42,300.04,295.10,,,,334.30,347.98,337.94,335.74,327.93,353.69,,,,,,,,306.58,313.15,311.40,334.18,321.51,329.17,332.87,345.29,352.23,327.04,328.47,335.70,340.83,348.52,314.96,303.41,323.45,316.25,323.25,312.95,342.24,325.52,315.68,309.94,302.90,314.45,316.25,315.45,346.49,
2002-08-09 22:08:57.725000,L7,365.10,332.20,321.69,316.42,297.94,282.40,324.04,366.10,332.81,332.13,328.29,361.45,333.35,328.56,314.33,,,,,351.67,341.71,344.47,344.45,347.46,309.33,324.80,329.06,296.81,300.22,314.33,316.29,333.32,336.02,330.34,340.39,334.07,341.98,337.22,349.88,356.49,343.09,340.45,343.82,341.43,336.72,337.58,326.44,323.89,325.34,329.53,324.20,333.69,341.91,316.09,302.73,299.02,322.91,289.18,290.45,305.56,
2002-09-10 22:08:43.416000,L7,,,,,,357.87,364.45,373.60,373.33,357.32,362.92,383.38,385.66,,,,392.85,403.63,409.98,411.24,346.66,399.90,,,,425.27,410.60,410.98,410.16,412.19,414.24,414.90,421.37,384.30,384.41,400.57,340.82,339.09,353.41,414.53,377.87,370.17,364.53,364.42,363.57,365.96,363.60,365.46,320.90,324.95,361.39,365.11,354.59,344.42,304.06,323.50,316.45,,,,406.34
2002-12-24 22:02:57.022000,L7,368.16,336.09,332.33,333.52,328.85,322.30,332.43,330.91,333.92,333.72,328.45,322.37,321.83,321.49,319.59,312.97,325.01,347.09,329.72,341.03,336.34,335.42,333.06,331.00,327.10,319.14,311.86,313.18,313.02,310.92,315.43,317.23,313.81,315.87,321.65,324.83,329.14,328.31,345.18,342.88,332.24,334.51,332.78,328.40,322.89,313.12,,,,370.61,375.38,375.47,351.74,379.73,295.95,272.00,293.91,293.16,350.32,333.99,
