dates,nzd0380-0000,nzd0380-0001,nzd0380-0002,nzd0380-0004,nzd0380-0005,nzd0380-0006,nzd0380-0009,nzd0380-0010,nzd0380-0003,nzd0380-0007,nzd0380-0008,satname
1999-10-13 22:06:24+00:00,220.24,253.65,275.96,208.15,241.77,,283.15,283.13,,,,L7
2000-03-21 22:06:01+00:00,220.24,251.015,276.135,208.15,241.77,,283.15,283.13,246.68,,,L7
2000-09-13 22:04:02+00:00,224.64,249.555,278.08000000000004,,234.63,207.61,,,250.985,177.93,,L7
2001-01-10 22:10:03+00:00,236.175,250.73,283.525,232.47,240.45999999999998,211.94,280.24,279.11,261.515,189.23000000000002,219.56,L7
2001-11-03 22:01:46+00:00,222.37,244.88,276.41,,,,,,,,,L7
2002-02-14 22:08:29+00:00,222.37,244.88,276.41,,,,187.87,279.05,,165.81,218.46,L7
2002-08-25 22:07:36+00:00,,269.35,286.37,,240.59,303.48,,281.13,261.71,213.0,,L7
2003-08-29 21:50:38+00:00,,,,,,280.0,,,,281.09,262.42,L5
2003-09-14 21:50:54+00:00,,,,,,276.815,225.8,253.66,,279.97,259.905,L5
2003-11-17 21:51:45+00:00,242.06,283.69,285.55,264.77,253.2,278.44666666666666,240.76,264.71,252.13,278.74333333333334,261.1933333333333,L5
2003-12-03 21:51:55+00:00,224.04500000000002,256.31,255.86,223.665,240.54,277.6775,250.54333333333332,268.7966666666667,238.93,277.2825,259.4325,L5
2003-12-10 21:58:05+00:00,219.67,241.74,246.05666666666664,210.77666666666664,232.72666666666666,277.98,255.575,271.6775,232.79,277.118,261.558,L5
2004-01-04 21:52:10+00:00,209.885,228.1925,240.7775,202.4325,224.85,278.565,255.575,271.6775,228.745,276.6066666666666,261.558,L5
2004-02-05 21:52:16+00:00,203.464,221.5,236.564,195.762,220.362,278.44142857142856,253.29000000000002,268.522,226.496,276.68571428571425,260.25,L5
2004-04-25 21:53:23+00:00,203.464,221.5,236.564,191.25833333333333,212.46666666666667,278.745,260.1625,268.69399999999996,226.496,275.1983333333333,259.67600000000004,L5
2004-11-10 22:04:35+00:00,,,,,239.05,290.23,266.67,272.88,245.24,287.13,258.38,L5
2005-02-23 22:00:07+00:00,192.56,197.12,231.78,181.97,222.34,286.665,258.52,269.885,238.025,282.53999999999996,260.705,L5
2005-03-02 22:06:24+00:00,187.01999999999998,190.07,228.99,172.76,209.09666666666666,279.7266666666667,247.52666666666667,260.47999999999996,235.13,276.6666666666667,256.34,L5
