dates,satname,nzd0578-0000
2014-02-16 22:13:50.683000,L8,173.02
2014-02-16 22:14:14.638000,L8,110.59
2014-03-13 22:07:45.256000,L8,120.52
2014-03-20 22:13:25.653000,L8,103.20
2014-03-20 22:13:49.616000,L8,106.12
2014-04-05 22:13:10.561000,L8,112.90
2014-04-05 22:13:34.516000,L8,174.24
2014-04-30 22:06:58.400000,L8,111.63
2014-05-07 22:12:37.911000,L8,111.74
2014-05-16 22:06:45.666000,L8,190.31
2014-06-01 22:06:50.694000,L8,189.80
2014-07-03 22:07:01.995000,L8,189.48
2014-08-04 22:07:14.381000,L8,183.97
2014-08-11 22:13:03.844000,L8,107.89
2014-08-27 22:13:05.288000,L8,109.94
2014-08-27 22:13:29.246000,L8,111.00
2014-09-05 22:07:21.754000,L8,111.04
2014-09-28 22:13:08.778000,L8,97.81
2014-09-28 22:13:32.732000,L8,113.09
2014-10-07 22:07:25.795000,L8,178.52
2014-10-14 22:13:14.573000,L8,103.63
2014-10-14 22:13:38.532000,L8,103.43
2014-11-08 22:07:28.004000,L8,115.95
2014-11-15 22:13:13.466000,L8,174.61
2014-11-15 22:13:37.425000,L8,167.25
2014-12-01 22:13:12.181000,L8,105.54
2014-12-01 22:13:36.144000,L8,170.48
2014-12-26 22:07:18.944000,L8,112.64
2015-01-02 22:13:02.831000,L8,115.77
2015-01-11 22:07:16.745000,L8,118.40
2015-01-27 22:07:11.201000,L8,116.04
2015-02-12 22:07:03.113000,L8,134.91
2015-02-19 22:12:49.582000,L8,106.49
2015-02-19 22:13:13.545000,L8,112.34
2015-02-28 22:07:00.305000,L8,175.15
2015-03-07 22:12:42.077000,L8,100.58
2015-04-01 22:06:37.659000,L8,107.13
2015-05-10 22:12:04.351000,L8,106.33
2015-05-19 22:06:16.557000,L8,105.24
2015-05-26 22:12:05.002000,L8,185.21
2015-05-26 22:12:28.969000,L8,148.41
2015-06-20 22:06:32.847000,L8,100.43
2015-07-22 22:06:49.445000,L8,108.82
2015-07-29 22:13:01.696000,L8,105.39
2015-09-08 22:07:06.448000,L8,239.19
2015-09-24 22:07:13.635000,L8,110.67
2015-10-10 22:07:14.813000,L8,107.56
2015-11-27 22:07:23.156000,L8,111.49
2015-12-04 22:13:09.054000,L8,92.99
2015-12-13 22:07:21.432000,L8,106.24
2016-01-05 22:13:05.152000,L8,173.40
2016-01-05 22:13:29.107000,L8,170.10
2016-01-21 22:13:05.936000,L8,171.12
2016-02-06 22:13:01.784000,L8,173.63
2016-02-06 22:13:25.747000,L8,173.65
2016-03-02 22:07:07.398000,L8,131.34
2016-03-09 22:12:52.770000,L8,93.53
2016-04-10 22:12:37.539000,L8,115.03
2016-04-10 22:13:01.493000,L8,114.69
2016-04-19 22:06:46.856000,L8,179.19
2016-04-26 22:12:33.098000,L8,184.27
2016-04-26 22:12:57.053000,L8,184.27
2016-05-05 22:06:50.290000,L8,115.07
2016-06-13 22:12:42.546000,L8,226.37
2016-06-13 22:13:06.505000,L8,100.65
2016-07-15 22:12:58.211000,L8,103.90
2016-07-15 22:13:22.170000,L8,183.51
2016-07-24 22:07:13.819000,L8,180.15
2016-07-31 22:13:01.890000,L8,190.10
2016-08-09 22:07:15.795000,L8,171.98
2016-08-16 22:13:05.571000,L8,101.24
2016-08-16 22:13:29.538000,L8,110.31
2016-09-10 22:07:27.365000,L8,174.04
2016-10-12 22:07:33.085000,L8,106.68
2016-10-19 22:13:21.341000,L8,116.34
