dates,nzd0578-0000,satname
2000-07-04 21:58:50+00:00,228.75,L7
2000-11-09 21:57:33+00:00,210.385,L7
2001-06-05 21:56:52+00:00,228.32,L7
2001-10-02 22:01:40+00:00,213.165,L7
2001-12-30 21:55:49+00:00,192.14499999999998,L7
2002-03-04 21:56:09+00:00,197.0233333333333,L7
2002-03-11 22:02:19+00:00,201.6475,L7
2002-08-18 22:01:09+00:00,207.32666666666668,L7
2002-09-12 21:55:07+00:00,203.72500000000002,L7
2002-10-05 22:00:43+00:00,196.35,L7
2002-10-21 22:00:48+00:00,199.2025,L7
2003-03-23 21:55:52+00:00,201.13,L7
2003-04-08 21:55:59+00:00,167.39,L7
2003-04-15 22:02:09+00:00,152.41,L7
2005-05-30 22:00:27+00:00,124.68,L5
2005-06-08 21:54:44+00:00,146.735,L5
2005-06-15 22:00:34+00:00,148.36,L5
2013-06-05 22:15:03+00:00,184.59,L8
2014-05-16 22:06:45+00:00,190.31,L8
2014-07-03 22:07:01+00:00,189.89499999999998,L8
2016-06-13 22:12:42+00:00,226.37,L8
2016-07-15 22:12:58+00:00,165.135,L8
2017-05-24 22:06:46+00:00,112.03,L8
2017-06-09 22:06:54+00:00,112.8,L8
2018-05-18 22:12:22+00:00,102.85,L8
2018-05-27 22:06:04+00:00,110.10499999999999,L8
2019-05-30 22:06:57+00:00,115.52,L8
2019-06-06 22:12:47+00:00,109.86,L8
2020-06-01 22:06:44+00:00,118.53,L8
2020-06-08 22:12:35+00:00,104.485,L8
2020-07-19 22:07:07+00:00,102.23666666666666,L8
2020-07-26 22:12:56+00:00,102.9275,L8
2020-11-15 22:13:18+00:00,107.3,L8
2021-07-22 22:07:12+00:00,74.75,L8
2022-05-06 22:07:05+00:00,112.82,L8
2022-05-21 22:12:31+00:00,114.975,L9
2023-05-24 22:12:53+00:00,109.06,L9
2023-06-10 22:06:39+00:00,111.575,L8
2023-07-27 22:12:38+00:00,112.85333333333334,L9
2023-07-28 22:07:02+00:00,112.1,L8
2024-05-11 22:06:27+00:00,112.64,L8
2024-05-26 22:12:24+00:00,115.44,L9
2024-06-27 22:12:04+00:00,112.96666666666665,L9
2024-06-28 22:06:31+00:00,112.8725,L8
2024-07-05 22:12:45+00:00,112.7,L8
2024-07-06 22:06:32+00:00,112.85666666666667,L9
2025-05-05 22:12:48+00:00,112.33,L8
2025-05-06 22:06:54+00:00,112.19999999999999,L9
2025-05-29 22:12:27+00:00,108.78333333333335,L9
2025-06-06 22:12:30+00:00,97.7075,L8
2025-06-07 22:06:40+00:00,101.084,L9
2025-06-23 22:06:54+00:00,103.055,L9
2025-07-17 22:07:04+00:00,104.85142857142857,L8
2025-08-10 22:07:16+00:00,105.71125,L9
