dates,nzd0479-0000,nzd0479-0001,nzd0479-0005,nzd0479-0006,nzd0479-0007,nzd0479-0008,nzd0479-0009,nzd0479-0010,nzd0479-0011,nzd0479-0012,nzd0479-0013,nzd0479-0014,nzd0479-0015,nzd0479-0016,nzd0479-0017,nzd0479-0018,nzd0479-0019,nzd0479-0020,nzd0479-0021,nzd0479-0022,nzd0479-0023,nzd0479-0024,nzd0479-0025,nzd0479-0026,nzd0479-0027,nzd0479-0028,nzd0479-0029,nzd0479-0030,nzd0479-0031,nzd0479-0032,nzd0479-0033,nzd0479-0034,nzd0479-0035,nzd0479-0036,nzd0479-0037,nzd0479-0038,nzd0479-0039,nzd0479-0040,nzd0479-0041,nzd0479-0042,nzd0479-0043,nzd0479-0044,nzd0479-0045,nzd0479-0046,nzd0479-0047,nzd0479-0048,nzd0479-0049,nzd0479-0050,nzd0479-0051,nzd0479-0052,nzd0479-0053,nzd0479-0054,nzd0479-0055,nzd0479-0056,nzd0479-0057,nzd0479-0060,nzd0479-0061,nzd0479-0062,nzd0479-0002,nzd0479-0003,nzd0479-0004,nzd0479-0058,nzd0479-0059,satname
1999-08-26 22:07:32+00:00,306.68,275.17,319.92,319.79,316.23,317.63,320.44,315.67,324.72,314.21,317.0,312.68,316.19,329.3,324.26,325.77,307.35,327.3,327.5,323.52,315.95,309.65,302.15,301.32,301.23,272.9,325.71,,,319.9,329.26,326.79,,319.24,318.71,,331.64,319.91,,,,,,348.55,354.04,353.25,,355.31,,,,,,,,,,,,,,,,L7
1999-12-16 22:07:09+00:00,312.765,293.83000000000004,325.845,326.70500000000004,318.09000000000003,317.125,328.395,325.59000000000003,332.685,319.67999999999995,325.125,313.87,317.26,322.99,329.435,321.38,313.4,319.28999999999996,321.24,320.405,317.42499999999995,311.76,303.645,302.19,300.68,272.75,325.525,310.93,331.44,317.635,318.23,320.68,,319.24,316.37,300.04,315.645,308.845,235.33,248.16,237.15,,287.2,350.025,354.04,335.885,,350.755,315.25,313.41,299.83,319.6,297.09,280.33,,,,,316.32,311.93,,,,L7
2000-05-08 22:06:20+00:00,318.85,312.49,344.57,343.67,319.95,332.94,343.17,339.46500000000003,340.65,338.08,333.25,332.1,332.04999999999995,316.68,334.61,316.99,319.45,323.125,314.98,317.29,318.9,313.87,315.775,303.06,300.13,264.22,325.34,310.93,331.44,315.37,307.2,314.57,,,314.03,300.04,299.65,297.78,235.33,248.16,237.15,,287.2,351.5,,318.52,,346.2,330.40999999999997,313.41,299.83,319.6,297.09,280.33,,,,,316.32,326.76,,,,L7
2000-05-31 22:12:18+00:00,318.85,312.49,332.81666666666666,330.70666666666665,310.21500000000003,322.87,329.5933333333333,326.60999999999996,326.775,325.28,318.63,325.42,321.5433333333333,318.595,334.61,316.99,319.45,323.125,314.98,317.29,297.405,313.87,315.775,299.155,300.13,249.81000000000003,325.34,308.45500000000004,331.44,305.38,300.11,303.355,,291.56,314.03,286.545,298.095,283.765,249.0,262.62,250.32,,303.21500000000003,326.32,318.37,316.495,300.75,320.395,330.40999999999997,313.41,299.83,319.6,297.09,280.33,,,,,316.32,326.76,,,,L7
2000-06-25 22:05:55+00:00,,,329.9766666666667,322.44666666666666,303.265,323.3,325.19666666666666,323.13666666666666,311.45,326.82666666666665,316.53999999999996,326.4533333333334,321.73,326.2,321.0,322.26,,328.70500000000004,320.15,314.47,289.295,314.4,320.14,299.7,310.32,242.8166666666667,327.91,316.745,328.31,305.47,304.645,304.555,314.81,304.34000000000003,,292.845,307.69,291.75,291.17,277.08,263.49,,327.46500000000003,318.485,329.24,325.39,300.75,294.59,345.57,,,,,,,332.57,,,,341.59,,,,L7
2000-07-27 22:05:24+00:00,330.21,,329.9766666666667,322.44666666666666,303.265,323.3,325.19666666666666,329.155,323.97666666666663,333.8125,328.74333333333334,332.055,321.73,326.2,336.93,337.59000000000003,333.73,328.70500000000004,330.075,314.47,289.295,321.27,320.14,308.50333333333333,313.935,248.235,327.91,316.745,328.31,317.09999999999997,304.645,315.68333333333334,327.20500000000004,304.34000000000003,,292.845,307.69,291.75,291.17,277.08,263.49,,327.46500000000003,318.485,329.24,325.39,300.75,294.59,349.405,,,,,313.41,,332.57,366.5,368.47,297.78,341.59,,,,L7
2000-08-03 22:11:31+00:00,330.21,337.94,334.015,326.9975,303.265,323.3,325.19666666666666,329.155,323.97666666666663,333.8125,328.74333333333334,332.055,321.73,326.2,336.93,337.59000000000003,333.73,328.70500000000004,330.075,314.47,289.295,321.27,320.14,308.50333333333333,313.935,248.235,327.91,327.27666666666664,328.31,317.09999999999997,304.645,315.68333333333334,327.20500000000004,304.34000000000003,,292.845,307.69,291.75,291.17,277.08,263.49,,327.46500000000003,318.485,329.24,325.39,300.75,294.59,349.405,309.74,307.67,287.5,311.92,302.59000000000003,179.62,332.57,366.5,368.47,315.645,341.59,,,,L7
2000-08-12 22:05:41+00:00,330.21,337.94,334.015,326.9975,303.265,323.3,325.19666666666666,329.155,323.97666666666663,333.8125,328.74333333333334,332.055,321.73,326.2,336.93,337.59000000000003,333.73,328.70500000000004,330.075,314.47,289.295,321.27,320.14,308.50333333333333,313.935,248.235,327.91,327.27666666666664,328.31,317.09999999999997,304.645,315.68333333333334,327.20500000000004,304.34000000000003,,292.845,307.69,291.75,291.17,277.08,263.49,,327.46500000000003,318.485,329.24,325.39,300.75,294.59,349.405,308.24,309.44,291.81,303.93,289.98333333333335,173.82,332.57,366.5,368.47,315.645,341.59,,,302.12,L7
2000-09-20 22:10:50+00:00,330.21,337.94,334.015,326.9975,303.265,323.3,325.19666666666666,329.155,323.97666666666663,333.8125,328.74333333333334,332.055,321.73,326.2,336.93,337.59000000000003,333.73,328.70500000000004,330.075,314.47,289.295,321.27,320.14,308.50333333333333,313.935,248.235,327.91,327.27666666666664,328.31,317.09999999999997,304.645,315.68333333333334,309.31666666666666,304.34000000000003,,292.845,307.69,291.75,291.17,277.08,263.49,,327.46500000000003,318.485,319.87,318.4266666666667,300.615,298.765,349.405,308.24,309.44,291.81,303.93,289.98333333333335,173.82,332.57,366.5,368.47,315.645,341.59,,,302.12,L7
2000-12-18 22:05:01+00:00,328.325,337.94,337.9533333333333,330.0333333333333,320.655,327.885,331.285,341.01666666666665,336.56666666666666,342.28,343.31333333333333,333.51,318.89,339.065,340.1433333333334,339.1066666666666,330.69,327.025,330.43,314.47,302.68,325.06666666666666,320.52,315.13,313.935,258.055,331.735,339.7233333333333,328.31,327.955,316.27,327.455,309.31666666666666,317.12,,312.64,318.84,313.75,319.67,,,345.97,338.37,342.13,329.94,328.58,317.03,319.385,349.94,320.99,316.95,307.52,317.0266666666667,297.1675,173.82,324.91499999999996,357.48,357.77,315.645,330.4,,,302.12,L7
