dates,nzd0381-0000,nzd0381-0001,nzd0381-0002,nzd0381-0003,nzd0381-0004,nzd0381-0005,nzd0381-0006,nzd0381-0007,nzd0381-0008,nzd0381-0009,nzd0381-0012,nzd0381-0013,nzd0381-0014,nzd0381-0015,nzd0381-0011,nzd0381-0010
2017-02-08 22:13:22+00:00,352.44,256.91999999999996,235.11,345.17,,,304.47,308.615,314.31500000000005,,,,,,,
2017-02-15 22:19:31+00:00,335.69,273.3966666666667,237.24666666666667,319.265,,283.8,304.47,305.03000000000003,310.8066666666667,,,,,,,
2017-03-28 22:13:00+00:00,340.29333333333335,297.1333333333334,236.75,323.78333333333336,,283.8,319.32500000000005,317.9733333333333,324.6666666666667,,,,,,,
2017-06-07 22:19:15+00:00,340.29333333333335,297.1333333333334,236.75,323.78333333333336,,270.66499999999996,302.26666666666665,317.9733333333333,318.1225,,,,,,,
2017-06-16 22:13:07+00:00,340.29333333333335,297.1333333333334,236.75,323.78333333333336,,270.66499999999996,285.8425,317.9733333333333,312.842,,,,,,,
2017-08-03 22:13:23+00:00,334.22,297.1333333333334,236.75,313.09000000000003,,270.66499999999996,271.57,317.49,306.054,,,,,,,
2018-02-02 22:19:27+00:00,355.43,358.84,,330.73,,317.95,,318.1,305.75,,,,,,,
2018-02-11 22:13:14+00:00,346.32500000000005,348.825,,342.245,,322.13,,316.88,306.35,283.1,380.98,372.63,365.97,373.5,,
2018-05-02 22:12:33+00:00,346.32500000000005,348.825,,342.245,,322.13,,316.88,295.58,283.1,380.98,372.63,365.97,373.5,,
2018-08-22 22:12:54+00:00,,,225.29,,176.78,289.44,266.24,293.51,278.48,,,,,,,
2018-08-29 22:19:08+00:00,,,230.005,,178.325,283.71500000000003,266.24,293.15999999999997,277.58,,,,,,,
2018-09-14 22:19:12+00:00,,,230.36333333333334,,177.28333333333333,272.6066666666666,259.39,292.92,277.58,,,,,,,
2018-11-10 22:13:20+00:00,357.56,340.24,230.36333333333334,355.46,177.28333333333333,272.6066666666666,259.39,300.7075,289.77333333333337,291.4,,,,,,
2019-01-04 22:19:27+00:00,357.56,340.24,230.36333333333334,355.46,177.28333333333333,272.6066666666666,259.39,308.494,293.765,291.4,,,,,,
2019-02-14 22:13:09+00:00,293.95,340.24,224.2475,355.46,177.28333333333333,272.6066666666666,259.39,308.494,293.765,291.4,,,,,,
2019-03-02 22:13:05+00:00,286.0566666666667,294.415,222.71,309.21,173.99,250.39,252.54,318.7166666666667,308.17999999999995,291.4,,,,,,
2019-03-18 22:12:59+00:00,286.0566666666667,294.415,218.52499999999998,303.46,172.78,,275.28,322.06333333333333,302.32666666666665,291.4,,,,,,
2019-05-05 22:12:52+00:00,273.625,279.1566666666667,208.68666666666664,290.2775,172.78,248.59,266.005,314.6625,296.95,291.4,,,,,,
2019-07-31 22:19:38+00:00,241.115,248.1833333333333,208.68666666666664,268.54999999999995,172.78,248.59,262.44,295.3733333333333,284.0833333333333,,,,,,,
2019-09-17 22:19:53+00:00,232.63,248.43999999999997,199.39,250.73,,248.59,256.02,291.81999999999994,280.815,,,,,,,
2019-10-12 22:13:48+00:00,242.6575,248.92749999999998,204.5666666666667,231.36,179.09,265.535,255.35666666666668,292.8933333333333,279.1166666666667,,,,,,,
2019-10-28 22:13:48+00:00,242.6575,245.43599999999998,204.5075,227.22,178.025,265.535,255.35666666666668,292.8933333333333,279.1166666666667,,,,,,,
2020-01-23 22:19:43+00:00,251.03249999999997,244.95,215.2425,214.90666666666667,178.025,282.48,254.67000000000002,293.11,278.265,,,,,,,
2020-02-24 22:19:34+00:00,258.86999999999995,244.35750000000002,215.2425,214.90666666666667,178.025,282.48,254.03,309.64,275.72,,,,,,,
2020-03-27 22:19:19+00:00,271.28499999999997,242.69000000000003,217.0666666666667,214.90666666666667,178.025,282.48,254.03,312.1266666666667,291.3,295.34,,,,,,
2020-04-28 22:19:04+00:00,273.53999999999996,248.42000000000002,230.85,213.79,,290.11,258.49,311.74,295.655,295.34,,,,,,
2020-07-01 22:19:22+00:00,273.53999999999996,248.42000000000002,230.85,213.79,,290.11,244.31,304.88250000000005,291.2366666666667,295.34,,,,,,
2020-09-19 22:19:51+00:00,277.25,250.63,221.7,,,290.11,244.31,298.43000000000006,291.2366666666667,295.34,,,,,,
2020-10-14 22:13:44+00:00,277.25,250.63,221.7,,,316.96500000000003,244.31,289.095,283.415,,,,,,,
2020-10-21 22:19:55+00:00,277.25,250.63,221.7,,,320.3533333333333,244.31,300.0833333333333,293.4766666666667,296.59,,,,,,
2020-12-24 22:19:54+00:00,278.55,250.26,223.93,219.91,171.3,335.47499999999997,230.13,303.18500000000006,298.0,296.59,,,,,,
2021-01-25 22:19:43+00:00,278.55,250.26,223.93,219.91,171.3,335.47499999999997,,308.72,285.24,296.59,,,,,,
2021-03-23 22:13:13+00:00,278.55,243.77499999999998,232.995,236.865,171.425,335.47499999999997,,305.2266666666667,282.97333333333336,296.59,,,,,,
2021-08-30 22:13:38+00:00,270.79,239.745,227.225,253.82,172.58,,,297.095,281.395,,,,,,,
2021-11-02 22:13:50+00:00,270.79,242.2,222.67,338.26,173.61,,,295.95,284.35,293.53,,,,,,
2021-11-06 22:14:23+00:00,270.79,242.2,222.67,336.405,173.61,328.63,319.8,310.92499999999995,299.095,290.885,,,,,,
2022-01-04 22:19:51+00:00,275.42,247.385,229.045,324.65000000000003,173.16000000000003,328.63,319.8,308.89666666666665,296.5833333333333,290.885,,,,,,
2022-01-12 22:19:49+00:00,275.42,247.385,229.045,327.2625,173.16000000000003,327.105,319.645,313.22249999999997,300.2525,290.04,,,,,,
2022-01-13 22:13:38+00:00,275.42,247.385,229.045,328.776,173.16000000000003,326.23333333333335,319.8333333333333,316.052,303.05,288.325,,,,,,
2022-01-20 22:19:51+00:00,275.42,247.385,229.045,330.79833333333335,173.16000000000003,327.0025,319.3875,318.15,304.81666666666666,291.884,,,,,,
2022-01-28 22:19:43+00:00,277.7366666666667,249.10333333333332,231.2733333333333,330.79833333333335,172.82666666666668,327.0025,319.3875,316.7785714285714,303.13714285714286,291.884,,,,,,
2022-01-29 22:13:41+00:00,277.4525,248.825,231.96249999999998,330.79833333333335,172.4875,327.0025,319.3875,315.77,302.02125,291.884,,,,,,
2022-02-13 22:19:40+00:00,277.4525,248.825,231.96249999999998,332.3671428571429,172.4875,334.22799999999995,326.966,315.77,303.49555555555554,293.06666666666666,,,,,,
2022-03-01 22:19:36+00:00,279.67333333333335,251.0333333333333,235.05999999999997,332.66125,172.11333333333334,333.305,325.29333333333335,319.5675,306.9422222222222,293.7728571428571,,,,,,
2022-03-02 22:13:25+00:00,276.81000000000006,249.61499999999998,232.73000000000002,332.66125,172.11333333333334,333.305,325.29333333333335,319.5675,306.9422222222222,293.7728571428571,,,,,,
2022-03-09 22:19:37+00:00,276.81000000000006,249.61499999999998,232.73000000000002,332.9222222222222,172.11333333333334,332.6014285714286,324.1871428571429,320.14222222222224,307.69,293.98625,,,,,,
2022-03-17 22:19:29+00:00,277.14400000000006,249.762,232.098,332.9222222222222,171.8175,332.6014285714286,324.1871428571429,317.999,305.47818181818184,293.98625,,,,,,
2022-03-25 22:19:32+00:00,277.14400000000006,249.762,232.098,333.493,171.8175,332.835,323.3925,318.53909090909093,306.1641666666667,293.98625,,,,,,
2022-04-02 22:19:19+00:00,276.7516666666667,249.75,231.82833333333335,333.493,172.308,332.835,323.3925,317.205,305.0846153846154,293.98625,,,,,,
2022-04-03 22:13:21+00:00,276.7516666666667,249.75,231.82833333333335,334.2854545454545,172.308,332.4188888888889,322.6144444444444,317.68615384615384,305.8285714285715,294.64444444444445,,,,,,
