dates,satname,nzd0232-0000,nzd0232-0001,nzd0232-0002,nzd0232-0003,nzd0232-0004,nzd0232-0020,nzd0232-0021,nzd0232-0022,nzd0232-0023,nzd0232-0024,nzd0232-0025,nzd0232-0026,nzd0232-0027,nzd0232-0028,nzd0232-0029,nzd0232-0005,nzd0232-0006,nzd0232-0007,nzd0232-0008,nzd0232-0009,nzd0232-0010,nzd0232-0011
2001-03-01 21:56:21.596000,L7,340.98,343.74,323.25,280.73,,,,,,,,,,,,,,,,,,
2001-03-17 21:56:16.575000,L7,332.94,333.90,314.18,,,,,,,,,,,,,,,,,,,
2001-09-09 21:54:36.880000,L7,327.57,315.05,302.48,,,,,,,,,,,,,,,,,,,
2002-02-16 21:54:54.191000,L7,332.63,333.46,307.58,,,,,,,,,,,,,,,,,,,
2002-12-01 21:54:16.937000,L7,427.83,317.96,293.70,,,,,,,,,,,,,,,,,,,
2003-03-23 21:54:40.711000,L7,365.81,343.55,314.92,350.11,,,,,,,,,,,,,,,,,,
2003-10-25 21:44:04.226000,L5,323.07,336.79,327.13,279.42,267.85,,,,,,,,,,,,,,,,,
2009-11-26 21:56:28.873000,L5,325.34,327.80,312.73,279.39,,,,,,,,,,,,,,,,,,
2017-12-02 22:06:10.894000,L8,341.97,343.13,341.87,,,,,,,,,,,,,,,,,,,
2018-03-08 22:05:39.901000,L8,335.70,327.63,313.98,,,,,,,,,,,,,,,,,,,
2018-10-02 22:05:47.245000,L8,328.18,328.55,309.12,,,,,,,,,,,,,,,,,,,
2019-11-06 22:06:24.678000,L8,330.37,325.80,306.43,,,,,,,,,,,,,,,,,,,
2022-06-07 22:06:07.543000,L8,362.38,410.73,,,,,,,,,,,,,,,,,,,,
2022-11-30 22:06:35.920000,L8,335.85,340.42,318.51,,,398.44,348.05,380.31,374.90,421.52,434.45,407.30,390.87,350.67,355.27,,,,,,,
2023-03-14 22:06:11.235000,L9,327.80,328.44,316.64,289.97,,,,,,,,,,,,,,,,,,
2023-11-09 22:06:12.836000,L9,331.10,323.91,311.52,,,,,,,,,,,,,,,,,,,
2023-11-25 22:06:20.599000,L9,353.94,346.11,338.72,353.75,368.15,329.36,340.76,347.60,343.40,350.19,353.70,363.28,350.48,351.08,358.66,373.29,358.05,365.11,374.04,372.97,372.17,365.61
2024-01-28 22:06:18.213000,L9,347.41,357.51,350.06,,,,,,,,,,,,,,,,,,,
