dates,nzd0232-0000,nzd0232-0001,nzd0232-0002,nzd0232-0003,nzd0232-0004,nzd0232-0005,nzd0232-0006,nzd0232-0007,nzd0232-0009,nzd0232-0010,nzd0232-0011,nzd0232-0012,nzd0232-0013,nzd0232-0014,nzd0232-0015,nzd0232-0016,nzd0232-0017,nzd0232-0018,nzd0232-0019,nzd0232-0020,nzd0232-0021,nzd0232-0022,nzd0232-0023,nzd0232-0024,nzd0232-0025,nzd0232-0026,nzd0232-0027,nzd0232-0028,nzd0232-0029,nzd0232-0008,satname
1999-12-25 21:58:52+00:00,,,303.02,247.98,,212.56,207.14,207.04,,290.22,295.61,296.7,294.46,288.84,,287.96,285.04,287.73,,281.94,277.24,254.7,280.49,284.08,273.48,280.79,281.03,276.71,280.33,,L7
2000-01-10 21:58:52+00:00,,,303.02,247.98,,212.56,207.14,207.04,,290.22,295.61,296.7,294.46,288.84,,287.96,285.04,287.73,,281.94,277.24,254.7,280.49,296.03999999999996,273.48,280.79,281.03,276.71,280.33,,L7
2000-05-17 21:58:07+00:00,213.4,243.1,285.38,231.20499999999998,,212.56,207.14,207.04,,290.22,295.61,296.7,294.46,288.84,,287.96,285.04,287.73,,281.94,275.795,248.735,267.035,296.03999999999996,276.32000000000005,276.015,280.445,274.16499999999996,280.33,,L7
2000-07-04 21:57:38+00:00,213.4,243.1,267.74,214.43,,,,,,,,,,,,,,,,,274.35,242.77,253.58,308.0,269.19000000000005,253.075,269.615,271.62,,,L7
2000-08-05 21:57:08+00:00,211.925,246.095,264.735,216.935,,,,,,,,,,,,,,,,,274.35,242.77,253.58,,269.19000000000005,258.51,272.25,271.62,,,L7
2000-11-09 21:56:21+00:00,254.39,246.095,264.735,216.935,,,,,,,,,,312.31,,,,,,,267.475,243.76,253.58,286.77,269.19000000000005,258.51,272.25,271.62,,,L7
2001-03-01 21:56:21+00:00,339.32,,,,,,,,,,,,,312.31,,,,,,,260.6,244.75,,297.46,301.13,307.27,305.68,,,,L7
2001-03-17 21:56:16+00:00,339.32,,,,,,,,,,,,,312.31,,,,,,302.45,260.6,244.75,,297.46,301.13,307.27,305.68,293.71,299.85,,L7
2001-09-09 21:54:36+00:00,352.71,348.4,331.2,284.01,,241.31,213.39,242.75,,317.04,325.36,,318.16,340.9,,315.17,317.41,321.82,331.73,318.01,312.34,284.13,,,305.03,299.54,314.37,309.325,315.375,,L7
2002-02-16 21:54:54+00:00,339.9,337.685,322.07,271.9,205.96,211.925,207.97,228.4,247.22,307.595,325.36,,318.16,340.9,238.97,303.04,309.85,309.96000000000004,313.88,310.32,312.34,284.13,,291.29,296.725,299.54,304.08500000000004,306.6,311.29999999999995,192.54,L7
2002-08-27 21:54:00+00:00,328.47,329.58,290.23,,212.43,177.53,210.85,,249.16,266.33,,264.19,,,200.01,,,,,270.43,272.8,271.59,278.99,286.11,291.12,277.1,285.19,275.67,275.63,179.58,L7
2002-12-01 21:54:16+00:00,328.47,329.58,290.23,,212.43,177.53,210.85,,249.16,266.33,,264.19,,,200.01,,,,,270.43,272.8,272.315,286.12,286.11,291.12,277.1,285.19,275.67,291.2,179.58,L7
2003-01-18 21:54:30+00:00,328.47,330.935,300.42,252.27,220.28,193.525,211.405,213.03,253.74,286.145,308.26,264.19,,,200.01,,,,,270.43,272.8,272.315,286.12,286.11,291.12,277.1,285.19,275.67,291.81666666666666,187.38,L7
2003-04-08 21:54:47+00:00,,332.29,310.61,252.27,228.13,209.52,211.96,213.03,258.32,305.96,308.26,,,,232.09,,,,,,,273.04,293.25,,,,294.69,,299.91,195.18,L7
2003-04-24 21:54:46+00:00,,332.29,310.61,252.27,228.13,209.52,200.87,213.18,249.975,305.96,308.26,,,,232.09,,,,,,,260.755,276.605,266.59,276.61,273.63,285.735,264.5,291.5,202.565,L7
2003-07-21 21:42:33+00:00,,,,,,,189.78,213.33,241.63,,,,,,232.09,,,,,,245.84,238.435,242.545,254.96499999999997,266.48,265.21000000000004,276.9533333333333,264.5,274.68,209.95,L5
2003-08-06 21:42:51+00:00,327.31,317.33,294.98,,195.75,173.26,195.24,223.99,241.63,284.71,,244.75,,,232.09,,,,268.7,260.57,265.61,245.61333333333334,242.545,254.96499999999997,273.51666666666665,271.0266666666667,281.3725,281.48,286.16499999999996,240.86499999999998,L5
2003-10-25 21:44:04+00:00,324.35,324.69,306.06,275.89,230.08,173.26,200.7,259.505,,292.90999999999997,302.02,272.595,299.72,299.15,,312.22,320.42,310.71,287.66499999999996,260.57,277.7266666666667,253.16333333333333,225.13,243.34,277.7133333333333,277.85,285.07666666666665,302.655,311.705,277.22,L5
2004-03-01 21:45:02+00:00,321.39,332.05,317.14,275.89,264.41,,,284.36,,301.11,302.02,300.44,299.72,299.15,,312.22,320.42,310.71,306.63,208.97,276.86,249.39,245.98,248.68,265.59,294.1,301.21,306.85,325.76,282.66,L5
2004-03-17 21:45:08+00:00,321.39,332.05,317.14,275.89,264.41,,,284.36,214.36,301.11,285.945,285.45500000000004,299.72,299.15,,312.22,320.42,310.71,306.63,203.425,266.31333333333333,241.79333333333332,250.565,256.78999999999996,262.54333333333335,278.45500000000004,282.095,306.85,290.235,282.66,L5
