dates,satname,nzd0272-0000,nzd0272-0001,nzd0272-0002,nzd0272-0003,nzd0272-0004,nzd0272-0005,nzd0272-0006,nzd0272-0007,nzd0272-0008,nzd0272-0009,nzd0272-0010,nzd0272-0011,nzd0272-0012,nzd0272-0013,nzd0272-0014,nzd0272-0015,nzd0272-0016,nzd0272-0017,nzd0272-0018
2000-01-26 21:59:14.283000,L7,341.89,333.99,336.96,326.45,318.41,300.72,295.98,291.13,292.56,315.83,307.46,321.41,327.54,317.68,317.00,315.72,299.72,299.32,276.36
2000-09-22 21:56:53.357000,L7,316.59,308.17,,,,,,,276.75,290.80,296.82,305.68,301.51,300.45,295.97,290.20,284.75,278.74,
2000-11-09 21:56:45.337000,L7,,,,,,273.40,278.04,279.27,286.01,292.56,296.72,303.16,298.67,304.34,299.98,288.70,279.34,282.66,263.10
2000-11-25 21:56:47.006000,L7,,,,,,287.76,291.11,294.05,308.60,286.00,305.84,313.23,304.19,309.75,317.63,,,,
2002-02-16 21:55:18.119000,L7,403.12,345.12,333.75,325.60,369.51,,337.01,377.50,344.77,340.12,322.49,342.49,339.20,330.20,329.43,345.89,306.84,335.20,298.99
2002-12-01 21:54:40.891000,L7,343.53,336.63,322.48,317.14,,314.76,296.36,283.23,287.96,284.56,264.80,302.07,277.63,272.14,306.44,286.36,345.71,286.93,
2003-03-07 21:55:10.647000,L7,,,,,,267.37,277.26,272.54,278.41,283.79,288.64,306.80,304.88,,,,,,
2003-07-21 21:42:57.544000,L5,,,,,,,,,,278.51,277.30,292.72,288.69,281.82,291.20,278.98,272.77,,
2004-03-17 21:45:32.199000,L5,,,,,,,,,,263.80,265.00,276.73,285.26,281.63,279.83,277.84,,,
2004-04-02 21:45:42.656000,L5,323.64,316.93,321.31,320.79,307.99,303.06,295.93,293.23,300.07,292.43,293.15,310.12,309.95,304.24,308.92,299.69,306.46,305.62,290.99
2004-04-18 21:46:13.246000,L5,,,,,,,,,,271.34,281.05,288.37,288.80,283.56,279.73,276.03,270.14,,
2004-05-20 21:47:08.268000,L5,333.96,325.12,325.49,317.70,302.94,296.40,284.10,279.39,290.66,301.34,300.57,316.52,313.64,306.41,313.80,300.38,295.36,297.81,276.90
2004-07-07 21:48:33.010000,L5,,,,,,,,,,278.10,280.31,294.45,289.19,280.54,290.35,281.64,272.23,,
2004-07-23 21:48:56.995000,L5,329.57,325.46,318.57,319.52,,296.41,286.87,288.92,288.97,304.07,301.83,314.31,312.66,308.76,318.13,300.56,296.11,298.03,288.28
2004-09-25 21:50:31.000000,L5,322.45,327.46,311.06,317.73,310.15,310.40,296.11,297.65,312.86,307.14,313.66,306.30,315.59,311.97,313.41,305.17,297.03,302.45,283.20
2005-01-31 21:52:45.327000,L5,327.12,328.61,322.69,319.37,306.13,300.58,295.63,291.27,309.55,299.41,302.40,311.27,316.53,309.58,313.50,305.39,298.28,299.27,284.14
2005-03-04 21:53:16.048000,L5,,,,,,253.44,268.13,261.46,265.47,276.55,272.13,285.57,285.82,,,,,,
2005-09-28 21:54:32.218000,L5,331.78,327.66,323.00,322.38,311.58,302.18,296.09,291.45,305.78,299.50,309.18,312.88,313.92,307.28,319.73,303.16,304.06,302.45,275.75
