dates,satname,nzd0370-0000,nzd0370-0001,nzd0370-0002,nzd0370-0003,nzd0370-0004,nzd0370-0005,nzd0370-0006,nzd0370-0007,nzd0370-0008,nzd0370-0009,nzd0370-0010,nzd0370-0011,nzd0370-0012,nzd0370-0013,nzd0370-0014,nzd0370-0015,nzd0370-0016
1999-10-13 22:06:24.714000,L7,,,,194.16,207.20,273.41,253.71,294.68,289.16,299.61,300.64,290.10,297.00,287.57,257.98,237.05,244.85
1999-11-21 22:12:24.026000,L7,,,,,,,,,242.28,248.81,257.78,255.65,245.33,249.84,253.72,194.78,251.60
2000-01-17 22:06:11.705000,L7,193.66,186.77,246.76,213.69,236.38,272.95,260.84,256.05,244.81,243.91,264.00,288.36,303.96,291.22,248.05,277.08,255.42
2000-02-25 22:12:13.451000,L7,,,,,,252.63,257.06,253.03,245.70,248.28,206.91,264.56,293.04,234.62,242.84,235.09,230.36
2000-08-19 22:10:38.028000,L7,,,,,,,245.08,244.07,203.14,242.02,,,242.64,231.62,209.53,225.60,
2000-11-07 22:09:53.335000,L7,320.41,275.79,278.41,439.74,475.66,485.82,490.14,501.49,329.67,333.91,345.26,325.22,337.25,319.92,290.69,315.16,287.38
2000-12-18 22:03:49.828000,L7,,,,,,253.66,274.16,255.85,248.75,251.38,254.99,259.60,247.64,160.77,240.81,239.89,233.18
2001-01-10 22:10:03.706000,L7,,,,,,260.28,265.09,261.23,250.00,212.49,254.23,269.24,298.91,181.86,240.38,245.08,242.11
2001-02-20 22:03:48.640000,L7,245.89,270.41,252.92,248.09,250.86,279.84,302.93,310.61,308.59,315.25,324.19,296.08,309.90,289.69,256.36,289.62,263.85
2001-03-08 22:03:44.911000,L7,195.23,,,,,234.75,217.29,238.48,229.20,235.84,,268.03,286.14,255.72,232.25,213.46,233.74
2001-03-31 22:09:43.621000,L7,325.57,285.38,269.03,266.93,274.76,303.31,318.49,320.03,323.04,332.47,359.75,311.08,323.19,302.95,273.47,304.38,279.70
2001-08-31 22:02:05.221000,L7,208.65,,,,,,244.07,213.41,226.57,233.97,250.08,249.63,284.09,258.49,239.86,234.91,238.99
2001-10-02 22:01:40.483000,L7,236.32,187.80,250.31,223.60,233.05,270.79,250.18,245.84,236.29,242.26,235.35,221.61,190.64,180.27,245.24,266.58,245.60
2001-11-03 22:01:46.660000,L7,,263.23,256.12,232.15,206.45,225.02,279.59,280.97,275.91,245.42,235.85,223.30,209.83,301.01,262.32,292.25,268.11
2001-12-21 22:02:05.831000,L7,,,246.20,217.28,211.82,254.39,283.55,298.34,298.87,304.38,285.14,285.28,302.91,285.15,248.03,252.71,249.21
2002-02-07 22:02:17.936000,L7,,,,,180.66,254.86,245.17,233.04,231.08,233.21,284.95,257.28,253.69,237.94,238.35,233.63,235.62
2002-02-14 22:08:29.220000,L7,,,251.24,222.48,237.85,273.43,258.13,256.64,246.80,245.32,317.66,293.67,302.89,249.33,254.84,277.99,257.66
2002-03-11 22:02:19.622000,L7,,,,,,250.65,253.56,251.77,236.57,241.90,255.15,,225.87,240.11,180.85,208.41,244.35
2002-10-05 22:01:07.311000,L7,,,,,229.54,262.39,253.16,249.54,238.93,298.84,300.39,278.71,280.02,254.27,236.74,240.38,232.32
2002-12-31 22:07:56.130000,L7,,,,,,,252.57,255.50,242.02,247.49,254.61,,273.65,241.66,218.97,209.75,237.91
2003-02-26 22:02:04.470000,L7,,,,,,252.35,247.65,245.34,238.83,241.57,,,,,,,
