dates,nzd0370-0000,nzd0370-0001,nzd0370-0002,nzd0370-0003,nzd0370-0004,nzd0370-0005,nzd0370-0006,nzd0370-0007,nzd0370-0008,nzd0370-0009,nzd0370-0010,nzd0370-0011,nzd0370-0012,nzd0370-0013,nzd0370-0014,nzd0370-0015,nzd0370-0016
1999-10-13 22:06:24+00:00,,,,,293.0,,,325.73,,,,,,,,,279.92
1999-11-21 22:12:24+00:00,,,,,293.0,,,325.73,,,,,,,252.71,,264.69
2000-01-17 22:06:11+00:00,,,249.73,220.51,293.0,286.72,279.45,309.68,,,,,,,253.45,290.29,264.69
2000-02-25 22:12:13+00:00,,,249.73,220.51,293.0,286.72,279.45,309.68,243.46,247.26,,,,,253.45,290.29,264.69
2000-08-19 22:10:38+00:00,,,,,,,245.73,,242.03500000000003,245.015,,,,,221.51,,
2000-11-07 22:09:53+00:00,329.45,,,,,,245.73,,240.61,242.77,,,350.13,337.21,263.615,329.47,
2000-12-18 22:03:49+00:00,331.14,,261.71,240.48,270.8,311.7,245.73,330.53,240.61,242.77,,,347.90999999999997,327.2,270.46,321.595,
2001-01-10 22:10:03+00:00,331.14,,261.71,240.48,251.91000000000003,287.79999999999995,257.78,298.345,228.49,248.45499999999998,,284.57,347.90999999999997,327.2,263.935,321.595,246.72
2001-02-20 22:03:48+00:00,331.14,,253.915,231.635,244.41333333333333,280.47999999999996,281.575,298.42,216.37,254.14,314.25,286.365,347.90999999999997,312.44,270.6425,307.07,250.76
2001-03-31 22:09:43+00:00,325.3833333333333,,253.915,231.635,244.41333333333333,280.47999999999996,281.575,298.42,216.37,254.14,314.25,286.365,352.9666666666667,312.44,270.6425,307.07,250.76
2001-08-31 22:02:05+00:00,263.9,,211.13,211.98,221.62,,,,227.85,,298.65,251.59,363.08,,241.13,236.08,241.54
2001-10-02 22:01:40+00:00,225.125,187.8,230.72,217.79,227.335,270.79,,,232.07,242.26,298.65,236.60000000000002,,,243.185,251.32999999999998,243.57
2001-11-03 22:01:46+00:00,225.125,187.8,236.9433333333333,219.46666666666667,232.95000000000002,273.995,301.96,305.92,232.07,242.26,302.78499999999997,256.1666666666667,308.9,294.44,248.1,262.3066666666667,248.90333333333334
