dates,satname,nzd0459-0000,nzd0459-0001,nzd0459-0002,nzd0459-0003,nzd0459-0004,nzd0459-0005,nzd0459-0006,nzd0459-0007,nzd0459-0008,nzd0459-0009,nzd0459-0012,nzd0459-0013,nzd0459-0014,nzd0459-0015,nzd0459-0016,nzd0459-0017,nzd0459-0018,nzd0459-0019,nzd0459-0020,nzd0459-0021,nzd0459-0022,nzd0459-0023,nzd0459-0024,nzd0459-0025,nzd0459-0031,nzd0459-0032,nzd0459-0033,nzd0459-0034,nzd0459-0035,nzd0459-0036,nzd0459-0037,nzd0459-0046,nzd0459-0047,nzd0459-0048,nzd0459-0049,nzd0459-0050,nzd0459-0051,nzd0459-0052,nzd0459-0053,nzd0459-0054,nzd0459-0055,nzd0459-0056,nzd0459-0057,nzd0459-0058,nzd0459-0059,nzd0459-0060,nzd0459-0061,nzd0459-0062,nzd0459-0063,nzd0459-0064,nzd0459-0065,nzd0459-0066,nzd0459-0104,nzd0459-0105,nzd0459-0106,nzd0459-0107,nzd0459-0108,nzd0459-0109,nzd0459-0110,nzd0459-0111,nzd0459-0112,nzd0459-0155,nzd0459-0156,nzd0459-0157,nzd0459-0158,nzd0459-0159,nzd0459-0160,nzd0459-0161,nzd0459-0162,nzd0459-0163,nzd0459-0164,nzd0459-0165,nzd0459-0166,nzd0459-0167,nzd0459-0168,nzd0459-0067,nzd0459-0068,nzd0459-0069,nzd0459-0070,nzd0459-0071,nzd0459-0072,nzd0459-0073,nzd0459-0074,nzd0459-0169,nzd0459-0170,nzd0459-0171,nzd0459-0172,nzd0459-0038,nzd0459-0039,nzd0459-0040,nzd0459-0041,nzd0459-0042,nzd0459-0043,nzd0459-0044,nzd0459-0045,nzd0459-0075,nzd0459-0095,nzd0459-0096,nzd0459-0097,nzd0459-0098,nzd0459-0099,nzd0459-0100,nzd0459-0101,nzd0459-0102,nzd0459-0103,nzd0459-0113,nzd0459-0114,nzd0459-0115,nzd0459-0116,nzd0459-0125,nzd0459-0126,nzd0459-0127,nzd0459-0129,nzd0459-0130,nzd0459-0131,nzd0459-0132,nzd0459-0133,nzd0459-0134,nzd0459-0135,nzd0459-0136,nzd0459-0010,nzd0459-0011,nzd0459-0026,nzd0459-0027,nzd0459-0028,nzd0459-0029,nzd0459-0030,nzd0459-0076,nzd0459-0077,nzd0459-0078,nzd0459-0079,nzd0459-0080,nzd0459-0081,nzd0459-0082,nzd0459-0083,nzd0459-0084,nzd0459-0085,nzd0459-0086,nzd0459-0087,nzd0459-0088,nzd0459-0089,nzd0459-0090,nzd0459-0091,nzd0459-0092,nzd0459-0093,nzd0459-0094,nzd0459-0117,nzd0459-0118,nzd0459-0119,nzd0459-0120,nzd0459-0121,nzd0459-0122,nzd0459-0123,nzd0459-0124,nzd0459-0128,nzd0459-0137,nzd0459-0138,nzd0459-0139,nzd0459-0140,nzd0459-0141,nzd0459-0142,nzd0459-0143,nzd0459-0144,nzd0459-0145,nzd0459-0146,nzd0459-0147,nzd0459-0148,nzd0459-0149,nzd0459-0150,nzd0459-0151,nzd0459-0152,nzd0459-0153,nzd0459-0154,nzd0459-0173,nzd0459-0174,nzd0459-0175
2000-08-12 22:05:17.927000,L7,371.58,390.64,388.95,380.79,391.72,388.98,387.83,385.60,391.70,391.24,391.06,368.98,388.62,387.69,389.92,396.13,398.37,396.57,390.85,393.52,393.09,404.14,405.86,405.72,410.09,399.36,397.08,395.51,378.74,397.80,398.13,391.13,387.12,394.68,383.74,385.21,388.27,394.70,395.80,403.32,401.71,402.98,402.81,392.13,391.62,396.92,392.86,393.82,392.41,391.93,401.91,390.92,293.01,337.38,333.10,334.02,333.87,320.00,316.76,283.29,334.06,287.77,292.90,287.85,293.34,280.01,274.75,271.58,271.29,277.63,261.92,268.49,273.26,266.71,258.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-18 22:04:37.758000,L7,372.06,378.67,385.52,383.11,402.01,398.12,,,,,,,,404.17,392.15,398.36,404.51,399.54,405.35,397.71,,,,,,,,,,,,,,,403.16,386.01,387.07,389.96,394.66,402.29,397.93,394.58,391.03,397.88,395.73,402.96,399.94,389.18,395.65,397.30,396.41,,,,,,,,,,,287.82,290.18,281.82,291.19,275.63,277.28,275.11,279.08,283.45,279.84,283.06,284.87,280.30,260.34,402.36,392.92,400.14,398.03,401.37,399.63,398.16,395.04,256.01,264.79,275.61,289.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-20 22:04:36.568000,L7,,,,379.34,383.25,388.50,385.86,385.66,389.47,380.47,385.39,381.86,388.77,390.98,396.56,392.72,401.84,397.01,396.60,394.25,388.84,397.06,400.32,402.36,408.22,404.62,397.89,399.53,386.85,398.71,398.66,390.04,387.98,393.17,393.96,394.00,395.24,396.38,395.64,398.84,395.20,400.10,402.00,396.80,403.74,400.20,398.31,399.80,410.31,,,,,,,,,,,,,,289.19,284.95,290.66,276.10,277.16,272.00,276.47,279.47,277.49,270.16,275.77,,,,405.95,403.54,395.25,392.06,396.79,394.44,385.45,,,,,,,,,,,,396.35,397.40,,,,,,,,,,,,,,,,,,,,,,,,,389.03,383.88,397.17,404.22,404.68,409.12,404.04,395.82,400.14,,,,,,,,,,,,,,,,,,,,,,,369.33,371.47,375.01,,,,,,,,,,,,,,,,,,,,,,
2001-04-09 22:04:17.927000,L7,,,,,,,,,298.60,320.88,333.45,332.56,345.25,335.81,331.58,336.08,348.55,345.06,342.66,338.39,347.31,355.88,339.01,315.03,367.19,369.04,364.56,357.22,308.29,341.57,346.48,338.65,336.41,318.15,327.91,335.03,312.71,341.59,332.11,330.25,337.57,336.75,340.08,332.24,341.30,339.41,342.18,347.17,,,,,,,,,,,300.67,322.55,309.36,,,,,,,,,,,,,,,,348.39,341.16,354.65,356.73,351.89,341.04,341.71,,,,,340.14,339.04,328.39,338.61,328.34,318.59,333.72,338.18,342.65,330.02,339.07,317.97,321.42,317.25,298.88,296.76,,,310.30,312.36,303.13,307.87,314.07,316.77,314.32,327.73,333.94,331.02,331.50,324.69,319.98,308.51,315.30,323.03,326.13,339.80,353.62,333.59,337.66,345.93,340.08,339.15,337.88,340.44,330.88,336.82,340.61,309.96,344.14,344.88,341.97,324.69,320.23,329.90,298.88,303.68,315.29,323.78,329.30,307.30,295.83,309.64,313.97,,,,314.20,332.05,289.41,,304.43,321.95,305.60,294.18,317.67,306.71,296.71,285.03,279.93,269.55,305.00,298.20,276.04,283.53,280.72,284.09,,,
2001-05-27 22:04:00.417000,L7,,,,326.50,341.57,362.71,345.55,326.84,335.28,345.87,343.58,351.07,365.47,367.75,367.87,383.30,377.06,376.34,368.57,373.63,368.64,379.06,371.70,375.73,385.26,389.94,383.92,382.45,352.83,377.34,363.36,353.78,368.29,346.54,348.52,372.24,378.77,375.54,358.04,364.98,359.31,372.50,370.70,380.56,353.31,355.94,380.59,369.58,373.66,280.27,343.58,340.31,375.01,346.57,344.39,350.72,357.39,358.86,343.75,355.39,322.84,,,,355.72,345.91,346.02,318.81,306.86,328.84,359.38,343.96,371.65,358.22,344.07,358.42,373.37,378.54,371.69,382.39,356.81,361.87,364.14,341.21,346.63,356.02,368.98,372.75,373.80,380.44,380.06,344.85,346.25,349.86,369.45,365.79,385.01,356.55,361.73,361.99,369.00,349.79,340.47,347.71,338.43,320.04,329.87,341.16,337.28,347.54,352.23,353.12,372.90,365.20,352.90,347.09,344.96,351.66,351.21,340.85,365.33,347.10,378.99,379.89,361.22,377.50,392.21,364.48,356.72,345.62,365.16,358.81,360.40,382.07,379.22,389.29,360.56,360.08,339.93,342.45,352.47,324.11,320.60,333.48,360.21,375.14,333.07,331.19,342.96,342.59,336.31,341.08,350.65,338.33,388.46,353.26,374.53,345.39,353.71,350.67,358.34,344.41,325.49,,,,,286.82,291.15,289.61,296.09,301.85,281.49,400.75,,
2001-07-14 22:03:33.580000,L7,,,,346.54,365.62,369.52,361.02,365.05,362.15,352.50,353.86,358.15,364.25,368.00,364.28,373.77,363.47,377.62,390.70,379.55,378.69,368.75,369.88,381.98,388.40,386.86,385.16,379.39,365.40,369.02,365.36,369.76,383.33,363.68,379.21,386.32,383.09,377.50,382.74,376.20,374.35,375.97,372.19,379.06,389.90,381.28,382.50,378.18,382.38,372.83,378.20,367.77,354.83,394.00,375.46,384.41,391.57,388.87,398.48,391.30,371.14,366.41,333.87,333.76,296.31,279.79,280.52,271.67,274.91,367.23,364.11,361.56,370.73,371.48,372.08,380.06,371.91,374.04,381.11,384.37,388.61,390.71,386.34,354.49,370.61,356.44,365.51,390.70,399.82,389.65,377.99,378.60,374.21,374.32,374.03,385.60,402.77,389.41,384.25,386.45,386.75,394.04,398.16,328.13,338.21,381.82,387.29,387.71,384.85,372.00,363.42,392.61,391.87,397.18,280.79,328.05,308.32,,388.79,388.06,352.78,353.70,383.86,382.41,393.56,393.60,392.68,386.27,379.64,380.96,356.98,383.10,368.50,375.69,387.00,391.01,385.44,389.35,359.93,379.84,390.20,387.36,397.39,401.43,372.64,358.81,381.03,392.97,383.31,377.49,364.57,348.13,369.56,374.25,390.49,379.27,377.05,385.55,387.27,378.06,,,,,,,,,,,,,,403.27,,
2001-08-15 22:03:02.378000,L7,,,,319.69,324.45,329.96,328.93,308.29,331.94,337.01,342.63,353.13,348.48,359.63,348.11,354.96,376.14,375.58,362.86,368.87,354.63,367.38,361.83,364.64,380.12,389.86,380.54,387.05,353.22,369.54,348.38,347.16,338.58,326.05,323.59,369.46,372.01,362.19,380.19,339.35,364.70,343.51,330.27,308.47,356.00,341.87,361.59,372.36,323.49,,,,,,,,,,,,,268.66,,,334.48,352.29,351.29,,,,,,,,,,307.05,381.50,303.79,,,,,,,,,367.49,369.46,380.90,361.10,342.84,345.89,345.67,342.79,,290.41,286.11,294.39,292.55,312.97,291.51,292.71,,,,,,,,,,,,,,,,,,342.76,340.44,380.40,379.28,353.10,349.88,379.71,,,270.87,336.33,337.41,347.92,339.36,349.98,350.15,343.73,344.51,300.80,299.21,293.59,284.28,280.41,292.15,294.08,285.65,,,,,,343.52,330.77,288.82,,,,,,,,,,,,,260.43,288.74,292.09,286.99,294.96,291.56,284.28,,,
2001-10-18 22:02:30.135000,L7,,,,317.23,324.11,331.11,333.49,320.74,334.17,342.30,347.36,351.28,351.41,356.61,354.72,354.29,373.97,373.61,370.69,365.86,352.75,356.63,361.24,359.35,338.49,361.14,357.58,361.23,352.38,348.43,355.00,351.73,343.23,338.21,332.76,369.16,355.47,348.19,342.61,335.95,330.15,323.15,308.95,315.71,331.86,330.26,340.55,,,280.67,325.31,336.04,349.27,338.37,339.96,344.03,337.36,338.96,350.03,338.84,285.17,,,,,,,,,,,,,,,304.33,332.16,340.24,345.69,338.83,327.99,,324.02,,,,,352.86,364.88,376.45,376.06,346.21,343.53,347.26,343.17,331.03,321.86,332.20,326.95,326.89,336.45,335.28,339.98,348.86,344.41,320.84,303.08,336.33,339.20,332.51,329.58,338.57,322.53,290.40,,,,,271.02,319.68,346.36,346.21,357.38,357.65,350.38,325.47,348.23,337.60,329.63,333.25,341.91,347.73,353.24,353.69,355.79,356.28,360.86,330.31,311.10,313.46,305.12,307.94,314.66,311.49,320.38,329.77,344.61,342.47,342.16,344.75,337.21,336.12,341.02,336.48,344.97,326.86,308.84,331.88,321.37,314.57,304.04,327.97,324.97,312.24,300.11,298.97,287.94,293.75,294.46,286.37,298.15,293.59,289.60,,,
2001-11-03 22:02:34.745000,L7,,,,321.13,326.84,329.64,331.84,313.71,330.17,339.06,343.34,347.00,348.92,353.11,356.87,359.02,382.40,380.62,386.45,379.53,358.38,361.64,373.36,361.45,385.96,382.87,363.08,371.30,350.04,352.17,354.53,345.24,338.04,333.67,333.60,381.55,365.11,361.15,351.43,349.63,343.05,330.99,321.33,331.90,345.08,344.81,347.80,345.85,354.77,348.46,328.64,338.06,352.03,348.52,348.88,362.32,352.04,360.56,363.52,359.15,342.33,,,,,,,,,,,,,,,324.78,346.25,358.22,353.73,352.96,340.14,341.09,338.26,,,,,352.78,362.33,382.05,376.31,345.67,341.11,346.69,339.06,338.24,330.96,344.99,343.25,342.33,350.13,348.64,349.51,351.39,355.32,339.59,341.00,348.44,351.23,347.65,336.69,357.06,343.33,310.98,,,,,,319.84,345.55,338.38,382.34,368.94,350.21,319.47,394.84,348.90,340.88,345.04,350.41,356.04,359.67,365.84,366.22,370.10,370.01,349.07,326.63,331.63,319.59,320.27,316.29,316.40,321.19,339.29,349.57,347.62,351.62,350.22,346.75,351.99,351.01,353.99,361.41,326.02,313.29,338.85,320.84,322.88,330.69,338.06,325.33,318.82,304.29,299.83,286.68,301.63,302.12,291.78,302.38,293.23,292.74,,,
2002-02-23 22:03:07.400000,L7,,,,,,,,,,,,,,,,,,,,,,,324.12,355.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.51,365.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
