dates,nzd0466-0000,nzd0466-0001,nzd0466-0002,nzd0466-0003,nzd0466-0004,nzd0466-0005,nzd0466-0006,nzd0466-0007,nzd0466-0008,nzd0466-0009,nzd0466-0010,nzd0466-0011,nzd0466-0012,nzd0466-0013,nzd0466-0014,nzd0466-0015,nzd0466-0016,nzd0466-0017,nzd0466-0018,nzd0466-0019,nzd0466-0020,nzd0466-0021,nzd0466-0022,nzd0466-0023,nzd0466-0024,nzd0466-0025,nzd0466-0026,nzd0466-0027,nzd0466-0028,nzd0466-0029,nzd0466-0030,nzd0466-0031,nzd0466-0032,nzd0466-0033,nzd0466-0034,nzd0466-0035,nzd0466-0036,nzd0466-0037,nzd0466-0038,nzd0466-0039,nzd0466-0040,nzd0466-0041,nzd0466-0042,nzd0466-0043,nzd0466-0044,nzd0466-0045,nzd0466-0046,nzd0466-0047,nzd0466-0048,nzd0466-0049,nzd0466-0050,nzd0466-0051,nzd0466-0052,nzd0466-0053,nzd0466-0054,nzd0466-0055,nzd0466-0056,nzd0466-0057,nzd0466-0058,nzd0466-0059,nzd0466-0060,nzd0466-0061,nzd0466-0062,nzd0466-0063,nzd0466-0064,nzd0466-0065,nzd0466-0066,nzd0466-0067,nzd0466-0068,nzd0466-0069,nzd0466-0070,nzd0466-0071,nzd0466-0072,nzd0466-0073,nzd0466-0074,nzd0466-0075,nzd0466-0076,nzd0466-0077,nzd0466-0078,nzd0466-0079,nzd0466-0080,nzd0466-0081,nzd0466-0082,nzd0466-0083,nzd0466-0084,nzd0466-0085,nzd0466-0086,nzd0466-0087,nzd0466-0088,nzd0466-0089,nzd0466-0090,nzd0466-0091,nzd0466-0092,nzd0466-0093,nzd0466-0094,nzd0466-0095,nzd0466-0096,nzd0466-0097,nzd0466-0098,nzd0466-0099,nzd0466-0100,nzd0466-0101,nzd0466-0102,nzd0466-0103,nzd0466-0104,nzd0466-0105,nzd0466-0106,nzd0466-0107,nzd0466-0108,nzd0466-0109,nzd0466-0110,nzd0466-0111,nzd0466-0112,nzd0466-0113,nzd0466-0114,nzd0466-0115,nzd0466-0116,nzd0466-0117,nzd0466-0118,nzd0466-0119,nzd0466-0120,nzd0466-0121,nzd0466-0122,nzd0466-0123,nzd0466-0124,nzd0466-0125,nzd0466-0126,nzd0466-0127,nzd0466-0128,nzd0466-0129,nzd0466-0133,nzd0466-0130,nzd0466-0131,nzd0466-0132
2001-06-28 22:03:32+00:00,285.95,271.38,212.0,,227.92,,186.79,,,,,,,,,247.145,,245.31,255.48,236.36,,317.55,315.34,313.6,293.83500000000004,273.62,294.27,265.48,269.135,282.4766666666667,,,,255.71,268.065,,,315.71,,286.9,259.74,,,,,,264.26,293.49,273.87,282.525,299.8,296.98,302.81,292.95,291.42,287.48,271.095,260.65999999999997,279.08500000000004,273.53999999999996,263.05,,,277.42,291.19,,279.17,,272.81666666666666,,275.47499999999997,290.29,,,,,256.135,260.37,278.88,270.72,258.90333333333336,267.97,263.21333333333337,243.24666666666667,239.38000000000002,258.42,262.96,260.04,280.295,279.31,269.73,274.45,264.36,262.67999999999995,265.13,258.99,256.55,258.71,263.905,295.26,271.0925,271.56,277.68,307.96,283.91,229.725,252.255,248.0566666666667,236.81000000000003,255.11499999999998,253.515,252.945,262.77,,240.59,267.14,,,262.78,255.38500000000002,,,,,,,,,,,,,,
2001-10-18 22:02:30+00:00,285.95,271.38,,,,,186.79,,,,,,,,,,,,,,,317.55,315.34,313.6,295.57,,,,252.96,280.04,,,,254.82,248.78,,,315.71,,286.9,259.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.17,260.37,,,,265.25,262.44,248.36,,,,,,,,,,,,,,,270.06,295.26,290.06,297.76,290.16,307.96,283.91,229.56,275.05,260.29,214.01,255.46,,,257.17,,220.8,,,,262.78,262.87,,,,,,,,,,,,224.16,239.25,231.78
2002-03-11 22:03:07+00:00,261.55,243.91,,256.52,234.44,163.88,221.04,238.77,245.99,258.84,270.55,243.97,253.46,,,,,213.4,,245.82,,307.41,309.22,314.28,313.93,304.96,300.21,266.17,278.88,278.26,,316.23,324.17,317.6,318.49,301.34,300.48,298.21,294.39,,,,,274.01,279.85,280.4,282.47,292.73,293.19,300.51,315.48,314.73,312.3,313.78,312.95,313.22,316.29,307.75,302.38,290.41,311.02,303.23,303.42,303.86,309.15,310.92,306.35,306.12,304.37,308.43,296.43,302.67,300.58,297.67,296.26,300.45,302.71,296.22,295.91,296.73,292.82,292.28,279.02,280.15,288.95,288.51,288.91,288.31,290.68,290.66,288.36,289.74,290.01,279.38,279.16,275.7,283.09,286.34,280.64,292.31,288.52,285.28,287.35,270.79,265.81,257.49,263.47,274.21,271.22,269.23,276.52,277.4,284.14,286.13,287.36,284.6,287.81,282.79,284.72,292.47,292.3,300.34,304.46,299.8,308.1,305.79,307.59,306.04,304.17,303.49,298.14,224.16,268.065,264.985
2002-04-12 22:03:01+00:00,261.55,243.91,,256.52,234.44,163.88,221.04,238.77,245.99,258.84,270.55,243.97,253.46,,,,,226.215,251.13,256.41499999999996,269.6,287.925,289.45000000000005,295.28999999999996,294.12,290.84,287.78,266.17,278.88,278.26,,311.21000000000004,312.805,310.025,306.385,301.34,300.48,298.21,294.39,,,,,274.01,260.29,261.16499999999996,280.34000000000003,288.97,283.875,287.16499999999996,311.165,314.46500000000003,311.005,311.865,310.63,310.635,311.65999999999997,302.945,295.475,285.3,296.40999999999997,291.46000000000004,289.165,291.865,298.63,298.19,293.505,296.86,295.33000000000004,293.895,281.615,302.67,300.58,297.67,296.26,300.45,302.71,296.22,295.91,296.73,292.82,292.28,279.02,280.15,288.95,288.51,288.91,288.31,290.68,290.66,288.36,289.74,290.01,279.38,279.16,275.7,283.09,286.34,280.64,292.31,288.52,285.28,287.35,270.79,265.81,257.49,263.47,274.21,271.22,269.23,276.52,277.4,284.14,286.13,287.36,284.6,287.81,282.79,284.72,292.47,292.3,300.34,304.46,299.8,308.1,305.79,307.59,306.04,304.17,303.49,298.14,224.16,268.065,264.985
2002-05-14 22:02:55+00:00,261.55,225.67000000000002,205.05,256.52,234.44,163.88,221.04,238.77,245.99,258.84,270.55,243.97,245.01,,,224.09,,242.87666666666667,263.9,265.1466666666667,273.92,285.93,287.91,291.52666666666664,287.0833333333333,286.5733333333333,279.34666666666664,254.02,267.31,275.98,290.98,310.62,310.50333333333333,305.92,303.43666666666667,298.1,293.525,298.21,294.39,,,,,274.01,260.29,264.82666666666665,282.28333333333336,290.33666666666664,286.20666666666665,290.66333333333336,314.00666666666666,315.59999999999997,312.78,313.09999999999997,311.9766666666667,312.6433333333334,312.5366666666667,304.87333333333333,297.0733333333333,287.3533333333333,293.27,290.29333333333335,287.59666666666664,288.63000000000005,296.19666666666666,295.76666666666665,290.96333333333337,292.8433333333333,292.77,289.67333333333335,274.7966666666667,302.67,300.58,297.67,296.26,300.45,283.13,296.22,281.37,296.73,292.82,292.28,279.02,280.15,288.95,288.51,288.91,288.31,290.68,290.66,288.36,289.74,290.01,279.38,279.16,275.7,283.09,286.34,280.64,292.31,288.52,285.28,287.35,270.79,265.81,240.85000000000002,253.8,267.225,257.64,269.23,257.115,265.67499999999995,278.85,274.16999999999996,281.25,274.45000000000005,283.935,282.79,266.315,288.655,286.75,294.65,298.62,292.57500000000005,303.46500000000003,305.79,307.59,306.04,304.17,303.49,298.14,,296.88,298.19
2002-12-08 22:02:27+00:00,290.1,275.73,,276.14,260.47,203.58,239.51,264.93,270.59,271.65,282.42,290.29,290.5,297.62,298.04,295.25,294.09,307.82,313.88,307.48,308.76,309.03,312.29,319.46,314.36,310.23,313.27,307.03,307.7,,,,288.63,282.89,281.31,,,316.49,305.55,310.98,301.84,294.93,283.18,279.8,288.93,291.67,299.19,313.96,311.51,317.17,,,,,,,,319.23,316.94,313.61,315.64,314.0,316.07,313.12,315.97,325.03,309.84,307.93,311.57,307.89,301.67,306.11,307.69,302.53,299.46,311.88,308.87,298.69,305.08,291.49,295.32,292.18,300.15,289.15,299.7,290.59,304.69,299.59,304.23,308.11,299.3,295.73,289.91,284.28,289.2,290.61,285.82,291.5,287.81,293.75,300.97,308.75,286.29,293.23,282.9,271.07,288.05,291.6,284.11,290.52,291.38,290.36,294.19,293.8,294.76,296.53,295.63,293.88,293.18,300.91,301.88,308.61,306.98,319.31,318.98,315.45,318.81,321.34,313.56,319.43,,,,
2002-12-24 22:02:33+00:00,287.355,278.83000000000004,,278.92499999999995,259.67,236.515,256.52,272.69,275.395,276.095,287.77,291.135,292.72,295.115,300.15,299.78499999999997,296.71,302.815,313.455,308.65999999999997,307.03,311.03,314.365,316.87,314.36,310.23,313.27,307.03,307.7,,,,288.63,282.89,281.31,,,316.49,305.55,310.98,301.84,294.93,283.18,279.8,288.93,291.67,299.19,313.96,311.51,317.17,,,,,,,,319.23,316.94,313.61,315.64,314.0,316.07,313.12,315.97,325.03,309.84,307.93,311.57,307.89,301.67,306.11,307.69,302.53,299.46,311.88,308.87,298.69,303.24,291.49,295.32,292.18,300.15,290.41999999999996,298.51,293.27,290.83000000000004,296.32,303.75,309.045,298.01,296.20000000000005,290.91,295.04499999999996,292.47,293.48,283.37,282.985,292.015,291.75,306.65,310.76,292.18,294.94500000000005,290.9,277.365,285.82500000000005,284.41,280.235,284.01,288.885,286.74,292.79499999999996,293.62,291.83500000000004,300.79499999999996,296.205,294.935,292.875,299.81,299.96000000000004,305.655,307.225,314.8,316.155,314.395,316.47,317.80999999999995,314.0,319.43,,,,
2003-09-14 21:51:42+00:00,,,,,,,,,,,,,,,,272.46,283.27,284.76,291.79,292.25,291.41,299.07,300.14,303.28,303.3,300.59,298.77,300.71,,329.33,,,335.22,330.58,,328.3,318.09,302.16,282.5,291.41,278.75,262.26,,263.82,279.83,286.5,295.43,305.16,309.67,313.18,324.97,324.74,320.77,327.83,330.53,332.83,331.28,331.37,314.35,311.92,304.03,303.07,312.17,315.07,310.91,307.58,302.35,307.97,303.92,301.54,295.43,297.52,290.98,283.7,282.7,290.91,287.95,283.63,287.44,282.43,270.98,275.35,282.88,279.4,281.06,272.9,276.34,276.67,287.33,287.14,282.33,283.94,302.4,276.21,275.28,278.02,275.57,277.33,277.52,278.43,,,,,,,,272.38,283.18,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-17 21:52:33+00:00,280.9,272.51,,284.82,229.17,,,258.34,277.47,271.12,269.08,277.02,267.5,277.01,281.32,277.835,287.86,298.655,291.79,305.95500000000004,305.625,309.555,310.53999999999996,310.075,301.685,298.16999999999996,299.075,300.75,321.03,326.53999999999996,,,315.87,338.79999999999995,,328.3,318.09,306.245,287.055,295.05,282.185,263.56,,263.735,285.5,291.35,302.115,312.05,316.70000000000005,318.12,324.97,323.63,318.7,323.97,325.42499999999995,327.54999999999995,326.53999999999996,325.57,320.51,316.745,316.07,314.71000000000004,320.815,323.71500000000003,323.485,310.385,302.475,305.9,301.98,299.495,296.995,297.0,299.045,292.935,291.91999999999996,298.12,298.025,293.475,296.995,287.59000000000003,277.865,275.245,285.615,279.54999999999995,283.86,278.36,289.615,290.81,299.31,299.385,295.89,297.83500000000004,313.755,284.955,277.815,278.115,275.025,276.755,277.95,280.34000000000003,302.09,,326.13,306.78,308.07,280.32,300.45,289.625,285.99,284.22,286.05,288.76,293.48,292.94,293.62,306.25,311.97,310.99,310.64,319.27,318.49,329.5,319.82,311.74,314.45,313.2,317.01,,,,,254.05,265.47,259.52
2004-07-30 21:56:51+00:00,268.91,253.63,191.86,,209.9,237.73,242.81,236.31,,,,,,,,,,,294.25,296.73,288.01,301.5,308.74,319.43,305.12,299.94,318.85,313.84,339.9,331.12,,335.41,337.75,,,,329.01,314.92,301.9,321.06,294.87,266.56,271.71,269.28,283.79,289.07,297.16,305.48,310.59,316.53,320.17,325.24,325.86,329.61,331.88,330.49,330.81,333.3,320.02,308.5,317.3,318.04,314.42,323.32,330.43,331.08,310.03,315.79,307.86,304.88,319.19,301.04,292.22,282.13,290.69,300.22,301.0,284.43,286.26,296.38,285.75,280.38,297.54,288.92,287.89,284.73,298.04,286.09,297.95,293.72,283.01,296.84,313.44,274.14,275.86,275.38,266.28,275.5,277.42,284.41,312.98,326.27,308.46,296.13,269.78,263.66,267.16,288.37,281.93,275.83,265.66,277.81,295.18,286.65,286.41,270.42,,284.17,278.46,279.65,288.48,,,,,,,312.33,,303.67,299.66,,,
