dates,satname,nzd0480-0000,nzd0480-0001
1999-10-13 22:07:12.582000,L7,311.03,303.91
2000-06-25 22:05:55.844000,L7,313.30,319.16
2000-06-25 22:06:19.852000,L7,313.01,317.66
2000-07-27 22:05:24.302000,L7,318.29,326.06
2000-07-27 22:05:48.258000,L7,320.15,327.54
2000-08-03 22:11:31.842000,L7,319.54,327.98
2000-08-12 22:05:17.927000,L7,320.59,323.11
2000-12-18 22:04:37.758000,L7,363.64,377.16
2000-12-18 22:05:01.704000,L7,348.18,342.82
2001-01-03 22:04:36.218000,L7,311.96,304.69
2001-04-09 22:04:17.927000,L7,354.60,363.30
2002-11-22 22:02:21.568000,L7,360.15,368.39
2002-12-24 22:02:33.044000,L7,356.94,350.62
2003-08-13 21:51:08.818000,L5,320.87,322.31
2003-09-14 21:51:42.461000,L5,321.62,318.42
2003-11-17 21:52:33.290000,L5,316.91,312.45
2003-11-17 21:52:57.120000,L5,315.99,311.34
2004-06-28 21:56:04.477000,L5,321.23,331.52
2004-06-28 21:56:28.308000,L5,319.94,331.26
2004-08-15 21:57:13.549000,L5,340.19,344.12
2004-08-15 21:57:37.379000,L5,340.19,344.87
2004-10-18 21:58:47.729000,L5,353.42,349.82
2004-10-18 21:59:11.702000,L5,341.98,339.53
2005-04-12 22:01:18.889000,L5,365.49,361.72
2005-04-12 22:01:42.862000,L5,331.09,328.79
2005-10-05 22:02:17.195000,L5,339.69,332.71
2005-10-05 22:02:41.026000,L5,348.24,341.63
2005-11-06 22:02:22.875000,L5,364.07,360.02
2005-11-06 22:02:46.848000,L5,374.74,372.86
2006-02-10 22:04:39.000000,L5,293.27,310.57
2006-02-17 22:10:58.804000,L5,345.12,346.29
2006-02-26 22:04:59.098000,L5,337.48,355.50
2006-08-21 22:07:43.467000,L5,340.70,343.08
2006-08-21 22:08:07.440000,L5,339.90,344.34
2006-10-24 22:08:26.357000,L5,345.25,343.48
2006-12-11 22:08:52.184000,L5,341.40,325.84
2006-12-11 22:09:16.015000,L5,332.88,319.76
2007-02-13 22:09:11.063000,L5,338.27,326.57
2007-09-09 22:07:21.190000,L5,339.81,338.18
2007-09-09 22:07:45.163000,L5,335.48,331.19
2007-09-16 22:13:28.554000,L5,373.93,370.84
2008-02-16 22:04:45.714000,L5,320.62,324.16
2008-11-14 21:57:52.281000,L5,358.51,336.31
2009-01-01 21:58:55.309000,L5,302.78,282.38
2009-01-17 21:59:20.568000,L5,322.64,313.84
2009-01-17 21:59:44.398000,L5,308.62,299.67
2010-02-05 22:05:29.575000,L5,359.58,357.03
2011-02-08 22:04:11.186000,L5,333.25,330.22
2011-02-08 22:04:35.159000,L5,330.34,329.17
2011-02-15 22:10:22.480000,L5,334.84,340.20
2011-03-12 22:04:07.249000,L5,332.54,336.99
2011-03-12 22:04:31.079000,L5,327.52,329.47
2011-03-28 22:04:02.070000,L5,328.65,329.06
2013-06-05 22:16:15.001000,L8,324.41,323.31
2013-06-05 22:16:38.960000,L8,318.32,314.24
2013-06-28 22:22:20.943000,L8,328.13,328.34
2013-07-07 22:16:35.929000,L8,329.09,309.89
2013-08-31 22:22:26.282000,L8,330.17,328.97
2013-09-25 22:16:04.975000,L8,330.73,330.74
2013-09-25 22:16:28.938000,L8,330.93,331.10
2013-10-11 22:16:29.291000,L8,358.29,349.62
2013-10-27 22:15:55.590000,L8,337.91,322.25
2013-10-27 22:16:19.549000,L8,348.51,338.61
2013-12-21 22:21:51.057000,L8,316.59,322.21
2014-01-22 22:21:31.494000,L8,331.76,336.66
2014-02-23 22:21:08.076000,L8,330.89,336.29
2014-03-11 22:20:55.957000,L8,327.41,327.07
2014-03-20 22:14:37.534000,L8,326.48,329.63
2014-03-20 22:15:01.497000,L8,327.01,330.14
