dates,nzd0480-0000,nzd0480-0001,satname
1999-10-13 22:07:12+00:00,311.03,303.91,L7
2000-06-25 22:05:55+00:00,313.3,319.16,L7
2000-07-27 22:05:48+00:00,316.725,323.35,L7
2000-08-03 22:11:31+00:00,317.66333333333336,324.8933333333334,L7
2000-08-12 22:05:17+00:00,318.395,324.4475,L7
2001-01-03 22:04:36+00:00,318.06,320.83,L7
2003-08-13 21:51:08+00:00,320.87,322.31,L5
2003-09-14 21:51:42+00:00,321.245,320.365,L5
2003-11-17 21:52:57+00:00,319.49333333333334,317.3566666666666,L5
2004-06-28 21:56:28+00:00,319.94,331.26,L5
2005-04-12 22:01:42+00:00,331.09,328.79,L5
2005-10-05 22:02:17+00:00,335.39,330.75,L5
2006-08-21 22:07:43+00:00,340.7,343.08,L5
2006-12-11 22:09:16+00:00,336.78999999999996,331.41999999999996,L5
2007-02-13 22:09:11+00:00,337.2833333333333,329.80333333333334,L5
2007-09-09 22:07:21+00:00,339.81,338.18,L5
2008-11-14 21:57:52+00:00,,336.31,L5
2009-01-01 21:58:55+00:00,302.78,309.345,L5
2009-01-17 21:59:44+00:00,305.7,306.12,L5
2011-02-08 22:04:35+00:00,330.34,329.17,L5
2011-03-12 22:04:31+00:00,328.92999999999995,329.32000000000005,L5
2011-03-28 22:04:02+00:00,328.83666666666664,329.23333333333335,L5
2013-06-05 22:16:38+00:00,318.32,314.24,L8
2013-06-28 22:22:20+00:00,323.225,321.28999999999996,L8
2013-07-07 22:16:35+00:00,325.18,317.49,L8
2013-08-31 22:22:26+00:00,326.4275,320.36,L8
2013-09-25 22:16:04+00:00,327.288,322.43600000000004,L8
2013-10-27 22:16:19+00:00,327.288,325.13166666666666,L8
2013-12-21 22:21:51+00:00,326.942,326.46,L8
2014-01-22 22:21:31+00:00,327.3125,331.438,L8
2014-02-23 22:21:08+00:00,328.02799999999996,331.438,L8
2014-03-11 22:20:55+00:00,327.476,331.058,L8
2014-03-20 22:14:37+00:00,327.31,330.82,L8
