dates,nzd0390-0000,nzd0390-0001,nzd0390-0002,nzd0390-0003,nzd0390-0004,nzd0390-0005,nzd0390-0006,nzd0390-0012,nzd0390-0013,nzd0390-0014,nzd0390-0015,nzd0390-0016,nzd0390-0017,nzd0390-0018,nzd0390-0019,nzd0390-0020,nzd0390-0021,nzd0390-0022,nzd0390-0023,nzd0390-0024,nzd0390-0025,nzd0390-0026,nzd0390-0027,nzd0390-0028,nzd0390-0029,nzd0390-0030,nzd0390-0031,nzd0390-0032,nzd0390-0033,nzd0390-0034,nzd0390-0035,nzd0390-0011,nzd0390-0036,nzd0390-0037,nzd0390-0038,nzd0390-0039,nzd0390-0040,nzd0390-0041,nzd0390-0042,nzd0390-0043,nzd0390-0044,nzd0390-0045,nzd0390-0046,nzd0390-0047,nzd0390-0048,nzd0390-0049,nzd0390-0050,nzd0390-0051,nzd0390-0052,nzd0390-0053,nzd0390-0054,nzd0390-0055,nzd0390-0056,nzd0390-0057,nzd0390-0058,nzd0390-0059,nzd0390-0060,nzd0390-0061,nzd0390-0062,nzd0390-0008,nzd0390-0009,nzd0390-0010,nzd0390-0007,nzd0390-0072,nzd0390-0073,nzd0390-0074,nzd0390-0081,nzd0390-0082,nzd0390-0083,nzd0390-0084,nzd0390-0085,nzd0390-0086,nzd0390-0087,nzd0390-0088,nzd0390-0089,nzd0390-0123,nzd0390-0124,nzd0390-0125,nzd0390-0063,nzd0390-0064,nzd0390-0065,nzd0390-0066,nzd0390-0067,nzd0390-0068,nzd0390-0069,nzd0390-0070,nzd0390-0071,nzd0390-0079,nzd0390-0080,nzd0390-0090,nzd0390-0091,nzd0390-0092,nzd0390-0093,nzd0390-0099,nzd0390-0100,nzd0390-0101,nzd0390-0102,nzd0390-0103,nzd0390-0104,nzd0390-0105,nzd0390-0106,nzd0390-0107,nzd0390-0108,nzd0390-0109,nzd0390-0110,nzd0390-0111,nzd0390-0112,nzd0390-0113,nzd0390-0114,nzd0390-0115,nzd0390-0116,nzd0390-0119,nzd0390-0120,nzd0390-0121,nzd0390-0122,nzd0390-0126,nzd0390-0127,nzd0390-0128,nzd0390-0129,nzd0390-0130,nzd0390-0131,nzd0390-0132,nzd0390-0133,nzd0390-0134,nzd0390-0135,nzd0390-0136,nzd0390-0137,nzd0390-0138,nzd0390-0139,nzd0390-0140,nzd0390-0075,nzd0390-0094,nzd0390-0095,nzd0390-0096,nzd0390-0097,nzd0390-0098,nzd0390-0117,nzd0390-0118,nzd0390-0141,nzd0390-0076,nzd0390-0077,nzd0390-0078,nzd0390-0142,satname
2000-06-18 21:59:03.789,465.16400000000004,447.86999999999995,436.1499999999999,505.37999999999994,504.63500000000005,493.84,494.86,463.1033333333333,486.80600000000004,511.7750000000001,496.6166666666666,464.79499999999996,464.316,463.805,471.28666666666663,480.7683333333334,491.46999999999997,491.1566666666667,495.46166666666664,496.2316666666666,501.6000000000001,499.195,496.46999999999997,498.96666666666664,505.39799999999997,508.492,506.684,513.5260000000001,505.27000000000004,511.16,504.7966666666666,457.3228571428571,506.12833333333333,504.5242857142857,513.5649999999999,511.628,505.19,482.645,465.84399999999994,478.94166666666666,472.72142857142853,482.83,503.0014285714286,505.2042857142857,496.19,506.28,510.75666666666666,507.3175,509.35499999999996,511.4614285714285,507.08833333333337,482.6528571428571,475.8885714285714,498.455,502.20000000000005,508.6433333333334,500.3016666666667,517.8916666666667,522.4300000000001,504.0566666666667,505.895,479.6557142857143,495.92499999999995,414.63,,407.81,361.72,368.96,348.5,312.235,309.03,,,436.12,467.81,292.4,281.03,308.83500000000004,,,,410.52,424.88,421.1,,427.73,427.62,367.88,369.73,476.9,,,,389.41,282.65,,323.35,332.1,,353.93,331.56,329.72,331.85,337.86,377.95,269.68,286.77,304.47,285.21,,301.72,283.35,,,,,,,,225.23,205.84,,424.05,418.09,301.82,,506.68,480.88,491.25,498.2,,,,,,386.48,,272.43,518.97,,381.5,370.96,,L7
2000-08-05 21:58:20.584,474.39000000000004,453.96,441.0799999999999,502.0466666666666,506.34666666666675,480.4675,483.41,448.0883333333333,470.01599999999996,489.5425,489.99,464.79499999999996,464.316,466.7575,476.63749999999993,484.83500000000004,498.0025,494.49,499.75,499.635,506.72,502.68,496.428,500.34399999999994,508.1975,511.43,509.18499999999995,517.6949999999999,508.22666666666674,511.05250000000007,506.81499999999994,452.3614285714285,509.195,504.858,516.1925,514.25,506.32749999999993,476.58500000000004,458.74666666666667,478.2825,465.97333333333336,480.6525,494.20166666666665,496.9683333333334,491.0,498.45,506.5025,499.025,500.22249999999997,504.76500000000004,500.87399999999997,478.3433333333334,470.15166666666664,500.5825,502.8675,509.01250000000005,500.505,518.395,521.56,487.635,491.49,470.6471428571428,481.95,415.025,,413.305,361.72,387.66999999999996,348.5,312.235,313.14,,,438.08000000000004,456.19,295.3866666666667,284.03,312.0133333333333,,488.46,489.32,410.52,424.88,421.1,457.53,428.04,432.56,367.88,369.73,473.79999999999995,,484.08,,392.20000000000005,287.385,,324.65,316.875,,350.375,330.72,323.665,322.15,327.34000000000003,366.26,259.48,287.45,298.44000000000005,281.335,,301.72,276.37,,376.47,351.34,377.73,,,,210.20499999999998,186.015,,421.865,418.09,306.405,,504.59000000000003,484.505,489.595,484.705,409.43,446.73,,459.97,463.72,398.70500000000004,,272.43,516.06,447.39,381.5,370.96,,L7
2000-09-06 21:57:58.861,492.7450000000001,446.55,440.57,473.54999999999995,475.00000000000006,480.12,486.52666666666664,426.554,447.6575,462.58666666666664,456.50666666666666,467.6033333333333,466.0675,469.2366666666667,480.26666666666665,486.18,504.6833333333334,497.7266666666667,505.1366666666666,503.0566666666667,503.1366666666666,504.2633333333333,496.075,499.375,508.1933333333333,509.00000000000006,508.42333333333335,510.9166666666667,509.21999999999997,510.5366666666667,509.0333333333333,437.2616666666666,510.56666666666666,505.475,518.39,518.07,512.03,490.61,463.485,487.9533333333334,470.34,489.16,497.19000000000005,499.65,489.1966666666667,491.6566666666667,502.82,496.32666666666665,495.22333333333336,503.7200000000001,500.445,477.85200000000003,469.28000000000003,500.40000000000003,500.1466666666667,510.0266666666667,504.0433333333333,521.0433333333334,524.46,484.51666666666665,479.21333333333337,460.16333333333336,479.3966666666667,415.025,,413.305,361.72,387.66999999999996,348.5,312.235,313.14,,,438.08000000000004,456.19,295.3866666666667,284.03,312.0133333333333,,488.46,489.32,410.52,424.88,421.1,457.53,428.04,432.56,367.88,369.73,473.79999999999995,,484.08,,392.20000000000005,287.385,,324.65,316.875,,350.375,330.72,323.665,322.15,327.34000000000003,366.26,259.48,287.45,298.44000000000005,281.335,,301.72,276.37,,376.47,351.34,377.73,,,,210.20499999999998,186.015,,421.865,418.09,306.405,,504.59000000000003,484.505,489.595,484.705,409.43,446.73,,459.97,463.72,398.70500000000004,,272.43,516.06,447.39,381.5,370.96,,L7
2000-10-24 21:57:29.684,,450.74,440.94,466.8349999999999,471.9100000000001,476.30499999999995,482.3566666666666,413.73199999999997,429.0675,436.27666666666664,453.515,463.34000000000003,459.1466666666667,466.58,468.81,482.77,486.42999999999995,493.01,498.23,502.89,498.145,501.23,489.24,492.9766666666667,505.475,503.645,504.15,510.81,505.38,509.58500000000004,507.01,425.622,506.015,498.19,511.75,512.39,504.53499999999997,491.33500000000004,467.3566666666666,480.675,462.88,481.485,491.5875,494.44500000000005,495.51250000000005,498.9175,508.0575,502.4125,500.2075,498.4125,491.84,470.92500000000007,462.04499999999996,484.135,487.605,499.345,497.41499999999996,514.3199999999999,522.145,474.3566666666666,465.1566666666667,438.29800000000006,474.66333333333336,415.025,,413.305,361.72,387.66999999999996,348.5,312.235,313.14,,,438.08000000000004,456.19,295.3866666666667,284.03,312.0133333333333,,488.46,489.32,410.52,424.88,421.1,457.53,428.04,432.56,367.88,369.73,473.79999999999995,,484.08,,392.20000000000005,287.385,,324.65,316.875,,350.375,330.72,323.665,322.15,327.34000000000003,366.26,259.48,287.45,298.44000000000005,281.335,,301.72,276.37,,376.47,351.34,377.73,,,,210.20499999999998,186.015,,421.865,418.09,306.405,,504.59000000000003,484.505,489.595,484.705,409.43,446.73,,459.97,463.72,398.70500000000004,,272.43,516.06,447.39,381.5,370.96,,L7
2000-11-25 21:57:34.931,477.66,459.5466666666667,440.94,466.8349999999999,483.85666666666674,483.835,489.92999999999995,420.82,436.1975,440.0325,455.59666666666664,463.9166666666667,471.50333333333333,468.45,468.9166666666667,483.2633333333333,486.57666666666665,493.59999999999997,496.66,501.14333333333326,500.0733333333333,501.24333333333334,502.17,504.1366666666667,505.76666666666665,505.05333333333334,504.4666666666667,510.5466666666666,504.705,509.49333333333334,506.91333333333336,426.37750000000005,506.97333333333336,509.7166666666667,512.7266666666667,513.9,505.67333333333335,492.6166666666666,477.84666666666664,482.26,471.57750000000004,483.75666666666666,499.7875,502.5450000000001,506.09000000000003,504.6000000000001,513.8100000000001,510.30333333333334,504.75666666666666,504.11999999999995,496.0525,478.925,469.84749999999997,487.20666666666665,494.36999999999995,502.62999999999994,499.7733333333333,518.0833333333334,522.145,474.3566666666666,478.175,451.57399999999996,474.66333333333336,415.42,,418.8,,406.38,,294.8,317.25,,,440.04,444.57,291.64500000000004,282.85999999999996,306.43499999999995,,488.46,489.32,,,,457.53,428.35,437.5,,,470.7,,484.08,,394.99,292.12,,325.95,301.65,,346.82,329.88,317.61,312.45,316.82,354.57,249.28,288.13,292.41,277.46,,,269.39,,376.47,351.34,377.73,,,,210.20499999999998,186.015,,419.68,,310.99,,502.5,488.13,487.94,471.21,409.43,446.73,,459.97,463.72,410.93,,,513.15,447.39,368.27,,,L7
2000-12-11 21:57:36.803,467.83000000000004,461.78000000000003,442.09666666666664,466.9433333333333,482.7375,485.18199999999996,490.43666666666667,424.705,437.37399999999997,442.378,456.54,464.2475,472.415,468.98249999999996,469.6,483.5575,487.58,494.09749999999997,495.9575,500.9375,502.79,501.56,503.615,505.5925,506.46500000000003,506.0125,505.5875,509.855,505.4066666666667,509.5075,507.125,431.108,507.0925,510.1025,513.4675,515.0675,506.4375,493.735,479.1175,483.0625,474.592,485.81,502.54200000000003,504.84800000000007,508.29200000000003,509.49,513.8100000000001,513.7925,509.44,508.06999999999994,498.73999999999995,480.788,471.8639999999999,487.7675,495.54999999999995,503.175,500.92,518.515,522.145,477.265,478.264,454.12166666666667,477.725,415.42,,418.8,,406.38,,294.8,317.25,,,440.04,444.57,291.64500000000004,282.85999999999996,306.43499999999995,,488.46,489.32,,,,457.53,428.35,437.5,,,470.7,,484.08,,394.99,292.12,,325.95,301.65,,346.82,329.88,317.61,312.45,316.82,354.57,249.28,288.13,292.41,277.46,,,269.39,,376.47,351.34,377.73,,,,210.20499999999998,186.015,,419.68,,310.99,,502.5,488.13,487.94,471.21,409.43,446.73,,459.97,463.72,410.93,,,513.15,447.39,368.27,,,L7
2001-02-13 21:57:39.607,477.01666666666665,465.592,442.09666666666664,474.54499999999996,487.64000000000004,495.46000000000004,497.225,449.65200000000004,443.342,448.9675,456.254,463.92600000000004,472.442,469.50199999999995,470.496,483.726,490.654,496.532,498.96999999999997,500.436,505.48199999999997,503.87999999999994,503.615,505.5925,506.46500000000003,509.71999999999997,505.30600000000004,509.78599999999994,505.21,510.322,506.20200000000006,458.93,508.73400000000004,510.196,513.846,515.35,506.684,493.816,478.918,482.96000000000004,483.15,486.40600000000006,509.846,510.68600000000004,516.65,520.1500000000001,523.35,521.4125,520.1324999999999,516.1949999999999,505.404,486.166,479.38599999999997,488.454,496.0,503.878,502.054,518.5020000000001,522.145,481.74,485.75500000000005,477.838,482.52333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-05-20 21:57:04.892,477.01666666666665,486.305,444.41,490.5033333333333,497.40500000000003,500.59250000000003,505.31,448.615,440.15,446.60999999999996,451.89250000000004,459.835,469.25,465.045,468.415,481.29,489.0775,493.9675,495.2975,495.995,503.9175,500.6525,498.8,501.20666666666665,501.68333333333334,508.105,502.21750000000003,504.6025,502.64000000000004,506.91,502.5575,456.75333333333333,506.045,506.6625,512.505,512.255,503.89750000000004,491.635,479.01750000000004,481.70750000000004,480.64250000000004,487.27750000000003,506.7425,507.735,514.1975,516.0666666666667,517.51,514.4766666666667,518.6833333333333,511.1066666666666,501.6775,481.38250000000005,478.91,487.7025,498.03499999999997,503.28749999999997,502.8775,517.1375,515.27,480.57500000000005,487.45666666666665,478.80249999999995,503.57000000000005,,,,,,,,,499.91,510.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-06-05 21:56:52.440,476.69499999999994,489.3533333333333,424.795,480.00249999999994,484.27500000000003,493.27750000000003,496.9175,441.2125,432.98249999999996,436.7733333333333,440.73,458.09,460.675,455.775,462.22249999999997,474.485,482.2025,486.79499999999996,487.9875,489.09,495.0625,493.145,487.30333333333334,491.28666666666663,491.4533333333334,500.38,495.985,496.30999999999995,496.39500000000004,500.4125,496.73,449.3425,499.24249999999995,500.0875,507.165,505.65999999999997,498.6625,484.72,474.39500000000004,475.57500000000005,473.99749999999995,480.5425,500.28249999999997,500.8675,507.445,509.24,511.3166666666666,508.1125,513.185,505.73,492.755,463.935,471.6675,478.57750000000004,483.93,501.3166666666666,495.90250000000003,514.3133333333334,515.27,473.62000000000006,463.1666666666667,462.935,488.9866666666667,,444.2,,434.47,435.12,,,324.99,489.41,492.405,,,323.89,304.93,336.39,433.59,509.94,524.24,,,,490.09,,,,,490.12,500.86,501.81,489.22,,,,,,,,,,,,,,,,,,,,,381.84,363.35,383.04,,,,,378.63,403.59,442.78,443.24,325.55,,512.67,499.69,501.71,510.72,,,,,,,,,,,,,,L7
2001-07-07 21:56:36.067,495.39,499.78999999999996,398.805,473.02,476.43,485.7575,489.635,435.1075,425.7575,427.26666666666665,432.22749999999996,446.67,452.49,444.6725,449.96999999999997,465.4975,474.7025,478.65,478.50249999999994,476.025,482.7675,483.18499999999995,473.71000000000004,476.75333333333333,480.0133333333333,489.815,486.9775,486.27500000000003,483.82,497.36666666666673,493.05333333333334,440.82,496.50666666666666,496.3633333333333,504.3233333333333,501.3566666666666,495.3066666666667,480.59666666666664,471.55,472.2766666666667,466.46000000000004,470.47,490.13,489.07,496.9975,498.44500000000005,506.0225,496.1,503.385,498.11,481.83500000000004,455.38750000000005,465.0675,471.20500000000004,470.84250000000003,499.56999999999994,481.255,511.56500000000005,515.27,462.93333333333334,452.87000000000006,454.99,478.9633333333333,432.87,438.97,425.26,442.22,441.08000000000004,,,327.07,489.41,492.405,,440.23,316.08,307.395,330.36,450.975,508.595,506.07500000000005,412.3,416.68,414.92,490.09,424.9,,,,475.655,485.96000000000004,469.69,476.95500000000004,424.63,,,333.07,,374.28,374.72,334.83,333.37,330.51,337.39,325.52,263.83,295.21,327.15,296.51,331.1,314.72,,392.71,383.53,364.98,373.595,302.44,283.21,368.9,,368.71000000000004,401.52,429.065,443.43,325.55,,489.9099999999999,494.595,501.71,510.72,432.5,453.99,,423.56,452.66,466.21,328.58,,,,,,,L7
