dates,satname,nzd0063-0000,nzd0063-0001,nzd0063-0002,nzd0063-0003,nzd0063-0004,nzd0063-0008,nzd0063-0009,nzd0063-0010,nzd0063-0011,nzd0063-0012,nzd0063-0013,nzd0063-0014,nzd0063-0005,nzd0063-0006,nzd0063-0007
1999-08-26 22:04:44.971000,L7,403.14,392.61,381.42,383.09,385.63,379.36,384.48,389.12,382.57,377.05,370.64,373.04,,,
1999-09-27 22:04:25.056000,L7,350.41,348.20,364.48,354.87,347.95,339.20,335.66,347.60,345.36,346.16,353.99,346.42,346.78,342.24,340.49
1999-09-27 22:04:48.949000,L7,353.07,348.48,364.53,354.71,347.56,338.72,337.34,347.53,343.95,345.67,352.05,344.26,346.30,342.44,340.84
1999-11-14 22:04:18.343000,L7,363.33,353.63,364.39,358.60,349.81,341.86,336.44,348.56,345.45,344.50,353.03,348.94,348.02,343.74,341.19
1999-11-14 22:04:42.286000,L7,363.29,352.32,364.12,357.74,349.22,340.99,335.98,347.66,343.95,342.89,351.81,347.35,346.96,343.02,339.95
2000-01-17 22:04:11.868000,L7,395.47,372.48,374.20,369.89,364.94,366.94,368.98,387.67,396.04,381.98,371.37,353.23,366.58,364.86,367.31
2000-01-17 22:04:35.821000,L7,399.24,372.44,374.53,371.70,365.29,366.66,370.45,388.36,400.43,384.58,370.69,353.36,365.51,364.71,368.09
2000-02-18 22:04:05.276000,L7,,,,,,329.56,324.94,332.17,333.71,332.70,333.93,327.53,,,320.13
2000-02-18 22:04:29.218000,L7,,,,,,329.50,324.73,331.61,333.80,332.22,333.70,326.90,,,320.13
2000-05-24 22:03:22.722000,L7,404.55,389.38,405.35,392.03,,,,,,,,,,,
2000-05-24 22:03:46.662000,L7,404.60,389.20,405.36,391.55,,,,,,,,,,,
2000-08-12 22:02:30.151000,L7,354.67,363.52,371.18,364.01,353.66,356.49,354.00,358.86,358.23,353.72,358.68,352.18,359.11,354.52,350.84
2000-08-12 22:02:54.094000,L7,355.47,363.26,371.98,363.59,353.86,356.91,353.58,358.66,358.26,354.12,359.08,352.84,360.29,354.32,352.55
2000-09-13 22:02:02.316000,L7,,,,,,363.28,361.34,360.44,363.86,364.59,366.93,362.47,,,
2000-09-13 22:02:26.190000,L7,,,,,,362.01,357.72,356.51,361.76,366.08,367.32,361.63,,,
2000-10-15 22:01:32.252000,L7,289.75,316.60,327.13,333.68,323.08,,325.54,296.06,331.12,347.96,,,329.03,320.36,323.48
2000-10-15 22:01:56.204000,L7,392.79,371.48,388.85,378.10,374.92,366.52,,,,,,,370.87,371.33,367.29
2001-01-03 22:02:12.432000,L7,568.30,386.10,396.05,385.96,382.70,,392.44,390.81,385.28,377.31,389.87,379.36,385.38,,
2001-02-04 22:01:50.443000,L7,,,,,,,,,,371.80,364.87,354.42,,,
2001-02-04 22:02:14.384000,L7,,,,,,,,,,375.82,367.26,359.75,,,
2001-03-08 22:01:45.126000,L7,365.74,364.82,,,,,,,,,,,,,
2001-03-24 22:01:35.778000,L7,,328.17,349.49,347.61,341.96,345.97,331.45,347.77,344.62,352.25,353.36,343.25,328.45,326.45,
2001-03-24 22:01:59.719000,L7,344.35,342.38,363.58,355.81,352.47,369.10,372.13,364.64,360.57,375.55,368.14,352.63,342.31,343.21,
2001-08-15 22:00:14.727000,L7,,,,300.80,331.99,323.41,319.90,324.06,328.58,334.12,321.45,302.69,353.06,343.21,343.83
2001-08-15 22:00:38.680000,L7,,,,300.80,331.66,321.68,318.82,324.31,327.23,331.18,317.30,,349.44,340.18,337.59
2001-10-02 21:59:40.713000,L7,346.88,337.07,360.79,351.38,350.87,343.39,337.51,347.77,343.28,340.87,348.05,343.29,344.52,345.51,340.54
2001-10-02 22:00:04.650000,L7,345.13,336.88,362.18,351.86,349.81,343.95,338.17,348.02,344.36,342.04,348.38,343.58,344.99,345.90,340.54
2001-11-03 21:59:47.008000,L7,380.98,368.07,373.78,,,,,,,,,,,,
2001-11-03 22:00:10.954000,L7,391.53,380.23,,,,,,,,,,,,,
2001-12-05 21:59:55.034000,L7,,,313.60,323.08,317.01,,,,,,,,316.37,306.18,
2001-12-05 22:00:18.987000,L7,,,311.27,322.65,317.15,,,,,,,,316.35,,
2001-12-21 22:00:05.972000,L7,,,,,,,381.15,385.84,379.91,370.89,371.44,371.09,,,
2001-12-21 22:00:29.925000,L7,387.35,369.65,374.81,364.49,358.36,359.58,356.70,360.35,359.12,354.21,359.31,349.57,354.77,354.68,355.19
2002-01-22 22:00:16.971000,L7,402.95,383.52,388.42,385.36,382.72,,386.47,395.12,392.94,375.39,378.92,375.32,384.89,,
2002-01-22 22:00:40.906000,L7,401.76,374.33,384.15,385.06,379.87,,384.31,391.71,390.30,373.98,374.57,373.71,383.27,378.32,
2002-02-23 22:00:19.685000,L7,377.79,363.95,368.79,358.50,351.25,356.52,352.68,357.36,356.54,353.19,359.93,348.23,348.50,349.64,351.16
2002-02-23 22:00:43.620000,L7,380.07,365.84,369.72,360.59,351.04,356.91,353.50,356.32,355.48,351.25,359.57,347.48,348.67,351.03,351.56
2002-03-27 22:00:13.634000,L7,346.82,332.35,354.57,342.73,333.52,330.03,323.80,331.24,332.54,332.31,337.24,333.09,334.03,331.83,330.22
2002-03-27 22:00:37.575000,L7,389.91,368.22,377.07,378.71,376.07,384.10,390.61,390.18,386.85,375.95,369.62,386.55,376.54,377.58,374.77
2002-04-28 22:00:14.417000,L7,,284.40,334.31,323.98,325.76,321.95,318.81,321.40,327.81,326.42,330.23,325.97,324.67,318.84,320.44
2002-04-28 22:00:38.357000,L7,,,333.40,322.71,324.07,320.59,317.91,319.19,326.49,324.18,328.94,323.64,323.03,317.86,319.00
2002-06-15 21:59:55.710000,L7,351.27,331.70,369.87,332.81,334.67,339.42,342.53,349.35,364.75,381.17,360.76,349.07,343.72,339.30,341.30
2002-07-01 21:59:51.232000,L7,,,,317.91,333.44,326.30,324.07,336.73,334.93,335.54,345.37,342.46,332.06,329.32,327.07
2002-07-01 22:00:15.186000,L7,,,,325.35,336.19,327.82,325.44,338.73,336.77,338.89,346.18,344.80,336.36,333.33,328.73
2002-07-17 21:59:44.793000,L7,,,,285.58,339.25,333.25,332.13,333.90,334.17,334.65,337.19,331.32,341.30,334.98,333.69
2002-07-17 22:00:08.747000,L7,,,,284.66,339.28,334.14,331.84,335.45,334.08,334.74,338.07,335.47,342.38,335.65,334.58
2002-08-18 21:59:33.737000,L7,402.13,382.90,393.54,384.25,385.53,,,,,376.50,373.43,378.91,382.02,,
2002-08-18 21:59:57.690000,L7,368.33,362.78,372.09,361.10,356.40,365.29,368.01,373.29,368.36,360.11,359.35,356.40,359.91,359.98,357.15
2002-09-19 21:59:11.129000,L7,,353.19,365.76,373.75,372.88,366.59,372.33,379.64,368.21,368.09,367.61,360.68,373.93,371.08,369.42
2002-09-19 21:59:35.083000,L7,340.73,362.94,376.27,378.81,380.09,380.92,385.86,386.90,374.26,375.38,374.72,383.87,379.06,375.97,379.22
2002-10-21 21:59:12.494000,L7,390.91,373.99,378.37,377.62,378.51,369.69,368.90,383.77,369.22,369.68,370.05,372.11,377.89,372.77,376.32
2002-10-21 21:59:36.443000,L7,392.18,373.34,376.65,375.97,377.22,369.92,365.16,381.72,368.21,368.27,369.58,366.96,377.18,371.35,377.16
2002-11-06 21:59:17.708000,L7,328.29,323.81,341.49,339.96,328.69,323.62,317.50,325.42,326.73,329.22,332.73,334.42,327.52,324.37,323.81
2002-11-06 21:59:41.879000,L7,323.64,305.91,326.68,323.02,312.64,303.94,300.20,308.97,308.88,308.71,317.21,320.46,312.98,307.08,305.03
2002-12-24 21:59:45.194000,L7,345.73,335.32,359.54,345.31,324.82,284.23,322.00,334.03,335.99,314.24,314.19,306.07,,,259.58
2002-12-24 22:00:09.147000,L7,342.42,332.50,347.47,340.03,320.30,280.74,314.82,324.36,330.86,307.65,311.30,301.36,,321.66,255.73
2003-01-09 21:59:45.950000,L7,347.49,330.42,342.00,342.89,330.52,325.88,321.50,333.60,337.98,337.30,346.66,340.09,334.69,323.58,325.44
2003-01-25 22:00:18.779000,L7,,,,,,,,325.98,343.49,342.42,352.37,339.64,,,
2003-07-28 21:48:04.987000,L5,333.54,337.25,361.35,321.87,322.37,316.38,310.49,305.48,317.85,321.79,325.71,317.59,320.07,315.02,312.54
2003-07-28 21:48:28.960000,L5,,,,,,319.72,313.71,308.93,319.51,323.86,327.69,319.78,,316.20,315.04
2003-08-13 21:48:21.150000,L5,,316.98,342.17,302.87,310.01,305.67,302.66,293.91,308.24,314.02,317.60,310.26,309.12,303.04,304.17
2003-08-29 21:48:38.429000,L5,,,335.30,298.36,294.46,303.28,298.40,279.71,304.79,312.72,311.19,308.24,291.49,294.37,304.36
2003-09-14 21:48:54.793000,L5,352.09,344.65,364.21,343.43,334.73,324.41,320.99,319.92,325.89,328.72,331.78,327.68,330.90,329.20,322.39
2003-09-14 21:49:18.766000,L5,316.35,330.57,352.01,326.33,322.95,310.89,307.26,303.08,312.32,316.84,320.71,315.59,320.33,315.82,309.44
2003-12-03 21:50:19.675000,L5,617.16,371.24,380.16,385.22,388.80,374.86,367.51,365.73,352.31,352.55,356.11,345.03,,373.98,370.34
2004-02-21 21:50:47.082000,L5,,,,,308.43,308.78,308.64,305.56,312.84,311.15,317.51,307.61,299.33,295.44,312.61
2004-06-12 21:52:47.645000,L5,,,,309.84,323.08,314.71,308.27,304.97,316.72,314.47,315.96,308.34,318.10,315.20,312.45
2004-06-12 21:53:11.618000,L5,,,,318.50,324.86,316.41,310.14,311.76,319.05,318.32,320.26,311.80,320.78,317.11,314.76
2004-07-30 21:54:04.170000,L5,394.06,388.04,399.17,391.62,379.46,370.09,379.56,374.55,369.07,372.74,369.61,362.37,374.98,373.07,384.23
2004-07-30 21:54:28.143000,L5,395.01,384.30,399.03,391.41,379.44,369.84,379.27,373.49,368.89,374.39,368.71,365.44,374.65,372.87,380.17
2004-09-16 21:55:17.605000,L5,354.01,353.15,367.84,343.77,342.61,336.23,331.09,332.71,333.76,332.73,335.29,326.48,346.65,345.99,338.42
2004-09-16 21:55:41.721000,L5,354.66,354.04,368.82,344.15,343.66,336.88,331.90,333.98,334.31,333.57,335.16,327.77,348.58,347.09,339.69
2004-10-18 21:55:59.918000,L5,,,341.16,333.54,323.56,327.31,306.98,,,,,,316.28,307.05,308.88
2004-10-18 21:56:23.891000,L5,,,338.49,331.50,321.73,324.39,303.87,,,,,,314.32,303.90,305.98
2004-11-03 21:56:19.004000,L5,392.12,382.28,377.90,362.64,362.01,361.42,363.24,365.41,366.63,365.27,365.05,357.79,354.67,354.48,349.83
2004-11-03 21:56:42.977000,L5,392.12,382.37,378.38,362.22,362.25,362.27,364.04,366.03,366.17,365.46,365.56,358.27,354.86,354.76,349.89
2004-11-19 21:56:31.297000,L5,397.03,380.39,390.31,385.77,364.97,348.70,346.33,361.12,366.80,365.69,367.32,361.48,354.76,355.53,354.23
2004-11-19 21:56:55.269000,L5,397.65,381.42,390.57,387.15,365.21,348.85,346.36,361.19,367.49,366.95,367.39,361.66,354.97,355.58,354.25
2005-02-07 21:57:51.236000,L5,,,352.59,349.51,344.97,301.59,286.03,283.34,305.90,324.02,327.80,322.24,333.55,324.48,324.42
2005-02-07 21:58:15.209000,L5,,,347.73,349.73,342.34,301.09,290.08,290.40,305.16,319.79,324.16,317.20,332.18,323.84,323.59
2005-02-23 21:58:07.648000,L5,349.52,343.31,354.01,346.29,332.15,321.23,316.69,320.70,328.21,329.70,331.71,326.33,332.95,329.59,322.57
2005-02-23 21:58:31.621000,L5,363.38,358.39,366.84,355.29,345.90,332.74,328.84,334.19,336.82,338.05,340.68,338.31,345.35,341.95,336.59
2005-03-11 21:58:20.185000,L5,342.06,333.39,349.52,319.25,304.01,,,,296.54,303.49,311.23,305.80,259.51,257.83,251.55
