dates,nzd0442-0000,nzd0442-0001,nzd0442-0002,nzd0442-0003,nzd0442-0004,nzd0442-0005,nzd0442-0006,nzd0442-0007,nzd0442-0008,nzd0442-0009,nzd0442-0010,nzd0442-0011,nzd0442-0012,nzd0442-0013,nzd0442-0014,nzd0442-0015,nzd0442-0016,nzd0442-0017,nzd0442-0018,nzd0442-0019,nzd0442-0020,nzd0442-0021,nzd0442-0022,nzd0442-0023,nzd0442-0024,nzd0442-0025,nzd0442-0026,nzd0442-0027,nzd0442-0028,nzd0442-0029,nzd0442-0030,nzd0442-0031,nzd0442-0032,nzd0442-0033,nzd0442-0034,nzd0442-0035,nzd0442-0036,nzd0442-0037,nzd0442-0038,nzd0442-0039,nzd0442-0040,nzd0442-0041,nzd0442-0042,nzd0442-0043,nzd0442-0044,nzd0442-0045,nzd0442-0046,nzd0442-0047,nzd0442-0048,nzd0442-0049,nzd0442-0050,nzd0442-0051,nzd0442-0052,nzd0442-0053,nzd0442-0054,nzd0442-0055,nzd0442-0056,nzd0442-0057,nzd0442-0058,nzd0442-0059,nzd0442-0060,nzd0442-0061,nzd0442-0062,nzd0442-0063,nzd0442-0064,nzd0442-0065,nzd0442-0066,nzd0442-0067,nzd0442-0068,nzd0442-0069,nzd0442-0070,nzd0442-0071,nzd0442-0072,nzd0442-0073,nzd0442-0074,nzd0442-0075,nzd0442-0076,nzd0442-0077,nzd0442-0078,nzd0442-0079,nzd0442-0080,nzd0442-0081,nzd0442-0082,nzd0442-0083,nzd0442-0084,nzd0442-0085,satname
1999-11-21 22:12:47+00:00,303.49,285.34,278.56,,,293.74,,,,,,240.11,,,,,,,,,,,301.13,318.29,313.48,,301.98,304.52,303.28,297.26,293.95,294.59,289.52,,295.15,,297.01,,,305.5,309.2,310.86,305.55,304.93,310.3,306.46,,308.55,311.48,312.53,314.38,313.91,308.87,,,311.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.21,,,L7
1999-11-28 22:18:56+00:00,303.49,285.34,278.56,,,293.74,,,,,,240.11,,,,,,,,,,,301.13,318.29,313.48,,301.98,304.52,303.28,297.26,293.95,294.59,289.52,,295.15,,297.01,,,305.5,309.2,310.86,305.55,304.93,310.3,306.46,,308.55,311.48,312.53,314.38,313.91,308.87,,,311.01,,,,,,,,,,,,,,,,,,,,172.78,175.89,172.95,167.27,,,,,256.21,,,L7
1999-12-07 22:12:53+00:00,303.49,285.34,278.56,,,293.74,,,,,,225.805,187.64,206.39,200.01,,,,,,,,301.13,318.29,313.48,,301.98,304.52,303.28,297.26,293.95,294.59,289.52,,295.15,,297.01,,,305.5,309.2,310.86,305.55,304.93,310.3,306.46,,308.55,311.48,312.53,314.38,313.91,308.87,,,311.01,,,,,,,,,,,,,,,,,,,,172.78,175.89,172.95,167.27,,,,,256.21,,,L7
2000-08-19 22:11:01+00:00,,,,,,,,,,,207.65,196.89,197.38,231.96,208.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.66,183.07,181.11,168.37,167.72,172.97,165.32,,,,,,,,L7
2000-09-27 22:16:36+00:00,,,,,,,,,,,207.65,208.25,192.76999999999998,230.585,213.865,195.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.37,180.44,183.87,167.135,172.84,174.07999999999998,166.01999999999998,,,,,,,,L7
2000-11-07 22:10:17+00:00,,,,,,,,,,,205.70499999999998,211.95333333333335,193.87,227.23666666666668,212.3166666666667,195.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.28,183.86,188.18,186.68,188.52,194.01,190.95,200.95,175.34,192.01,188.15,183.68,181.95,184.88,174.24333333333334,181.56000000000003,186.27666666666667,174.00666666666666,175.32666666666668,174.5666666666667,166.48333333333332,,,,,,215.87,,L7
2000-11-14 22:16:30+00:00,,,,,,,,,,,205.70499999999998,211.4575,199.525,224.655,212.47,194.10666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,181.68,185.2,184.94,186.97500000000002,190.02499999999998,184.33499999999998,193.02499999999998,183.75,189.615,186.525,182.60000000000002,181.7,183.22,176.275,181.5275,185.87,175.4275,175.5475,172.865,164.1075,,,,,,215.87,,L7
2000-12-16 22:16:35+00:00,,,,,,,,,,,205.70499999999998,211.4575,199.525,224.655,212.47,194.10666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,181.24,183.29,184.21333333333334,186.77333333333334,188.92333333333332,184.83666666666667,193.02499999999998,183.75,189.615,186.525,182.60000000000002,181.7,183.22,176.275,181.5275,185.87,175.4275,175.5475,172.865,164.1075,,,,,,215.87,,L7
2001-01-10 22:10:27+00:00,320.44,314.66,253.65,,,265.04,,,,,205.70499999999998,211.4575,199.525,224.655,212.47,194.10666666666665,,,,,,,278.09,281.77,300.62,216.26,271.0,267.55,267.42,267.71,261.71,262.24,256.58,,257.67,203.93,265.18,209.29,214.11,275.83,281.11,291.69,281.36,284.69,289.33,273.32,221.91,277.18,279.76,280.33,281.34,281.59,273.19,264.08,,272.3,,,180.6,181.24,183.29,184.21333333333334,186.77333333333334,188.92333333333332,184.83666666666667,202.30999999999997,183.75,189.615,186.525,182.60000000000002,181.7,183.22,176.275,181.5275,185.87,175.4275,175.5475,172.865,164.1075,,,,273.99,281.55,232.675,,L7
2001-02-18 22:16:35+00:00,320.44,314.66,253.65,,,265.04,,,,,203.76,206.26500000000001,198.2075,221.5625,210.5025,194.10666666666665,,,,,,,278.09,281.77,300.62,216.26,271.0,267.55,267.42,267.71,261.71,262.24,256.58,,257.67,203.93,265.18,209.29,214.11,275.83,281.11,291.69,281.36,284.69,289.33,273.32,221.91,277.18,279.76,280.33,281.34,281.59,273.19,264.08,,272.3,,,181.3166666666667,181.76500000000001,181.86,184.405,185.05,189.6075,186.3025,200.095,183.75,189.615,186.525,182.60000000000002,181.7,183.22,179.14666666666668,181.01333333333332,187.45666666666668,177.78,178.15666666666667,172.83,163.70333333333332,,,,273.99,281.55,232.675,,L7
2001-02-27 22:10:18+00:00,320.44,314.66,253.65,,,265.04,,,,191.7,204.48,209.64000000000001,202.60999999999999,223.138,215.72600000000003,190.69,,,214.55,209.44,209.58,206.72,278.09,281.77,300.62,216.26,271.0,267.55,267.42,267.71,261.71,262.24,256.58,,257.67,203.93,265.18,209.29,214.11,275.83,281.11,291.69,281.36,284.69,289.33,273.32,221.91,277.18,279.76,280.33,281.34,281.59,273.19,264.08,,272.3,,,182.075,181.98600000000002,182.152,184.084,185.652,189.046,187.358,199.87199999999999,186.9,189.82000000000002,185.20333333333335,183.48000000000002,181.49666666666667,181.58333333333334,178.03000000000003,180.8675,186.8625,178.2625,178.12,172.45749999999998,164.9075,,,,273.99,281.55,232.675,,L7
2001-09-23 22:08:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.65,173.2,185.84,181.96,179.23,171.13,,,,,,,,,,,,,,,,,,,,,,L7
2002-01-20 22:15:01+00:00,310.49,312.91,,,194.22,207.45,211.64,218.19,231.38,209.38,222.97,246.43,258.15,257.44,265.47,,252.48,,239.0,233.57,230.3,228.66,228.96,232.68,230.89,230.22,224.67,225.78,222.2,222.53,217.05,216.37,213.42,209.91,209.0,208.94,211.94,213.32,221.43,226.6,231.49,234.52,234.56,232.25,230.3,228.77,228.37,222.16,223.19,228.05,225.25,225.74,222.76,225.64,218.4,217.98,212.76,211.04,213.01,188.47,190.78,198.22,195.435,195.565,171.13,,,,,,,,,,,,,,,,,,283.02,,,,L7
2002-01-29 22:08:45+00:00,310.49,312.91,,,194.22,207.45,211.64,218.19,231.38,209.38,222.97,246.43,228.27499999999998,241.32999999999998,232.65500000000003,185.0,252.48,,239.0,233.57,230.3,228.66,228.96,232.68,230.89,230.22,224.67,225.78,222.2,222.53,217.05,216.37,213.42,209.91,209.0,208.94,211.94,213.32,221.43,226.6,231.49,234.52,234.56,232.25,230.3,228.77,228.37,222.16,223.19,228.05,225.25,225.74,222.76,225.64,218.4,217.98,212.76,211.04,213.01,188.47,190.78,198.22,195.435,195.565,171.13,,,,,,,,177.53,182.21,182.42,177.29,175.92,167.71,162.74,,,,283.02,,,,L7
2002-02-05 22:15:01+00:00,310.49,312.91,,,194.22,207.45,211.64,218.19,231.38,209.38,222.97,232.64,218.52999999999997,235.33,223.11666666666667,185.0,252.48,,239.0,233.57,230.3,228.66,228.96,232.68,230.89,230.22,224.67,225.78,222.2,222.53,217.05,216.37,213.42,209.91,209.0,208.94,211.94,213.32,221.43,226.6,231.49,234.52,234.56,232.25,230.3,228.77,228.37,222.16,223.19,228.05,225.25,225.74,222.76,225.64,218.4,217.98,212.76,211.04,213.01,188.47,190.78,198.22,195.435,195.565,171.13,,,,,,,,177.53,182.21,182.42,177.29,175.92,167.71,162.74,,,,283.02,,,,L7
2002-02-14 22:08:53+00:00,310.49,312.91,,,194.22,207.45,211.64,218.19,231.38,209.38,222.97,228.9333333333333,214.27499999999998,235.7525,223.11666666666667,185.0,252.48,,239.0,233.57,230.3,228.66,228.96,232.68,230.89,230.22,224.67,225.78,222.2,222.53,217.05,216.37,213.42,209.91,209.0,208.94,211.94,213.32,221.43,226.6,231.49,234.52,234.56,232.25,230.3,228.77,228.37,222.16,223.19,228.05,225.25,225.74,222.76,225.64,218.4,217.98,212.76,211.04,213.01,188.47,185.98000000000002,192.98000000000002,192.46666666666667,193.51666666666665,174.715,185.83,,,,,,,177.86,183.06,183.58499999999998,178.78,176.065,171.945,165.75,,,,283.02,,,,L7
2002-04-03 22:08:45+00:00,310.49,312.91,,,194.22,207.45,211.64,218.19,231.38,209.38,222.97,228.9333333333333,214.27499999999998,233.978,219.595,202.98000000000002,252.48,,239.0,233.57,230.3,228.66,228.96,232.68,230.89,230.22,224.67,225.78,222.2,222.53,217.05,216.37,213.42,209.91,209.0,208.94,211.94,213.32,221.43,226.6,231.49,234.52,234.56,232.25,230.3,228.77,228.37,222.16,223.19,228.05,225.25,225.74,222.76,225.64,218.4,217.98,212.76,211.04,213.01,208.29,192.37000000000003,196.55,197.71999999999997,200.65999999999997,178.3,185.83,,,,,,,177.86,183.06,183.58499999999998,178.78,176.065,171.945,165.75,,,,283.02,,,,L7
2002-10-12 22:07:38+00:00,,,,,,,,,,,,,,,227.3,182.89,212.49,,218.24,213.76,206.64,204.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.27,180.85,184.85,187.06,188.02,183.45,192.46,171.38,191.63,187.84,186.29,175.25,182.64,180.88,184.69,189.15,183.04,177.3,173.81,168.21,161.7,,,,,,,L7
2003-01-07 22:14:28+00:00,,,,,,,,,,,,216.23,190.63,223.61,216.805,182.89,212.49,,218.24,213.76,206.64,204.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.025,179.18,181.52499999999998,184.195,187.265,187.61,187.60500000000002,171.38,191.63,187.84,186.29,175.25,182.64,180.88,184.69,189.15,183.04,177.3,173.81,168.21,161.7,,,,,,,L7
2003-04-13 22:14:55+00:00,,,,,,,,,,,,216.23,190.8,223.61,209.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.78,177.51,178.2,181.33,186.51,191.77,182.75,,,,,,,,,,,,,,,,,,,,,L7
2003-12-10 21:58:29+00:00,238.02,196.81,172.75,156.52,,,,,,,,227.02,242.2,245.26,251.4,248.35,239.23,224.0,218.68,214.43,210.53,212.74,205.41,204.77,200.65,199.04,204.84,208.85,208.9,208.06,203.47,199.82,202.0,193.6,194.35,191.88,188.46,193.43,194.52,204.11,208.87,207.69,206.95,213.21,216.55,217.26,216.34,212.44,217.04,211.02,211.67,212.82,202.75,203.62,201.69,195.62,197.24,192.02,192.99,190.36,199.98,201.45,203.2,204.06,208.02,216.59,209.83,199.8,194.94,195.51,190.66,192.62,190.89,191.3,195.01,196.1,188.85,186.38,180.03,175.37,170.58,161.09,,,,,L5
2004-01-18 22:04:57+00:00,241.06,201.26999999999998,179.695,156.52,,,,,,,,227.70499999999998,244.83999999999997,246.99,255.365,249.78,241.79500000000002,232.41500000000002,228.41,222.54500000000002,217.745,211.15,205.305,204.85500000000002,201.84,200.24,202.89499999999998,208.85,208.9,205.685,206.42000000000002,202.845,203.14499999999998,198.135,199.515,197.94,196.46,200.66500000000002,196.01,203.185,208.87,208.95499999999998,210.52499999999998,210.62,216.55,217.26,217.005,216.25,218.45,214.745,215.575,215.235,210.475,213.215,207.8,198.91,195.78500000000003,193.595,192.99,190.36,199.98,201.45,201.27499999999998,208.91,212.265,221.32999999999998,215.54500000000002,208.61,204.92000000000002,204.35,191.57999999999998,192.48000000000002,191.44,193.275,193.945,193.1,186.255,188.85500000000002,184.93,177.74,175.62,169.62,178.47,189.6,217.15,266.61,L5
2004-05-18 22:00:38+00:00,241.06,201.26999999999998,179.695,156.52,,,,,,,,227.70499999999998,233.92666666666665,235.99333333333334,255.365,237.2266666666667,241.79500000000002,223.28,228.41,222.54500000000002,217.745,211.15,205.305,204.85500000000002,201.84,200.24,202.89499999999998,208.85,208.9,205.685,206.42000000000002,202.845,203.14499999999998,198.135,199.515,197.94,196.46,200.66500000000002,196.01,195.72,197.18,200.42666666666665,203.27666666666664,201.83333333333334,201.155,202.32,205.74333333333334,204.21666666666667,205.8066666666667,202.58333333333334,215.575,215.235,210.475,213.215,207.8,198.91,195.78500000000003,193.595,192.99,190.36,199.98,201.45,201.27499999999998,208.91,212.265,221.32999999999998,215.54500000000002,208.61,204.92000000000002,204.35,191.57999999999998,192.48000000000002,191.44,193.275,193.945,193.1,186.255,188.85500000000002,184.93,177.74,175.62,169.62,178.47,189.6,217.15,266.61,L5
2004-08-22 22:03:12+00:00,262.94,215.19,193.66,175.08,,,,,,,,233.01,229.805,232.14,257.29,230.19,247.16,221.425,231.99,229.61,229.22,221.6,218.96,218.2,214.1,211.21,212.94,213.4,205.6,213.18,207.54,208.95,205.6,201.98,200.8,193.15,199.15,203.49,205.46,194.33499999999998,202.405,200.565,205.275,202.57999999999998,204.08999999999997,204.18,201.34,197.91,199.03500000000003,196.72,210.48,213.61,212.0,212.38,209.41,211.2,204.31,203.86,203.01,202.89,203.86,203.0,203.39,206.51,213.78,219.16,217.14,208.86,206.12,204.52,200.42,199.21,204.14,202.26,203.03,195.28,189.2,183.62,186.58,176.97,176.47,168.57,158.89,,,,L5
2004-11-26 22:05:17+00:00,247.3,215.19,193.66,166.075,,,,,,,,229.515,243.58999999999997,247.345,253.44,247.39999999999998,245.625,235.06,232.255,231.325,226.9,223.125,220.13,218.33499999999998,214.54,208.685,209.465,210.15,206.86,209.26,203.255,203.38,200.64499999999998,200.315,200.96,198.53,202.23000000000002,206.685,208.79500000000002,215.06,221.94,220.115,217.465,216.995,218.51999999999998,216.13,215.46,211.35,213.43,210.61,214.975,215.25,215.015,213.635,211.32999999999998,211.175,205.26,204.625,198.375,198.365,198.84,199.32999999999998,199.71499999999997,202.265,208.60500000000002,216.615,215.945,210.27,206.965,205.86,203.555,200.495,203.64999999999998,197.14499999999998,198.475,191.89499999999998,186.3,180.335,181.135,172.465,177.29000000000002,170.54500000000002,168.625,179.43,228.99,284.78,L5
