dates,nzd0429-0000,nzd0429-0001,nzd0429-0002,nzd0429-0003,nzd0429-0004,nzd0429-0005,nzd0429-0006,nzd0429-0007,nzd0429-0008,nzd0429-0009,nzd0429-0010,nzd0429-0011,nzd0429-0012,nzd0429-0013,nzd0429-0014,nzd0429-0015,nzd0429-0016,nzd0429-0017,nzd0429-0018,nzd0429-0019,nzd0429-0020,nzd0429-0021,nzd0429-0022,nzd0429-0023,nzd0429-0024,nzd0429-0025,nzd0429-0026,nzd0429-0027,nzd0429-0028,nzd0429-0029,nzd0429-0030,nzd0429-0031,nzd0429-0032,nzd0429-0033,nzd0429-0034,nzd0429-0035,nzd0429-0036,nzd0429-0041,nzd0429-0042,nzd0429-0043,nzd0429-0044,nzd0429-0045,nzd0429-0046,nzd0429-0047,nzd0429-0048,nzd0429-0049,nzd0429-0050,nzd0429-0051,nzd0429-0052,nzd0429-0053,nzd0429-0037,nzd0429-0038,nzd0429-0039,nzd0429-0040,satname
2003-12-26 21:58:42+00:00,222.01999999999998,272.875,299.77,,306.48,312.865,306.885,296.1133333333333,295.34999999999997,313.005,309.99,316.29499999999996,319.59000000000003,319.445,315.32500000000005,311.76,312.96500000000003,311.08500000000004,,,,,277.19,,252.63,253.02499999999998,260.175,254.14,258.56,255.61,256.41,260.97,245.48000000000002,242.64,244.275,238.76,233.95,229.695,251.97000000000003,241.29,202.92000000000002,192.20999999999998,186.44,209.22500000000002,304.655,315.53999999999996,313.845,300.76,295.625,320.65999999999997,220.78,193.91500000000002,,,L5
2004-05-18 22:00:38+00:00,215.6,272.875,289.7966666666667,270.15,296.7633333333333,302.57666666666665,297.76,303.5733333333333,300.10999999999996,304.11,302.68,306.7133333333333,308.8666666666667,308.46666666666664,315.32500000000005,311.76,312.96500000000003,311.08500000000004,,216.47,229.65,223.49,248.12,220.2,242.6933333333333,253.02499999999998,260.175,254.14,258.56,244.75333333333333,247.33333333333334,248.38666666666666,245.48000000000002,242.64,244.275,238.76,224.11333333333334,229.695,251.97000000000003,241.29,202.92000000000002,192.20999999999998,186.44,209.22500000000002,304.655,315.53999999999996,313.845,300.76,295.625,320.65999999999997,220.78,193.91500000000002,,,L5
2004-11-26 22:05:17+00:00,221.61,264.51,288.53,300.3,300.84,303.14,306.06,305.06,315.41,300.49,307.23,301.93,309.67,310.2,306.8,304.48,,262.49,255.74,263.09,255.8,248.47,256.03,256.9,244.55,251.96,252.56,250.16,252.78,249.19,257.84,258.93,254.18,247.65,251.25,246.73,238.15,231.22,242.58,238.27,208.12,191.28,198.09,221.58,316.16,329.6,310.26,297.95,288.72,316.34,221.07,185.2,,,L5
2005-03-02 22:06:47+00:00,221.61,264.51,288.53,300.3,300.84,303.14,306.06,305.06,315.41,300.49,307.23,301.93,309.67,310.2,306.8,304.48,,262.49,255.74,263.09,255.8,248.47,256.03,256.9,244.55,251.96,252.56,250.16,233.095,230.68,243.35,242.215,233.15,227.94,230.62,228.095,216.21,231.22,242.58,238.27,208.12,191.28,198.09,221.58,316.16,329.6,310.26,297.95,288.72,316.34,221.07,185.2,,,L5
2005-09-10 22:08:07+00:00,230.97,256.95,291.5,293.51,294.32,302.38,302.94,306.45,311.61,306.83,316.8,302.39,311.25,306.22,310.22,301.58,310.86,296.0,242.84,251.87,244.16,230.97,238.33,238.91,245.36,256.29,248.09,248.62,249.48,239.08,239.76,244.99,236.1,237.63,238.98,233.72,232.35,206.66,243.15,232.01,199.81,178.62,183.65,205.74,299.79,,311.56,301.67,304.21,309.06,210.29,183.55,,,L5
2005-11-13 22:08:20+00:00,237.65,268.28499999999997,295.005,293.89,297.03999999999996,301.115,296.855,301.805,305.45500000000004,303.26,312.92,301.21500000000003,312.1,310.47,315.58000000000004,304.985,311.32,281.03,247.9,255.17000000000002,245.08499999999998,231.155,240.29500000000002,243.08499999999998,248.005,257.70000000000005,253.27499999999998,257.745,260.32,249.20499999999998,253.885,255.385,242.76999999999998,247.805,241.33499999999998,235.26,232.78,206.66,255.95,248.16,208.325,186.495,189.9,217.27,296.855,305.96,301.37,296.875,296.35,313.08500000000004,212.175,188.54000000000002,,,L5
2006-10-31 22:14:17+00:00,221.64,249.36,274.69,279.9,280.02,288.95,300.45,305.58,308.23,310.76,315.66,312.64,312.81,297.46,299.44,205.82,194.12,197.11,227.93,239.46,242.87,239.53,244.48,253.47,254.35,266.22,265.2,259.43,259.6,248.63,258.95,246.06,240.26,239.74,242.74,244.48,235.64,202.27,240.77,239.22,202.24,178.01,183.95,211.13,310.49,325.63,316.78,312.75,308.62,331.23,215.94,184.99,,,L5
2007-02-04 22:14:57+00:00,229.915,251.29500000000002,276.27,280.92999999999995,280.635,290.27,296.58500000000004,302.19,307.27,311.145,314.72,311.775,313.53,304.565,303.39,208.635,193.70499999999998,196.175,227.615,237.37,239.185,232.425,241.42000000000002,252.685,254.19,265.24,263.855,264.11,263.615,249.36,255.77499999999998,246.32999999999998,239.83499999999998,239.255,242.2,240.70499999999998,233.325,202.27,253.51999999999998,245.975,203.825,179.575,186.435,214.32999999999998,303.065,318.81,313.945,309.07,306.635,329.395,217.345,186.66000000000003,,,L5
2007-09-07 22:19:19+00:00,244.21,262.81,286.48,289.03,292.75,301.0,300.22,301.03,298.76,305.58,311.37,309.22,308.78,299.08,263.42,216.62,204.29,206.14,244.36,246.74,252.33,239.33,243.36,243.94,250.71,255.53,254.45,259.6,261.69,266.52,268.56,264.01,248.4,252.94,241.75,,,,272.83,291.49,215.74,191.59,198.28,,,,,,,,,,,,L5
2007-10-02 22:12:54+00:00,242.21,265.58000000000004,286.68,291.15,293.15999999999997,304.125,300.22,305.32,305.845,305.105,310.505,307.515,306.755,294.63,269.82000000000005,214.5,201.78,206.165,238.11,246.77,252.495,241.19,248.14,244.89,249.82,256.16,256.39,260.52,262.41499999999996,258.76,268.245,261.25,249.18,249.11,246.185,248.48,241.62,175.58,274.80499999999995,288.28,208.435,189.3,194.37,,312.86,329.74,324.53,298.27,301.28,313.58,219.68,186.84,,,L5
2008-12-23 22:04:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,218.65,230.11,,228.26,229.69,218.57,,219.31,205.98,,,,,,,,,,,,,,,,,,183.97,,,,L5
2010-01-27 22:10:50+00:00,242.25,271.6,283.03,280.93,276.87,282.53,286.29,295.97,300.5,302.87,285.88,266.97,266.33,251.5,221.75,209.1,195.87,203.74,212.88,219.85,226.63,227.9,235.75,241.84,247.29,260.15,265.82,267.3,266.31,255.79,256.12,258.29,239.38,242.64,245.35,247.77,234.71,264.01,279.92,287.26,219.67,194.41,186.79,228.88,299.36,316.56,305.65,297.09,302.64,322.65,217.77,172.77,,,L5
2011-02-15 22:09:58+00:00,258.64,269.6,277.24,278.4,279.99,286.2,291.35,293.23,299.12,302.07,283.86,240.77,242.09,253.08,227.65,215.98,199.95,195.07,208.76,219.07,222.25,224.52,235.66,249.95,259.67,264.88,273.7,273.17,274.78,256.24,247.5,243.19,239.97,237.28,,235.49,233.38,270.7,287.01,293.03,208.21,180.3,251.56,225.84,293.57,305.87,303.32,303.04,299.14,327.16,222.7,174.46,,,L5
2013-05-11 22:21:55+00:00,,216.73,272.73,290.31,291.24,,,297.74,299.38,298.73,,,,,,,,,,,,,,,220.88,,247.09,243.72,244.65,,,,,,,,,,,,,,,,,316.06,292.28,273.0,282.04,290.66,,,,,L8
2013-05-27 22:22:02+00:00,253.99,235.99,272.73,290.31,291.24,,,297.74,299.38,298.73,,,268.85,275.0,250.19,227.52,211.76,218.28,218.66,245.37,240.15,256.05,258.79,269.98,220.88,278.02,257.76,262.675,262.205,,,,,,,,,296.5,340.67,344.87,,,278.69,,292.62,335.25,292.28,301.96500000000003,301.07000000000005,290.66,,,,,L8
2013-06-28 22:21:56+00:00,253.99,235.99,272.73,287.65,287.885,281.84,294.68,296.305,290.725,298.73,,,268.85,275.0,250.19,227.52,211.76,218.28,218.66,245.37,240.15,256.05,258.79,269.98,220.49,278.02,252.55000000000004,262.675,262.205,241.93,247.21,245.9,233.68,,,,,296.5,340.67,344.87,,,278.69,,292.62,329.1566666666667,286.835,301.96500000000003,301.07000000000005,290.66,,,,,L8
2013-07-14 22:21:58+00:00,253.99,235.99,272.73,287.65,287.885,281.84,294.68,296.305,290.725,298.73,,,268.85,275.0,250.19,227.52,211.76,218.28,218.66,245.37,240.15,256.05,258.79,269.98,220.49,278.02,252.55000000000004,262.675,262.205,241.93,263.28000000000003,261.2,251.305,,,,,296.5,340.67,344.87,,,278.69,,292.62,329.1566666666667,286.835,301.96500000000003,311.92,290.66,,,,,L8
