dates,satname,nzd0376-0000,nzd0376-0001,nzd0376-0002,nzd0376-0003,nzd0376-0004,nzd0376-0005,nzd0376-0006,nzd0376-0007,nzd0376-0008,nzd0376-0009,nzd0376-0010,nzd0376-0011,nzd0376-0012,nzd0376-0013,nzd0376-0014,nzd0376-0015,nzd0376-0016,nzd0376-0017,nzd0376-0018,nzd0376-0019,nzd0376-0020,nzd0376-0021,nzd0376-0022,nzd0376-0023,nzd0376-0024,nzd0376-0025,nzd0376-0026,nzd0376-0027,nzd0376-0028,nzd0376-0029,nzd0376-0030,nzd0376-0031,nzd0376-0032,nzd0376-0033,nzd0376-0034,nzd0376-0035,nzd0376-0036,nzd0376-0037,nzd0376-0038,nzd0376-0039,nzd0376-0040,nzd0376-0041,nzd0376-0042,nzd0376-0043,nzd0376-0044,nzd0376-0045,nzd0376-0046,nzd0376-0047
1999-08-17 22:12:26.065000,L7,549.25,540.51,531.13,522.88,513.29,525.78,531.94,544.20,302.55,307.48,320.09,305.57,307.10,310.55,313.87,308.92,308.28,318.76,514.42,515.51,511.01,503.34,313.80,322.77,329.49,328.81,331.66,507.42,497.88,489.35,493.01,502.00,509.66,539.74,514.04,439.91,438.05,296.27,310.12,303.62,310.07,309.44,315.52,301.90,285.08,300.62,311.85,339.58
1999-09-18 22:12:27.821000,L7,,544.49,324.59,386.56,367.03,366.17,378.47,351.49,372.09,369.66,381.57,397.75,337.62,318.28,315.22,312.80,332.34,347.57,376.70,367.86,339.47,513.52,494.15,549.75,,532.64,535.37,356.89,351.48,463.40,309.93,355.02,516.07,455.61,493.10,541.87,332.74,469.81,453.05,532.21,527.96,504.34,317.79,354.39,303.60,376.36,399.97,381.64
1999-10-13 22:06:24.714000,L7,537.97,380.70,380.28,379.12,382.13,368.35,402.56,406.69,439.43,460.60,471.69,478.01,366.85,500.36,517.58,346.27,448.48,410.28,396.50,392.82,402.43,413.53,397.62,443.84,503.83,485.49,474.59,361.52,346.89,323.66,330.70,334.13,553.97,531.04,518.94,534.89,505.16,535.74,491.97,525.79,518.18,313.80,321.44,436.20,465.73,496.22,328.37,321.99
1999-11-21 22:12:24.026000,L7,371.75,273.73,228.37,251.13,250.84,267.59,210.46,212.26,235.45,217.35,205.81,200.39,202.37,271.19,290.53,257.94,239.69,260.02,207.33,307.83,310.18,301.72,244.44,233.96,310.51,307.75,270.50,291.60,267.69,240.24,182.74,206.40,262.88,250.15,242.36,289.20,181.63,172.57,184.53,192.82,200.27,219.15,187.73,255.76,224.94,215.22,,
2000-03-21 22:06:01.097000,L7,526.51,297.62,,273.94,231.65,253.25,195.64,205.30,220.39,220.69,222.73,207.06,188.58,181.21,285.19,273.42,277.16,274.06,276.11,277.27,464.06,460.85,424.56,444.18,253.19,215.67,196.13,269.32,175.59,,,,,232.81,222.95,242.51,244.79,226.65,298.89,240.62,228.64,232.08,274.28,249.37,236.69,216.85,,
2000-08-03 22:10:43.917000,L7,538.84,330.58,327.49,317.16,312.71,299.51,296.39,303.35,293.81,299.78,305.60,309.73,305.20,309.23,327.02,315.69,304.25,312.54,307.75,312.85,306.87,297.48,305.87,310.96,312.70,319.53,324.29,315.46,313.61,314.49,306.61,310.59,444.11,477.52,465.11,443.70,439.91,481.70,507.92,524.42,485.06,514.49,530.93,533.07,269.82,311.86,347.91,346.97
2000-08-19 22:10:38.028000,L7,555.34,367.18,358.30,368.33,348.35,497.34,509.64,502.39,512.60,530.11,506.62,508.78,442.08,437.06,509.92,471.16,515.19,517.55,513.88,518.93,522.73,318.32,309.74,319.05,481.69,536.23,521.44,510.10,505.31,516.40,499.61,406.45,385.31,523.87,525.26,538.68,552.87,478.04,465.32,467.56,496.66,497.37,513.16,531.97,513.21,336.68,368.61,373.83
2000-09-13 22:04:02.015000,L7,513.30,454.07,437.21,232.26,239.59,255.87,205.05,214.49,229.58,205.43,192.55,193.85,273.63,174.45,386.60,302.84,364.85,189.29,193.79,369.49,180.05,238.55,324.35,281.17,310.48,308.14,221.46,260.21,220.11,168.90,262.37,252.81,265.20,,219.22,214.00,233.40,224.73,224.90,234.46,235.90,238.13,298.11,503.56,526.87,523.44,217.20,192.12
2000-09-20 22:10:03.047000,L7,,,,226.16,220.59,251.03,,,,,,,,,,184.73,174.01,190.33,189.77,189.32,180.86,225.63,217.92,189.63,191.33,206.52,199.41,203.40,,,,,,216.25,223.32,214.48,239.86,192.88,228.46,191.85,235.81,,,,,,,
2000-11-07 22:09:53.335000,L7,482.96,331.67,317.25,325.72,305.07,296.37,308.20,298.48,300.80,300.19,313.78,305.34,306.65,303.72,317.22,313.17,306.30,317.43,319.89,320.97,317.27,314.68,307.54,314.27,318.53,323.01,327.25,315.24,306.70,292.74,501.48,514.04,493.85,493.06,487.66,494.42,501.13,396.66,416.42,432.65,446.09,443.54,305.84,294.26,269.96,237.99,220.60,210.36
