dates,satname,nzd0074-0000,nzd0074-0001,nzd0074-0002,nzd0074-0003,nzd0074-0004,nzd0074-0005,nzd0074-0006,nzd0074-0007,nzd0074-0008,nzd0074-0009,nzd0074-0010,nzd0074-0011,nzd0074-0012,nzd0074-0013
1999-08-26 22:04:44.971000,L7,274.88,202.53,219.38,235.49,237.57,242.18,239.72,246.96,259.56,276.78,286.30,296.19,300.76,270.08
1999-09-27 22:04:48.949000,L7,209.29,215.38,225.40,235.91,238.92,245.34,244.79,254.45,262.16,274.78,283.70,301.81,305.80,316.21
1999-11-14 22:04:42.286000,L7,217.29,226.91,238.67,249.22,251.15,255.89,256.81,269.27,269.60,280.27,285.91,304.96,304.76,322.05
2000-01-01 22:04:37.439000,L7,289.16,316.06,234.98,244.06,240.38,250.69,247.51,256.35,268.40,280.40,286.85,307.39,308.97,311.54
2000-01-17 22:04:35.821000,L7,302.76,308.47,336.59,338.11,339.33,338.34,248.91,254.73,260.86,279.23,286.69,307.34,304.22,310.36
2000-05-24 22:03:46.662000,L7,274.23,226.98,241.46,259.93,256.07,260.50,259.80,267.83,277.93,285.94,293.63,310.14,308.39,313.92
2000-07-11 22:03:17.779000,L7,207.94,202.82,225.03,234.93,238.09,240.56,237.03,246.87,258.06,273.94,283.54,297.92,297.91,309.13
2000-08-12 22:02:54.094000,L7,211.48,223.97,239.54,248.43,248.33,251.54,253.68,255.44,263.42,273.36,285.64,302.29,302.06,310.24
2000-09-13 22:02:26.190000,L7,212.45,219.96,229.81,241.23,242.48,248.57,253.32,255.51,264.45,277.68,285.61,301.59,297.45,310.46
2001-01-03 22:02:12.432000,L7,210.58,217.11,224.74,237.02,238.30,247.81,246.74,255.58,266.23,277.16,284.13,305.98,310.17,310.64
2001-03-24 22:01:59.719000,L7,,,,,,251.00,241.14,247.35,257.92,269.77,275.49,309.56,,
2001-06-12 22:01:24.980000,L7,291.93,298.12,302.31,307.80,304.00,311.06,265.09,279.08,276.63,287.20,296.84,316.34,314.62,320.86
