dates,nzd0007-0000,nzd0007-0001,nzd0007-0002,nzd0007-0003,nzd0007-0032,nzd0007-0033,nzd0007-0034,nzd0007-0035,nzd0007-0011,nzd0007-0012,nzd0007-0013,nzd0007-0014,nzd0007-0015,nzd0007-0016,nzd0007-0017,nzd0007-0018,nzd0007-0019,nzd0007-0020,nzd0007-0021,nzd0007-0025,nzd0007-0026,nzd0007-0027,nzd0007-0028,nzd0007-0029,nzd0007-0030,nzd0007-0031,nzd0007-0022,nzd0007-0023,nzd0007-0010,nzd0007-0024,nzd0007-0004,nzd0007-0007,nzd0007-0008,nzd0007-0009,nzd0007-0005,nzd0007-0006,satname
2020-03-27 22:17:20+00:00,,,,,,,245.025,331.0733333333333,,,197.65,228.00666666666666,217.0566666666667,263.5733333333333,,,,,,,,,,217.79,247.03,228.14,,,,289.43,,,,,,,L8
2021-11-09 22:17:58+00:00,,,,,,,244.61,333.18,,,192.82,226.41,215.61,,,,,,,,,,,,237.22,218.53,,,,,,,,,,,L8
2022-01-04 22:17:52+00:00,,,,,,,244.61,333.18,,,194.39999999999998,226.41,215.61,,,,,,,,,,,,234.56,217.59,,,,,,,,,,,L9
2022-01-12 22:17:49+00:00,,,,,,,244.61,331.41499999999996,,,193.33,225.79,215.135,262.19,,,,,,,,,,196.81,235.66666666666666,217.16333333333333,,,,,,,,,,,L8
2022-03-09 22:17:37+00:00,,,,,,,240.23000000000002,331.41499999999996,,,193.07999999999998,225.59333333333333,214.59666666666666,212.575,,,,,,,,,,196.81,235.66666666666666,217.16333333333333,,,,,,,,,,,L9
2022-05-04 22:17:26+00:00,,,,,,,242.34,331.41499999999996,,,191.376,222.7625,214.255,200.87666666666667,,,,,,,,,,196.81,235.66666666666666,217.16333333333333,,,,,,,,,,,L8
2022-06-21 22:17:48+00:00,,,,,,,227.53666666666666,309.105,,,191.015,221.54666666666665,213.8033333333333,200.87666666666667,,,,,,,,,,196.81,234.89,216.48000000000002,,,,,,,,,,,L8
2023-01-15 22:17:53+00:00,,,,,,274.93,228.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2023-02-16 22:17:50+00:00,,,,,,274.93,228.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2023-03-28 22:17:33+00:00,,,,,,276.07,228.065,,,,171.79,218.85,205.75,,,,,,,,,,,,,,,,,,,,,,,,L9
2023-05-15 22:17:12+00:00,,,,,,276.07,229.71666666666667,,,,171.79,218.85,205.75,,,,,,,,,,,,,,,,,,,,,,,,L9
2023-09-20 22:17:40+00:00,,,,,,277.21,233.02,327.71,,,171.79,218.85,205.75,,,,,,,,,,,,,,,,,,,,,,,,L9
