dates,satname,nzd0541-0000,nzd0541-0001,nzd0541-0002,nzd0541-0003,nzd0541-0004,nzd0541-0005,nzd0541-0006,nzd0541-0007,nzd0541-0008,nzd0541-0009,nzd0541-0010,nzd0541-0011,nzd0541-0012,nzd0541-0013,nzd0541-0014,nzd0541-0015,nzd0541-0016,nzd0541-0017,nzd0541-0018,nzd0541-0019,nzd0541-0020,nzd0541-0021,nzd0541-0022,nzd0541-0023,nzd0541-0024,nzd0541-0025,nzd0541-0026,nzd0541-0027,nzd0541-0028,nzd0541-0029,nzd0541-0030,nzd0541-0031,nzd0541-0034,nzd0541-0032,nzd0541-0033
1999-12-07 22:13:41.663000,L7,347.47,361.11,355.10,354.58,353.82,351.89,349.18,353.27,349.79,356.33,363.55,367.05,370.82,372.87,350.57,351.20,343.83,355.18,353.02,354.81,343.99,395.87,383.47,377.64,373.82,370.80,369.04,357.18,354.80,352.58,351.82,362.60,394.00,,
1999-12-16 22:07:33.708000,L7,330.71,342.52,339.91,324.40,321.54,333.24,336.23,336.01,336.31,335.50,334.39,343.78,340.31,340.60,331.14,329.49,325.66,335.15,336.96,327.21,306.71,326.32,324.24,324.58,327.63,284.82,,,,309.05,315.66,327.34,351.32,352.77,356.65
2000-09-20 22:11:14.930000,L7,354.75,361.31,359.86,361.03,359.93,358.42,359.59,361.76,359.44,396.87,,,,,,,,,,391.26,386.85,379.45,343.05,377.73,368.51,367.01,350.79,368.12,333.74,329.08,322.74,346.85,364.69,364.10,367.03
2001-01-03 22:05:00.181000,L7,,,,,394.39,377.81,375.50,372.97,368.94,390.41,,,,,,,,,,,,,,,,,,,,,,,402.16,395.45,402.90
2001-02-20 22:05:00.525000,L7,,,,387.21,396.84,395.71,365.60,367.24,362.74,359.27,359.78,360.28,359.16,356.89,351.01,352.17,346.76,355.80,361.23,364.68,352.45,346.06,343.12,341.72,340.01,345.94,343.37,339.83,340.41,335.20,329.67,344.72,368.24,362.74,368.25
2001-02-27 22:11:06.137000,L7,,380.14,386.32,395.40,400.73,364.73,369.70,369.19,360.76,356.87,360.40,357.93,355.64,363.06,356.65,348.57,347.32,358.95,354.67,385.46,371.17,371.41,378.01,380.13,376.07,384.53,384.70,340.05,352.23,336.72,381.59,395.08,412.37,402.96,405.87
2001-11-03 22:02:58.699000,L7,350.36,354.12,354.23,354.59,362.52,355.74,359.01,364.37,362.74,364.44,336.71,273.26,360.74,,,,,,,,,,,,,,,,,,,,,,
2002-01-29 22:09:33.112000,L7,344.40,348.96,351.53,350.24,356.52,354.44,356.39,359.41,360.02,352.64,362.55,358.65,360.44,360.03,349.26,686.62,693.03,678.05,365.54,353.88,350.38,350.61,342.92,340.34,338.30,335.97,339.37,334.51,328.70,325.53,321.50,336.42,359.28,349.29,356.27
2002-03-11 22:03:31.366000,L7,344.99,351.29,356.59,357.99,359.99,356.72,350.88,355.36,347.88,350.44,351.80,352.77,352.87,349.09,349.30,343.96,342.42,347.88,352.56,352.47,349.24,340.06,337.58,339.43,336.51,336.70,335.50,331.00,328.50,323.64,321.07,335.54,357.81,348.70,357.45
2002-09-10 22:08:43.416000,L7,354.62,361.84,360.89,361.39,368.88,368.17,365.56,370.57,375.93,403.84,,,,,,,,,,376.98,361.48,351.05,348.17,360.73,379.82,,373.12,341.01,346.71,349.72,332.48,348.36,370.67,361.83,369.12
