dates,nzd0541-0000,nzd0541-0001,nzd0541-0002,nzd0541-0003,nzd0541-0004,nzd0541-0005,nzd0541-0006,nzd0541-0007,nzd0541-0008,nzd0541-0009,nzd0541-0010,nzd0541-0011,nzd0541-0012,nzd0541-0013,nzd0541-0014,nzd0541-0015,nzd0541-0016,nzd0541-0017,nzd0541-0018,nzd0541-0019,nzd0541-0020,nzd0541-0021,nzd0541-0022,nzd0541-0023,nzd0541-0024,nzd0541-0025,nzd0541-0026,nzd0541-0027,nzd0541-0028,nzd0541-0029,nzd0541-0030,nzd0541-0031,nzd0541-0032,nzd0541-0033,nzd0541-0034,satname
2003-08-13 21:51:32.649,,372.555,376.71500000000003,369.4,370.52,390.645,391.55,401.025,392.29,391.935,397.26,395.075,394.225,392.70500000000004,394.475,403.93,385.93,397.21000000000004,403.25,392.9,389.59,383.75,387.16499999999996,383.75,407.57,373.32,427.935,395.78,392.115,391.315,362.07,390.53999999999996,397.275,391.9,458.9,L5
2003-10-07 21:58:35.519,346.64,356.70500000000004,360.06,364.97,371.2,371.755,377.485,385.725,389.70000000000005,389.58,392.58000000000004,395.30499999999995,392.62,387.86,391.02,386.42499999999995,386.34000000000003,391.64,395.87,388.695,388.375,379.525,382.205,378.025,375.40999999999997,375.76,376.93,374.95500000000004,372.625,370.15999999999997,360.39,375.96000000000004,385.89,390.21,,L5
2003-11-17 21:52:57.120,357.505,363.6233333333333,368.2033333333334,376.04333333333335,381.3866666666666,381.6066666666666,387.1133333333334,394.01666666666665,395.57666666666665,396.31666666666666,399.84,402.5533333333333,399.1466666666667,395.77,396.2933333333333,393.0433333333333,393.6566666666667,400.44000000000005,395.87,398.16,398.9066666666667,391.9666666666667,390.12999999999994,384.42,380.99333333333334,379.76666666666665,378.04333333333335,379.24333333333334,378.30333333333334,376.19,368.0466666666666,381.90000000000003,385.89,390.21,435.2,L5
2003-12-26 21:59:30.091,348.6266666666667,363.6233333333333,368.2033333333334,376.04333333333335,375.40999999999997,376.935,381.575,388.125,389.42,391.5675,396.4825,398.2925,395.6375,390.985,392.36749999999995,389.205,390.42,395.545,391.1366666666667,392.9225,393.485,387.2925,386.2675,380.3925,375.805,376.0175,374.8175,377.90250000000003,370.525,370.0075,361.9375,376.9425,379.92333333333335,384.33,403.0,L5
2004-03-31 21:59:59.745,348.35,364.78666666666663,368.31,377.84,375.8275,377.53249999999997,383.265,386.9375,389.19,391.6775,397.2975,398.89,396.065,392.3275,391.79999999999995,388.87,390.98249999999996,394.73749999999995,388.7966666666666,393.79999999999995,394.4875,388.82750000000004,386.30499999999995,379.4025,376.1725,374.81,374.085,375.77250000000004,370.5075,368.5075,361.02250000000004,375.82,377.06333333333333,382.64333333333326,397.9766666666667,L5
2004-04-25 21:54:35.260,348.9200000000001,368.55999999999995,372.72,383.645,377.14333333333326,379.34666666666664,384.44666666666666,388.24,389.38333333333327,392.19000000000005,398.4866666666667,399.72,397.18666666666667,393.54999999999995,392.05999999999995,390.56666666666666,392.39333333333326,395.92333333333335,387.06499999999994,374.51,396.41,391.5366666666667,387.6499999999999,380.42333333333335,374.89000000000004,356.78999999999996,371.05,377.34999999999997,369.68,368.4666666666667,361.79333333333335,376.09666666666664,374.1700000000001,379.7049999999999,397.9766666666667,L5
2004-05-02 22:00:57.398,348.9200000000001,368.55999999999995,372.72,383.645,377.14333333333326,379.34666666666664,384.44666666666666,369.38,389.38333333333327,377.83250000000004,384.39,383.5425,379.545,393.54999999999995,392.05999999999995,390.56666666666666,380.37,384.1625,387.06499999999994,374.51,396.41,391.5366666666667,373.72499999999997,368.17,374.89000000000004,344.878,371.05,361.505,359.0625,355.90250000000003,350.605,351.17999999999995,374.1700000000001,379.7049999999999,397.9766666666667,L5
2004-05-18 22:01:26.569,339.19500000000005,359.66,360.95,369.1,364.835,368.365,373.48499999999996,346.2875,380.40999999999997,360.62,365.45500000000004,367.6975,363.16499999999996,373.0833333333333,367.6333333333334,382.71000000000004,363.4775,367.5575,372.73,354.455,384.63,378.88,355.4175,352.6425,356.3666666666666,333.866,366.44,347.8775,345.8175,340.945,336.235,331.05499999999995,374.1700000000001,379.7049999999999,379.365,L5
2004-06-12 21:55:59.429,339.19500000000005,359.66,360.95,369.1,364.835,368.365,373.48499999999996,346.2875,380.40999999999997,360.62,365.45500000000004,367.6975,363.16499999999996,373.0833333333333,367.6333333333334,382.71000000000004,363.4775,367.5575,372.73,354.455,384.63,378.88,355.4175,352.6425,356.3666666666666,328.7083333333333,366.44,347.8775,345.8175,340.945,336.235,331.05499999999995,374.1700000000001,379.7049999999999,379.365,L5
2004-07-30 21:57:15.668,347.52,359.66,360.95,369.1,372.19,373.81,361.145,335.71750000000003,389.87,345.97749999999996,352.83500000000004,356.6025,354.6775,363.13333333333327,356.6133333333333,387.73,355.67,361.645,365.0833333333333,348.13000000000005,373.375,365.75,348.635,347.4575,353.1566666666667,323.99833333333333,367.74,339.8125,345.73249999999996,338.065,333.855,327.4525,369.04,376.93499999999995,374.805,L5
2005-01-13 22:06:52.927,355.89,365.18,364.01,367.12,373.15,372.71,360.03,328.17,382.33,318.75,335.93,364.105,368.94500000000005,364.835,366.30499999999995,383.06,368.33000000000004,375.945,375.97,351.91,372.82,365.11,365.4,363.91999999999996,365.425,355.805,371.22,358.635,359.035,352.78999999999996,347.42999999999995,359.87,370.005,380.25,375.52,L5
2005-02-14 22:07:21.106,355.89,363.21000000000004,362.78999999999996,367.005,372.725,372.37,379.1,,382.72,,,389.065,388.76,384.395,385.28499999999997,380.95,384.39,391.02,390.98,384.67,389.9,382.53,383.36,380.21500000000003,379.595,374.81,371.09000000000003,374.715,370.875,366.82,361.13,372.095,383.80999999999995,389.605,385.58000000000004,L5
2005-08-09 22:08:46.932,351.35,351.895,357.17499999999995,361.15999999999997,370.24,370.5,375.33500000000004,378.06,382.93,386.57,385.77,388.45000000000005,384.71000000000004,381.075,385.36,377.015,379.235,383.8,387.305,379.93,382.72,376.23,376.6,376.19500000000005,373.2,366.73,362.085,369.74,371.11,366.695,357.65999999999997,371.065,386.42999999999995,382.475,382.945,L5
2005-08-25 22:08:52.862,358.82000000000005,358.08000000000004,364.22,368.155,378.515,379.165,383.475,390.695,393.03499999999997,392.505,395.78,395.99,393.895,393.27,400.98,394.135,376.87,398.68,395.94,396.22,393.305,389.425,386.21000000000004,382.71000000000004,379.69,373.185,366.42499999999995,377.53999999999996,382.815,381.85,370.83,370.02,403.28999999999996,398.765,401.48,L5
