dates,satname,nzd0506-0000,nzd0506-0001,nzd0506-0002,nzd0506-0003,nzd0506-0004,nzd0506-0005,nzd0506-0006,nzd0506-0007,nzd0506-0008,nzd0506-0009,nzd0506-0010,nzd0506-0011,nzd0506-0012,nzd0506-0013,nzd0506-0014,nzd0506-0015,nzd0506-0016,nzd0506-0017,nzd0506-0018,nzd0506-0019,nzd0506-0020,nzd0506-0021,nzd0506-0022,nzd0506-0023,nzd0506-0024,nzd0506-0025,nzd0506-0026,nzd0506-0044,nzd0506-0045,nzd0506-0046,nzd0506-0027,nzd0506-0028,nzd0506-0029,nzd0506-0030,nzd0506-0031,nzd0506-0032,nzd0506-0033,nzd0506-0034,nzd0506-0035,nzd0506-0036,nzd0506-0037,nzd0506-0038,nzd0506-0039,nzd0506-0040,nzd0506-0041,nzd0506-0042,nzd0506-0043
2005-10-05 22:02:41.026000,L5,257.10,269.44,273.02,267.17,269.13,267.89,268.36,268.91,270.69,272.78,283.84,277.89,281.73,283.61,284.50,263.45,278.99,280.13,279.33,281.25,280.64,287.95,290.14,293.44,300.58,299.35,300.69,302.71,294.49,297.27,307.03,312.81,313.83,314.08,312.80,317.82,321.62,318.97,317.64,322.32,318.45,326.15,322.12,318.48,321.26,316.01,309.81
2006-02-26 22:05:22.928000,L5,245.25,257.80,263.34,263.42,261.57,261.64,260.77,277.00,283.79,288.24,287.30,285.82,285.62,287.65,274.60,262.68,272.32,279.45,277.80,280.53,279.99,295.16,300.75,304.26,302.82,304.15,301.73,291.96,114.96,302.48,303.55,296.16,299.12,303.40,305.98,311.97,313.89,312.35,328.36,329.33,325.80,331.14,326.06,323.09,320.40,307.85,296.68
2006-03-14 22:05:42.635000,L5,243.70,256.19,264.91,264.05,264.10,263.28,264.39,272.19,280.04,286.98,287.23,285.44,284.16,286.08,281.77,,272.45,277.82,281.51,278.47,279.27,294.23,304.48,307.27,305.26,306.65,303.19,296.79,296.67,305.95,311.26,302.59,305.20,304.99,310.87,314.25,317.04,316.48,325.74,329.22,329.34,332.24,325.46,323.15,322.80,320.55,297.89
2006-04-15 22:06:18.610000,L5,,266.48,271.65,273.24,276.75,272.81,275.84,278.25,279.82,284.28,285.29,287.93,275.80,282.07,282.16,275.47,279.64,290.56,287.77,289.50,292.84,294.05,302.62,300.60,301.82,300.39,300.67,299.99,298.66,315.46,308.12,307.07,314.67,313.39,313.85,322.99,324.44,327.28,325.98,326.99,330.01,331.14,325.60,320.55,320.97,315.37,303.34
2006-11-25 22:09:07.763000,L5,264.41,268.74,279.67,282.57,281.41,280.70,280.55,279.13,272.72,276.05,275.91,274.01,271.70,276.66,272.24,276.79,286.13,296.06,291.99,298.23,296.30,303.03,293.79,294.21,295.94,295.08,295.17,312.03,307.45,313.64,301.65,301.40,322.90,324.15,329.70,331.04,338.46,334.01,334.18,321.88,323.18,323.14,321.96,316.05,317.52,311.82,304.36
2006-12-11 22:09:16.015000,L5,275.95,273.11,277.16,266.71,263.34,266.79,264.81,270.18,270.47,281.61,289.08,292.20,291.71,293.85,291.60,284.62,286.27,281.70,281.07,283.63,283.60,291.17,293.62,305.94,311.25,313.06,314.98,312.92,303.56,299.37,318.24,320.42,326.09,320.31,314.14,318.02,325.05,322.00,326.96,325.59,328.00,341.52,338.21,333.34,330.75,329.82,317.03
2008-11-14 21:57:52.281000,L5,280.59,270.01,273.45,276.83,276.64,275.63,275.04,273.84,273.00,275.75,280.95,276.87,279.32,279.98,284.31,274.27,287.39,291.24,293.40,292.06,294.17,291.85,296.87,298.58,300.50,300.96,302.42,308.45,310.52,316.60,303.60,321.18,317.05,323.43,320.24,328.38,328.51,331.28,319.47,322.28,324.93,321.99,319.50,315.20,315.14,315.09,317.19
2009-01-17 21:59:44.398000,L5,329.20,319.37,305.28,305.74,311.04,314.57,317.05,315.07,312.68,323.87,327.33,324.80,321.92,324.87,316.21,316.17,311.11,311.74,314.38,312.21,320.35,314.82,319.77,327.50,333.06,326.72,331.55,330.50,333.17,354.33,329.59,328.92,332.55,325.99,329.40,334.05,330.11,331.48,327.35,327.10,335.01,337.86,336.90,333.77,332.29,330.86,328.59
2010-02-05 22:05:29.575000,L5,273.05,280.80,275.97,279.71,275.91,278.93,276.09,278.80,278.81,292.59,292.04,291.20,292.45,292.25,294.15,286.34,286.75,292.07,289.72,293.93,290.84,295.90,298.70,305.88,308.38,306.63,305.04,105.86,297.59,316.69,308.41,316.16,314.02,307.65,312.60,316.69,321.92,315.96,315.89,313.78,327.03,327.56,322.03,317.80,318.87,315.75,313.85
2010-12-22 22:04:29.137000,L5,279.19,276.71,276.72,280.26,280.45,279.53,279.54,281.48,291.88,299.01,298.99,300.49,300.03,303.11,299.63,286.17,286.58,292.38,291.33,295.81,295.98,301.16,311.65,318.45,314.60,316.40,314.84,303.14,134.03,315.05,320.79,321.49,316.08,309.56,316.16,320.11,323.26,318.02,319.81,325.45,328.61,329.78,322.92,321.96,318.72,324.17,316.84
