dates,satname,nzd0239-0000,nzd0239-0001,nzd0239-0002,nzd0239-0003,nzd0239-0004,nzd0239-0005,nzd0239-0006,nzd0239-0007,nzd0239-0008,nzd0239-0009,nzd0239-0010,nzd0239-0011,nzd0239-0012,nzd0239-0013,nzd0239-0014,nzd0239-0015,nzd0239-0016,nzd0239-0017,nzd0239-0018,nzd0239-0019,nzd0239-0020,nzd0239-0021,nzd0239-0022,nzd0239-0023,nzd0239-0024,nzd0239-0025,nzd0239-0026,nzd0239-0027,nzd0239-0028,nzd0239-0029,nzd0239-0030,nzd0239-0031,nzd0239-0032,nzd0239-0033,nzd0239-0034,nzd0239-0035,nzd0239-0036,nzd0239-0037,nzd0239-0038,nzd0239-0039,nzd0239-0040,nzd0239-0041,nzd0239-0042,nzd0239-0043,nzd0239-0044,nzd0239-0045,nzd0239-0046,nzd0239-0047,nzd0239-0048,nzd0239-0049,nzd0239-0050,nzd0239-0051,nzd0239-0052,nzd0239-0053,nzd0239-0054,nzd0239-0055,nzd0239-0056,nzd0239-0057,nzd0239-0058,nzd0239-0059,nzd0239-0060,nzd0239-0061,nzd0239-0062,nzd0239-0063,nzd0239-0064,nzd0239-0065,nzd0239-0066,nzd0239-0067,nzd0239-0068,nzd0239-0069,nzd0239-0070,nzd0239-0071,nzd0239-0072,nzd0239-0073,nzd0239-0074,nzd0239-0075,nzd0239-0076,nzd0239-0077,nzd0239-0078,nzd0239-0079,nzd0239-0080,nzd0239-0081,nzd0239-0082,nzd0239-0083,nzd0239-0084,nzd0239-0085,nzd0239-0086,nzd0239-0087,nzd0239-0088,nzd0239-0089,nzd0239-0090,nzd0239-0091,nzd0239-0092,nzd0239-0093,nzd0239-0094,nzd0239-0095,nzd0239-0096,nzd0239-0097,nzd0239-0098,nzd0239-0099,nzd0239-0100,nzd0239-0101,nzd0239-0102,nzd0239-0104,nzd0239-0105,nzd0239-0106,nzd0239-0107,nzd0239-0108,nzd0239-0109,nzd0239-0110,nzd0239-0111,nzd0239-0112,nzd0239-0113,nzd0239-0114,nzd0239-0115,nzd0239-0116,nzd0239-0117,nzd0239-0118,nzd0239-0119,nzd0239-0120,nzd0239-0121,nzd0239-0122,nzd0239-0123,nzd0239-0124,nzd0239-0125,nzd0239-0126,nzd0239-0127,nzd0239-0128,nzd0239-0129,nzd0239-0130,nzd0239-0131,nzd0239-0132,nzd0239-0133,nzd0239-0134,nzd0239-0135,nzd0239-0136,nzd0239-0137,nzd0239-0138,nzd0239-0139,nzd0239-0140,nzd0239-0103
2000-12-20 21:50:16.996000,L7,286.02,283.93,275.51,289.83,311.11,323.97,336.84,329.28,335.99,332.16,338.01,340.36,345.35,345.15,344.42,311.25,324.54,338.12,,322.25,303.75,295.65,323.11,293.82,,300.02,295.29,315.42,318.97,325.84,315.15,299.53,264.80,307.73,317.28,321.88,310.69,327.91,327.39,333.68,339.85,333.24,340.08,310.11,265.46,273.29,307.92,317.87,310.18,325.66,328.25,326.95,333.08,333.89,334.86,331.34,346.66,349.10,343.37,341.98,355.05,358.29,351.52,365.40,365.63,363.65,359.65,357.33,352.07,360.95,357.09,350.79,362.54,351.43,351.59,353.17,357.00,354.52,354.25,347.38,356.71,350.30,356.34,356.33,362.91,369.22,357.37,371.66,361.21,368.79,365.92,3.62,11.08,10.40,15.08,366.86,372.51,367.53,375.44,370.54,374.38,375.37,381.02,379.08,368.84,392.74,383.69,385.81,387.33,390.37,397.64,400.47,401.81,409.63,422.24,412.50,411.19,405.57,401.90,400.69,405.57,403.56,398.85,397.74,391.05,390.51,386.15,386.06,389.81,381.66,384.71,385.54,382.75,377.85,372.47,359.64,346.72,332.57,318.69,299.39,379.46
2001-01-05 21:50:16.585000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.04,439.24,427.06,424.43,423.27,426.57,426.70,,,,,,,,431.25,418.85,417.54,404.23,387.95,367.81,359.84,324.65,
2001-03-10 21:50:10.732000,L7,,,,,357.35,344.69,377.09,360.05,346.11,343.43,344.74,353.86,357.83,346.24,355.56,318.14,333.04,331.45,333.31,327.19,321.03,,,,,,,,,,342.23,319.37,285.04,322.24,326.74,328.99,362.18,,,,,,348.96,306.83,292.90,331.03,339.47,323.76,325.46,321.67,318.54,326.59,326.09,331.85,339.28,345.10,349.27,350.34,347.14,361.50,361.19,371.19,362.89,370.42,373.54,,,359.30,354.37,361.87,351.71,345.67,353.61,348.32,353.15,360.37,366.48,380.95,,,,,395.12,383.19,366.29,365.81,362.12,369.41,369.90,373.28,372.27,373.67,364.30,372.62,369.35,12.41,27.06,21.08,19.84,8.73,376.25,371.07,374.20,397.78,391.80,388.35,391.28,391.05,387.77,391.57,393.36,392.53,396.52,396.39,403.16,395.78,403.58,402.33,408.84,407.73,405.87,410.34,406.77,397.98,370.10,370.92,377.71,385.48,395.75,394.43,385.34,390.17,376.44,377.82,356.55,350.19,339.09,328.86,298.26,280.70,383.10
2001-06-30 21:49:12.248000,L7,290.74,306.62,,,,,,,,,,,,,363.35,364.88,378.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.98,35.82,23.16,36.35,63.75,31.90,46.38,6.29,19.12,7.18,8.35,24.71,23.66,,,,,,,,,,,,,,,,,,,,,,,,,,412.24,415.04,406.70,405.76,395.67,360.12,391.50,346.32,336.09,330.14,333.08,326.88,
2001-07-25 21:42:54.824000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,18.68,15.69,8.28,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.09,408.14,389.57,378.14,371.37,351.81,347.93,329.32,338.60,334.16,
2001-07-25 21:43:18.753000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,4.58,20.46,12.22,6.95,,,,,,,,,,415.33,421.01,419.13,430.83,424.13,428.36,448.54,,434.37,438.88,435.62,438.84,446.11,438.40,444.75,,,,,,,,417.99,415.95,402.94,417.07,406.07,389.35,371.67,364.90,347.45,339.19,319.65,330.46,329.30,
2001-09-02 21:48:29.341000,L7,,,,,,,,,,,,,,,,,,,,,,,370.44,358.31,358.64,371.05,361.64,350.97,353.42,344.42,350.51,340.50,323.09,344.33,347.29,346.65,344.08,346.74,353.34,352.00,367.54,358.68,346.41,321.29,341.34,345.96,338.69,340.33,347.17,343.95,355.13,351.93,354.61,360.97,349.78,355.99,355.88,383.86,356.15,360.47,362.42,362.92,372.19,377.88,382.62,379.77,372.59,379.08,379.35,375.96,377.55,372.67,368.69,367.17,371.19,373.72,370.82,374.59,367.38,368.67,366.01,369.58,369.90,363.42,367.72,364.34,369.80,366.36,371.22,374.76,369.43,373.29,366.71,369.34,361.77,360.07,363.17,358.75,361.56,362.12,358.35,360.93,366.81,371.16,374.70,381.01,379.34,382.70,379.58,386.91,378.18,388.51,393.19,391.91,395.60,396.83,398.93,397.74,391.17,393.13,391.32,389.59,386.79,378.08,380.50,373.06,373.75,377.78,378.80,373.40,363.88,354.08,350.10,344.16,329.70,314.90,298.27,289.71,279.38,262.02,362.67
2001-09-18 21:48:17.356000,L7,293.26,285.15,291.63,315.70,328.15,356.59,368.89,353.27,359.48,357.96,350.60,351.84,359.05,349.15,359.40,361.85,343.84,339.98,343.10,343.65,338.13,339.88,324.93,337.01,334.57,336.83,331.31,328.91,326.78,323.67,324.53,329.50,295.57,325.96,326.28,328.89,336.31,333.67,347.12,337.96,337.67,336.42,331.22,306.98,261.24,316.41,324.82,325.06,324.60,331.49,330.38,342.14,337.93,334.95,334.42,332.92,343.86,346.38,342.64,350.45,355.13,354.51,365.46,373.26,369.26,364.46,361.55,358.41,353.43,362.36,357.72,365.61,359.92,356.41,356.87,357.24,350.46,359.78,354.61,369.17,354.42,362.97,361.93,355.17,362.59,357.66,361.82,366.83,361.30,376.66,30.69,40.17,41.27,45.44,43.08,40.01,37.66,25.58,19.75,10.47,5.16,401.70,376.13,382.04,390.05,381.64,388.38,387.05,394.14,404.41,398.96,400.48,408.62,404.58,401.27,408.87,410.75,406.26,406.61,416.76,429.90,405.46,410.80,399.56,404.31,390.42,390.43,386.70,381.99,391.07,370.60,365.45,353.99,342.96,340.08,332.28,303.27,292.17,287.69,270.91,380.49
2001-09-27 21:42:05.338000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48,388.88,388.06,392.26,396.28,393.86,403.44,401.94,393.99,405.13,407.27,408.77,411.41,,409.88,406.87,410.27,413.48,416.09,422.29,419.52,418.42,418.46,419.18,420.11,420.67,427.01,427.21,440.30,436.06,423.71,416.09,409.31,408.35,404.90,401.20,397.64,387.80,396.60,385.52,379.58,369.33,363.60,358.03,337.01,325.69,308.03,302.52,297.02,297.19,406.98
2001-09-27 21:42:29.269000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.30,392.06,390.52,394.83,399.05,395.02,405.87,403.76,398.11,407.15,,,,,411.63,410.36,412.90,415.96,417.38,424.35,421.73,420.78,422.17,421.29,423.23,424.13,429.02,430.80,440.88,439.25,426.50,417.26,410.02,411.18,407.27,403.15,399.38,391.33,401.15,389.88,382.17,372.50,368.73,359.34,339.38,327.23,309.93,305.12,301.50,300.42,
2001-10-13 21:41:51.963000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.12,369.12,359.96,361.64,359.60,381.59,376.19,373.27,375.75,383.70,384.36,402.28,381.73,385.84,,,,,,324.85,375.51,382.02,382.02,377.65,369.84,371.71,383.97,376.66,378.54,382.13,381.48,382.71,381.61,391.56,388.15,394.67,390.03,395.60,11.09,24.05,17.55,27.30,18.50,10.15,2.67,6.06,386.56,386.78,391.31,393.98,397.86,398.97,396.62,406.97,402.79,410.94,414.04,415.02,417.98,411.97,418.90,418.48,420.92,422.18,421.14,420.74,418.25,422.89,421.18,412.90,410.73,409.86,402.60,401.22,391.45,387.86,372.54,372.58,368.23,365.23,,,,,,,,,397.77
