dates,satname,nzd0043-0000,nzd0043-0001,nzd0043-0002,nzd0043-0003,nzd0043-0004,nzd0043-0005,nzd0043-0006,nzd0043-0007,nzd0043-0008,nzd0043-0009,nzd0043-0010,nzd0043-0011,nzd0043-0012,nzd0043-0013
2003-03-30 22:00:07.079000,L7,318.39,266.85,283.25,,,,,,,,,,,
2003-04-06 22:06:21.012000,L7,,379.80,343.38,355.83,337.86,336.10,331.20,326.79,320.89,331.80,319.24,299.29,,
2003-04-22 22:06:19.091000,L7,,,372.88,382.92,368.44,369.42,381.25,341.38,375.79,371.54,330.48,347.00,342.36,
2003-05-08 22:06:20.773000,L7,,272.83,304.97,324.57,315.11,298.72,306.73,306.57,300.89,,,,,
2003-05-24 22:06:17.162000,L7,,332.06,344.92,335.08,322.43,304.82,315.52,324.10,301.75,325.54,303.15,309.17,,
2003-08-13 21:48:21.150000,L5,,308.04,302.66,316.93,289.50,296.21,295.70,295.08,,,,,,
2003-08-29 21:48:38.429000,L5,349.14,325.36,294.24,309.65,289.34,292.20,277.43,283.42,282.93,283.82,280.70,,,
2003-09-05 21:54:56.069000,L5,377.79,363.33,346.26,345.04,335.13,328.84,330.02,326.83,315.62,317.63,321.26,289.08,247.22,292.52
2003-10-23 21:55:36.755000,L5,359.83,,268.77,305.24,301.99,300.45,279.77,285.14,275.66,280.57,270.69,,,
2003-12-26 21:56:18.593000,L5,372.71,328.44,312.85,,,,,,,,,,,
2004-05-18 21:58:14.785000,L5,382.90,369.84,362.32,366.32,371.11,351.32,346.20,336.53,333.49,335.62,337.90,325.42,270.67,308.95
2004-06-03 21:58:42.986000,L5,381.65,366.05,366.39,369.52,348.90,349.58,338.55,338.94,336.70,342.14,343.33,321.52,277.90,308.47
2004-06-12 21:52:47.645000,L5,337.14,275.49,289.11,297.25,,,,,,,,,,
2004-07-30 21:54:04.170000,L5,361.14,337.02,319.75,327.52,304.18,307.54,308.74,302.16,293.59,304.13,311.51,257.01,243.53,283.64
2004-11-03 21:56:19.004000,L5,355.09,336.82,311.86,315.90,286.15,296.38,287.24,288.84,,,,,,
2004-11-19 21:56:31.297000,L5,395.40,367.52,353.34,346.71,336.20,335.58,333.52,326.80,328.87,332.62,339.84,326.62,257.96,298.31
2005-01-13 22:03:41.143000,L5,,382.38,356.11,358.40,348.24,347.00,347.96,339.82,340.00,342.29,346.51,344.38,335.81,331.28
2005-02-14 22:04:09.465000,L5,,,310.23,323.86,328.56,326.70,322.54,311.83,303.61,261.64,279.92,,,
2005-02-23 21:58:07.648000,L5,,263.79,270.56,297.20,298.54,315.37,322.88,323.82,322.48,332.25,329.90,311.52,264.18,302.28
2005-03-11 21:58:20.185000,L5,358.16,326.07,295.30,284.63,,,,,,,,,,
2005-03-27 21:58:27.646000,L5,361.13,336.70,300.08,290.66,,,,,,,,259.71,250.10,287.53
2005-04-03 22:04:40.528000,L5,,388.67,343.78,360.99,337.97,340.35,337.96,325.86,324.68,332.18,323.51,285.18,262.07,303.96
2005-04-12 21:58:31.220000,L5,365.85,340.29,310.90,305.24,294.07,308.61,310.59,269.24,289.51,308.34,290.95,260.34,253.81,293.11
2005-06-06 22:05:05.724000,L5,303.08,300.59,311.29,,,,,,,,,,,
2005-07-08 22:05:15.796000,L5,319.38,300.01,316.78,310.07,,,,,,,,,,
2005-07-17 21:59:11.604000,L5,,316.20,278.03,316.17,280.84,292.56,268.99,,,,,,,
2005-08-25 22:05:41.221000,L5,338.33,305.48,317.86,307.80,304.67,302.57,288.84,295.99,279.40,287.91,272.09,,,
2005-09-03 21:59:32.312000,L5,355.71,331.04,314.77,320.81,297.39,301.03,291.96,292.94,288.59,300.05,300.66,,,
2005-09-19 21:59:32.955000,L5,394.03,374.33,355.07,353.03,338.16,332.92,336.87,328.62,331.26,344.64,367.72,353.68,287.94,320.04
2005-09-26 22:05:42.687000,L5,378.02,375.43,363.06,365.00,345.72,337.38,331.81,322.81,319.33,321.49,325.51,293.88,,
2005-10-05 21:59:29.384000,L5,357.21,344.24,323.79,330.15,313.89,313.07,313.37,307.27,304.57,316.83,318.47,259.71,241.36,238.58
2005-11-22 21:59:59.141000,L5,378.34,359.73,343.13,347.95,337.95,337.15,338.83,333.55,343.60,340.08,349.45,331.68,262.71,301.24
2006-02-10 22:01:51.332000,L5,372.12,355.97,336.78,342.68,328.45,328.02,333.42,325.75,327.07,335.88,335.74,324.91,266.98,302.85
2006-02-17 22:08:11.136000,L5,317.42,308.01,294.67,292.11,300.92,306.26,287.62,,,,,,,
2006-02-26 22:02:11.573000,L5,383.74,359.33,344.99,316.29,274.32,,281.25,310.72,299.43,325.16,327.51,267.07,251.07,291.06
2006-03-14 22:02:31.280000,L5,382.60,369.63,354.69,355.53,344.95,341.71,350.17,347.62,357.67,365.19,374.91,361.65,339.03,330.41
2006-06-25 22:10:20.606000,L5,335.90,310.01,313.29,304.92,303.46,305.10,285.42,280.74,,,,,,
2006-08-12 22:10:59.603000,L5,352.27,321.43,323.28,320.33,311.64,314.17,300.16,,,,,,,
2006-09-13 22:11:23.474000,L5,385.07,371.93,361.34,368.77,348.06,334.64,337.05,328.68,322.10,327.60,333.04,300.31,253.78,299.43
2006-09-29 22:11:34.525000,L5,375.43,360.17,351.77,357.68,344.38,345.03,344.30,336.77,325.61,337.28,336.43,314.66,260.89,300.68
2006-11-25 22:06:19.953000,L5,313.65,300.46,289.50,298.79,288.07,293.12,293.19,294.15,298.25,304.94,312.41,238.15,262.22,309.29
2006-12-02 22:12:34.352000,L5,330.40,307.87,303.67,321.13,309.42,310.80,307.74,305.11,303.60,306.93,304.26,256.40,274.02,313.14
2006-12-11 22:06:28.205000,L5,,,,,,,,,,,,,254.80,301.84
2007-01-03 22:12:49.248000,L5,293.64,275.60,273.49,287.60,283.58,285.01,283.80,283.19,287.57,290.87,279.02,239.88,279.06,323.44
2007-02-13 22:06:23.395000,L5,388.50,361.32,333.16,335.82,326.71,323.44,325.69,316.45,312.26,333.12,337.22,320.19,262.85,297.36
2007-09-25 22:04:24.972000,L5,351.57,322.77,314.76,314.52,297.81,302.94,297.05,288.16,,,,256.79,243.39,278.40
2008-11-21 22:01:05.982000,L5,380.73,352.13,345.56,346.00,336.37,331.67,332.80,324.90,324.66,325.02,322.34,253.59,250.01,289.70
2008-12-16 21:55:41.804000,L5,352.20,280.72,266.46,,,,,,,,,,,
2009-01-01 21:56:07.642000,L5,354.31,297.57,288.90,,,,,,,,,,,
2009-01-24 22:02:55.057000,L5,397.05,382.55,381.52,379.14,368.74,367.83,366.77,360.00,362.89,368.69,367.32,363.40,,
2009-02-02 21:56:58.438000,L5,365.71,328.06,309.18,300.76,298.55,311.93,310.47,270.15,,,,,,
2009-12-03 22:01:55.950000,L5,371.91,349.04,321.72,333.57,,325.02,325.87,314.39,301.69,292.51,313.38,265.93,256.81,294.57
2010-01-27 22:08:26.527000,L5,377.35,351.69,333.20,,,,,,,,,,,
2010-02-05 22:02:17.935000,L5,328.40,284.60,296.72,,,,,,,,,,,
2010-02-12 22:08:30.110000,L5,316.55,277.14,267.59,,,,,,,,,,,
2010-11-27 22:07:24.215000,L5,359.77,340.99,336.00,330.12,321.71,324.16,314.43,290.06,284.87,300.81,282.92,,245.76,277.14
2011-01-14 22:07:31.728000,L5,380.16,353.61,342.84,345.22,337.13,334.00,337.80,322.01,325.73,328.63,313.54,259.06,262.09,300.17
2011-02-15 22:07:34.670000,L5,363.15,310.97,322.31,307.73,299.84,309.22,286.78,283.60,286.65,298.05,286.36,243.85,,
2011-03-12 22:01:19.581000,L5,383.19,353.32,334.23,335.51,325.13,322.12,329.88,320.52,332.83,335.97,333.07,327.73,266.57,305.41
2011-03-28 22:01:14.403000,L5,367.64,338.34,313.67,321.72,294.17,296.29,255.42,,,,,,,
2011-08-19 22:00:12.535000,L5,357.28,327.03,297.83,316.42,267.79,285.01,262.20,258.27,,,,,,
2011-09-04 22:00:03.630000,L5,374.69,360.84,345.38,350.50,335.01,331.12,332.47,329.08,328.45,334.29,337.27,324.47,256.25,301.88
2013-04-25 22:19:21.025000,L8,,,,306.21,306.62,295.68,,,,,,,,
2013-05-11 22:19:31.249000,L8,,,318.99,306.29,318.24,299.50,,,,,,,,
2013-05-20 22:13:26.604000,L8,350.45,347.57,339.08,347.03,336.76,336.23,346.00,343.01,347.13,350.35,363.03,354.94,284.56,336.80
2013-06-05 22:13:27.306000,L8,,,,292.17,282.76,288.47,281.21,,,,,266.17,267.07,301.63
2013-07-07 22:13:24.262000,L8,323.34,,,294.33,290.81,292.73,287.29,,,,,264.85,265.17,307.53
2013-07-14 22:19:34.707000,L8,,,,309.97,327.47,307.21,,,,,,,,
2013-09-25 22:13:17.289000,L8,334.95,301.45,,291.95,300.83,306.40,286.18,282.62,,,,,,
2013-10-02 22:19:28.820000,L8,367.08,350.91,351.74,355.47,342.84,339.73,346.59,338.91,337.21,341.56,343.25,259.07,279.79,314.15
2013-10-18 22:19:25.762000,L8,357.18,340.46,339.59,345.67,326.73,325.85,337.37,328.41,326.35,327.23,305.05,248.71,264.70,303.43
2013-10-27 22:13:07.896000,L8,352.28,343.89,333.23,340.65,330.39,328.14,336.52,333.79,335.34,343.00,350.93,339.16,278.46,334.55
2013-11-28 22:13:02.012000,L8,332.43,306.34,289.81,292.08,,,,,,,281.96,260.60,261.71,295.45
2013-12-05 22:19:13.005000,L8,343.71,279.88,286.27,305.36,,,,,,,,,,
2013-12-14 22:12:57.636000,L8,341.33,323.59,304.68,286.13,304.69,313.17,298.67,,,278.98,299.64,267.97,263.08,299.81
2014-01-06 22:18:54.881000,L8,338.57,275.47,279.49,,,,,,,,,,,
2014-01-15 22:12:33.689000,L8,332.37,284.91,269.32,,,,,,,,,,,
2014-01-31 22:12:28.855000,L8,339.97,293.79,286.13,,,,,,,,,,262.46,299.47
2014-02-07 22:18:33.391000,L8,343.42,272.11,274.25,,,,,,,,,,,
2014-02-23 22:18:20.398000,L8,346.86,282.56,314.05,309.06,326.31,321.84,325.90,283.90,302.20,323.42,289.46,,,
2014-03-11 22:18:08.266000,L8,343.08,277.72,282.69,308.44,328.61,322.35,315.15,,,,,,,
2014-03-20 22:11:49.843000,L8,327.77,279.72,262.50,,,,,,,,,,,
2014-03-27 22:17:50.001000,L8,361.37,345.78,347.63,354.17,342.45,340.18,344.83,337.12,334.21,338.89,339.65,240.21,266.39,310.48
2014-04-05 22:11:34.747000,L8,328.76,282.23,274.02,,,,,,,,282.55,247.86,255.69,291.83
2014-04-12 22:17:37.464000,L8,285.00,272.93,274.68,305.73,319.51,302.05,,,,,,,,
2014-04-21 22:11:18.224000,L8,327.84,279.84,272.32,,,,,,,,,250.73,258.05,293.19
2014-05-07 22:11:02.102000,L8,,324.05,315.48,298.49,,,,,,,,247.86,258.26,296.06
2014-05-14 22:17:08.923000,L8,,,323.38,309.23,326.02,324.11,285.95,305.59,316.71,323.92,293.32,,,
2014-05-30 22:17:11.184000,L8,,,,309.12,321.94,310.51,,,,,,,,
2014-07-26 22:11:19.207000,L8,319.67,,,293.38,291.30,302.83,285.03,,,,,245.53,260.04,300.20
2014-10-14 22:11:38.746000,L8,320.26,275.89,274.91,290.16,277.17,293.92,280.86,,,,,,,
2014-10-30 22:11:34.905000,L8,330.62,309.55,300.36,291.09,299.09,309.16,283.62,,,,,252.30,256.89,295.99
2014-12-01 22:11:36.363000,L8,338.46,325.09,314.26,309.96,315.47,315.74,325.01,318.07,297.68,328.56,321.11,258.67,267.31,302.76
2015-01-09 22:17:38.882000,L8,289.37,273.04,267.18,,,,,,,,,,,
2015-01-25 22:17:32.812000,L8,293.03,277.81,269.39,,,,,,,,,,,
2015-02-19 22:11:13.759000,L8,339.14,311.29,286.93,290.13,297.45,,,,,,,,,
2015-02-26 22:17:23.009000,L8,380.64,357.38,360.63,371.70,357.66,354.25,347.46,340.48,339.79,343.47,352.20,329.15,313.97,323.69
2015-03-30 22:17:01.871000,L8,291.88,307.91,,,,,,,,,,,,
2015-04-24 22:10:44.446000,L8,319.99,296.27,285.58,,,,,,,,,,255.76,283.74
2015-05-10 22:10:28.533000,L8,295.73,,,,,,,,,,,,,
2015-06-02 22:16:44.532000,L8,342.84,331.94,331.16,310.39,325.96,,,,,,,,259.48,301.08
2015-06-27 22:10:46.339000,L8,287.07,311.57,307.21,290.03,300.65,302.76,308.34,289.43,,,,244.07,260.66,307.07
2015-07-04 22:17:02.361000,L8,277.34,277.18,281.38,304.53,322.83,305.49,302.65,,,,,,,
2015-07-20 22:17:10.706000,L8,278.99,272.09,312.94,308.76,325.32,308.59,300.40,,,,,,,
2015-07-29 22:11:01.897000,L8,311.79,,,,,,,,,,,,257.47,293.96
2015-10-08 22:17:36.852000,L8,291.15,274.26,313.53,306.83,326.01,313.61,316.09,,,,,,,
2015-10-24 22:17:40.820000,L8,288.01,270.31,266.82,,,,,,,,,,,
2015-12-11 22:17:42.627000,L8,286.15,272.81,269.74,,,,,,,,,,,
2015-12-20 22:11:33.546000,L8,331.15,310.82,303.00,303.81,313.82,310.30,322.72,288.71,287.64,303.44,304.20,255.42,257.95,298.58
2015-12-27 22:17:43.409000,L8,292.49,273.06,271.82,,,,,,,,,,,
2016-01-12 22:17:40.472000,L8,337.37,278.84,274.12,,,,,,,,,,,
2016-01-21 22:11:30.113000,L8,355.58,342.23,313.57,320.91,316.53,,,,,,,,,
2016-02-22 22:11:18.630000,L8,337.69,275.86,300.96,,,,,,,,298.75,260.13,261.09,300.60
2016-03-25 22:11:08.402000,L8,354.41,338.25,331.63,315.75,302.82,,,,301.04,327.06,323.65,,,
2016-04-10 22:11:01.721000,L8,363.69,366.85,345.16,356.96,330.34,328.08,337.59,329.30,313.46,339.25,342.77,303.62,298.22,
