dates,satname,nzd0112-0000,nzd0112-0001,nzd0112-0002,nzd0112-0003,nzd0112-0004,nzd0112-0005,nzd0112-0006,nzd0112-0007,nzd0112-0008,nzd0112-0009,nzd0112-0010,nzd0112-0011,nzd0112-0012,nzd0112-0013,nzd0112-0014,nzd0112-0015,nzd0112-0016,nzd0112-0017,nzd0112-0018,nzd0112-0019
1999-08-26 22:04:44.971000,L7,329.40,,,,,,,,,,,,,,,,,,,
1999-09-27 22:04:48.949000,L7,347.47,339.39,320.58,316.04,319.63,303.05,306.90,304.96,316.84,314.45,321.95,330.89,346.02,344.91,343.16,347.87,382.82,344.85,338.15,320.65
1999-11-14 22:04:42.286000,L7,294.17,289.32,285.67,276.14,,,,,,,,,,,,,,,,
2000-01-01 22:04:37.439000,L7,363.73,348.38,344.38,295.18,294.66,334.75,302.37,285.01,283.43,266.56,,,,,,,,,,
2000-12-11 21:56:00.959000,L7,347.42,334.40,331.11,310.71,331.75,280.34,281.92,281.08,285.16,283.59,291.05,290.93,333.17,321.47,277.90,311.32,321.63,312.29,288.24,289.47
2000-12-27 21:56:05.061000,L7,337.20,310.10,310.73,314.91,315.34,288.81,291.46,289.02,291.54,282.84,290.08,296.57,323.14,282.75,,296.69,324.62,304.71,274.64,283.68
2001-01-03 22:02:12.432000,L7,,323.34,332.56,302.74,299.42,290.70,288.92,288.71,287.43,277.61,279.46,337.63,301.83,,,,,,308.36,336.48
2001-08-15 22:00:38.680000,L7,356.90,323.75,311.68,309.83,303.62,274.65,281.79,286.31,305.60,277.77,281.48,331.86,313.73,352.11,345.61,360.68,338.54,316.65,352.53,328.71
2001-09-25 21:54:04.740000,L7,363.43,346.76,341.47,316.27,311.84,311.20,296.28,297.47,336.56,340.46,309.82,341.97,361.12,316.70,311.19,326.08,325.64,324.28,321.32,306.34
2001-10-02 22:00:04.650000,L7,294.14,,,,,,,,,,,,,,,,,,86.39,234.51
2002-01-15 21:54:23.534000,L7,341.51,325.22,303.62,310.76,299.28,288.72,278.01,280.20,281.73,271.17,281.63,316.22,315.59,319.57,,,,,69.96,287.41
2002-01-22 22:00:40.906000,L7,335.07,344.43,344.81,302.57,300.23,286.12,275.99,283.06,278.94,275.70,,,,375.64,343.24,349.23,339.24,339.26,329.54,319.48
2002-02-23 22:00:43.620000,L7,300.98,280.77,288.60,289.39,275.31,278.35,,,,,,,,,,,,,,
2002-03-27 22:00:37.575000,L7,328.34,,,,,,,,,,,,,,,,,,,
2002-04-28 22:00:38.357000,L7,333.72,303.59,297.32,291.65,277.32,,,,,,,,,,,,,,,
2002-05-07 21:54:27.907000,L7,373.58,345.56,311.32,313.18,316.30,307.18,312.20,299.71,295.99,286.24,,315.18,346.52,354.36,350.69,349.33,346.51,311.48,348.04,351.90
2002-06-15 22:00:19.658000,L7,311.90,289.83,288.70,289.81,270.53,,,,,,,,,,,,,,,
2002-06-24 21:54:04.370000,L7,353.69,318.38,310.54,309.40,313.08,271.14,292.06,290.35,303.08,307.03,306.95,318.80,344.90,324.93,337.96,339.40,342.07,314.24,299.63,318.18
2002-07-17 22:00:08.747000,L7,369.42,321.22,310.17,303.18,308.23,287.12,294.40,294.55,289.81,288.96,298.17,384.00,381.10,,,,,,,
2002-08-11 21:53:48.595000,L7,371.76,350.92,340.17,335.36,345.26,341.42,344.44,342.00,332.43,342.08,339.51,338.02,349.95,360.63,357.85,361.07,349.16,337.79,333.08,318.17
2002-08-18 21:59:57.690000,L7,373.44,328.39,307.15,310.97,310.15,285.26,284.10,281.66,293.09,300.41,297.80,290.27,315.97,296.48,,267.41,363.40,322.94,,
2002-09-28 21:53:22.602000,L7,289.69,292.13,286.01,276.31,,,,,,,,,,,,,,,,
2002-10-14 21:53:19.813000,L7,,354.53,331.53,317.64,337.89,354.51,320.96,350.73,284.29,317.70,320.44,324.07,322.41,320.05,324.68,321.00,320.36,347.34,345.56,337.27
2002-10-21 21:59:36.443000,L7,347.75,323.87,311.66,304.79,305.95,284.29,286.29,285.98,292.74,293.28,292.50,340.38,335.14,328.55,339.05,331.12,330.64,309.30,61.49,313.11
2002-10-30 21:53:25.867000,L7,358.40,310.96,306.51,305.14,306.36,297.61,275.96,286.05,291.32,269.08,287.73,283.33,293.93,,,,,,,
2002-12-01 21:53:52.985000,L7,,345.85,319.72,320.91,340.07,344.59,347.74,342.76,348.62,348.12,339.28,325.67,376.62,375.56,372.56,344.80,379.64,,,
2002-12-24 22:00:09.147000,L7,345.17,306.71,297.77,300.02,292.04,282.91,,,,,,,,,,,,,,
2003-01-18 21:54:06.301000,L7,342.87,306.31,301.43,300.24,269.77,,,,,,,,,,,,,,,
2003-01-25 22:00:18.779000,L7,344.38,295.84,296.58,292.83,296.12,279.65,,,,,,,,,,,,,68.12,238.15
2003-03-30 22:00:31.029000,L7,,,,,,,,,,,,,,,,,,,171.18,227.60
2003-04-24 21:54:22.477000,L7,336.10,299.11,296.88,310.64,296.69,322.39,382.98,,,,,,,,,,,,,
2003-05-10 21:54:22.508000,L7,368.63,360.55,370.53,374.24,384.06,382.03,358.16,353.94,358.05,350.41,332.55,335.47,342.70,338.22,343.29,340.10,345.29,348.05,336.57,330.04
2003-07-21 21:42:09.884000,L5,338.48,302.33,294.40,300.50,291.74,271.86,272.75,267.50,278.48,271.60,,,,,,,,,,
2003-08-06 21:42:27.230000,L5,345.77,313.41,305.32,299.76,295.61,273.76,274.19,267.46,275.16,273.22,281.95,295.76,326.77,301.24,271.35,298.70,326.92,308.43,68.20,286.75
2003-08-13 21:48:45.123000,L5,295.57,265.33,269.50,260.98,,,,,,,,,,,,,,,,
2003-09-07 21:43:00.591000,L5,339.28,308.73,304.29,293.89,289.56,262.85,,,,,,,,,,,,,,
2003-09-14 21:49:18.766000,L5,298.89,275.99,274.45,268.71,,,,,,,,,,,,,,,,
2003-10-25 21:43:40.253000,L5,379.80,346.02,337.27,338.96,339.83,335.83,310.05,307.66,305.77,303.13,312.51,305.79,326.05,326.44,325.88,322.28,333.09,325.34,316.40,310.66
2003-11-17 21:50:09.452000,L5,332.26,307.28,301.28,294.81,267.13,,,,,,,,,,,,,,,
2003-12-03 21:50:19.675000,L5,304.04,282.01,286.52,264.52,,,,,,,,,,,,,,,,
2003-12-12 21:44:10.398000,L5,280.66,264.19,270.46,268.73,,,,,,,,,,,,,,,,
2004-02-14 21:44:33.705000,L5,303.57,271.12,273.03,267.16,,,,,,,,,,,,,,,,
2004-02-21 21:50:47.082000,L5,311.30,275.51,277.26,269.77,,,,,,,,,,,,,,,,
2004-03-01 21:44:38.581000,L5,302.27,272.37,276.73,263.67,,,,,,,,,,,,,,,,
2004-04-18 21:45:25.586000,L5,336.53,301.83,299.03,302.35,296.30,276.78,274.64,269.37,276.08,277.37,283.08,290.43,314.50,284.13,,,,,,
2004-05-04 21:45:52.076000,L5,309.42,287.31,288.86,278.30,265.54,,,,,,,,,,,,,,,
2004-05-20 21:46:20.465000,L5,322.74,288.02,290.28,285.38,273.26,,,,,,,,,,,,,,,
2004-06-05 21:46:48.916000,L5,348.45,325.21,326.09,317.65,323.09,325.37,309.65,305.23,300.90,302.89,310.87,312.91,328.88,316.93,321.07,320.88,330.63,315.49,302.11,297.95
2004-06-12 21:53:11.618000,L5,287.33,252.77,262.90,263.22,,,,,,,,,,,,,,,,
2004-07-07 21:47:45.207000,L5,324.33,294.19,292.54,287.90,277.76,,,,,,,,,,,,,,,
2004-07-23 21:48:09.192000,L5,338.58,304.93,299.78,297.41,290.43,271.62,273.95,264.42,272.44,269.21,,,,,,,,,,
2004-07-30 21:54:28.143000,L5,337.83,300.94,298.91,289.49,289.06,269.13,,261.77,272.86,269.11,279.39,286.94,317.46,277.46,,,,,,
2004-08-08 21:48:26.915000,L5,339.68,308.35,299.89,297.12,292.82,273.29,271.56,263.05,272.91,268.63,,,,,,,,,,
2004-09-09 21:49:19.975000,L5,303.15,273.91,273.20,280.62,270.57,,,,,,,,,,,,,,,
2004-09-25 21:49:43.196000,L5,336.85,308.81,300.78,296.00,292.81,271.41,267.11,,,,,,,,,,,,,
2004-11-03 21:56:42.977000,L5,272.99,270.17,276.28,264.90,,,,,,,,,,,,,,,,
2005-01-15 21:51:45.464000,L5,299.96,276.14,274.37,269.75,,,,,,,,,,,,,,,,
2005-02-07 21:58:15.209000,L5,342.89,290.00,293.09,277.64,272.66,,264.25,272.88,281.62,283.40,290.30,297.54,322.43,295.07,,,,,,
2005-02-16 21:52:13.954000,L5,302.51,275.38,287.14,278.10,258.46,,,,,,,,,,,,,,,
2005-02-23 21:58:31.621000,L5,297.24,269.48,272.59,264.22,,,,,,,,,,,,,,,,
2005-03-11 21:58:44.158000,L5,298.88,273.25,275.37,263.26,,,,,,,,,,,,,,,,
2005-03-20 21:52:38.190000,L5,311.79,283.14,289.25,276.82,264.13,,,,,,,,,,,,,,,
2005-04-21 21:52:46.920000,L5,339.37,310.34,295.08,289.57,284.29,270.26,270.73,263.95,272.27,270.30,281.43,289.26,316.20,285.76,,,,,,
2005-05-23 21:53:00.685000,L5,339.17,316.08,307.31,300.11,304.18,286.63,279.82,273.04,276.46,274.07,280.94,289.21,313.26,288.18,,,,,,
2005-05-30 21:59:15.499000,L5,288.42,261.28,259.15,261.51,,,,,,,,,,,,,,,,
2005-07-17 21:59:35.576000,L5,297.24,269.22,273.73,264.74,,,,,,,,,,,,,,,,
2005-07-26 21:53:30.504000,L5,289.26,268.49,270.82,265.91,,,,,,,,,,,,,,,,
2005-09-19 21:59:56.928000,L5,334.50,310.34,298.93,281.25,285.73,273.63,268.26,264.12,270.47,264.78,,,,,,,,,,
2005-11-22 22:00:23.113000,L5,325.13,297.91,294.04,265.67,,,,,,,,,,,,,,,,
2006-02-03 21:55:55.062000,L5,329.67,313.02,306.22,302.84,301.07,281.86,280.55,275.90,279.72,277.14,287.45,292.80,313.62,290.74,,,,,,
2006-02-19 21:56:15.936000,L5,327.67,299.05,295.36,285.73,290.37,276.64,275.44,266.68,276.48,276.00,286.68,292.51,310.27,277.31,,,,,,
2006-04-08 21:57:12.628000,L5,292.51,262.61,263.01,262.05,,,,,,,,,,,,,,,,
2006-05-17 22:03:57.969000,L5,285.69,260.32,266.33,262.48,,,,,,,,,,,,,,,,
2006-07-04 22:04:41.660000,L5,315.43,288.42,289.33,284.10,276.71,264.20,,,,,,,,,,,,,,
2006-08-21 22:05:19.629000,L5,314.61,289.91,283.63,294.52,280.60,264.13,277.82,270.40,280.79,286.55,289.34,294.96,328.14,296.40,,,,,,
2006-10-24 22:06:02.805000,L5,298.94,279.13,284.26,278.18,270.17,262.11,,,,,,,,,,,,,,
2007-02-13 22:06:47.368000,L5,304.97,275.63,273.51,267.40,,,,,,,,,,,,,,,,
2008-10-29 21:55:24.451000,L5,356.19,327.15,322.32,317.43,316.64,297.08,291.64,292.68,293.91,290.10,293.28,299.99,322.61,310.61,303.67,309.37,326.97,312.71,296.19,295.72
2008-12-25 21:50:10.387000,L5,,337.97,296.66,327.47,331.00,281.43,279.36,267.49,285.08,294.58,297.40,298.78,321.70,299.36,,,,,,
2009-01-01 21:56:31.615000,L5,301.44,275.05,275.68,268.76,257.04,,,,,,,,,,,,,,,
2009-02-02 21:57:22.411000,L5,290.42,263.60,264.15,263.39,,,,,,,,,,,,,,,,
2009-02-11 21:51:25.536000,L5,339.72,305.16,300.51,294.47,288.86,277.29,280.20,275.61,279.78,284.84,288.18,293.80,312.03,288.48,,,,,,
2010-02-21 22:02:44.773000,L5,290.43,266.41,270.33,263.92,,,,,,,,,,,,,,,,
2010-12-31 21:55:32.560000,L5,,,,,293.81,272.55,274.03,266.91,273.98,278.34,278.63,283.20,308.94,,,,,,,
2011-01-07 22:01:44.406000,L5,363.29,342.02,332.83,330.91,336.95,329.79,321.44,319.98,314.08,316.08,329.17,331.92,337.18,331.31,333.18,331.51,339.28,328.08,323.66,307.18
2011-02-01 21:55:35.620000,L5,311.17,280.94,284.84,274.76,,,,,,,,,,,,,,,,
2011-03-12 22:01:43.554000,L5,306.07,280.04,282.40,272.23,257.84,,,,,,,,,,,,,,,
2011-03-28 22:01:38.376000,L5,277.74,254.70,257.74,253.33,,,,,,,,,,,,,,,,
2011-04-13 22:01:34.017000,L5,320.22,287.90,290.67,284.55,279.14,265.57,,,,,,,,,,,,,,
2013-04-11 22:07:51.092000,L8,313.45,288.02,287.69,285.49,291.53,273.39,271.41,262.99,268.14,271.55,,,,,,,,,,
2013-05-20 22:13:50.559000,L8,313.42,286.03,284.48,287.86,300.24,267.21,268.76,260.37,262.41,268.36,278.11,,,,,,,,,
2013-05-29 22:07:41.466000,L8,320.53,294.51,292.17,289.29,300.61,268.39,283.65,275.44,275.62,275.95,284.54,287.13,313.71,,,,,,,
2013-06-05 22:13:51.261000,L8,343.61,293.41,292.89,287.88,293.02,269.73,277.09,273.67,272.24,280.90,293.23,290.01,314.47,,313.89,313.04,320.60,293.72,,
2013-06-21 22:13:43.313000,L8,344.23,289.65,288.23,284.31,293.20,269.76,281.04,277.65,273.76,278.10,287.42,285.82,313.71,,,,,,,
2013-06-30 22:07:36.163000,L8,346.41,290.61,286.53,287.41,292.75,270.06,276.61,268.57,276.70,274.76,288.96,,,,,,,,,
2013-07-16 22:07:36.609000,L8,346.15,301.97,289.28,297.67,302.12,270.80,279.41,283.27,280.76,272.42,281.54,287.09,311.60,,,,,,,
2013-08-08 22:13:49.700000,L8,325.53,289.78,287.77,286.72,293.89,266.64,273.73,272.44,273.25,270.53,275.69,,,,,,,,,
2013-09-02 22:07:40.639000,L8,380.58,341.81,343.47,350.58,356.71,288.31,311.36,288.53,317.30,320.88,329.29,324.31,334.00,326.22,338.95,342.00,340.28,325.84,314.38,311.39
2013-10-27 22:13:31.854000,L8,315.90,303.41,296.72,301.61,305.22,293.96,283.69,286.82,282.99,331.15,292.66,288.95,302.04,,,,,,66.18,280.16
2013-11-05 22:07:22.900000,L8,,,327.35,330.42,342.99,353.98,318.68,311.35,309.11,317.47,315.75,379.61,330.80,334.78,327.12,325.84,347.70,,,
2013-11-12 22:13:32.202000,L8,320.00,293.11,292.27,292.79,299.45,282.21,280.11,269.28,280.52,272.94,276.28,,,,,,,,,
2013-12-14 22:13:21.591000,L8,318.47,293.54,290.90,290.57,295.37,270.26,270.84,265.72,270.88,271.30,277.08,279.28,313.94,,,,,,,
2014-02-16 22:12:38.819000,L8,330.55,300.30,293.83,288.30,294.54,271.17,276.37,268.36,272.19,273.40,277.41,,,,,,,,,
2014-03-20 22:12:13.789000,L8,317.85,284.65,292.41,281.03,291.90,,,,,,,,,,,,,,,
2014-04-21 22:11:42.175000,L8,308.47,300.73,297.32,295.12,300.04,268.70,,,,,,,,,,,,,,
2014-05-16 22:05:09.831000,L8,344.54,320.02,306.03,303.29,307.26,288.40,291.79,288.53,284.89,287.77,297.61,299.76,321.23,315.22,324.15,317.69,323.09,306.63,66.94,303.97
2014-08-04 22:05:38.545000,L8,343.61,299.12,296.29,293.46,299.38,275.79,279.35,281.10,271.12,276.05,277.33,,,,,,,,,
2014-08-20 22:05:42.763000,L8,292.20,256.92,,,,,,,,,,,,,,,,,,
2014-10-07 22:05:49.968000,L8,310.62,282.26,285.90,281.24,289.20,,,,,,,,,,,,,,,
2014-10-14 22:12:02.705000,L8,341.22,297.26,301.54,298.81,300.66,269.90,276.01,287.79,307.64,286.49,271.14,,,,,,,,,
2014-11-08 22:05:52.173000,L8,303.23,277.57,,,,,,,,,,,,,,,,,,
2014-12-01 22:12:00.318000,L8,349.90,294.61,290.99,292.89,301.87,284.61,285.83,278.61,280.57,283.59,280.15,277.99,308.15,,,,,,,
2015-01-02 22:11:50.958000,L8,345.27,294.92,293.66,296.36,305.36,349.85,311.07,286.68,272.77,276.88,278.42,,,,,,,,,
2015-03-07 22:11:30.209000,L8,324.28,303.90,302.45,313.00,316.13,279.03,277.12,363.82,,,,,,,,,,,,
2015-04-24 22:11:08.401000,L8,309.43,293.19,287.44,282.87,288.66,267.77,272.53,266.68,265.81,267.73,274.14,,,,,,,,,
2015-05-10 22:10:52.487000,L8,308.21,281.29,286.29,284.70,290.18,,,,,,,,,,,,,,,
2015-05-19 22:04:40.718000,L8,361.48,351.95,362.86,356.52,343.32,333.27,325.85,318.10,315.68,319.41,390.81,357.83,334.57,326.61,319.89,325.68,342.31,321.94,321.48,301.74
2015-06-04 22:04:48.656000,L8,371.02,341.08,340.47,367.37,360.69,340.24,329.96,337.37,319.94,327.67,335.88,341.77,342.18,332.68,336.33,324.89,330.85,337.60,305.45,306.02
2015-06-20 22:04:57.007000,L8,296.48,256.71,267.55,262.03,,,,,,,,,,,,,,,,
2015-07-06 22:05:06.214000,L8,363.80,346.88,337.89,348.63,349.05,340.38,357.93,355.87,358.00,355.01,354.92,346.58,343.80,330.29,340.49,351.75,350.01,330.23,314.06,308.81
2015-07-22 22:05:13.606000,L8,314.59,299.73,291.88,292.04,299.40,266.44,270.76,264.46,265.73,268.89,,,,,,,,,,
2015-07-29 22:11:25.856000,L8,315.22,299.14,295.31,294.81,303.08,269.23,278.16,267.40,268.09,269.53,273.79,,,,,,,,,
2015-08-23 22:05:24.610000,L8,309.41,286.15,284.93,287.33,292.05,,,,,,,,,,,,,,,
2015-10-26 22:05:43.801000,L8,,,,345.01,313.94,272.15,277.01,274.33,280.87,257.85,,,,,,,,,,
2015-12-20 22:11:57.501000,L8,337.58,349.86,358.16,297.51,305.83,271.46,286.12,270.46,270.83,306.80,293.33,292.02,302.00,342.51,355.02,277.02,299.54,280.98,68.67,271.13
2015-12-29 22:05:45.209000,L8,320.74,302.12,298.16,294.20,303.71,275.12,285.20,275.32,281.95,281.87,288.09,288.77,307.82,,,,,,,
2016-02-22 22:11:42.580000,L8,361.38,325.33,311.02,323.71,325.38,297.82,305.01,292.70,291.42,292.91,299.15,306.79,322.03,308.45,316.92,312.19,323.54,316.43,306.76,300.23
2016-03-09 22:11:40.902000,L8,339.42,297.08,298.38,296.53,302.71,282.57,293.59,280.90,281.23,280.40,282.94,290.92,316.01,295.99,,,,,,
2016-03-25 22:11:32.353000,L8,310.44,286.73,296.31,281.43,274.90,,,,,,,,,,,,,,,
2016-04-26 22:11:21.230000,L8,347.05,303.38,301.25,299.26,303.95,287.78,292.69,285.61,285.70,281.17,289.15,292.96,311.06,307.45,300.65,308.72,317.94,305.56,,
2016-05-12 22:11:20.683000,L8,341.63,291.64,292.29,290.16,291.79,273.96,282.85,277.67,274.93,274.37,277.78,290.76,311.17,,,,,,,
2016-06-13 22:11:30.674000,L8,365.23,301.21,298.96,297.29,301.25,282.82,286.79,284.46,279.71,285.26,290.53,293.76,318.63,,,,,,68.34,274.22
2016-07-15 22:11:46.335000,L8,346.27,301.32,301.10,300.58,301.03,285.64,285.45,287.65,286.43,284.58,290.22,290.96,316.11,282.84,,,,,67.07,123.48
2016-08-16 22:11:53.694000,L8,352.05,303.68,297.60,305.47,309.57,278.77,284.34,285.41,282.75,277.48,289.73,285.69,319.65,,319.81,318.78,329.03,291.45,,
2016-09-10 22:05:51.530000,L8,352.14,305.01,303.00,301.85,306.91,288.41,290.49,286.94,286.51,288.65,293.54,293.31,324.79,319.41,302.15,311.30,326.62,318.71,317.56,310.61
2016-10-12 22:05:57.250000,L8,351.64,303.75,296.42,298.57,298.80,282.11,281.05,280.42,280.97,273.40,278.77,285.27,309.46,,,,,,72.38,274.52
2016-10-28 22:05:59.220000,L8,347.31,304.28,297.64,296.73,297.11,283.85,283.98,283.16,283.78,279.90,284.08,287.66,308.11,277.29,,,,,,
2016-11-20 22:12:09.409000,L8,335.74,294.73,293.32,296.17,297.00,282.37,283.89,279.88,282.92,281.35,287.41,286.35,304.28,,,,,,71.51,267.04
2016-12-22 22:12:03.110000,L8,339.73,295.57,295.09,291.94,297.49,281.97,282.61,273.75,282.07,278.13,275.96,282.17,306.86,,,,,,,
2017-01-16 22:05:47.126000,L8,328.45,302.04,298.61,298.33,300.59,274.31,281.11,289.28,289.13,282.22,284.34,290.80,308.05,,,,,,,
2017-05-08 22:04:59.325000,L8,327.50,301.18,299.01,299.17,302.16,287.86,284.21,280.08,281.67,280.18,286.66,288.90,311.87,,,,,,,
2017-06-25 22:05:23.687000,L8,342.78,325.46,312.61,314.32,315.50,315.99,297.00,294.63,300.44,295.24,302.25,304.49,319.45,309.51,316.15,315.95,328.66,310.24,310.27,301.86
2017-08-03 22:11:47.949000,L8,340.31,295.93,294.16,292.95,293.17,284.98,283.51,278.53,275.59,276.89,279.85,282.83,310.84,,,,,,,
2017-08-28 22:05:44.051000,L8,333.16,292.75,293.15,288.89,318.94,,,,,,,,,,,,,,,
2017-12-18 22:05:49.621000,L8,340.55,303.78,300.59,297.92,300.26,287.04,287.79,284.72,282.36,287.36,329.53,317.16,317.62,,,,,,,
2018-01-10 22:11:54.118000,L8,330.35,290.76,293.24,291.57,292.08,278.54,283.89,265.89,280.13,279.39,,,,,,,,,,
2018-04-16 22:11:06.667000,L8,337.94,296.63,296.68,294.63,300.27,283.54,284.78,278.41,276.51,272.92,283.06,283.30,309.69,,,,,,,
2018-05-02 22:10:57.873000,L8,335.07,311.57,305.37,304.11,324.14,307.77,302.40,295.19,295.10,290.01,305.13,306.81,318.37,311.13,317.65,313.26,316.23,313.29,300.66,287.77
2018-06-28 22:04:40.307000,L8,338.59,309.39,302.23,300.35,304.46,275.10,287.79,286.16,282.99,281.26,292.26,294.38,316.13,,,,,,,
2018-07-05 22:10:54.795000,L8,304.08,265.12,281.15,269.47,,,,,,,,,,,,,,,,
