dates,nzd0101-0000,nzd0101-0001,nzd0101-0002,nzd0101-0003,nzd0101-0004,nzd0101-0005,nzd0101-0006,nzd0101-0007,nzd0101-0011,nzd0101-0012,nzd0101-0013,nzd0101-0061,nzd0101-0062,nzd0101-0077,nzd0101-0078,nzd0101-0079,nzd0101-0080,nzd0101-0082,nzd0101-0083,nzd0101-0084,nzd0101-0091,nzd0101-0092,nzd0101-0093,nzd0101-0094,nzd0101-0100,nzd0101-0101,nzd0101-0102,nzd0101-0103,nzd0101-0104,nzd0101-0105,nzd0101-0106,nzd0101-0107,nzd0101-0121,nzd0101-0122,nzd0101-0123,nzd0101-0124,nzd0101-0125,nzd0101-0126,nzd0101-0127,nzd0101-0128,nzd0101-0133,nzd0101-0134,nzd0101-0135,nzd0101-0136,nzd0101-0137,nzd0101-0138,nzd0101-0139,nzd0101-0140,nzd0101-0141,nzd0101-0142,nzd0101-0143,nzd0101-0178,nzd0101-0179,nzd0101-0015,nzd0101-0016,nzd0101-0017,nzd0101-0018,nzd0101-0019,nzd0101-0020,nzd0101-0021,nzd0101-0022,nzd0101-0023,nzd0101-0024,nzd0101-0025,nzd0101-0026,nzd0101-0027,nzd0101-0028,nzd0101-0029,nzd0101-0030,nzd0101-0031,nzd0101-0032,nzd0101-0033,nzd0101-0034,nzd0101-0035,nzd0101-0039,nzd0101-0040,nzd0101-0041,nzd0101-0042,nzd0101-0043,nzd0101-0044,nzd0101-0045,nzd0101-0046,nzd0101-0047,nzd0101-0048,nzd0101-0049,nzd0101-0050,nzd0101-0051,nzd0101-0052,nzd0101-0055,nzd0101-0056,nzd0101-0057,nzd0101-0063,nzd0101-0064,nzd0101-0081,nzd0101-0085,nzd0101-0086,nzd0101-0087,nzd0101-0088,nzd0101-0089,nzd0101-0090,nzd0101-0108,nzd0101-0109,nzd0101-0110,nzd0101-0111,nzd0101-0112,nzd0101-0113,nzd0101-0114,nzd0101-0115,nzd0101-0116,nzd0101-0117,nzd0101-0118,nzd0101-0119,nzd0101-0120,nzd0101-0129,nzd0101-0130,nzd0101-0131,nzd0101-0132,nzd0101-0144,nzd0101-0145,nzd0101-0146,nzd0101-0147,nzd0101-0148,nzd0101-0174,nzd0101-0175,nzd0101-0176,nzd0101-0177,nzd0101-0053,nzd0101-0054,nzd0101-0008,nzd0101-0009,nzd0101-0010,nzd0101-0014,nzd0101-0071,nzd0101-0072,nzd0101-0073,nzd0101-0162,nzd0101-0163,nzd0101-0149,nzd0101-0150,nzd0101-0037,nzd0101-0038,nzd0101-0058,nzd0101-0059,nzd0101-0065,nzd0101-0095,nzd0101-0096,nzd0101-0097,nzd0101-0098,nzd0101-0099,nzd0101-0165,nzd0101-0166,nzd0101-0167,nzd0101-0168,nzd0101-0169,nzd0101-0170,nzd0101-0171,nzd0101-0172,nzd0101-0173,nzd0101-0036,nzd0101-0066,nzd0101-0067,nzd0101-0068,nzd0101-0070,nzd0101-0074,nzd0101-0075,nzd0101-0076,nzd0101-0151,nzd0101-0152,nzd0101-0153,nzd0101-0154,nzd0101-0155,nzd0101-0159,nzd0101-0160,nzd0101-0161,nzd0101-0164,nzd0101-0069,nzd0101-0156,nzd0101-0157,nzd0101-0158,nzd0101-0060,satname
1999-08-26 22:04:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-27 22:04:48+00:00,,,,,,,,,,,,,,,,,,,,,,,286.72,301.42,,,,,,,,,296.47,,259.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-03-28 22:10:31+00:00,,,,,,,,,,,334.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.48,335.74,,,,,,,,,,,,,,,,,,,,,340.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.58,,,,,,309.76,303.78,,,L7
2000-05-24 22:03:46+00:00,,,,,,,,,,,334.57,,,,,,,,,,,,,,,,,,,,272.71,,,,,,,,,,,268.13,273.35,281.38,270.25,,,,,,,,,347.48,335.74,,,,,,,,,,,,,,,,,,,,,340.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.66,,,,,,,,,,,,,,,336.48,,,,,,,,,,,,,358.22,,,,,,,,,,,,,,,,,,,,,,,,,,303.58,,,,,,309.76,303.78,327.2,,L7
2000-07-11 22:03:17+00:00,,,,,,,,,,,334.57,,,,,,,,,,,,,,,,,,,,272.71,,,285.76,274.84,279.27,,,303.63,,,268.13,273.35,281.38,270.25,,,,,,,,,347.48,335.74,,,,,,,,,,,,,,,,,,,,,340.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.66,,,,,,,,,,,,,,,336.48,,,,,,,,,,,,,358.22,,,,,,,,,,,,,,,,,,,,,,,,,,303.58,,,,,,309.76,303.78,327.2,,L7
2000-11-23 22:08:18+00:00,,,,,320.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.76,274.84,279.27,,,303.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.63,,,,334.08,,,,,,,,247.99,315.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-24 22:01:59+00:00,,,,,320.23,,,,,,,,,,,,,,,,,,,,376.92,362.24,,,,,,,,266.94,,266.45,275.7,334.97,312.93,286.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.63,,,,334.08,,,,,,,,247.99,315.49,,,299.3,332.14,332.07,329.4,314.69,,,,,,,,,,,327.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.01,347.99,318.23,314.84,333.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-01-06 22:00:31+00:00,,,,,,,,,,,,,,323.91,269.43,243.5,,,,,328.99,298.63,300.22,316.99,,345.1,,,,,,,311.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.24,319.98,,,,,,,,,,,,,,,,,280.42,293.61,,,302.56,293.48,,,,,,,,,,,,,,,,329.11,,,,,299.99,298.79,312.88,,,,,,,,,353.64,330.99,316.62,315.65,307.93,311.0,,,,,,,,,,,,,291.32,,314.17,,306.56,,,,,,,,,,277.56,,,,,L7
2002-01-22 22:00:40+00:00,,,,,,,,,,,,,,331.03,278.125,278.675,250.42,303.11,291.03,279.75,328.99,298.63,300.22,316.99,,338.645,,,,,,335.3,311.5,,,,269.49,306.04,,,249.18,245.45,257.24,268.71,270.82,277.38,287.66,284.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.24,319.98,,,,304.62,,295.59,272.81,256.89,260.98,284.77,,,,,,,280.42,293.61,,,302.56,293.48,,,,330.8,244.01,,,314.16,,,,,,,,329.11,,,,,319.08000000000004,301.38,328.315,,,,,,,,,353.64,330.99,316.62,315.65,306.22,311.0,,,,,,,,,,,,,291.32,,309.13,,322.53999999999996,,340.6,,350.74,,256.82,,,,277.56,,,342.5,,L7
2002-04-12 22:00:37+00:00,,,,,,,,,,,,,,331.03,278.125,278.675,250.42,303.11,291.03,279.75,328.99,298.63,300.22,316.99,,338.645,,356.07,,,,335.3,311.5,,,,269.49,306.04,,,249.18,245.45,257.24,268.71,270.82,277.38,287.66,284.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.24,319.98,,,,304.62,,295.59,272.81,256.89,260.98,284.77,,,,,,,288.70000000000005,302.925,,350.22,317.55,293.48,,,,342.405,244.01,,,314.16,,,,,,,,329.11,,,,,319.08000000000004,301.38,328.315,,,,,,,,,353.64,330.99,316.62,315.65,306.22,311.0,,,,,,,,,,,,,291.32,,309.13,,322.53999999999996,,340.6,,350.74,,256.82,,,,277.56,,,342.5,,L7
