dates,satname,nzd0101-0000,nzd0101-0001,nzd0101-0002,nzd0101-0003,nzd0101-0004,nzd0101-0005,nzd0101-0006,nzd0101-0007,nzd0101-0008,nzd0101-0009,nzd0101-0010,nzd0101-0011,nzd0101-0012,nzd0101-0013,nzd0101-0014,nzd0101-0015,nzd0101-0016,nzd0101-0017,nzd0101-0018,nzd0101-0029,nzd0101-0030,nzd0101-0031,nzd0101-0032,nzd0101-0033,nzd0101-0034,nzd0101-0035,nzd0101-0036,nzd0101-0037,nzd0101-0038,nzd0101-0039,nzd0101-0040,nzd0101-0041,nzd0101-0042,nzd0101-0043,nzd0101-0044,nzd0101-0045,nzd0101-0046,nzd0101-0047,nzd0101-0048,nzd0101-0049,nzd0101-0050,nzd0101-0051,nzd0101-0052,nzd0101-0053,nzd0101-0054,nzd0101-0055,nzd0101-0056,nzd0101-0057,nzd0101-0058,nzd0101-0059,nzd0101-0060,nzd0101-0061,nzd0101-0062,nzd0101-0064,nzd0101-0065,nzd0101-0066,nzd0101-0067,nzd0101-0068,nzd0101-0069,nzd0101-0075,nzd0101-0076,nzd0101-0077,nzd0101-0078,nzd0101-0079,nzd0101-0080,nzd0101-0081,nzd0101-0082,nzd0101-0083,nzd0101-0084,nzd0101-0085,nzd0101-0086,nzd0101-0087,nzd0101-0088,nzd0101-0089,nzd0101-0090,nzd0101-0091,nzd0101-0092,nzd0101-0093,nzd0101-0094,nzd0101-0095,nzd0101-0096,nzd0101-0097,nzd0101-0098,nzd0101-0099,nzd0101-0100,nzd0101-0101,nzd0101-0102,nzd0101-0103,nzd0101-0104,nzd0101-0105,nzd0101-0106,nzd0101-0107,nzd0101-0108,nzd0101-0109,nzd0101-0110,nzd0101-0111,nzd0101-0112,nzd0101-0113,nzd0101-0114,nzd0101-0115,nzd0101-0120,nzd0101-0121,nzd0101-0122,nzd0101-0123,nzd0101-0124,nzd0101-0125,nzd0101-0126,nzd0101-0127,nzd0101-0128,nzd0101-0129,nzd0101-0130,nzd0101-0131,nzd0101-0132,nzd0101-0133,nzd0101-0134,nzd0101-0135,nzd0101-0136,nzd0101-0137,nzd0101-0138,nzd0101-0139,nzd0101-0140,nzd0101-0141,nzd0101-0142,nzd0101-0143,nzd0101-0144,nzd0101-0145,nzd0101-0146,nzd0101-0147,nzd0101-0148,nzd0101-0149,nzd0101-0150,nzd0101-0151,nzd0101-0152,nzd0101-0154,nzd0101-0155,nzd0101-0156,nzd0101-0157,nzd0101-0158,nzd0101-0159,nzd0101-0160,nzd0101-0161,nzd0101-0162,nzd0101-0163,nzd0101-0164,nzd0101-0165,nzd0101-0166,nzd0101-0168,nzd0101-0169,nzd0101-0170,nzd0101-0171,nzd0101-0172,nzd0101-0178,nzd0101-0179,nzd0101-0019,nzd0101-0020,nzd0101-0063,nzd0101-0070,nzd0101-0071,nzd0101-0072,nzd0101-0073,nzd0101-0074,nzd0101-0116,nzd0101-0117,nzd0101-0153,nzd0101-0167,nzd0101-0174,nzd0101-0175,nzd0101-0176,nzd0101-0177,nzd0101-0021,nzd0101-0022,nzd0101-0023,nzd0101-0024,nzd0101-0025,nzd0101-0026,nzd0101-0027,nzd0101-0028,nzd0101-0118,nzd0101-0119,nzd0101-0173
2000-05-24 22:03:46.662000,L7,206.24,301.93,317.98,242.14,270.58,307.68,303.11,284.66,,,,257.76,291.57,285.49,246.72,260.02,289.34,316.52,308.73,397.23,,,,,,,,,,,173.27,222.36,231.84,261.35,263.27,240.06,255.43,268.91,267.92,270.61,262.64,281.17,271.22,403.29,529.16,549.14,530.94,440.74,507.07,543.08,277.49,,290.14,319.26,327.13,345.51,182.43,189.10,196.22,497.85,477.74,,343.60,336.44,365.05,419.62,421.89,451.65,445.83,365.84,379.70,316.10,347.05,341.59,360.67,416.41,374.33,385.00,433.76,419.11,425.03,488.44,,,,484.20,524.81,438.11,370.52,366.87,385.34,308.87,366.07,521.95,510.64,469.54,488.62,540.68,465.73,384.57,,233.72,240.22,305.78,457.13,408.00,419.73,,,,300.76,372.24,456.42,504.13,504.95,285.50,503.80,471.38,473.95,,,,,,,,,,,479.98,386.40,384.27,256.54,233.13,237.20,271.94,286.26,285.41,291.26,,463.58,410.79,463.56,477.85,497.86,444.21,452.48,474.20,478.85,475.65,530.69,,390.81,300.83,334.33,309.98,215.11,308.90,296.98,,325.86,,,245.55,463.84,444.65,414.23,,,272.40,316.69,329.80,354.72,399.12,415.49,372.12,391.33,,,524.97
2000-07-11 22:03:17.779000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.53,203.87,222.49,217.64,256.41,257.19,235.12,,,,,,,,,279.59,309.50,325.02,,,,,,,,280.37,285.63,263.13,318.16,346.40,320.61,346.49,365.51,182.04,206.70,245.54,172.41,391.82,410.32,417.22,,,,,,,,406.21,415.58,433.72,436.21,,,,,,,,329.15,298.34,372.50,380.89,375.74,333.67,348.76,496.45,522.58,480.56,517.15,521.67,,,194.83,216.73,233.17,255.90,251.97,268.11,255.35,281.95,290.44,294.99,296.33,350.04,499.51,512.15,523.08,512.01,543.11,522.58,,,,,,,,395.06,,,,203.24,252.25,254.69,257.39,254.98,269.38,259.38,258.34,,,,,,,,,,,,,,261.93,,
2000-08-03 22:09:08.077000,L7,306.49,309.41,314.57,411.91,544.20,,,,,,443.20,420.49,518.51,546.84,,,,,,531.48,537.76,503.07,187.32,242.87,264.08,249.22,251.67,253.20,249.64,251.62,259.69,185.94,246.20,277.95,285.19,243.59,228.82,268.08,278.41,237.22,,277.01,225.88,189.42,175.60,230.49,225.95,,207.99,218.71,234.80,234.74,251.87,211.25,220.92,223.46,228.03,,274.59,260.41,,,,,,,,,,,,,213.00,217.24,232.94,210.25,,,,,,,,270.83,230.86,233.08,237.53,225.26,316.93,330.73,320.86,327.69,180.60,223.53,221.83,231.27,252.64,218.24,317.62,323.77,180.25,194.65,193.41,180.65,180.39,179.46,183.16,192.51,185.30,199.22,226.39,,,,225.58,211.79,207.27,186.25,227.75,199.10,203.73,233.96,203.68,201.59,,,,,,262.16,197.70,198.00,200.79,217.35,248.13,253.35,335.49,339.39,291.60,202.10,207.52,217.49,212.70,216.00,225.69,203.58,,,,,,386.75,528.39,,,201.98,341.82,333.42,250.38,283.03,369.47,340.13,229.31,215.44,,250.23,229.95,218.13,386.24,,183.07,410.69,426.51,,512.81,517.35,517.87,188.06,179.03,226.75
2000-10-15 22:01:56.204000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.54,415.91,408.68,438.60,460.18,468.43,343.56,311.10,543.39,457.25,374.94,286.14,286.71,289.75,308.07,,,256.55,312.19,322.59,337.88,358.63,184.96,327.29,291.46,200.71,229.95,335.16,233.12,217.00,230.46,274.17,271.34,241.71,289.59,319.92,343.92,314.91,313.47,291.50,389.10,466.73,447.68,305.35,308.73,335.36,223.16,287.93,285.74,305.35,531.69,373.44,318.18,322.95,339.58,,,544.73,522.98,525.02,256.63,238.37,271.83,508.55,501.50,436.72,538.59,383.43,488.73,301.83,291.76,298.71,347.39,463.63,422.79,521.76,505.45,494.09,522.97,541.68,381.40,470.58,494.02,460.75,488.29,504.01,532.57,532.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.45,297.71,405.48,413.59,457.75,293.71,,437.64,,,,,,,,,,,,,,,504.83,435.18,
2000-11-23 22:08:18.410000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.98,382.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-03 22:02:12.432000,L7,,,,,,,,,,,,,,,,388.16,469.04,449.62,517.76,279.11,210.52,265.52,273.31,555.32,425.04,435.10,317.45,286.13,398.80,447.21,257.33,347.06,324.79,383.64,401.09,388.15,410.59,407.66,505.66,345.46,300.56,306.55,378.16,532.80,,,484.51,539.53,393.74,468.93,506.10,548.63,,430.98,440.58,445.93,445.04,438.38,282.55,408.64,443.38,444.32,439.50,342.62,480.66,497.33,,,,,551.43,345.04,302.20,490.97,524.56,521.67,213.15,,,400.55,421.56,405.63,320.64,356.42,234.96,207.96,262.80,429.60,495.03,530.71,203.91,348.80,286.36,298.00,255.79,206.93,235.84,188.12,364.44,369.12,415.17,339.80,221.74,374.84,249.32,200.51,267.38,528.52,513.68,540.34,219.06,226.20,226.58,229.59,284.03,374.31,449.46,550.17,469.41,,,,,,430.92,346.02,242.72,431.30,436.24,424.18,386.06,537.11,463.32,360.54,543.37,495.22,336.50,332.44,,,,,543.53,492.88,317.36,221.53,494.85,295.28,174.11,,556.29,,,548.49,467.71,,303.28,315.07,345.17,349.24,246.74,389.93,384.33,350.40,175.93,504.62,533.85,,,389.33,318.78,370.66,,,,235.58,288.28,389.17,,376.38
2001-03-15 22:08:16.055000,L7,393.40,246.53,230.30,246.04,278.47,273.28,282.10,460.50,470.41,477.15,438.65,465.54,419.56,422.94,443.97,446.48,445.07,445.95,485.84,469.04,426.02,480.86,489.50,477.54,505.72,329.10,366.00,488.36,408.75,486.09,487.66,254.99,264.12,400.34,434.92,412.58,409.39,421.76,434.13,458.70,468.40,458.72,495.72,442.31,265.30,417.52,362.91,394.26,212.38,376.41,503.90,,548.70,463.80,466.30,547.17,454.67,461.34,542.75,436.48,412.78,210.55,214.47,466.06,406.94,190.45,258.09,243.86,245.89,270.76,287.63,281.85,263.77,252.76,245.48,247.67,262.79,266.63,251.17,242.90,246.00,230.21,257.43,272.65,283.71,277.80,298.58,311.28,314.74,283.10,256.52,265.83,263.35,260.04,269.27,257.28,252.67,256.17,241.32,214.53,350.35,482.59,430.98,447.68,489.94,354.44,265.56,368.63,390.58,394.85,404.05,413.20,459.01,469.41,448.82,261.56,479.12,408.97,346.50,341.26,296.06,309.20,301.18,423.68,373.10,359.77,367.03,238.33,254.90,258.73,238.91,236.66,236.46,438.72,418.58,295.09,312.07,270.51,271.46,267.50,270.28,285.30,283.45,266.48,247.37,409.94,419.97,412.14,545.54,253.52,246.52,476.23,540.77,488.78,465.04,450.16,466.99,463.62,437.41,460.50,446.64,234.52,234.83,223.54,422.91,261.31,269.15,296.94,287.66,,,,,261.23,471.68,467.48,453.79,230.24,243.65,255.99
2001-03-24 22:01:59.719000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.14,197.60,240.20,229.32,242.89,216.37,211.94,363.32,337.63,232.62,227.47,254.99,261.94,286.40,303.97,321.51,317.67,320.90,326.55,312.43,324.37,266.26,273.96,322.21,360.19,360.45,362.87,453.66,481.31,379.23,402.31,397.49,419.01,440.34,428.38,402.76,345.70,372.04,402.14,396.75,410.68,405.72,430.55,395.78,401.38,371.94,409.68,364.15,506.80,521.14,490.68,502.99,499.48,475.86,492.21,506.67,517.15,542.37,,,,,,,,,,,476.34,529.91,537.55,520.31,503.09,470.03,527.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.25,251.37,253.50,303.24,272.61,375.07,374.61,392.02,,,,,,,,,,,,,,,424.34,443.81,
2001-06-03 22:07:40.672000,L7,,,247.31,259.24,268.72,254.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.89,228.01,221.97,,,,,,,332.63,281.83,254.44,,,,,,,,,,207.46,212.32,194.93,,,,,,,,,,,,201.16,212.38,205.08,,299.45,226.95,242.36,231.54,224.71,245.03,201.86,212.90,229.96,183.63,209.46,,211.10,203.96,206.08,213.41,,,,,,,231.68,207.80,219.90,,,,,,252.46,233.83,207.04,208.29,195.58,303.98,305.31,268.89,227.38,216.55,231.26,226.48,230.19,233.15,,,,,,,,,291.11,220.48,,,,,230.50,229.46,,221.08,179.28,,,,220.80,224.58,282.54,,,,,,240.52,241.81,261.17,202.17,254.63,247.54,218.23,223.08,193.09,232.27,
2001-10-02 22:00:04.650000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.05,315.59,326.43,291.23,,,,,,,,,184.28,206.66,350.63,352.21,418.58,304.58,308.33,302.83,,,555.09,514.07,534.76,495.04,529.20,230.00,265.58,497.17,491.70,,,,543.44,464.71,476.10,357.93,327.97,295.63,322.57,375.72,282.50,506.95,467.43,552.52,,,546.93,326.79,,,,,,,,544.85,526.40,552.73,520.16,366.66,484.90,269.36,516.62,,,,446.08,172.85,535.09,465.00,380.06,,,,,515.72,482.32,415.22,295.29,,,,552.78,418.27,433.92,535.87,258.48,265.96,453.25,361.36,,,,,,,339.95,229.66,550.08,,444.35,341.21,304.82,212.44,385.67,432.09,534.65,451.39,409.77,360.70,359.52,516.40,195.98,485.16,
