dates,satname,nzd0253-0000,nzd0253-0001,nzd0253-0002,nzd0253-0003,nzd0253-0004,nzd0253-0005,nzd0253-0006,nzd0253-0009,nzd0253-0010,nzd0253-0011,nzd0253-0012,nzd0253-0013,nzd0253-0014,nzd0253-0015,nzd0253-0016,nzd0253-0017,nzd0253-0018,nzd0253-0019,nzd0253-0020,nzd0253-0007,nzd0253-0008
1999-08-05 21:46:35.104000,L7,343.27,322.71,336.51,334.40,339.76,322.25,362.44,279.06,311.91,302.11,304.01,318.85,330.71,340.59,343.12,337.15,310.62,323.07,317.96,,
1999-08-21 21:46:56.985000,L7,337.98,327.63,320.17,315.45,337.43,325.33,320.60,296.92,314.87,307.59,303.20,313.20,324.35,328.10,328.64,314.23,308.40,312.43,313.15,289.78,
1999-09-06 21:46:35.553000,L7,335.57,322.19,308.39,300.04,326.88,311.05,314.54,,,307.80,306.32,310.13,331.24,327.77,334.52,320.82,317.56,307.93,314.35,289.34,
1999-09-22 21:46:36.849000,L7,384.93,367.49,369.21,359.40,312.23,322.73,317.82,280.22,314.15,308.76,299.45,317.82,331.29,328.56,338.13,318.84,321.98,318.41,335.63,301.99,247.03
1999-10-24 21:46:56.203000,L7,322.93,385.06,305.38,301.40,,,,284.87,276.14,278.68,279.54,305.65,326.79,324.82,323.26,313.65,315.82,308.95,317.30,,266.42
2000-02-13 21:46:48.016000,L7,,297.17,287.83,292.29,291.28,295.87,287.89,275.78,285.08,299.76,285.38,311.91,283.08,329.92,304.88,297.70,258.39,317.90,339.00,,
2000-04-01 21:46:34.573000,L7,335.60,322.45,315.07,313.56,318.51,318.45,314.99,288.63,308.02,300.33,303.06,,,309.04,323.44,,,309.00,325.03,306.76,274.37
2000-05-03 21:45:55.224000,L7,,,,,342.21,335.77,339.68,319.30,324.52,331.31,327.50,342.09,345.51,343.51,354.77,336.68,338.20,329.17,330.52,332.31,317.66
2000-05-03 21:46:19.161000,L7,,,,,,,,320.54,322.10,328.31,323.60,336.33,342.70,345.00,356.74,344.58,339.36,338.50,338.14,333.86,316.99
2000-05-19 21:45:43.918000,L7,392.20,363.49,347.58,345.31,338.72,344.53,347.67,313.79,322.42,328.33,321.44,334.01,341.98,340.05,347.37,338.16,331.98,320.99,326.82,328.69,310.40
2000-05-19 21:46:07.873000,L7,393.16,361.42,,,,,,313.21,322.71,328.79,322.27,335.91,342.84,342.54,349.28,340.81,334.10,322.58,328.90,330.58,311.40
2000-08-07 21:44:45.034000,L7,347.76,331.51,329.32,355.68,,,,329.62,319.90,323.07,317.44,317.85,338.77,,,373.89,371.06,363.96,351.22,,326.89
2000-08-07 21:45:08.975000,L7,346.14,332.95,328.77,329.70,,,,329.66,320.82,323.11,315.44,317.93,338.55,323.94,346.39,372.53,369.55,363.68,316.21,,326.40
2000-10-26 21:44:22.850000,L7,324.82,313.13,309.00,306.59,304.08,308.40,302.48,289.30,276.34,295.84,272.28,298.09,,,,312.08,310.19,304.48,319.42,261.32,277.12
2000-11-27 21:44:26.720000,L7,324.41,312.16,303.63,303.33,300.40,305.10,301.07,289.07,303.09,298.33,294.05,297.61,319.41,317.43,333.45,307.90,320.29,305.28,325.22,295.10,291.69
