dates,satname,nzd0214-0000,nzd0214-0001,nzd0214-0002,nzd0214-0003,nzd0214-0004,nzd0214-0005,nzd0214-0006,nzd0214-0007,nzd0214-0008,nzd0214-0009,nzd0214-0010,nzd0214-0011,nzd0214-0012,nzd0214-0013
1999-09-29 21:52:52.243000,L7,330.15,318.81,319.22,293.91,309.57,317.04,329.83,326.43,335.75,333.08,323.25,296.86,290.55,300.68
1999-10-15 21:52:49.322000,L7,333.33,319.62,319.08,291.51,306.98,315.54,322.79,323.58,332.69,332.04,321.01,289.41,286.61,305.71
1999-12-09 21:58:57.676000,L7,331.49,319.83,318.77,294.33,310.86,317.33,324.90,325.25,339.43,333.94,326.45,295.60,296.42,305.04
2000-01-10 21:58:52.465000,L7,328.70,311.99,312.20,283.33,296.49,313.00,316.83,317.01,328.80,326.97,317.61,,,
2000-02-04 21:52:37.377000,L7,340.47,318.32,317.68,290.80,306.51,315.92,324.34,325.35,335.15,333.19,327.25,,,
2000-03-14 21:58:35.291000,L7,393.89,371.22,333.38,315.54,338.68,378.06,380.04,350.53,374.96,392.86,,,,
2000-04-24 21:52:10.308000,L7,319.83,297.73,311.15,281.19,296.72,307.73,321.30,319.07,328.65,328.38,327.47,,,321.68
2000-05-17 21:58:07.485000,L7,314.45,,312.02,279.38,292.87,318.00,326.47,332.07,337.51,331.68,328.49,,,321.68
2000-05-26 21:51:48.668000,L7,351.20,335.15,337.16,315.22,330.34,342.72,345.30,353.90,378.77,406.14,,339.14,363.23,349.62
2000-08-05 21:57:08.715000,L7,338.58,310.69,314.33,285.83,301.71,316.45,326.62,327.33,336.47,336.34,334.98,290.49,,
2000-08-14 21:50:56.232000,L7,334.77,315.04,316.65,290.41,306.39,319.79,333.01,327.03,335.36,337.25,333.75,,,
2000-09-15 21:50:25.712000,L7,329.11,312.29,314.76,286.77,301.33,313.38,327.04,324.10,331.70,332.45,317.93,291.47,285.54,325.22
2000-10-17 21:50:01.277000,L7,323.84,322.14,318.08,295.16,308.75,316.65,328.56,326.85,340.67,334.42,339.42,310.60,324.01,333.10
2000-11-09 21:56:21.390000,L7,421.54,368.15,352.51,319.47,340.82,350.04,358.71,354.13,370.42,383.45,391.00,358.81,349.07,358.76
2000-12-04 21:50:10.162000,L7,387.27,352.99,343.23,317.22,337.79,344.92,354.14,352.73,369.72,367.40,374.30,356.93,351.82,354.82
2001-01-05 21:50:16.585000,L7,407.22,366.20,355.36,331.88,340.04,347.00,346.61,357.85,368.89,366.33,376.63,350.54,343.27,351.94
2001-01-12 21:56:30.696000,L7,325.38,311.39,315.19,286.73,301.21,309.42,315.02,306.84,321.36,325.18,,315.09,306.33,324.83
2001-03-10 21:50:10.732000,L7,314.14,298.37,309.46,280.55,295.28,303.71,311.98,312.50,322.88,327.01,315.18,295.62,290.02,307.85
2001-03-26 21:50:01.268000,L7,317.89,310.65,307.75,282.42,298.09,307.74,322.08,314.78,331.42,329.43,319.03,306.09,302.08,320.58
2001-06-21 21:55:29.297000,L7,334.08,299.54,313.24,284.69,299.61,318.06,326.37,327.48,337.66,339.51,329.04,,,
2001-06-30 21:49:12.248000,L7,347.27,331.12,326.53,304.14,321.42,342.03,343.85,358.25,365.44,362.80,356.69,338.39,332.46,345.91
2001-09-09 21:54:36.880000,L7,339.60,316.99,318.47,294.93,310.79,318.59,329.15,329.26,338.50,337.84,329.44,,,
2001-09-18 21:48:17.356000,L7,327.40,309.64,310.27,284.03,298.53,313.88,324.77,321.47,334.98,329.15,321.09,289.89,,
2001-10-20 21:48:09.707000,L7,317.13,308.90,309.71,281.83,296.75,308.13,315.47,311.15,326.95,325.96,318.63,291.45,284.20,272.66
2001-11-05 21:48:14.934000,L7,323.93,313.22,314.22,285.00,300.45,312.02,322.70,319.04,333.65,331.96,323.17,296.74,280.85,316.54
2002-01-24 21:48:42.967000,L7,396.86,356.99,345.73,333.08,351.04,348.11,346.75,351.44,369.13,368.87,390.97,341.49,343.51,352.68
2002-02-09 21:48:45.674000,L7,350.14,328.66,323.98,299.26,315.96,324.38,333.95,335.83,351.22,351.11,345.53,320.24,318.66,336.50
2002-02-16 21:54:54.191000,L7,326.60,318.47,317.34,293.60,307.05,313.33,322.29,322.17,335.80,330.59,326.77,296.22,295.17,318.13
2002-02-25 21:48:47.943000,L7,346.46,328.77,320.34,297.40,315.09,324.29,332.37,331.94,345.69,343.38,343.97,299.26,309.10,328.92
2002-03-20 21:54:48.224000,L7,337.25,315.60,313.00,286.47,300.16,311.71,319.99,319.64,331.04,329.03,325.30,,,
2002-04-14 21:48:38.601000,L7,325.24,307.81,313.45,285.83,300.97,308.58,319.60,319.08,331.05,328.14,315.13,,,
2002-05-16 21:48:34.178000,L7,326.79,317.27,316.88,294.67,314.24,319.83,325.39,328.20,338.99,341.73,324.68,,,
2002-06-01 21:48:28.245000,L7,338.73,314.55,319.16,293.84,312.04,326.66,332.70,335.41,345.85,347.83,334.03,,,
2002-07-19 21:48:09.583000,L7,358.88,337.17,340.68,324.86,366.22,351.36,355.69,359.01,376.16,368.60,370.88,347.73,352.45,358.82
2002-08-20 21:47:58.545000,L7,333.04,315.04,320.85,294.49,312.41,322.35,328.50,331.96,342.73,347.29,333.22,,,
2002-08-27 21:54:00.253000,L7,328.60,306.82,312.03,285.71,300.10,310.85,322.62,322.39,337.99,333.62,323.89,,,
2002-10-07 21:47:33.100000,L7,,,305.94,292.35,305.91,317.35,321.37,322.23,332.82,329.40,326.90,289.95,,309.69
2002-10-14 21:53:43.769000,L7,360.00,341.95,340.06,327.95,361.37,355.77,356.45,359.52,378.52,377.38,366.72,353.48,357.01,361.64
2002-10-23 21:47:39.211000,L7,323.69,312.37,312.46,285.79,300.72,311.68,315.39,318.27,327.52,326.53,316.10,,,
2002-12-01 21:54:16.937000,L7,380.20,370.22,356.05,339.50,370.47,356.07,358.56,358.76,378.64,376.78,368.61,363.60,362.40,367.19
2002-12-26 21:48:11.926000,L7,343.58,327.49,322.42,298.48,315.48,327.48,334.70,327.84,344.64,338.28,337.77,324.86,323.90,334.22
2003-01-11 21:48:14.464000,L7,391.08,372.13,398.09,343.89,355.69,344.20,350.27,360.06,368.41,365.95,356.31,337.74,338.45,347.65
2003-01-18 21:54:30.278000,L7,330.71,320.89,312.63,291.65,303.83,314.51,318.78,319.88,332.23,330.84,331.07,302.63,307.43,313.79
2003-01-27 21:48:21.149000,L7,393.19,366.61,357.00,327.67,357.54,352.13,362.49,363.33,374.44,370.65,358.65,351.29,355.28,344.49
2003-03-16 21:48:34.204000,L7,363.56,338.69,342.06,320.13,340.32,347.85,356.46,360.44,373.92,369.37,365.13,347.34,346.45,358.64
2003-03-23 21:54:40.711000,L7,330.58,313.36,310.48,284.57,301.90,313.14,318.28,319.65,336.36,330.71,323.22,,,
2003-04-17 21:48:36.047000,L7,320.80,304.90,289.97,282.27,297.09,308.76,316.38,313.72,328.10,325.00,313.46,,,
2003-05-03 21:48:37.175000,L7,324.66,309.04,305.13,281.59,296.40,311.06,317.13,317.96,329.16,326.90,316.37,,,
2003-05-10 21:54:46.466000,L7,354.34,342.45,339.63,315.38,339.50,345.24,345.44,355.41,368.92,366.50,365.02,341.90,344.45,357.94
2003-07-21 21:42:33.857000,L5,,299.29,296.40,267.90,280.08,306.28,310.33,305.19,318.76,316.35,306.87,,,
2003-10-18 21:37:48.406000,L5,319.32,320.76,317.61,285.38,300.80,318.31,318.21,325.07,329.55,325.17,317.15,,,
2003-10-25 21:44:04.226000,L5,310.74,305.93,320.16,287.12,302.80,312.74,319.51,316.25,329.23,326.15,317.34,,,
2003-11-19 21:38:14.402000,L5,348.03,337.90,328.88,309.60,331.83,327.43,330.64,335.90,348.21,348.69,341.71,328.54,339.77,342.50
2004-01-22 21:38:40.402000,L5,310.29,308.75,303.49,261.84,274.25,301.21,289.97,,,,,,,
2004-02-14 21:44:57.678000,L5,309.91,303.83,304.24,273.19,286.59,305.63,309.58,311.86,323.20,319.86,311.80,,,
2004-03-01 21:45:02.553000,L5,315.39,309.23,311.65,277.58,291.51,311.41,316.60,321.62,327.65,323.15,313.16,,,
2004-03-17 21:45:08.368000,L5,312.69,312.77,313.67,282.16,297.40,308.18,309.94,317.41,320.73,322.87,307.45,,,
2004-04-02 21:45:18.969000,L5,303.31,300.01,304.11,277.45,291.80,308.11,313.35,314.98,320.81,320.47,305.99,,,
2004-04-18 21:45:49.558000,L5,310.74,301.92,306.34,271.10,283.90,306.85,310.51,316.29,326.81,328.83,315.15,,,
2004-05-20 21:46:44.438000,L5,313.56,308.80,310.80,275.19,288.73,313.28,317.88,326.68,331.89,332.94,314.81,,,
