dates,nzd0214-0000,nzd0214-0001,nzd0214-0002,nzd0214-0003,nzd0214-0004,nzd0214-0005,nzd0214-0006,nzd0214-0007,nzd0214-0008,nzd0214-0009,nzd0214-0010,nzd0214-0011,nzd0214-0012,nzd0214-0013,satname
1999-09-29 21:52:52+00:00,,,,,,,,,365.18,367.67,351.54,344.54,339.76,,L7
1999-10-15 21:52:49+00:00,,,,,,364.19,,,365.18,367.67,351.54,345.395,341.86,352.08,L7
1999-12-09 21:58:57+00:00,,,,362.82,349.05,364.19,,,365.18,365.385,350.04,344.2,341.28999999999996,350.14,L7
2000-01-10 21:58:52+00:00,375.26,,,358.15999999999997,349.985,364.19,360.61,356.9,362.95500000000004,362.54333333333335,350.04,344.9475,340.895,349.96999999999997,L7
2000-02-04 21:52:37+00:00,368.18,,,344.19666666666666,340.9666666666667,347.28999999999996,345.83500000000004,342.435,353.95666666666665,353.47,337.3233333333333,334.968,328.554,339.48249999999996,L7
2000-02-20 21:52:29+00:00,352.7033333333334,,295.52,328.445,328.865,347.28999999999996,345.83500000000004,342.435,353.95666666666665,353.47,317.2075,328.885,319.99499999999995,332.758,L7
2000-03-14 21:58:35+00:00,352.7033333333334,,289.765,328.445,328.865,347.28999999999996,346.01,342.435,355.985,353.47,317.2075,328.885,319.99499999999995,332.758,L7
2000-04-24 21:52:10+00:00,346.845,313.81,302.58,321.242,324.646,321.47,339.565,334.49666666666667,345.0125,341.0525,298.8275,320.63,309.06249999999994,322.238,L7
2000-05-26 21:51:48+00:00,346.845,313.81,302.58,322.8233333333333,326.14833333333337,321.47,339.565,334.49666666666667,345.0125,341.0525,298.8275,320.63,309.06249999999994,322.238,L7
2000-08-05 21:57:08+00:00,335.09,326.275,313.195,304.545,313.2475,318.82,333.0233333333333,323.355,339.1166666666667,323.49,283.0566666666667,299.11,288.47,304.75666666666666,L7
2000-08-14 21:50:56+00:00,338.355,332.17,319.45,306.434,314.28999999999996,322.37666666666667,332.7125,327.2733333333333,336.85,324.3966666666667,290.775,299.11,284.47,307.9625,L7
