dates,nzd0556-0000,nzd0556-0001,nzd0556-0002,nzd0556-0003,nzd0556-0004,nzd0556-0005,nzd0556-0006,nzd0556-0007,nzd0556-0008,nzd0556-0009,nzd0556-0010,nzd0556-0011,nzd0556-0012,nzd0556-0013
2003-10-07 21:58:35+00:00,,172.26,186.96,234.46,259.92,262.26,247.07,246.61,234.52,251.73,,278.84,296.59,305.79
2003-12-26 21:59:30+00:00,160.58,179.755,195.04000000000002,245.865,263.77,262.14,250.38,247.51,233.23000000000002,253.39999999999998,,280.55499999999995,296.86,302.975
2004-01-27 21:59:38+00:00,160.58,179.755,195.04000000000002,245.865,263.77,262.14,250.38,247.51,233.23000000000002,253.39999999999998,,280.55499999999995,285.2233333333333,290.9433333333333
2004-03-31 21:59:59+00:00,160.58,179.755,195.04000000000002,245.865,263.77,262.14,250.38,247.51,233.23000000000002,253.39999999999998,198.11,280.55499999999995,270.96,270.7625
2004-05-02 22:00:57+00:00,160.58,187.25,203.12,257.27,267.62,262.02,253.69,248.41,231.94,255.07,193.155,282.27,258.855,251.29250000000002
2004-05-18 22:01:26+00:00,160.58,187.25,203.12,257.27,267.62,262.02,253.69,248.41,231.94,255.07,187.73666666666668,282.27,255.23200000000003,240.41000000000003
2005-01-13 22:06:52+00:00,,,,249.33,,265.78,261.58,258.88,248.83,249.09,,276.42,,
2005-02-14 22:07:21+00:00,137.37,173.15,179.42,249.405,267.25,265.235,260.435,260.28999999999996,249.28,259.38,,276.0,,
2005-08-09 22:08:46+00:00,137.37,173.15,179.42,249.48,267.25,264.69,259.29,261.7,249.73,269.67,209.22,275.58,250.61,250.63
2005-09-10 22:08:55+00:00,,,,,,,210.34,,,,221.475,242.59,253.93,252.75
2005-11-13 22:09:08+00:00,165.69,175.35,180.69,233.13,254.09,252.65,230.125,248.87,234.26,265.69,241.79333333333332,268.805,273.97333333333336,272.6666666666667
2006-02-17 22:11:22+00:00,162.655,175.3,186.11,237.12,256.47,254.155,236.90666666666667,248.89499999999998,235.065,262.14500000000004,262.95,273.7866666666667,290.37333333333333,291.17
2006-04-22 22:12:36+00:00,159.89333333333335,172.82333333333335,187.00333333333333,237.89000000000001,254.0466666666667,252.65333333333334,247.01333333333332,246.99,232.50333333333333,257.94,273.8566666666666,284.4266666666667,304.82666666666665,307.0333333333333
2006-07-27 22:13:58+00:00,156.995,171.56,190.16,240.27000000000004,254.02500000000003,252.65500000000003,245.565,246.05,231.625,242.24,269.57,265.24,300.21000000000004,304.29999999999995
2006-08-28 22:14:23+00:00,154.37,167.87,171.38,239.43,242.70499999999998,245.275,240.965,241.16500000000002,225.785,241.42,264.52,262.73333333333335,294.745,290.825
2007-02-04 22:15:45+00:00,,,153.97,,216.45499999999998,222.01999999999998,223.625,222.425,206.185,256.14,242.14499999999998,256.13,275.625,273.405
2010-10-26 22:10:38+00:00,,141.28,190.41,246.3,250.28,241.99,229.66,224.6,216.25,243.96,252.4,270.35,285.36,286.35
2013-10-02 22:22:40+00:00,,,147.6,216.29,224.08,234.39,229.57,226.3,215.25,239.28,245.12,260.68,278.03,282.14
2013-10-18 22:22:37+00:00,,,147.6,216.29,224.08,234.39,229.57,226.3,215.25,239.28,225.51,240.19,258.36,263.325
2014-03-11 22:21:19+00:00,,,147.765,217.0,225.21,234.005,226.56,225.91000000000003,211.965,235.7,231.79666666666665,246.51333333333332,264.74666666666667,268.8066666666667
2014-07-17 22:20:39+00:00,,,147.93,217.71,226.34,233.62,223.55,225.52,208.68,232.12,215.85000000000002,229.28500000000003,249.31,247.96999999999997
2014-08-18 22:20:51+00:00,,,147.93,217.71,226.34,233.62,223.55,225.52,178.335,214.63,214.75,226.45333333333335,245.66333333333333,248.4533333333333
2014-09-03 22:20:54+00:00,,,147.93,217.71,226.34,233.62,210.055,225.52,173.65666666666667,209.79333333333332,215.07500000000002,224.9075,244.20499999999998,248.5
